,open,high,low,close,volume
2023-12-18 03:45:00+00:00,309.4,313.0,309.4,311.8,105143
2023-12-18 03:50:00+00:00,311.55,312.0,310.0,311.7,36773
2023-12-18 03:55:00+00:00,311.7,313.25,310.5,311.7,62366
2023-12-18 04:00:00+00:00,311.9,312.5,310.65,311.35,28930
2023-12-18 04:05:00+00:00,311.5,313.5,311.5,313.05,32845
2023-12-18 04:10:00+00:00,313.15,314.4,311.9,312.2,66981
2023-12-18 04:15:00+00:00,312.2,312.35,311.05,312.1,22920
2023-12-18 04:20:00+00:00,312.1,312.45,310.05,310.4,34210
2023-12-18 04:25:00+00:00,310.4,310.5,309.25,310.0,33752
2023-12-18 04:30:00+00:00,310.0,311.0,310.0,310.55,22419
2023-12-18 04:35:00+00:00,310.55,310.85,309.9,310.4,16175
2023-12-18 04:40:00+00:00,310.4,310.8,310.15,310.6,4089
2023-12-18 04:45:00+00:00,310.6,310.9,310.2,310.35,5668
2023-12-18 04:50:00+00:00,310.35,310.75,310.2,310.75,3242
2023-12-18 04:55:00+00:00,310.75,310.75,310.2,310.7,13547
2023-12-18 05:00:00+00:00,310.7,310.75,310.25,310.55,3606
2023-12-18 05:05:00+00:00,310.55,311.65,310.45,311.0,31287
2023-12-18 05:10:00+00:00,311.0,311.7,310.75,311.35,4671
2023-12-18 05:15:00+00:00,311.4,311.7,310.8,311.3,10616
2023-12-18 05:20:00+00:00,311.5,312.2,311.5,312.2,7848
2023-12-18 05:25:00+00:00,312.2,312.75,311.8,311.8,7287
2023-12-18 05:30:00+00:00,312.0,312.0,311.4,311.75,4346
2023-12-18 05:35:00+00:00,311.75,312.0,311.0,311.25,6489
2023-12-18 05:40:00+00:00,311.25,312.0,311.1,311.75,1245
2023-12-18 05:45:00+00:00,311.75,311.85,311.05,311.5,7161
2023-12-18 05:50:00+00:00,311.5,311.75,310.5,310.65,6983
2023-12-18 05:55:00+00:00,310.65,311.45,310.65,311.15,4435
2023-12-18 06:00:00+00:00,311.15,311.45,310.7,310.85,1821
2023-12-18 06:05:00+00:00,310.85,311.7,310.7,311.7,3646
2023-12-18 06:10:00+00:00,311.3,311.75,311.3,311.45,1624
2023-12-18 06:15:00+00:00,311.45,311.6,311.15,311.4,2449
2023-12-18 06:20:00+00:00,311.4,311.4,310.55,311.0,21537
2023-12-18 06:25:00+00:00,311.0,311.0,310.25,310.25,7887
2023-12-18 06:30:00+00:00,310.25,310.5,310.25,310.5,5196
2023-12-18 06:35:00+00:00,310.5,310.5,310.1,310.1,2357
2023-12-18 06:40:00+00:00,310.15,310.85,310.05,310.8,4550
2023-12-18 06:45:00+00:00,310.8,310.95,310.5,310.95,2459
2023-12-18 06:50:00+00:00,310.75,310.95,310.55,310.85,2201
2023-12-18 06:55:00+00:00,310.85,310.85,310.15,310.15,6474
2023-12-18 07:00:00+00:00,310.4,310.5,310.05,310.25,4494
2023-12-18 07:05:00+00:00,310.1,310.5,310.0,310.3,15556
2023-12-18 07:10:00+00:00,310.35,310.75,310.05,310.65,2976
2023-12-18 07:15:00+00:00,310.65,310.8,310.3,310.55,6567
2023-12-18 07:20:00+00:00,310.55,310.7,310.0,310.1,8655
2023-12-18 07:25:00+00:00,310.1,310.45,309.55,310.35,21826
2023-12-18 07:30:00+00:00,310.35,310.35,309.3,309.6,7840
2023-12-18 07:35:00+00:00,309.6,310.3,309.5,310.1,8275
2023-12-18 07:40:00+00:00,310.35,310.65,309.85,310.0,15108
2023-12-18 07:45:00+00:00,309.85,310.15,309.6,309.85,3063
2023-12-18 07:50:00+00:00,309.85,310.0,309.5,309.5,7401
2023-12-18 07:55:00+00:00,309.5,310.5,309.5,310.45,11463
2023-12-18 08:00:00+00:00,310.45,311.9,310.45,311.3,37146
2023-12-18 08:05:00+00:00,311.3,311.65,311.0,311.4,16075
2023-12-18 08:10:00+00:00,311.4,312.0,311.4,311.55,14091
2023-12-18 08:15:00+00:00,311.5,312.25,311.0,312.25,32651
2023-12-18 08:20:00+00:00,312.55,312.6,311.6,311.8,12735
2023-12-18 08:25:00+00:00,311.8,312.0,311.4,312.0,5047
2023-12-18 08:30:00+00:00,312.0,312.15,310.4,310.65,37328
2023-12-18 08:35:00+00:00,310.85,311.35,310.85,311.35,11058
2023-12-18 08:40:00+00:00,311.35,311.7,311.0,311.15,12817
2023-12-18 08:45:00+00:00,311.3,311.95,311.3,311.75,8112
2023-12-18 08:50:00+00:00,311.75,311.75,311.3,311.55,4000
2023-12-18 08:55:00+00:00,311.55,311.9,311.55,311.9,3946
2023-12-18 09:00:00+00:00,311.9,312.6,310.95,311.75,61087
2023-12-18 09:05:00+00:00,311.75,311.85,311.3,311.3,4413
2023-12-18 09:10:00+00:00,311.3,311.55,310.85,310.85,4096
2023-12-18 09:15:00+00:00,310.85,311.0,310.55,311.0,4986
2023-12-18 09:20:00+00:00,311.0,311.0,310.7,310.7,7302
2023-12-18 09:25:00+00:00,310.7,311.0,310.6,311.0,6976
2023-12-18 09:30:00+00:00,311.2,311.45,310.4,311.1,21661
2023-12-18 09:35:00+00:00,310.8,312.45,310.8,312.45,49253
2023-12-18 09:40:00+00:00,312.55,312.6,311.15,311.35,28641
2023-12-18 09:45:00+00:00,311.35,311.75,310.35,310.75,44745
2023-12-18 09:50:00+00:00,310.4,311.0,310.3,310.75,37635
2023-12-18 09:55:00+00:00,310.75,310.95,310.0,310.95,46758
2023-12-19 03:45:00+00:00,312.0,313.25,310.4,311.4,70186
2023-12-19 03:50:00+00:00,311.65,312.7,310.55,312.0,41776
2023-12-19 03:55:00+00:00,312.0,312.0,310.05,311.0,23040
2023-12-19 04:00:00+00:00,311.15,311.85,310.55,311.1,20280
2023-12-19 04:05:00+00:00,311.7,311.7,309.35,309.8,37540
2023-12-19 04:10:00+00:00,309.9,310.65,308.2,308.5,23658
2023-12-19 04:15:00+00:00,308.05,309.3,308.0,309.0,38669
2023-12-19 04:20:00+00:00,309.3,309.85,308.3,308.3,34409
2023-12-19 04:25:00+00:00,308.3,309.35,308.3,309.0,7595
2023-12-19 04:30:00+00:00,309.15,309.35,307.6,308.0,22214
2023-12-19 04:35:00+00:00,307.7,308.25,306.85,307.5,24489
2023-12-19 04:40:00+00:00,307.8,309.1,306.25,307.65,72492
2023-12-19 04:45:00+00:00,307.95,309.7,307.55,309.5,31359
2023-12-19 04:50:00+00:00,309.7,309.7,308.5,308.5,17387
2023-12-19 04:55:00+00:00,308.6,309.35,308.6,308.85,4850
2023-12-19 05:00:00+00:00,308.85,309.9,308.75,309.9,3953
2023-12-19 05:05:00+00:00,309.9,310.5,309.55,309.85,24927
