,open,high,low,close,volume
2023-12-18 03:45:00+00:00,864.95,867.85,862.0,867.0,821
2023-12-18 03:50:00+00:00,867.0,868.7,866.35,867.9,243
2023-12-18 03:55:00+00:00,867.0,871.15,866.55,867.0,840
2023-12-18 04:00:00+00:00,867.0,868.3,864.0,864.95,655
2023-12-18 04:05:00+00:00,864.95,867.0,864.95,865.5,1137
2023-12-18 04:10:00+00:00,865.5,866.95,865.35,865.35,152
2023-12-18 04:15:00+00:00,865.35,866.75,865.3,866.55,90
2023-12-18 04:20:00+00:00,866.6,866.65,865.3,866.05,162
2023-12-18 04:25:00+00:00,866.05,866.95,865.3,866.0,441
2023-12-18 04:30:00+00:00,865.95,866.0,865.3,866.0,112
2023-12-18 04:35:00+00:00,866.0,866.0,865.0,866.0,382
2023-12-18 04:40:00+00:00,866.0,866.0,865.0,865.2,272
2023-12-18 04:45:00+00:00,866.0,866.0,865.0,865.1,248
2023-12-18 04:50:00+00:00,865.95,866.3,865.0,866.3,348
2023-12-18 04:55:00+00:00,866.3,866.3,864.05,864.05,1192
2023-12-18 05:00:00+00:00,865.05,865.35,864.1,864.4,102
2023-12-18 05:05:00+00:00,864.4,865.4,864.4,864.4,277
2023-12-18 05:10:00+00:00,865.4,865.9,864.4,865.0,164
2023-12-18 05:15:00+00:00,865.0,867.0,865.0,867.0,597
2023-12-18 05:20:00+00:00,865.35,867.0,865.35,866.0,218
2023-12-18 05:25:00+00:00,866.0,866.55,865.4,865.4,221
2023-12-18 05:30:00+00:00,866.55,867.0,865.5,867.0,277
2023-12-18 05:35:00+00:00,867.0,867.0,865.75,866.9,237
2023-12-18 05:40:00+00:00,866.8,867.0,865.75,866.95,111
2023-12-18 05:45:00+00:00,866.95,867.0,865.75,867.0,464
2023-12-18 05:50:00+00:00,867.65,867.65,866.2,867.65,100
2023-12-18 05:55:00+00:00,867.65,868.0,866.6,868.0,202
2023-12-18 06:00:00+00:00,868.0,868.0,865.35,865.9,233
2023-12-18 06:05:00+00:00,865.9,866.0,865.0,866.0,2055
2023-12-18 06:10:00+00:00,866.0,866.0,865.05,865.85,371
2023-12-18 06:15:00+00:00,865.85,865.9,864.05,865.9,157
2023-12-18 06:20:00+00:00,865.9,865.95,864.4,865.9,65
2023-12-18 06:25:00+00:00,865.9,866.0,865.0,866.0,125
2023-12-18 06:30:00+00:00,866.0,866.0,865.0,866.0,291
2023-12-18 06:35:00+00:00,866.0,866.0,864.8,865.9,309
2023-12-18 06:40:00+00:00,865.9,865.9,864.05,865.9,465
2023-12-18 06:45:00+00:00,865.9,865.9,864.1,865.45,287
2023-12-18 06:50:00+00:00,865.4,865.65,864.1,865.65,181
2023-12-18 06:55:00+00:00,865.65,866.0,864.55,865.0,333
2023-12-18 07:00:00+00:00,865.0,866.0,864.85,866.0,1519
2023-12-18 07:05:00+00:00,866.0,867.6,865.05,867.6,3905
2023-12-18 07:10:00+00:00,867.6,868.8,866.25,868.0,1280
2023-12-18 07:15:00+00:00,868.0,874.5,868.0,873.8,4931
2023-12-18 07:20:00+00:00,873.8,876.0,872.75,876.0,3055
2023-12-18 07:25:00+00:00,876.0,876.95,875.0,875.9,690
2023-12-18 07:30:00+00:00,875.9,875.9,874.5,875.0,2249
2023-12-18 07:35:00+00:00,875.5,875.5,874.6,875.4,1469
2023-12-18 07:40:00+00:00,875.4,876.0,875.15,875.5,875
2023-12-18 07:45:00+00:00,875.5,876.4,875.5,876.3,799
2023-12-18 07:50:00+00:00,876.3,876.3,874.9,876.3,1107
2023-12-18 07:55:00+00:00,876.3,876.3,875.1,876.15,829
2023-12-18 08:00:00+00:00,876.15,876.3,875.1,875.3,654
2023-12-18 08:05:00+00:00,875.3,877.0,875.2,877.0,1143
