,open,high,low,close,volume
2023-12-18 03:45:00+00:00,224.5,229.0,224.5,226.7,282
2023-12-18 03:50:00+00:00,226.7,226.7,225.2,225.2,25
2023-12-18 03:55:00+00:00,225.2,226.0,224.6,226.0,158
2023-12-18 04:00:00+00:00,226.0,226.0,224.0,225.5,1220
2023-12-18 04:05:00+00:00,225.5,225.5,225.5,225.5,0
2023-12-18 04:10:00+00:00,225.5,225.5,225.45,225.45,30
2023-12-18 04:15:00+00:00,225.45,226.3,225.45,226.2,101
2023-12-18 04:20:00+00:00,226.2,226.55,225.45,225.45,165
2023-12-18 04:25:00+00:00,225.45,226.4,225.45,226.0,310
2023-12-18 04:30:00+00:00,226.5,226.6,225.75,225.75,98
2023-12-18 04:35:00+00:00,225.75,225.75,225.75,225.75,0
2023-12-18 04:40:00+00:00,225.75,225.75,225.55,225.55,100
2023-12-18 04:45:00+00:00,225.55,226.9,225.55,226.35,313
2023-12-18 04:50:00+00:00,226.35,226.75,226.35,226.75,5
2023-12-18 04:55:00+00:00,226.35,226.5,225.5,225.5,554
2023-12-18 05:00:00+00:00,226.0,226.0,224.8,225.95,790
2023-12-18 05:05:00+00:00,225.25,225.45,225.25,225.45,171
2023-12-18 05:10:00+00:00,225.45,225.45,224.8,224.8,500
2023-12-18 05:15:00+00:00,224.8,225.4,224.8,225.4,0
2023-12-18 05:20:00+00:00,225.4,225.45,225.4,225.45,30
2023-12-18 05:25:00+00:00,225.45,225.45,225.35,225.35,0
2023-12-18 05:30:00+00:00,225.45,225.45,225.45,225.45,1015
2023-12-18 05:35:00+00:00,225.45,226.0,225.4,225.5,491
2023-12-18 05:40:00+00:00,225.5,225.7,225.0,225.55,310
2023-12-18 05:45:00+00:00,225.55,226.15,225.05,226.15,288
2023-12-18 05:50:00+00:00,226.15,226.15,225.85,225.85,10
2023-12-18 05:55:00+00:00,225.85,225.85,225.85,225.85,61
2023-12-18 06:00:00+00:00,225.85,226.7,225.85,226.7,100
2023-12-18 06:05:00+00:00,226.7,226.7,224.05,226.45,1025
2023-12-18 06:10:00+00:00,225.8,225.8,225.8,225.8,2
2023-12-18 06:15:00+00:00,225.1,225.95,225.1,225.95,57
2023-12-18 06:20:00+00:00,225.35,225.35,225.05,225.05,60
2023-12-18 06:25:00+00:00,225.05,225.05,224.8,224.8,96
2023-12-18 06:30:00+00:00,224.8,225.0,224.8,225.0,1
2023-12-18 06:35:00+00:00,225.35,225.35,225.35,225.35,725
2023-12-18 06:40:00+00:00,225.35,225.35,225.35,225.35,0
2023-12-18 06:45:00+00:00,225.35,225.35,224.1,224.1,334
2023-12-18 06:50:00+00:00,224.1,224.7,224.1,224.7,112
2023-12-18 06:55:00+00:00,224.7,224.7,224.7,224.7,0
2023-12-18 07:00:00+00:00,224.7,224.7,224.7,224.7,16
2023-12-18 07:05:00+00:00,224.7,225.1,224.7,225.1,18
2023-12-18 07:10:00+00:00,225.1,225.1,225.1,225.1,5
2023-12-18 07:15:00+00:00,225.1,225.1,225.0,225.0,265
2023-12-18 07:20:00+00:00,225.0,225.1,225.0,225.0,158
2023-12-18 07:25:00+00:00,225.0,225.0,224.95,224.95,156
2023-12-18 07:30:00+00:00,224.95,224.95,224.7,224.7,333
2023-12-18 07:35:00+00:00,224.7,224.7,224.7,224.7,96
2023-12-18 07:40:00+00:00,224.7,224.7,224.05,224.05,228
2023-12-18 07:45:00+00:00,224.05,224.7,224.05,224.7,60
2023-12-18 07:50:00+00:00,224.7,224.85,224.7,224.85,50
2023-12-18 07:55:00+00:00,224.85,224.85,224.2,224.2,20
2023-12-18 08:00:00+00:00,224.2,224.2,224.2,224.2,0
2023-12-18 08:05:00+00:00,224.2,224.2,224.2,224.2,20
2023-12-18 08:10:00+00:00,224.2,224.65,224.2,224.65,114
2023-12-18 08:15:00+00:00,224.65,224.65,224.2,224.2,40
2023-12-18 08:20:00+00:00,224.2,224.2,224.05,224.05,488
2023-12-18 08:25:00+00:00,224.05,224.35,224.05,224.35,29
2023-12-18 08:30:00+00:00,224.35,224.6,224.05,224.05,146
2023-12-18 08:35:00+00:00,224.65,224.65,224.65,224.65,31
2023-12-18 08:40:00+00:00,224.65,224.65,224.65,224.65,36
2023-12-18 08:45:00+00:00,224.65,224.65,224.65,224.65,0
2023-12-18 08:50:00+00:00,224.65,224.65,224.65,224.65,6
2023-12-18 08:55:00+00:00,224.65,225.35,224.65,225.35,498
2023-12-18 09:00:00+00:00,225.35,225.9,225.35,225.9,37
2023-12-18 09:05:00+00:00,225.9,225.9,225.8,225.8,40
2023-12-18 09:10:00+00:00,225.8,225.8,225.35,225.4,29
2023-12-18 09:15:00+00:00,225.4,225.8,225.35,225.35,75
2023-12-18 09:20:00+00:00,225.35,225.7,225.3,225.3,2
2023-12-18 09:25:00+00:00,225.3,225.3,225.3,225.3,0
2023-12-18 09:30:00+00:00,225.6,225.6,225.55,225.55,295
2023-12-18 09:35:00+00:00,225.3,225.3,225.3,225.3,106
2023-12-18 09:40:00+00:00,225.3,225.5,224.8,224.8,225
2023-12-18 09:45:00+00:00,224.8,225.5,224.8,225.5,184
2023-12-18 09:50:00+00:00,225.5,225.5,224.8,224.8,184
2023-12-18 09:55:00+00:00,224.8,226.5,224.8,226.5,527
2023-12-19 03:45:00+00:00,225.3,225.3,225.3,225.3,0
2023-12-19 03:50:00+00:00,225.3,227.2,225.3,226.1,651
2023-12-19 03:55:00+00:00,227.05,227.05,226.3,226.8,84
2023-12-19 04:00:00+00:00,226.8,226.8,225.55,226.6,246
2023-12-19 04:05:00+00:00,226.6,226.7,225.9,226.0,354
2023-12-19 04:10:00+00:00,226.0,227.15,226.0,226.2,108
2023-12-19 04:15:00+00:00,226.2,226.2,226.2,226.2,0
2023-12-19 04:20:00+00:00,226.2,226.3,226.2,226.3,2
2023-12-19 04:25:00+00:00,226.4,226.5,226.4,226.4,192
2023-12-19 04:30:00+00:00,226.4,226.5,226.0,226.0,422
2023-12-19 04:35:00+00:00,226.0,226.0,225.25,225.25,101
2023-12-19 04:40:00+00:00,225.0,225.0,224.85,224.95,18
2023-12-19 04:45:00+00:00,224.95,225.6,224.95,225.6,13
2023-12-19 04:50:00+00:00,225.6,225.6,225.3,225.3,1
2023-12-19 04:55:00+00:00,225.3,225.75,225.3,225.75,1
2023-12-19 05:00:00+00:00,225.75,225.75,225.75,225.75,0
2023-12-19 05:05:00+00:00,225.75,225.95,225.2,225.2,171
