,open,high,low,close,volume
2023-12-18 03:45:00+00:00,5230.95,5250.0,5140.1,5238.0,34392
2023-12-18 03:50:00+00:00,5239.95,5266.0,5227.3,5259.0,20080
2023-12-18 03:55:00+00:00,5258.2,5275.0,5223.6,5223.6,14324
2023-12-18 04:00:00+00:00,5226.25,5265.5,5215.6,5260.0,12377
2023-12-18 04:05:00+00:00,5260.0,5260.0,5244.6,5253.7,3610
2023-12-18 04:10:00+00:00,5253.7,5253.7,5215.45,5234.25,6407
2023-12-18 04:15:00+00:00,5230.4,5233.0,5220.0,5230.35,5234
2023-12-18 04:20:00+00:00,5230.35,5253.1,5230.35,5244.65,5560
2023-12-18 04:25:00+00:00,5241.65,5245.0,5231.6,5244.0,3675
2023-12-18 04:30:00+00:00,5244.0,5252.9,5230.65,5234.1,3977
2023-12-18 04:35:00+00:00,5230.65,5240.65,5222.05,5237.05,4013
2023-12-18 04:40:00+00:00,5237.05,5248.35,5234.35,5241.0,3616
2023-12-18 04:45:00+00:00,5241.0,5245.7,5233.9,5238.35,2803
2023-12-18 04:50:00+00:00,5238.35,5239.65,5231.25,5236.0,1083
2023-12-18 04:55:00+00:00,5235.05,5240.0,5225.0,5239.3,4660
2023-12-18 05:00:00+00:00,5242.0,5245.25,5236.6,5240.0,2010
2023-12-18 05:05:00+00:00,5240.0,5240.25,5230.0,5237.55,2615
2023-12-18 05:10:00+00:00,5237.55,5252.0,5232.2,5241.3,4760
2023-12-18 05:15:00+00:00,5241.3,5249.95,5232.2,5246.8,2775
2023-12-18 05:20:00+00:00,5246.8,5249.9,5240.0,5245.0,3927
2023-12-18 05:25:00+00:00,5245.0,5249.85,5242.1,5248.3,2044
2023-12-18 05:30:00+00:00,5248.3,5255.0,5239.4,5242.65,4827
2023-12-18 05:35:00+00:00,5242.6,5246.4,5231.0,5238.95,3454
2023-12-18 05:40:00+00:00,5239.05,5244.4,5235.0,5238.15,2426
2023-12-18 05:45:00+00:00,5238.15,5245.0,5226.0,5244.0,4439
2023-12-18 05:50:00+00:00,5244.0,5246.65,5234.3,5235.75,3517
2023-12-18 05:55:00+00:00,5236.95,5237.0,5231.95,5235.25,1940
2023-12-18 06:00:00+00:00,5235.15,5235.65,5231.3,5235.65,1710
2023-12-18 06:05:00+00:00,5235.65,5237.0,5227.65,5232.0,3755
2023-12-18 06:10:00+00:00,5232.0,5235.0,5222.3,5234.55,2967
2023-12-18 06:15:00+00:00,5234.55,5237.1,5228.25,5233.75,2574
2023-12-18 06:20:00+00:00,5233.75,5237.0,5230.0,5236.65,1814
2023-12-18 06:25:00+00:00,5236.65,5237.15,5231.45,5232.2,2896
2023-12-18 06:30:00+00:00,5232.2,5237.0,5230.3,5233.5,1510
2023-12-18 06:35:00+00:00,5233.5,5235.8,5226.0,5227.75,2714
2023-12-18 06:40:00+00:00,5226.4,5235.0,5225.0,5234.25,3320
2023-12-18 06:45:00+00:00,5235.0,5239.0,5228.1,5237.0,2494
2023-12-18 06:50:00+00:00,5237.0,5237.95,5229.5,5235.15,1522
2023-12-18 06:55:00+00:00,5235.15,5237.95,5230.0,5234.0,1956
2023-12-18 07:00:00+00:00,5234.0,5237.95,5229.8,5231.0,2150
2023-12-18 07:05:00+00:00,5231.15,5238.0,5231.0,5235.9,1632
2023-12-18 07:10:00+00:00,5235.9,5237.1,5234.6,5237.0,1668
2023-12-18 07:15:00+00:00,5237.0,5237.05,5232.25,5235.0,2528
2023-12-18 07:20:00+00:00,5232.5,5237.9,5232.4,5236.6,1326
2023-12-18 07:25:00+00:00,5236.6,5238.7,5234.8,5235.8,2009
2023-12-18 07:30:00+00:00,5235.8,5238.65,5235.25,5236.95,1609
2023-12-18 07:35:00+00:00,5237.0,5237.05,5231.0,5231.7,1925
2023-12-18 07:40:00+00:00,5230.05,5237.0,5212.0,5212.0,3901
2023-12-18 07:45:00+00:00,5213.05,5220.0,5206.0,5215.2,3708
2023-12-18 07:50:00+00:00,5217.95,5220.0,5212.0,5220.0,2015
2023-12-18 07:55:00+00:00,5220.0,5228.85,5219.05,5224.8,2381
2023-12-18 08:00:00+00:00,5224.8,5227.0,5210.0,5212.7,3027
2023-12-18 08:05:00+00:00,5212.7,5217.65,5205.95,5212.0,3165
2023-12-18 08:10:00+00:00,5212.0,5218.05,5210.2,5213.5,2034
2023-12-18 08:15:00+00:00,5213.5,5215.0,5208.0,5209.5,2529
2023-12-18 08:20:00+00:00,5209.5,5216.0,5207.7,5208.35,2111
2023-12-18 08:25:00+00:00,5208.35,5214.2,5206.75,5209.15,2298
2023-12-18 08:30:00+00:00,5211.8,5213.0,5206.0,5207.65,2371
2023-12-18 08:35:00+00:00,5208.95,5216.95,5206.2,5210.95,2491
2023-12-18 08:40:00+00:00,5210.95,5211.25,5190.05,5192.95,21048
2023-12-18 08:45:00+00:00,5192.95,5200.0,5186.55,5193.75,2653
2023-12-18 08:50:00+00:00,5196.85,5199.4,5192.9,5197.9,1566
2023-12-18 08:55:00+00:00,5196.9,5201.8,5196.3,5199.95,5263
2023-12-18 09:00:00+00:00,5199.95,5200.5,5195.05,5199.85,7130
2023-12-18 09:05:00+00:00,5199.85,5200.0,5194.0,5200.0,4211
2023-12-18 09:10:00+00:00,5200.0,5200.0,5195.0,5197.95,3525
2023-12-18 09:15:00+00:00,5197.95,5200.0,5195.1,5199.95,4796
2023-12-18 09:20:00+00:00,5199.95,5200.05,5196.1,5199.9,2817
2023-12-18 09:25:00+00:00,5199.9,5200.0,5195.1,5199.85,3886
