,open,high,low,close,volume
2023-12-18 03:45:00+00:00,441.6,444.05,440.75,442.6,17243
2023-12-18 03:50:00+00:00,442.6,447.7,442.0,447.5,22577
2023-12-18 03:55:00+00:00,447.5,448.8,447.3,448.5,12849
2023-12-18 04:00:00+00:00,449.55,451.75,449.0,451.2,18140
2023-12-18 04:05:00+00:00,451.2,452.0,448.9,450.65,17933
2023-12-18 04:10:00+00:00,450.3,450.45,448.85,450.45,11988
2023-12-18 04:15:00+00:00,450.85,450.85,449.05,449.2,7111
2023-12-18 04:20:00+00:00,449.2,452.0,449.05,452.0,13194
2023-12-18 04:25:00+00:00,452.0,452.0,450.85,451.9,3445
2023-12-18 04:30:00+00:00,451.9,454.4,451.3,453.55,14261
2023-12-18 04:35:00+00:00,453.55,453.8,451.8,452.1,6929
2023-12-18 04:40:00+00:00,451.6,452.2,450.65,450.9,4226
2023-12-18 04:45:00+00:00,451.0,451.9,450.65,450.65,2251
2023-12-18 04:50:00+00:00,450.5,451.35,450.5,451.35,1056
2023-12-18 04:55:00+00:00,451.35,451.7,450.1,451.0,5019
2023-12-18 05:00:00+00:00,451.15,452.0,451.1,451.75,1753
2023-12-18 05:05:00+00:00,451.75,451.75,450.15,450.15,1464
2023-12-18 05:10:00+00:00,450.15,451.95,450.15,451.95,9487
2023-12-18 05:15:00+00:00,451.95,452.2,450.95,450.95,2590
2023-12-18 05:20:00+00:00,450.95,451.2,450.8,450.8,504
2023-12-18 05:25:00+00:00,450.8,450.8,449.65,449.75,6469
2023-12-18 05:30:00+00:00,449.75,451.3,449.75,450.9,15279
2023-12-18 05:35:00+00:00,450.9,451.5,450.4,451.4,3870
2023-12-18 05:40:00+00:00,451.45,452.55,451.05,452.0,4703
2023-12-18 05:45:00+00:00,452.0,452.65,451.2,451.8,2062
2023-12-18 05:50:00+00:00,451.8,452.2,451.0,452.2,3499
2023-12-18 05:55:00+00:00,452.2,453.1,451.7,452.1,10028
2023-12-18 06:00:00+00:00,452.1,453.0,452.1,452.65,3090
2023-12-18 06:05:00+00:00,452.55,452.55,452.1,452.55,1797
2023-12-18 06:10:00+00:00,452.55,452.95,452.15,452.5,1010
2023-12-18 06:15:00+00:00,452.55,452.8,452.3,452.75,1136
2023-12-18 06:20:00+00:00,452.75,452.75,452.0,452.5,1263
2023-12-18 06:25:00+00:00,452.5,453.8,452.2,452.2,8686
2023-12-18 06:30:00+00:00,452.7,452.8,450.75,451.5,12287
2023-12-18 06:35:00+00:00,451.5,452.6,451.3,452.55,9386
2023-12-18 06:40:00+00:00,452.55,453.15,452.4,453.15,936
2023-12-18 06:45:00+00:00,453.15,453.45,452.35,452.55,1655
2023-12-18 06:50:00+00:00,452.55,453.2,452.55,452.8,2956
2023-12-18 06:55:00+00:00,452.8,453.15,452.0,452.0,1617
