,open,high,low,close,volume
2023-12-18 03:45:00+00:00,174.05,174.05,171.05,172.9,270157
2023-12-18 03:50:00+00:00,173.0,174.5,172.4,174.25,107269
2023-12-18 03:55:00+00:00,174.4,174.75,173.8,174.25,99296
2023-12-18 04:00:00+00:00,174.25,174.7,173.55,173.65,74337
2023-12-18 04:05:00+00:00,173.8,174.2,173.65,173.9,56468
2023-12-18 04:10:00+00:00,173.8,174.35,173.8,174.05,37010
2023-12-18 04:15:00+00:00,173.95,175.1,173.9,174.4,75424
2023-12-18 04:20:00+00:00,174.5,174.5,173.3,173.85,110842
2023-12-18 04:25:00+00:00,173.85,174.0,172.7,172.95,99340
2023-12-18 04:30:00+00:00,172.9,173.35,172.9,173.0,94225
2023-12-18 04:35:00+00:00,173.0,173.0,172.7,172.9,44297
2023-12-18 04:40:00+00:00,172.9,172.95,172.8,172.95,11624
2023-12-18 04:45:00+00:00,172.95,172.95,171.75,172.0,116024
2023-12-18 04:50:00+00:00,172.0,172.0,171.65,172.0,86676
2023-12-18 04:55:00+00:00,172.0,172.0,171.75,171.9,55714
2023-12-18 05:00:00+00:00,171.9,172.0,171.8,171.9,42157
2023-12-18 05:05:00+00:00,171.9,172.25,170.7,171.25,406941
2023-12-18 05:10:00+00:00,171.25,171.25,170.3,171.0,131228
2023-12-18 05:15:00+00:00,171.0,171.15,170.9,171.0,154956
2023-12-18 05:20:00+00:00,171.0,171.1,170.6,170.75,146807
2023-12-18 05:25:00+00:00,170.7,171.0,170.65,171.0,49394
2023-12-18 05:30:00+00:00,171.0,171.05,170.85,171.0,25541
2023-12-18 05:35:00+00:00,171.0,171.0,170.9,170.9,23829
2023-12-18 05:40:00+00:00,170.95,171.0,170.75,170.95,45455
2023-12-18 05:45:00+00:00,170.95,171.1,170.9,171.0,25931
2023-12-18 05:50:00+00:00,171.0,171.15,170.85,170.95,44211
2023-12-18 05:55:00+00:00,170.95,171.0,170.85,171.0,15091
2023-12-18 06:00:00+00:00,170.9,171.0,170.9,171.0,14418
2023-12-18 06:05:00+00:00,170.95,171.05,170.9,171.0,48266
2023-12-18 06:10:00+00:00,171.0,171.3,170.95,171.3,31073
2023-12-18 06:15:00+00:00,171.3,171.95,171.3,171.85,35926
2023-12-18 06:20:00+00:00,171.85,171.85,170.7,170.9,209002
2023-12-18 06:25:00+00:00,170.9,171.0,170.75,170.75,42493
2023-12-18 06:30:00+00:00,170.85,171.0,170.75,171.0,16095
2023-12-18 06:35:00+00:00,171.0,171.0,170.85,171.0,35974
2023-12-18 06:40:00+00:00,171.0,171.0,170.85,170.9,9141
2023-12-18 06:45:00+00:00,171.0,171.0,170.9,171.0,24905
2023-12-18 06:50:00+00:00,171.0,171.0,170.9,171.0,27196
2023-12-18 06:55:00+00:00,171.0,171.0,170.9,171.0,37670
2023-12-18 07:00:00+00:00,171.0,171.0,170.4,170.5,149552
2023-12-18 07:05:00+00:00,170.5,170.5,170.0,170.5,111158
2023-12-18 07:10:00+00:00,170.5,170.5,170.3,170.3,43020
2023-12-18 07:15:00+00:00,170.4,170.5,170.3,170.35,19074
2023-12-18 07:20:00+00:00,170.35,170.4,169.9,170.0,162078
2023-12-18 07:25:00+00:00,170.0,170.0,169.9,170.0,42582
2023-12-18 07:30:00+00:00,170.0,170.0,169.8,169.9,64007
2023-12-18 07:35:00+00:00,170.0,170.0,169.7,169.9,22810
2023-12-18 07:40:00+00:00,169.9,170.0,169.75,169.8,27137
2023-12-18 07:45:00+00:00,169.8,170.0,169.8,169.85,13883
2023-12-18 07:50:00+00:00,169.85,170.0,169.85,169.9,21444
2023-12-18 07:55:00+00:00,170.0,170.1,169.75,170.0,57943
2023-12-18 08:00:00+00:00,170.0,170.0,169.8,169.9,26126
2023-12-18 08:05:00+00:00,169.9,170.0,169.75,170.0,88013
2023-12-18 08:10:00+00:00,170.0,170.0,169.85,170.0,40862
2023-12-18 08:15:00+00:00,170.0,170.0,169.75,169.9,31725
2023-12-18 08:20:00+00:00,169.9,170.0,169.8,170.0,22303
2023-12-18 08:25:00+00:00,170.0,170.0,169.75,169.9,20464
2023-12-18 08:30:00+00:00,169.85,170.0,169.75,170.0,29792
2023-12-18 08:35:00+00:00,169.95,170.0,169.9,169.95,127146
2023-12-18 08:40:00+00:00,169.95,170.0,169.8,169.95,25536
2023-12-18 08:45:00+00:00,169.95,170.0,169.8,169.95,15530
2023-12-18 08:50:00+00:00,169.95,170.0,169.75,170.0,23222
2023-12-18 08:55:00+00:00,170.0,170.0,169.75,170.0,68886
2023-12-18 09:00:00+00:00,170.0,170.0,169.8,169.9,38844
2023-12-18 09:05:00+00:00,169.9,169.95,169.75,169.75,25461
2023-12-18 09:10:00+00:00,169.8,169.8,169.7,169.7,39203
2023-12-18 09:15:00+00:00,169.75,169.8,169.55,169.7,60527
2023-12-18 09:20:00+00:00,169.7,169.8,169.2,169.3,69419
2023-12-18 09:25:00+00:00,169.15,169.7,169.0,169.7,127895
2023-12-18 09:30:00+00:00,169.7,169.85,169.5,169.85,114375
2023-12-18 09:35:00+00:00,169.85,170.2,169.75,170.1,250723
2023-12-18 09:40:00+00:00,170.25,170.35,170.0,170.05,101124
2023-12-18 09:45:00+00:00,170.0,170.15,169.85,170.0,213955
2023-12-18 09:50:00+00:00,170.0,170.2,169.9,170.1,182189
2023-12-18 09:55:00+00:00,170.1,170.35,170.0,170.25,106931
2023-12-19 03:45:00+00:00,170.0,172.0,170.0,171.8,276814
2023-12-19 03:50:00+00:00,171.7,172.5,171.1,171.25,348260
2023-12-19 03:55:00+00:00,171.25,171.25,170.5,170.75,156874
2023-12-19 04:00:00+00:00,170.7,170.75,170.15,170.25,60642
2023-12-19 04:05:00+00:00,170.25,170.25,169.4,169.75,126036
2023-12-19 04:10:00+00:00,169.65,169.8,168.75,168.9,103189
2023-12-19 04:15:00+00:00,168.9,169.15,168.45,169.0,114946
2023-12-19 04:20:00+00:00,169.0,169.2,168.5,169.05,68559
2023-12-19 04:25:00+00:00,169.05,169.2,168.8,169.15,42484
2023-12-19 04:30:00+00:00,169.15,169.3,168.85,168.9,37484
2023-12-19 04:35:00+00:00,168.75,169.0,168.25,168.5,118436
2023-12-19 04:40:00+00:00,168.5,169.4,168.4,169.3,51529
2023-12-19 04:45:00+00:00,169.1,169.45,169.0,169.3,34628
2023-12-19 04:50:00+00:00,169.3,169.5,169.05,169.2,33319
2023-12-19 04:55:00+00:00,169.2,169.3,169.0,169.1,15710
2023-12-19 05:00:00+00:00,169.05,169.35,168.8,169.35,32363
2023-12-19 05:05:00+00:00,169.3,169.5,169.15,169.15,58296
2023-12-19 05:10:00+00:00,169.15,169.35,169.05,169.35,17114
2023-12-19 05:15:00+00:00,169.25,169.5,169.25,169.4,26661
2023-12-19 05:20:00+00:00,169.4,169.5,169.2,169.4,22869
2023-12-19 05:25:00+00:00,169.2,169.5,169.2,169.35,6984
2023-12-19 05:30:00+00:00,169.3,169.5,169.3,169.35,13089
2023-12-19 05:35:00+00:00,169.35,169.5,169.2,169.35,19393
2023-12-19 05:40:00+00:00,169.35,169.45,169.25,169.45,8855
2023-12-19 05:45:00+00:00,169.45,169.55,169.25,169.3,32960
2023-12-19 05:50:00+00:00,169.3,169.55,169.25,169.4,17266
2023-12-19 05:55:00+00:00,169.4,169.45,169.0,169.3,27161
2023-12-19 06:00:00+00:00,169.2,169.45,169.1,169.3,6457
2023-12-19 06:05:00+00:00,169.35,169.55,169.25,169.4,18890
2023-12-19 06:10:00+00:00,169.4,169.5,169.35,169.45,8048
2023-12-19 06:15:00+00:00,169.45,169.5,169.4,169.45,4919
2023-12-19 06:20:00+00:00,169.45,169.55,169.35,169.45,20585
2023-12-19 06:25:00+00:00,169.4,169.5,169.3,169.4,15353
2023-12-19 06:30:00+00:00,169.3,169.55,169.25,169.35,20724
2023-12-19 06:35:00+00:00,169.3,169.65,169.25,169.45,8100
2023-12-19 06:40:00+00:00,169.45,169.5,169.2,169.35,9300
2023-12-19 06:45:00+00:00,169.35,169.45,169.15,169.45,7323
2023-12-19 06:50:00+00:00,169.3,169.5,169.3,169.45,16926
2023-12-19 06:55:00+00:00,169.4,169.5,169.35,169.4,6311
2023-12-19 07:00:00+00:00,169.45,169.5,169.3,169.35,8554
2023-12-19 07:05:00+00:00,169.4,169.5,169.35,169.5,6442
2023-12-19 07:10:00+00:00,169.5,169.5,169.35,169.4,9327
2023-12-19 07:15:00+00:00,169.4,169.45,169.2,169.2,13981
2023-12-19 07:20:00+00:00,169.2,169.5,169.15,169.45,17771
2023-12-19 07:25:00+00:00,169.45,169.5,169.3,169.35,23198
2023-12-19 07:30:00+00:00,169.35,169.5,169.15,169.25,19691
2023-12-19 07:35:00+00:00,169.25,169.4,169.2,169.2,9881
2023-12-19 07:40:00+00:00,169.35,169.45,169.25,169.45,7895
