,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2445.0,2458.05,2441.5,2452.5,32060
2023-12-18 03:50:00+00:00,2454.0,2457.0,2448.55,2450.0,20150
2023-12-18 03:55:00+00:00,2448.7,2450.1,2442.0,2442.4,15250
2023-12-18 04:00:00+00:00,2442.0,2445.95,2442.0,2443.4,21080
2023-12-18 04:05:00+00:00,2443.4,2444.0,2437.5,2440.8,8140
2023-12-18 04:10:00+00:00,2440.0,2440.85,2436.65,2437.4,5940
2023-12-18 04:15:00+00:00,2437.4,2443.1,2436.65,2443.1,7670
2023-12-18 04:20:00+00:00,2443.1,2443.1,2440.0,2440.0,5120
2023-12-18 04:25:00+00:00,2440.0,2443.1,2438.0,2438.0,76100
2023-12-18 04:30:00+00:00,2438.9,2440.0,2438.3,2439.45,25500
2023-12-18 04:35:00+00:00,2438.5,2438.5,2436.0,2436.65,4630
2023-12-18 04:40:00+00:00,2436.65,2440.0,2436.65,2440.0,5660
2023-12-18 04:45:00+00:00,2439.1,2440.0,2438.85,2439.4,2290
2023-12-18 04:50:00+00:00,2439.4,2440.0,2438.3,2439.2,5410
2023-12-18 04:55:00+00:00,2439.2,2440.0,2437.0,2438.0,5720
2023-12-18 05:00:00+00:00,2438.0,2440.0,2438.0,2439.45,3040
2023-12-18 05:05:00+00:00,2439.45,2440.0,2439.0,2439.0,5590
2023-12-18 05:10:00+00:00,2439.0,2439.0,2437.0,2437.5,7500
2023-12-18 05:15:00+00:00,2437.5,2437.7,2436.6,2437.0,5410
2023-12-18 05:20:00+00:00,2437.0,2438.15,2436.45,2437.25,2070
2023-12-18 05:25:00+00:00,2438.1,2438.1,2437.4,2437.4,1940
2023-12-18 05:30:00+00:00,2437.4,2438.0,2437.4,2437.8,2420
2023-12-18 05:35:00+00:00,2437.95,2439.0,2437.8,2438.1,3980
2023-12-18 05:40:00+00:00,2438.85,2438.85,2437.95,2438.0,2580
2023-12-18 05:45:00+00:00,2438.7,2440.0,2438.0,2438.9,2840
2023-12-18 05:50:00+00:00,2438.9,2440.0,2438.9,2439.85,3050
2023-12-18 05:55:00+00:00,2440.0,2440.4,2439.8,2439.8,4900
2023-12-18 06:00:00+00:00,2439.8,2440.75,2439.8,2440.0,3750
2023-12-18 06:05:00+00:00,2440.0,2440.9,2439.9,2440.75,2600
2023-12-18 06:10:00+00:00,2440.75,2440.9,2438.5,2438.5,3710
2023-12-18 06:15:00+00:00,2438.5,2439.6,2435.5,2435.9,4010
2023-12-18 06:20:00+00:00,2435.9,2437.4,2435.9,2436.2,2310
2023-12-18 06:25:00+00:00,2436.85,2436.85,2432.5,2432.6,9770
2023-12-18 06:30:00+00:00,2432.6,2435.45,2432.6,2434.4,2930
2023-12-18 06:35:00+00:00,2434.7,2435.0,2433.65,2433.85,3550
2023-12-18 06:40:00+00:00,2434.0,2435.0,2433.25,2435.0,8370
2023-12-18 06:45:00+00:00,2435.0,2435.5,2434.0,2434.6,8250
2023-12-18 06:50:00+00:00,2434.6,2435.4,2433.6,2435.0,9330
2023-12-18 06:55:00+00:00,2435.0,2435.0,2431.0,2431.65,7820
2023-12-18 07:00:00+00:00,2431.65,2435.0,2431.65,2434.4,1400
2023-12-18 07:05:00+00:00,2434.4,2436.0,2434.4,2434.6,4790
2023-12-18 07:10:00+00:00,2434.6,2435.0,2434.6,2435.0,3550
2023-12-18 07:15:00+00:00,2435.0,2435.95,2435.0,2435.0,2080
2023-12-18 07:20:00+00:00,2435.0,2435.0,2435.0,2435.0,2670
2023-12-18 07:25:00+00:00,2435.0,2435.7,2433.6,2434.85,3370
2023-12-18 07:30:00+00:00,2434.85,2435.0,2433.6,2434.7,1030
2023-12-18 07:35:00+00:00,2434.7,2435.0,2433.65,2434.7,1670
2023-12-18 07:40:00+00:00,2434.7,2435.0,2434.4,2434.4,2590
2023-12-18 07:45:00+00:00,2434.4,2435.0,2433.9,2434.9,1390
2023-12-18 07:50:00+00:00,2434.9,2435.1,2433.6,2433.65,3580
2023-12-18 07:55:00+00:00,2434.9,2435.35,2433.6,2434.6,2220
2023-12-18 08:00:00+00:00,2434.6,2435.0,2433.6,2435.0,2220
2023-12-18 08:05:00+00:00,2435.0,2435.0,2433.85,2434.5,3970
2023-12-18 08:10:00+00:00,2434.5,2439.7,2434.1,2438.85,7200
2023-12-18 08:15:00+00:00,2438.85,2439.2,2436.4,2437.4,4740
2023-12-18 08:20:00+00:00,2437.4,2438.2,2436.1,2437.0,2120
2023-12-18 08:25:00+00:00,2437.0,2438.0,2436.0,2437.4,3060
2023-12-18 08:30:00+00:00,2437.4,2437.4,2435.6,2436.0,3610
2023-12-18 08:35:00+00:00,2436.0,2437.4,2433.65,2435.15,11310
2023-12-18 08:40:00+00:00,2433.5,2438.0,2433.5,2437.45,14900
2023-12-18 08:45:00+00:00,2437.45,2438.0,2434.0,2434.05,20660
2023-12-18 08:50:00+00:00,2433.75,2436.7,2433.75,2435.25,10680
2023-12-18 08:55:00+00:00,2435.25,2438.5,2435.25,2437.4,4130
2023-12-18 09:00:00+00:00,2437.4,2440.85,2437.2,2439.1,9390
2023-12-18 09:05:00+00:00,2439.95,2441.25,2436.95,2437.75,12460
2023-12-18 09:10:00+00:00,2437.75,2439.75,2436.6,2436.7,10250
2023-12-18 09:15:00+00:00,2436.7,2438.5,2436.15,2436.75,3040
2023-12-18 09:20:00+00:00,2436.8,2439.6,2436.55,2439.4,6880
2023-12-18 09:25:00+00:00,2439.4,2439.4,2436.0,2437.45,6810
2023-12-18 09:30:00+00:00,2437.45,2437.9,2437.0,2437.4,8520
2023-12-18 09:35:00+00:00,2437.4,2437.95,2437.0,2437.7,24250
2023-12-18 09:40:00+00:00,2437.05,2437.5,2436.5,2436.95,10720
2023-12-18 09:45:00+00:00,2436.95,2437.65,2434.5,2434.75,20320
2023-12-18 09:50:00+00:00,2434.75,2435.0,2433.5,2435.0,19480
2023-12-18 09:55:00+00:00,2435.0,2437.7,2429.9,2429.9,40630
2023-12-19 03:45:00+00:00,2457.0,2464.7,2451.1,2461.0,59270
2023-12-19 03:50:00+00:00,2461.0,2478.0,2461.0,2478.0,51870
2023-12-19 03:55:00+00:00,2479.5,2479.5,2468.1,2474.5,31930
2023-12-19 04:00:00+00:00,2474.05,2478.0,2470.0,2477.7,30750
2023-12-19 04:05:00+00:00,2476.1,2484.2,2475.0,2484.0,51800
2023-12-19 04:10:00+00:00,2483.95,2487.65,2478.3,2480.0,52460
2023-12-19 04:15:00+00:00,2480.0,2481.5,2475.1,2475.25,21560
2023-12-19 04:20:00+00:00,2475.25,2477.0,2471.45,2476.0,32230
2023-12-19 04:25:00+00:00,2476.9,2484.6,2476.0,2483.4,15870
2023-12-19 04:30:00+00:00,2483.4,2484.55,2482.0,2482.9,10780
2023-12-19 04:35:00+00:00,2482.9,2486.5,2480.8,2485.85,25290
2023-12-19 04:40:00+00:00,2485.85,2500.0,2485.5,2499.8,69710
2023-12-19 04:45:00+00:00,2499.8,2510.35,2499.0,2505.0,83730
2023-12-19 04:50:00+00:00,2505.0,2506.6,2497.6,2500.0,74550
2023-12-19 04:55:00+00:00,2500.0,2507.0,2497.9,2498.55,89640
2023-12-19 05:00:00+00:00,2500.0,2512.5,2498.2,2512.5,63960
2023-12-19 05:05:00+00:00,2511.25,2513.0,2505.0,2513.0,39650
2023-12-19 05:10:00+00:00,2514.4,2530.3,2513.6,2528.5,119860
2023-12-19 05:15:00+00:00,2528.6,2544.5,2526.5,2536.75,122040
2023-12-19 05:20:00+00:00,2537.1,2539.85,2530.0,2533.5,51040
2023-12-19 05:25:00+00:00,2533.5,2533.5,2524.3,2526.3,47250
2023-12-19 05:30:00+00:00,2526.0,2542.5,2526.0,2542.5,69490
2023-12-19 05:35:00+00:00,2542.1,2552.5,2541.0,2547.95,109130
2023-12-19 05:40:00+00:00,2547.2,2554.8,2546.5,2554.8,68900
2023-12-19 05:45:00+00:00,2553.95,2570.5,2553.95,2562.0,166420
2023-12-19 05:50:00+00:00,2562.35,2568.0,2552.7,2567.0,86840
2023-12-19 05:55:00+00:00,2566.7,2568.9,2555.2,2558.25,75360
2023-12-19 06:00:00+00:00,2558.1,2560.25,2546.0,2547.0,89870
2023-12-19 06:05:00+00:00,2547.0,2558.0,2546.2,2549.0,66600
2023-12-19 06:10:00+00:00,2549.0,2549.9,2531.15,2531.3,112320
2023-12-19 06:15:00+00:00,2531.3,2543.0,2530.2,2532.3,67040
2023-12-19 06:20:00+00:00,2533.3,2534.3,2523.3,2532.4,86490
2023-12-19 06:25:00+00:00,2531.0,2532.4,2526.45,2530.0,34210
2023-12-19 06:30:00+00:00,2530.05,2538.9,2527.15,2536.8,34840
2023-12-19 06:35:00+00:00,2536.8,2537.1,2527.7,2532.5,40710
2023-12-19 06:40:00+00:00,2532.5,2535.0,2527.0,2529.35,52500
2023-12-19 06:45:00+00:00,2528.95,2532.25,2528.0,2531.1,11380
2023-12-19 06:50:00+00:00,2531.0,2533.6,2528.0,2533.6,20370
2023-12-19 06:55:00+00:00,2533.5,2540.0,2532.45,2539.0,39790
2023-12-19 07:00:00+00:00,2539.0,2539.0,2530.0,2532.65,17410
2023-12-19 07:05:00+00:00,2531.55,2534.4,2531.0,2531.6,15240
2023-12-19 07:10:00+00:00,2531.6,2536.55,2531.6,2536.45,20310
2023-12-19 07:15:00+00:00,2535.4,2536.45,2533.0,2534.5,11060
2023-12-19 07:20:00+00:00,2534.5,2535.8,2532.0,2533.3,12080
2023-12-19 07:25:00+00:00,2533.3,2534.1,2531.05,2532.0,11890
2023-12-19 07:30:00+00:00,2531.3,2538.0,2530.5,2536.5,26790
2023-12-19 07:35:00+00:00,2536.5,2536.5,2527.2,2532.5,51840
2023-12-19 07:40:00+00:00,2532.5,2534.9,2530.1,2531.0,21370
2023-12-19 07:45:00+00:00,2531.0,2531.7,2529.3,2529.7,24230
2023-12-19 07:50:00+00:00,2529.7,2532.0,2529.5,2531.5,24470
2023-12-19 07:55:00+00:00,2531.0,2531.9,2529.75,2531.0,17510
2023-12-19 08:00:00+00:00,2531.0,2538.0,2530.25,2535.7,41740
2023-12-19 08:05:00+00:00,2535.7,2543.0,2534.55,2542.0,30590
2023-12-19 08:10:00+00:00,2543.0,2546.65,2539.0,2540.0,32970
2023-12-19 08:15:00+00:00,2539.0,2544.7,2533.5,2534.9,29900
2023-12-19 08:20:00+00:00,2535.35,2542.5,2534.9,2540.6,15450
2023-12-19 08:25:00+00:00,2539.5,2540.8,2538.0,2539.3,10020
2023-12-19 08:30:00+00:00,2538.75,2539.6,2534.55,2537.0,20130
2023-12-19 08:35:00+00:00,2537.0,2539.8,2536.0,2539.0,26070
2023-12-19 08:40:00+00:00,2538.0,2541.1,2538.0,2541.0,22840
2023-12-19 08:45:00+00:00,2541.0,2544.0,2540.0,2542.2,31150
2023-12-19 08:50:00+00:00,2542.3,2543.0,2538.0,2538.0,20260
2023-12-19 08:55:00+00:00,2538.0,2541.0,2538.0,2539.5,22000
2023-12-19 09:00:00+00:00,2539.5,2543.0,2539.5,2541.6,21340
2023-12-19 09:05:00+00:00,2541.6,2543.6,2540.0,2542.25,40210
2023-12-19 09:10:00+00:00,2542.4,2544.0,2541.0,2542.15,33820
2023-12-19 09:15:00+00:00,2542.15,2544.85,2541.9,2543.0,25810
2023-12-19 09:20:00+00:00,2543.0,2548.9,2542.85,2548.0,47480
2023-12-19 09:25:00+00:00,2548.0,2553.75,2545.8,2552.5,54200
2023-12-19 09:30:00+00:00,2552.7,2558.35,2550.7,2552.35,68370
2023-12-19 09:35:00+00:00,2552.5,2553.0,2545.8,2549.5,54510
2023-12-19 09:40:00+00:00,2549.0,2549.4,2545.1,2546.8,50450
2023-12-19 09:45:00+00:00,2546.8,2549.3,2545.05,2546.4,72580
2023-12-19 09:50:00+00:00,2547.0,2548.9,2545.0,2547.85,53070
2023-12-19 09:55:00+00:00,2547.85,2550.0,2546.15,2549.9,42010
2023-12-20 03:45:00+00:00,2569.4,2577.85,2555.1,2562.5,135560
2023-12-20 03:50:00+00:00,2560.8,2562.8,2557.1,2561.0,53980
2023-12-20 03:55:00+00:00,2561.55,2563.0,2555.0,2556.25,25950
2023-12-20 04:00:00+00:00,2556.25,2556.5,2544.0,2546.0,46870
2023-12-20 04:05:00+00:00,2545.0,2555.0,2540.5,2552.9,34920
2023-12-20 04:10:00+00:00,2554.55,2555.0,2549.2,2555.0,29440
2023-12-20 04:15:00+00:00,2555.0,2556.05,2552.65,2555.0,10770
2023-12-20 04:20:00+00:00,2555.0,2561.0,2553.2,2556.85,18890
2023-12-20 04:25:00+00:00,2556.85,2557.55,2555.0,2555.2,7400
2023-12-20 04:30:00+00:00,2555.2,2557.0,2549.0,2550.25,15540
2023-12-20 04:35:00+00:00,2550.25,2552.5,2547.5,2551.2,10910
2023-12-20 04:40:00+00:00,2551.8,2555.0,2551.35,2554.8,9510
2023-12-20 04:45:00+00:00,2554.8,2560.4,2554.8,2557.2,15820
2023-12-20 04:50:00+00:00,2557.2,2558.9,2555.0,2557.5,7670
2023-12-20 04:55:00+00:00,2557.5,2559.0,2555.2,2555.2,6390
2023-12-20 05:00:00+00:00,2555.2,2558.75,2555.0,2556.3,8410
2023-12-20 05:05:00+00:00,2556.3,2558.5,2556.1,2558.0,8010
2023-12-20 05:10:00+00:00,2558.0,2560.4,2557.4,2559.0,15210
2023-12-20 05:15:00+00:00,2559.0,2559.0,2552.35,2553.6,13960
2023-12-20 05:20:00+00:00,2554.9,2555.0,2553.0,2553.6,5510
2023-12-20 05:25:00+00:00,2553.6,2553.6,2548.5,2551.85,18900
2023-12-20 05:30:00+00:00,2551.85,2553.05,2550.4,2550.85,7420
2023-12-20 05:35:00+00:00,2550.85,2550.9,2548.3,2549.35,5830
2023-12-20 05:40:00+00:00,2548.45,2549.75,2545.95,2546.7,13460
2023-12-20 05:45:00+00:00,2546.7,2550.0,2546.4,2546.5,10150
2023-12-20 05:50:00+00:00,2546.5,2548.45,2545.1,2545.1,13010
2023-12-20 05:55:00+00:00,2545.1,2549.2,2545.1,2546.8,9270
2023-12-20 06:00:00+00:00,2546.8,2548.0,2537.45,2539.75,50390
2023-12-20 06:05:00+00:00,2539.75,2540.1,2530.05,2536.25,33400
2023-12-20 06:10:00+00:00,2536.25,2537.5,2535.0,2535.85,13650
2023-12-20 06:15:00+00:00,2535.85,2540.5,2532.7,2534.25,26080
2023-12-20 06:20:00+00:00,2533.5,2538.3,2533.5,2537.1,9940
2023-12-20 06:25:00+00:00,2537.7,2539.9,2536.45,2539.25,10050
2023-12-20 06:30:00+00:00,2539.25,2539.6,2537.55,2539.05,5650
2023-12-20 06:35:00+00:00,2539.05,2541.25,2536.5,2536.7,9290
2023-12-20 06:40:00+00:00,2536.7,2538.0,2536.6,2537.85,4330
2023-12-20 06:45:00+00:00,2537.8,2538.0,2535.5,2536.75,8150
2023-12-20 06:50:00+00:00,2536.75,2538.0,2536.7,2536.9,4770
2023-12-20 06:55:00+00:00,2536.9,2536.9,2529.4,2529.8,25780
2023-12-20 07:00:00+00:00,2529.8,2530.95,2527.7,2529.1,17610
2023-12-20 07:05:00+00:00,2529.1,2534.6,2529.0,2532.6,9570
2023-12-20 07:10:00+00:00,2533.95,2534.2,2527.75,2532.15,38770
2023-12-20 07:15:00+00:00,2532.15,2532.15,2525.35,2526.5,28950
2023-12-20 07:20:00+00:00,2525.85,2528.9,2524.2,2528.9,20720
2023-12-20 07:25:00+00:00,2528.9,2529.0,2524.9,2528.0,15070
2023-12-20 07:30:00+00:00,2528.0,2528.5,2525.0,2526.4,5920
2023-12-20 07:35:00+00:00,2526.4,2526.4,2522.9,2522.9,9260
2023-12-20 07:40:00+00:00,2522.9,2525.45,2521.1,2521.4,10070
