,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2276.05,2320.2,2276.0,2284.4,806
2023-12-18 03:50:00+00:00,2284.4,2314.5,2284.4,2314.5,62
2023-12-18 03:55:00+00:00,2314.5,2320.0,2306.3,2311.15,598
2023-12-18 04:00:00+00:00,2311.0,2320.0,2309.1,2312.55,844
2023-12-18 04:05:00+00:00,2312.55,2331.85,2312.55,2325.0,465
2023-12-18 04:10:00+00:00,2325.0,2325.0,2316.25,2317.15,352
2023-12-18 04:15:00+00:00,2317.15,2319.0,2310.0,2319.0,274
2023-12-18 04:20:00+00:00,2319.0,2319.95,2310.3,2313.15,142
2023-12-18 04:25:00+00:00,2313.15,2319.9,2311.1,2318.0,52
2023-12-18 04:30:00+00:00,2318.0,2335.0,2314.05,2319.0,4283
2023-12-18 04:35:00+00:00,2319.0,2326.4,2316.75,2316.75,454
2023-12-18 04:40:00+00:00,2316.75,2328.0,2316.75,2321.4,267
2023-12-18 04:45:00+00:00,2321.4,2323.75,2317.2,2321.7,205
2023-12-18 04:50:00+00:00,2321.65,2321.65,2304.65,2313.6,120
2023-12-18 04:55:00+00:00,2313.6,2315.0,2307.15,2311.0,136
2023-12-18 05:00:00+00:00,2311.0,2311.0,2291.1,2300.05,276
2023-12-18 05:05:00+00:00,2300.05,2303.5,2299.85,2300.35,127
2023-12-18 05:10:00+00:00,2300.35,2302.95,2300.0,2300.35,51
2023-12-18 05:15:00+00:00,2300.35,2303.45,2300.35,2303.45,5
2023-12-18 05:20:00+00:00,2303.45,2303.45,2290.0,2292.4,200
2023-12-18 05:25:00+00:00,2292.4,2292.4,2283.95,2287.45,296
2023-12-18 05:30:00+00:00,2287.45,2291.25,2287.45,2287.45,5
2023-12-18 05:35:00+00:00,2287.45,2287.45,2266.15,2278.75,425
2023-12-18 05:40:00+00:00,2278.75,2282.75,2278.05,2278.05,70
2023-12-18 05:45:00+00:00,2278.05,2279.5,2270.0,2270.0,190
2023-12-18 05:50:00+00:00,2270.45,2283.95,2270.45,2275.85,131
2023-12-18 05:55:00+00:00,2275.85,2275.85,2275.85,2275.85,0
2023-12-18 06:00:00+00:00,2275.85,2279.25,2272.5,2272.5,34
2023-12-18 06:05:00+00:00,2268.6,2272.7,2264.05,2270.0,69
2023-12-18 06:10:00+00:00,2270.0,2273.9,2269.85,2270.4,46
2023-12-18 06:15:00+00:00,2270.4,2275.65,2269.85,2271.85,21
2023-12-18 06:20:00+00:00,2271.85,2271.85,2261.4,2261.45,85
2023-12-18 06:25:00+00:00,2261.45,2266.05,2261.45,2263.5,2
2023-12-18 06:30:00+00:00,2263.5,2267.5,2263.5,2267.5,100
2023-12-18 06:35:00+00:00,2267.5,2273.9,2266.7,2272.0,55
2023-12-18 06:40:00+00:00,2272.0,2272.0,2269.15,2271.7,21
2023-12-18 06:45:00+00:00,2271.7,2277.9,2269.05,2270.05,55
2023-12-18 06:50:00+00:00,2272.75,2272.75,2265.0,2267.0,71
2023-12-18 06:55:00+00:00,2267.0,2272.85,2267.0,2272.85,31
2023-12-18 07:00:00+00:00,2272.85,2273.0,2272.85,2273.0,6
2023-12-18 07:05:00+00:00,2273.0,2273.0,2273.0,2273.0,0
2023-12-18 07:10:00+00:00,2273.0,2273.0,2267.0,2267.0,19
2023-12-18 07:15:00+00:00,2267.0,2271.0,2267.0,2271.0,126
2023-12-18 07:20:00+00:00,2271.0,2271.0,2270.35,2270.35,2
2023-12-18 07:25:00+00:00,2270.35,2270.35,2270.35,2270.35,0
2023-12-18 07:30:00+00:00,2270.35,2271.8,2270.35,2271.8,62
2023-12-18 07:35:00+00:00,2271.8,2271.8,2267.25,2267.25,2
2023-12-18 07:40:00+00:00,2267.25,2267.55,2267.0,2267.55,142
2023-12-18 07:45:00+00:00,2267.55,2270.15,2267.55,2270.1,126
2023-12-18 07:50:00+00:00,2270.1,2270.2,2267.3,2267.3,14
2023-12-18 07:55:00+00:00,2267.3,2270.25,2267.3,2269.6,133
2023-12-18 08:00:00+00:00,2269.6,2269.6,2269.6,2269.6,0
2023-12-18 08:05:00+00:00,2269.6,2273.6,2267.25,2267.25,63
2023-12-18 08:10:00+00:00,2267.25,2267.25,2267.25,2267.25,0
2023-12-18 08:15:00+00:00,2267.25,2267.25,2267.25,2267.25,8
2023-12-18 08:20:00+00:00,2267.25,2267.25,2267.25,2267.25,0
2023-12-18 08:25:00+00:00,2267.25,2267.25,2267.25,2267.25,0
2023-12-18 08:30:00+00:00,2267.25,2270.85,2267.25,2270.0,28
2023-12-18 08:35:00+00:00,2270.0,2271.55,2270.0,2271.3,2
2023-12-18 08:40:00+00:00,2271.3,2271.3,2271.3,2271.3,0
