,open,high,low,close,volume
2023-12-18 03:45:00+00:00,352.95,352.95,349.4,349.9,110
2023-12-18 03:50:00+00:00,349.9,350.7,349.9,350.7,62
2023-12-18 03:55:00+00:00,350.25,350.65,350.0,350.0,103
2023-12-18 04:00:00+00:00,350.0,350.0,348.25,348.25,829
2023-12-18 04:05:00+00:00,348.25,350.6,348.25,350.6,162
2023-12-18 04:10:00+00:00,350.6,350.6,349.9,349.9,7
2023-12-18 04:15:00+00:00,349.1,350.15,349.1,350.15,111
2023-12-18 04:20:00+00:00,350.15,350.15,348.8,348.8,100
2023-12-18 04:25:00+00:00,348.85,349.3,348.85,349.3,104
2023-12-18 04:30:00+00:00,349.3,349.3,349.3,349.3,0
2023-12-18 04:35:00+00:00,350.0,350.15,349.3,350.15,753
2023-12-18 04:40:00+00:00,350.0,350.15,349.7,349.7,73
2023-12-18 04:45:00+00:00,349.7,350.4,349.7,350.4,20
2023-12-18 04:50:00+00:00,350.4,350.4,349.7,349.7,7
2023-12-18 04:55:00+00:00,349.7,350.15,349.7,350.15,3
2023-12-18 05:00:00+00:00,350.15,350.15,349.5,349.5,200
2023-12-18 05:05:00+00:00,349.5,350.2,349.5,350.0,3
2023-12-18 05:10:00+00:00,350.0,350.2,350.0,350.2,19
2023-12-18 05:15:00+00:00,350.2,350.2,350.2,350.2,300
2023-12-18 05:20:00+00:00,350.2,350.2,350.2,350.2,0
2023-12-18 05:25:00+00:00,350.2,350.2,350.2,350.2,0
2023-12-18 05:30:00+00:00,350.2,350.9,350.2,350.9,12
2023-12-18 05:35:00+00:00,350.9,351.0,350.9,351.0,250
2023-12-18 05:40:00+00:00,351.0,351.0,349.6,349.6,995
2023-12-18 05:45:00+00:00,349.6,350.0,349.6,350.0,145
2023-12-18 05:50:00+00:00,350.0,351.0,349.75,351.0,353
2023-12-18 05:55:00+00:00,350.95,351.0,350.95,351.0,125
2023-12-18 06:00:00+00:00,351.0,351.0,350.9,350.9,15
2023-12-18 06:05:00+00:00,350.9,350.9,350.15,350.15,2
2023-12-18 06:10:00+00:00,350.15,350.15,350.15,350.15,27
2023-12-18 06:15:00+00:00,350.15,350.15,350.0,350.0,1
2023-12-18 06:20:00+00:00,349.45,349.6,349.15,349.6,410
2023-12-18 06:25:00+00:00,349.6,349.6,349.6,349.6,0
2023-12-18 06:30:00+00:00,349.5,349.5,349.4,349.4,74
2023-12-18 06:35:00+00:00,349.4,349.55,348.0,349.55,1095
2023-12-18 06:40:00+00:00,349.55,349.55,348.7,348.7,15
2023-12-18 06:45:00+00:00,349.35,349.35,349.35,349.35,225
2023-12-18 06:50:00+00:00,349.35,349.35,349.35,349.35,30
2023-12-18 06:55:00+00:00,349.35,349.35,349.35,349.35,6
2023-12-18 07:00:00+00:00,349.35,349.35,349.35,349.35,0
2023-12-18 07:05:00+00:00,349.25,349.35,349.25,349.35,3
2023-12-18 07:10:00+00:00,349.35,349.35,348.7,348.7,189
2023-12-18 07:15:00+00:00,348.7,349.2,348.7,349.2,3
2023-12-18 07:20:00+00:00,349.0,349.2,349.0,349.1,5
2023-12-18 07:25:00+00:00,349.1,349.35,348.2,348.2,881
