,open,high,low,close,volume
2023-12-18 03:45:00+00:00,253.1,254.6,252.5,252.75,47490
2023-12-18 03:50:00+00:00,252.8,254.15,252.5,254.15,8419
2023-12-18 03:55:00+00:00,254.15,255.0,253.35,255.0,14398
2023-12-18 04:00:00+00:00,255.05,255.05,253.85,254.4,34975
2023-12-18 04:05:00+00:00,254.4,255.55,253.85,254.0,16315
2023-12-18 04:10:00+00:00,254.0,254.6,253.15,253.15,19740
2023-12-18 04:15:00+00:00,253.15,253.95,252.4,252.7,13400
2023-12-18 04:20:00+00:00,252.7,252.7,251.0,251.55,15139
2023-12-18 04:25:00+00:00,251.55,252.9,251.55,252.85,4016
2023-12-18 04:30:00+00:00,252.85,253.0,252.6,252.85,6184
2023-12-18 04:35:00+00:00,252.85,253.0,252.4,252.8,5089
2023-12-18 04:40:00+00:00,252.8,253.95,252.6,253.0,15456
2023-12-18 04:45:00+00:00,252.6,253.35,251.8,251.8,9226
2023-12-18 04:50:00+00:00,251.8,252.8,251.55,252.6,4335
2023-12-18 04:55:00+00:00,252.6,252.6,252.05,252.4,3446
2023-12-18 05:00:00+00:00,252.4,252.7,252.2,252.45,3391
2023-12-18 05:05:00+00:00,252.45,252.45,251.55,251.6,2417
2023-12-18 05:10:00+00:00,251.5,252.85,251.4,252.85,3351
2023-12-18 05:15:00+00:00,252.6,252.85,252.05,252.3,1466
2023-12-18 05:20:00+00:00,252.3,252.85,252.2,252.85,4373
2023-12-18 05:25:00+00:00,252.85,253.25,252.0,252.35,6017
2023-12-18 05:30:00+00:00,252.35,252.35,251.95,252.2,4854
2023-12-18 05:35:00+00:00,252.2,252.55,251.55,251.6,16378
2023-12-18 05:40:00+00:00,251.6,252.3,251.6,252.3,1761
2023-12-18 05:45:00+00:00,252.3,252.6,251.7,251.7,4492
2023-12-18 05:50:00+00:00,251.7,251.95,251.5,251.75,7948
2023-12-18 05:55:00+00:00,251.85,252.25,251.75,252.25,2534
2023-12-18 06:00:00+00:00,252.25,253.1,252.25,252.55,4622
2023-12-18 06:05:00+00:00,252.55,253.0,252.35,252.7,2378
2023-12-18 06:10:00+00:00,252.7,252.85,252.25,252.55,1897
2023-12-18 06:15:00+00:00,252.55,252.55,251.9,252.0,8286
2023-12-18 06:20:00+00:00,251.95,252.25,251.95,252.0,1507
2023-12-18 06:25:00+00:00,252.0,252.8,252.0,252.65,4315
2023-12-18 06:30:00+00:00,252.45,252.7,252.05,252.05,4680
2023-12-18 06:35:00+00:00,252.05,252.75,252.05,252.75,1660
2023-12-18 06:40:00+00:00,252.75,253.6,252.75,253.5,5866
2023-12-18 06:45:00+00:00,253.45,253.55,252.7,252.75,1524
2023-12-18 06:50:00+00:00,252.65,252.65,252.0,252.35,1826
