,open,high,low,close,volume
2024-08-28 03:45:00+00:00,295.0,295.0,295.0,295.0,0
2024-08-28 04:10:00+00:00,288.0,288.0,288.0,288.0,1297244
2024-08-28 04:15:00+00:00,288.0,288.0,288.0,288.0,0
2024-08-28 04:20:00+00:00,288.0,288.0,288.0,288.0,0
2024-08-28 04:25:00+00:00,288.0,288.0,288.0,288.0,0
2024-08-28 04:30:00+00:00,288.0,302.4,287.2,302.4,919931
2024-08-28 04:35:00+00:00,302.4,302.4,302.4,302.4,71461
2024-08-28 04:40:00+00:00,302.4,302.4,302.4,302.4,31294
2024-08-28 04:45:00+00:00,302.4,302.4,302.4,302.4,26284
2024-08-28 04:50:00+00:00,302.4,302.4,302.4,302.4,13281
2024-08-28 04:55:00+00:00,302.4,302.4,302.4,302.4,12544
2024-08-28 05:00:00+00:00,302.4,302.4,302.4,302.4,11007
2024-08-28 05:05:00+00:00,302.4,302.4,302.4,302.4,11429
2024-08-28 05:10:00+00:00,302.4,302.4,302.4,302.4,7568
2024-08-28 05:15:00+00:00,302.4,302.4,302.4,302.4,7681
2024-08-28 05:20:00+00:00,302.4,302.4,302.4,302.4,6206
2024-08-28 05:25:00+00:00,302.4,302.4,302.4,302.4,4710
2024-08-28 05:30:00+00:00,302.4,302.4,302.4,302.4,4644
2024-08-28 05:35:00+00:00,302.4,302.4,302.4,302.4,5511
2024-08-28 05:40:00+00:00,302.4,302.4,302.4,302.4,4039
2024-08-28 05:45:00+00:00,302.4,302.4,302.4,302.4,2749
2024-08-28 05:50:00+00:00,302.4,302.4,302.4,302.4,2237
2024-08-28 05:55:00+00:00,302.4,302.4,302.4,302.4,3747
2024-08-28 06:00:00+00:00,302.4,302.4,302.4,302.4,2236
2024-08-28 06:05:00+00:00,302.4,302.4,302.4,302.4,3205
2024-08-28 06:10:00+00:00,302.4,302.4,302.4,302.4,2245
2024-08-28 06:15:00+00:00,302.4,302.4,302.4,302.4,2307
2024-08-28 06:20:00+00:00,302.4,302.4,302.4,302.4,3214
2024-08-28 06:25:00+00:00,302.4,302.4,302.4,302.4,2624
2024-08-28 06:30:00+00:00,302.4,302.4,302.4,302.4,2482
2024-08-28 06:35:00+00:00,302.4,302.4,302.4,302.4,2591
2024-08-28 06:40:00+00:00,302.4,302.4,302.4,302.4,1590
2024-08-28 06:45:00+00:00,302.4,302.4,302.4,302.4,1577
2024-08-28 06:50:00+00:00,302.4,302.4,302.4,302.4,1248
2024-08-28 06:55:00+00:00,302.4,302.4,302.4,302.4,3053
2024-08-28 07:00:00+00:00,302.4,302.4,302.4,302.4,2120
2024-08-28 07:05:00+00:00,302.4,302.4,302.4,302.4,2499
2024-08-28 07:10:00+00:00,302.4,302.4,302.4,302.4,1316
2024-08-28 07:15:00+00:00,302.4,302.4,302.4,302.4,1203
2024-08-28 07:20:00+00:00,302.4,302.4,302.4,302.4,1671
2024-08-28 07:25:00+00:00,302.4,302.4,302.4,302.4,1881
2024-08-28 07:30:00+00:00,302.4,302.4,302.4,302.4,1364
2024-08-28 07:35:00+00:00,302.4,302.4,302.4,302.4,1427
2024-08-28 07:40:00+00:00,302.4,302.4,302.4,302.4,976
2024-08-28 07:45:00+00:00,302.4,302.4,302.4,302.4,1173
2024-08-28 07:50:00+00:00,302.4,302.4,302.4,302.4,2075
2024-08-28 07:55:00+00:00,302.4,302.4,302.4,302.4,1090
2024-08-28 08:00:00+00:00,302.4,302.4,302.4,302.4,859
2024-08-28 08:05:00+00:00,302.4,302.4,302.4,302.4,751
2024-08-28 08:10:00+00:00,302.4,302.4,302.4,302.4,777
2024-08-28 08:15:00+00:00,302.4,302.4,302.4,302.4,615
2024-08-28 08:20:00+00:00,302.4,302.4,302.4,302.4,2251
2024-08-28 08:25:00+00:00,302.4,302.4,302.4,302.4,924
2024-08-28 08:30:00+00:00,302.4,302.4,302.4,302.4,951
2024-08-28 08:35:00+00:00,302.4,302.4,302.4,302.4,784
2024-08-28 08:40:00+00:00,302.4,302.4,302.4,302.4,471
2024-08-28 08:45:00+00:00,302.4,302.4,302.4,302.4,658
2024-08-28 08:50:00+00:00,302.4,302.4,302.4,302.4,897
2024-08-28 08:55:00+00:00,302.4,302.4,302.4,302.4,700
2024-08-28 09:00:00+00:00,302.4,302.4,302.4,302.4,1814
2024-08-28 09:05:00+00:00,302.4,302.4,302.4,302.4,961
2024-08-28 09:10:00+00:00,302.4,302.4,302.4,302.4,825
2024-08-28 09:15:00+00:00,302.4,302.4,302.4,302.4,745
2024-08-28 09:20:00+00:00,302.4,302.4,302.4,302.4,1050
2024-08-28 09:25:00+00:00,302.4,302.4,302.4,302.4,778
2024-08-28 09:30:00+00:00,302.4,302.4,302.4,302.4,669
2024-08-28 09:35:00+00:00,302.4,302.4,302.4,302.4,754
