,open,high,low,close,volume
2023-12-18 03:45:00+00:00,37852.3,37899.95,37610.0,37654.15,872
2023-12-18 03:50:00+00:00,37654.15,37820.15,37654.15,37747.4,377
2023-12-18 03:55:00+00:00,37747.4,37929.9,37725.05,37878.15,565
2023-12-18 04:00:00+00:00,37878.15,37922.5,37801.35,37837.65,267
2023-12-18 04:05:00+00:00,37813.95,37929.15,37806.2,37913.4,255
2023-12-18 04:10:00+00:00,37913.4,37950.0,37872.15,37920.75,279
2023-12-18 04:15:00+00:00,37920.3,37990.0,37917.5,37983.65,512
2023-12-18 04:20:00+00:00,37983.65,38023.0,37963.6,38000.0,407
2023-12-18 04:25:00+00:00,38000.0,38053.15,37984.5,38044.45,259
2023-12-18 04:30:00+00:00,38044.45,38084.95,38031.75,38083.55,251
2023-12-18 04:35:00+00:00,38083.55,38124.55,38043.9,38106.0,831
2023-12-18 04:40:00+00:00,38107.15,38190.0,38081.8,38187.5,745
2023-12-18 04:45:00+00:00,38149.8,38186.15,38138.9,38149.0,247
2023-12-18 04:50:00+00:00,38149.0,38248.95,38148.0,38238.95,614
2023-12-18 04:55:00+00:00,38248.95,38278.4,38191.55,38200.0,496
2023-12-18 05:00:00+00:00,38190.5,38229.2,38160.2,38201.15,127
2023-12-18 05:05:00+00:00,38201.15,38350.0,38195.1,38350.0,646
2023-12-18 05:10:00+00:00,38349.95,38423.9,38205.7,38233.65,1570
2023-12-18 05:15:00+00:00,38233.65,38245.9,38140.0,38140.3,437
2023-12-18 05:20:00+00:00,38171.1,38343.85,38056.6,38308.25,896
2023-12-18 05:25:00+00:00,38308.3,38430.0,38308.3,38400.0,1133
2023-12-18 05:30:00+00:00,38400.0,38550.0,38375.4,38478.95,1297
2023-12-18 05:35:00+00:00,38478.95,38565.3,38434.9,38501.15,739
2023-12-18 05:40:00+00:00,38501.15,38549.0,38450.0,38450.0,459
2023-12-18 05:45:00+00:00,38450.0,38500.0,38366.7,38378.3,1009
2023-12-18 05:50:00+00:00,38400.0,38410.75,38268.75,38290.9,365
2023-12-18 05:55:00+00:00,38319.8,38319.9,38262.05,38284.0,128
2023-12-18 06:00:00+00:00,38284.7,38284.7,38222.35,38245.8,81
2023-12-18 06:05:00+00:00,38245.8,38290.9,38226.05,38242.55,169
2023-12-18 06:10:00+00:00,38242.55,38255.6,38215.15,38243.4,70
2023-12-18 06:15:00+00:00,38243.4,38243.4,38116.35,38144.5,257
2023-12-18 06:20:00+00:00,38120.05,38158.45,38060.0,38105.25,239
2023-12-18 06:25:00+00:00,38105.25,38165.95,38088.0,38111.9,179
2023-12-18 06:30:00+00:00,38111.9,38139.9,38076.0,38111.45,221
2023-12-18 06:35:00+00:00,38111.45,38118.55,38070.0,38114.2,158
2023-12-18 06:40:00+00:00,38090.2,38110.05,38050.7,38050.7,176
2023-12-18 06:45:00+00:00,38050.7,38184.55,38030.0,38171.15,344
2023-12-18 06:50:00+00:00,38171.15,38240.7,38136.0,38172.0,459
2023-12-18 06:55:00+00:00,38141.9,38161.75,38065.5,38103.7,140
2023-12-18 07:00:00+00:00,38103.7,38157.55,38073.5,38149.8,141
2023-12-18 07:05:00+00:00,38149.8,38196.35,38080.2,38105.3,131
2023-12-18 07:10:00+00:00,38090.1,38156.3,38090.1,38126.2,92
2023-12-18 07:15:00+00:00,38126.2,38127.0,38050.0,38111.3,136
2023-12-18 07:20:00+00:00,38111.3,38163.55,38078.65,38148.05,195
2023-12-18 07:25:00+00:00,38148.05,38172.45,38100.8,38103.65,143
2023-12-18 07:30:00+00:00,38103.65,38148.0,38077.0,38077.3,167
2023-12-18 07:35:00+00:00,38078.0,38133.15,38077.3,38109.5,131
2023-12-18 07:40:00+00:00,38109.5,38122.75,38025.3,38076.7,257
2023-12-18 07:45:00+00:00,38076.7,38092.0,38025.35,38046.85,128
2023-12-18 07:50:00+00:00,38046.85,38099.95,38025.55,38076.25,357
2023-12-18 07:55:00+00:00,38076.25,38076.25,38020.0,38038.25,179
2023-12-18 08:00:00+00:00,38038.25,38055.25,38000.05,38000.15,152
2023-12-18 08:05:00+00:00,38000.15,38049.85,38000.15,38008.4,80
2023-12-18 08:10:00+00:00,38008.4,38037.95,38003.15,38010.05,136
2023-12-18 08:15:00+00:00,38025.95,38049.85,38010.1,38030.05,76
2023-12-18 08:20:00+00:00,38030.05,38039.8,38001.0,38018.65,147
2023-12-18 08:25:00+00:00,38018.65,38049.0,38010.5,38014.95,107
2023-12-18 08:30:00+00:00,38014.95,38050.0,38014.0,38040.4,74
2023-12-18 08:35:00+00:00,38040.4,38040.4,38015.0,38015.2,93
2023-12-18 08:40:00+00:00,38015.2,38099.9,38015.15,38091.15,181
2023-12-18 08:45:00+00:00,38091.15,38122.65,38059.05,38102.05,111
2023-12-18 08:50:00+00:00,38102.05,38150.0,38008.25,38055.05,1269
2023-12-18 08:55:00+00:00,38030.0,38088.35,38013.1,38020.0,178
2023-12-18 09:00:00+00:00,38020.0,38090.0,38013.1,38022.45,109
2023-12-18 09:05:00+00:00,38022.45,38034.1,38000.0,38000.0,146
2023-12-18 09:10:00+00:00,38000.0,38053.45,37984.6,38000.0,307
2023-12-18 09:15:00+00:00,37984.65,38004.85,37953.9,37957.45,181
2023-12-18 09:20:00+00:00,37957.45,37984.3,37950.05,37980.0,124
2023-12-18 09:25:00+00:00,37980.0,37989.0,37950.05,37957.0,302
