,open,high,low,close,volume
2023-12-18 03:45:00+00:00,242.75,243.15,241.45,242.85,1260
2023-12-18 03:50:00+00:00,242.85,242.95,241.5,242.0,3145
2023-12-18 03:55:00+00:00,241.9,242.0,240.55,241.45,2554
2023-12-18 04:00:00+00:00,241.45,241.9,241.1,241.1,983
2023-12-18 04:05:00+00:00,241.1,248.2,241.1,246.85,12017
2023-12-18 04:10:00+00:00,246.85,247.25,246.0,246.15,5426
2023-12-18 04:15:00+00:00,246.15,246.6,246.15,246.15,963
2023-12-18 04:20:00+00:00,246.15,246.7,245.75,246.2,780
2023-12-18 04:25:00+00:00,246.2,246.2,243.8,243.8,3171
2023-12-18 04:30:00+00:00,243.9,244.0,243.45,243.45,323
2023-12-18 04:35:00+00:00,243.45,243.9,243.05,243.1,247
2023-12-18 04:40:00+00:00,243.1,243.5,242.55,242.85,295
2023-12-18 04:45:00+00:00,242.85,243.6,242.85,243.6,1152
2023-12-18 04:50:00+00:00,243.6,243.6,242.65,243.35,1002
2023-12-18 04:55:00+00:00,243.35,243.35,243.0,243.0,100
2023-12-18 05:00:00+00:00,243.35,243.65,243.35,243.65,285
2023-12-18 05:05:00+00:00,243.65,243.65,242.75,242.75,423
2023-12-18 05:10:00+00:00,242.75,243.6,242.75,243.55,635
2023-12-18 05:15:00+00:00,243.55,243.55,243.55,243.55,110
2023-12-18 05:20:00+00:00,243.25,243.5,243.0,243.0,256
2023-12-18 05:25:00+00:00,243.0,243.0,242.95,243.0,236
2023-12-18 05:30:00+00:00,243.0,243.0,242.35,242.35,740
2023-12-18 05:35:00+00:00,242.35,243.45,242.35,243.45,345
2023-12-18 05:40:00+00:00,243.45,243.45,242.85,243.0,823
2023-12-18 05:45:00+00:00,243.0,243.0,242.0,242.0,3788
2023-12-18 05:50:00+00:00,242.0,242.0,241.45,241.9,401
2023-12-18 05:55:00+00:00,241.9,242.5,241.1,242.05,7982
2023-12-18 06:00:00+00:00,242.05,242.05,241.8,241.8,861
2023-12-18 06:05:00+00:00,241.6,242.5,241.6,242.5,1792
2023-12-18 06:10:00+00:00,242.5,242.5,242.2,242.5,207
2023-12-18 06:15:00+00:00,242.5,243.2,242.2,243.0,939
2023-12-18 06:20:00+00:00,243.45,243.75,243.45,243.75,982
2023-12-18 06:25:00+00:00,243.75,243.75,243.0,243.0,575
2023-12-18 06:30:00+00:00,243.0,243.35,242.8,242.8,192
2023-12-18 06:35:00+00:00,242.8,242.8,242.45,242.45,444
2023-12-18 06:40:00+00:00,242.0,242.6,242.0,242.6,1102
2023-12-18 06:45:00+00:00,242.6,242.6,241.85,242.6,195
2023-12-18 06:50:00+00:00,242.6,243.2,242.4,242.6,429
2023-12-18 06:55:00+00:00,242.6,243.25,242.6,243.05,338
2023-12-18 07:00:00+00:00,243.05,243.15,242.65,243.05,293
2023-12-18 07:05:00+00:00,243.05,243.15,243.0,243.0,280
2023-12-18 07:10:00+00:00,243.0,243.2,243.0,243.2,612
2023-12-18 07:15:00+00:00,243.2,243.45,242.45,243.0,155
2023-12-18 07:20:00+00:00,242.45,242.5,242.35,242.5,92
2023-12-18 07:25:00+00:00,242.5,242.5,241.8,242.0,1497
2023-12-18 07:30:00+00:00,242.0,242.2,241.9,241.9,1359
2023-12-18 07:35:00+00:00,241.9,242.0,241.9,242.0,239
2023-12-18 07:40:00+00:00,242.2,242.2,241.5,241.5,972
2023-12-18 07:45:00+00:00,241.5,241.75,241.5,241.5,594
2023-12-18 07:50:00+00:00,241.5,241.95,241.5,241.55,96
2023-12-18 07:55:00+00:00,242.2,242.5,242.2,242.5,504
2023-12-18 08:00:00+00:00,242.5,242.5,241.95,241.95,335
2023-12-18 08:05:00+00:00,241.95,242.15,241.55,241.55,723
2023-12-18 08:10:00+00:00,241.5,241.5,241.5,241.5,3
2023-12-18 08:15:00+00:00,241.5,241.8,241.15,241.8,574
2023-12-18 08:20:00+00:00,241.8,241.8,241.8,241.8,1
2023-12-18 08:25:00+00:00,241.8,241.95,241.4,241.55,178
2023-12-18 08:30:00+00:00,241.55,242.15,241.55,242.15,213
2023-12-18 08:35:00+00:00,242.15,242.45,241.8,241.85,361
2023-12-18 08:40:00+00:00,241.85,242.2,241.75,241.75,1434
2023-12-18 08:45:00+00:00,241.75,242.1,241.75,241.75,2042
2023-12-18 08:50:00+00:00,241.75,241.75,241.75,241.75,0
2023-12-18 08:55:00+00:00,241.7,242.1,241.7,241.75,371
2023-12-18 09:00:00+00:00,241.75,242.1,241.75,242.1,90
2023-12-18 09:05:00+00:00,242.1,242.1,241.75,241.75,2362
2023-12-18 09:10:00+00:00,241.75,241.9,241.75,241.9,228
2023-12-18 09:15:00+00:00,241.9,242.3,241.85,242.0,1403
2023-12-18 09:20:00+00:00,242.0,242.2,241.5,241.7,1514
2023-12-18 09:25:00+00:00,241.7,242.1,241.5,241.5,1570
2023-12-18 09:30:00+00:00,241.95,242.45,241.1,242.45,2514
2023-12-18 09:35:00+00:00,242.45,242.45,241.95,242.0,1531
2023-12-18 09:40:00+00:00,242.0,242.0,241.95,242.0,1734
2023-12-18 09:45:00+00:00,242.0,242.0,241.1,241.45,2750
2023-12-18 09:50:00+00:00,241.45,241.45,241.3,241.3,2559
2023-12-18 09:55:00+00:00,241.2,241.2,240.55,240.55,7300
2023-12-19 03:45:00+00:00,241.75,243.0,241.75,242.25,1490
2023-12-19 03:50:00+00:00,242.25,242.8,242.25,242.8,93
2023-12-19 03:55:00+00:00,242.8,242.8,242.15,242.15,304
2023-12-19 04:00:00+00:00,242.15,242.4,241.8,242.4,1590
2023-12-19 04:05:00+00:00,242.4,242.4,240.8,241.2,637
2023-12-19 04:10:00+00:00,241.2,241.3,241.2,241.3,35
2023-12-19 04:15:00+00:00,241.3,241.5,240.8,241.5,1555
2023-12-19 04:20:00+00:00,241.5,242.3,241.35,241.35,1516
2023-12-19 04:25:00+00:00,241.35,241.65,241.3,241.3,381
2023-12-19 04:30:00+00:00,241.3,242.95,241.3,242.95,667
2023-12-19 04:35:00+00:00,242.95,245.25,241.25,244.5,7899
2023-12-19 04:40:00+00:00,244.5,245.0,243.7,243.7,3204
2023-12-19 04:45:00+00:00,243.7,243.7,242.85,242.85,2473
2023-12-19 04:50:00+00:00,242.85,243.7,242.85,243.2,1214
2023-12-19 04:55:00+00:00,243.2,243.2,242.05,242.05,466
2023-12-19 05:00:00+00:00,242.05,242.45,242.05,242.45,31
2023-12-19 05:05:00+00:00,242.45,242.45,242.25,242.25,46
2023-12-19 05:10:00+00:00,242.25,242.4,242.15,242.4,136
2023-12-19 05:15:00+00:00,242.4,242.4,241.25,242.0,1738
2023-12-19 05:20:00+00:00,242.0,242.0,241.3,241.3,0
2023-12-19 05:25:00+00:00,241.3,241.65,241.3,241.65,60
2023-12-19 05:30:00+00:00,241.65,241.7,241.25,241.7,357
2023-12-19 05:35:00+00:00,241.7,241.7,240.65,240.95,1668
2023-12-19 05:40:00+00:00,241.0,242.1,241.0,242.1,492
2023-12-19 05:45:00+00:00,242.1,242.1,241.1,241.1,204
2023-12-19 05:50:00+00:00,241.1,241.1,240.45,240.45,1286
2023-12-19 05:55:00+00:00,240.45,240.45,240.1,240.2,4188
2023-12-19 06:00:00+00:00,240.2,240.75,240.2,240.75,126
2023-12-19 06:05:00+00:00,240.75,240.75,240.75,240.75,20
2023-12-19 06:10:00+00:00,240.75,240.9,240.4,240.9,101
2023-12-19 06:15:00+00:00,240.9,241.05,240.55,241.05,165
2023-12-19 06:20:00+00:00,241.05,241.05,240.45,240.45,489
2023-12-19 06:25:00+00:00,240.5,241.0,240.5,240.9,848
2023-12-19 06:30:00+00:00,240.9,241.2,240.9,240.9,1071
2023-12-19 06:35:00+00:00,240.9,241.45,240.9,241.05,130
2023-12-19 06:40:00+00:00,241.05,241.5,241.05,241.5,91
2023-12-19 06:45:00+00:00,241.5,241.5,241.5,241.5,100
2023-12-19 06:50:00+00:00,241.5,241.5,240.85,241.15,1363
2023-12-19 06:55:00+00:00,241.15,241.2,240.9,241.2,136
2023-12-19 07:00:00+00:00,241.2,241.2,241.2,241.2,244
2023-12-19 07:05:00+00:00,241.5,241.5,241.2,241.2,86
2023-12-19 07:10:00+00:00,241.2,242.1,241.2,242.1,178
2023-12-19 07:15:00+00:00,241.7,242.05,241.7,241.75,45
2023-12-19 07:20:00+00:00,241.75,242.4,241.75,242.4,302
2023-12-19 07:25:00+00:00,242.2,242.5,241.5,241.5,807
2023-12-19 07:30:00+00:00,241.5,241.95,241.35,241.35,155
2023-12-19 07:35:00+00:00,241.35,243.5,241.35,243.15,4902
2023-12-19 07:40:00+00:00,243.2,244.5,243.2,244.45,3038
2023-12-19 07:45:00+00:00,244.45,244.85,244.3,244.5,234
2023-12-19 07:50:00+00:00,244.3,244.3,243.6,243.95,482
2023-12-19 07:55:00+00:00,243.95,243.95,243.8,243.8,353
2023-12-19 08:00:00+00:00,243.8,243.8,243.2,243.2,200
2023-12-19 08:05:00+00:00,243.2,243.2,243.05,243.05,494
2023-12-19 08:10:00+00:00,243.05,243.05,243.05,243.05,100
2023-12-19 08:15:00+00:00,243.05,243.35,243.05,243.35,3
2023-12-19 08:20:00+00:00,243.35,243.35,243.35,243.35,14
2023-12-19 08:25:00+00:00,243.35,243.35,242.2,242.2,574
2023-12-19 08:30:00+00:00,242.2,242.95,242.2,242.95,400
2023-12-19 08:35:00+00:00,242.15,242.15,241.85,241.85,454
2023-12-19 08:40:00+00:00,241.85,242.7,241.85,242.25,152
2023-12-19 08:45:00+00:00,241.95,242.5,241.85,242.5,813
2023-12-19 08:50:00+00:00,242.5,242.5,242.5,242.5,101
2023-12-19 08:55:00+00:00,242.5,242.5,242.5,242.5,0
2023-12-19 09:00:00+00:00,242.5,242.5,242.25,242.25,580
2023-12-19 09:05:00+00:00,242.25,242.25,241.65,241.65,551
2023-12-19 09:10:00+00:00,241.65,241.8,241.4,241.4,1332
2023-12-19 09:15:00+00:00,241.35,241.35,240.4,240.4,1687
2023-12-19 09:20:00+00:00,240.4,240.6,240.05,240.05,6167
2023-12-19 09:25:00+00:00,240.1,240.8,240.1,240.8,1382
2023-12-19 09:30:00+00:00,240.8,241.15,240.8,241.15,471
2023-12-19 09:35:00+00:00,241.15,241.45,241.1,241.25,215
2023-12-19 09:40:00+00:00,241.25,241.25,241.0,241.05,757
2023-12-19 09:45:00+00:00,241.0,241.25,240.1,240.1,3557
2023-12-19 09:50:00+00:00,240.35,241.5,240.0,241.5,3653
2023-12-19 09:55:00+00:00,241.5,241.5,241.0,241.0,835
2023-12-20 03:45:00+00:00,241.35,241.35,239.05,240.7,3083
2023-12-20 03:50:00+00:00,240.7,242.2,240.4,241.45,4813
2023-12-20 03:55:00+00:00,241.45,241.95,241.05,241.05,4179
2023-12-20 04:00:00+00:00,241.05,242.4,241.05,242.2,3341
2023-12-20 04:05:00+00:00,242.2,242.75,242.2,242.75,412
2023-12-20 04:10:00+00:00,242.75,242.9,242.45,242.45,1156
2023-12-20 04:15:00+00:00,243.0,243.0,241.9,241.9,743
2023-12-20 04:20:00+00:00,241.9,241.9,239.85,239.85,1691
2023-12-20 04:25:00+00:00,239.85,240.25,239.1,239.7,2252
2023-12-20 04:30:00+00:00,239.7,239.7,239.1,239.3,1095
2023-12-20 04:35:00+00:00,239.3,239.95,238.75,239.95,2679
2023-12-20 04:40:00+00:00,239.95,240.85,239.95,240.55,745
2023-12-20 04:45:00+00:00,240.55,241.0,240.55,240.7,283
2023-12-20 04:50:00+00:00,240.7,240.7,239.85,240.15,3452
2023-12-20 04:55:00+00:00,240.15,240.15,239.15,239.5,2820
2023-12-20 05:00:00+00:00,239.2,239.45,239.0,239.0,964
2023-12-20 05:05:00+00:00,239.0,239.5,238.65,239.3,2364
2023-12-20 05:10:00+00:00,239.3,239.35,238.8,239.0,3664
2023-12-20 05:15:00+00:00,239.0,239.0,238.95,238.95,174
2023-12-20 05:20:00+00:00,238.7,239.0,238.7,239.0,1297
2023-12-20 05:25:00+00:00,239.0,239.45,239.0,239.05,423
2023-12-20 05:30:00+00:00,239.05,239.2,239.05,239.2,1032
2023-12-20 05:35:00+00:00,239.35,239.45,239.35,239.45,360
2023-12-20 05:40:00+00:00,239.45,240.7,239.4,240.7,5180
2023-12-20 05:45:00+00:00,240.45,242.0,240.15,241.6,6536
2023-12-20 05:50:00+00:00,241.6,241.8,240.7,241.2,2283
2023-12-20 05:55:00+00:00,241.2,241.95,241.05,241.2,2333
2023-12-20 06:00:00+00:00,241.2,241.75,240.1,240.2,2468
2023-12-20 06:05:00+00:00,240.2,240.2,238.7,239.0,4008
2023-12-20 06:10:00+00:00,239.0,239.55,236.75,237.0,7922
2023-12-20 06:15:00+00:00,237.0,237.0,235.8,236.45,9861
2023-12-20 06:20:00+00:00,236.45,237.9,235.55,235.6,11037
2023-12-20 06:25:00+00:00,236.05,236.2,232.8,233.95,20054
2023-12-20 06:30:00+00:00,233.95,235.0,233.95,234.75,4755
2023-12-20 06:35:00+00:00,234.25,235.2,233.95,235.2,7241
2023-12-20 06:40:00+00:00,235.2,235.85,234.8,234.8,2245
2023-12-20 06:45:00+00:00,234.8,236.0,234.8,236.0,5346
2023-12-20 06:50:00+00:00,236.0,237.4,236.0,237.25,3305
2023-12-20 06:55:00+00:00,237.25,237.25,236.55,236.55,1092
2023-12-20 07:00:00+00:00,236.55,236.55,234.0,234.0,4694
2023-12-20 07:05:00+00:00,234.0,235.95,234.0,235.95,3034
2023-12-20 07:10:00+00:00,235.95,236.9,235.9,236.85,893
2023-12-20 07:15:00+00:00,236.85,237.15,235.85,236.7,2228
2023-12-20 07:20:00+00:00,236.7,237.0,236.25,236.95,1360
2023-12-20 07:25:00+00:00,237.0,237.45,236.75,237.45,4083
2023-12-20 07:30:00+00:00,236.9,237.25,236.5,236.5,732
2023-12-20 07:35:00+00:00,236.5,236.5,235.5,235.5,1700
2023-12-20 07:40:00+00:00,235.5,236.55,235.5,236.55,1999
2023-12-20 07:45:00+00:00,236.55,236.55,234.0,234.0,7911
2023-12-20 07:50:00+00:00,233.8,234.95,233.8,234.1,2941
2023-12-20 07:55:00+00:00,233.5,233.95,232.8,233.0,6482
2023-12-20 08:00:00+00:00,233.0,233.0,230.5,230.6,9152
2023-12-20 08:05:00+00:00,230.95,230.95,226.25,229.85,11266
2023-12-20 08:10:00+00:00,229.85,231.55,228.4,231.2,3696
2023-12-20 08:15:00+00:00,231.2,231.95,227.05,229.8,8778
2023-12-20 08:20:00+00:00,229.8,230.45,229.0,229.0,2187
2023-12-20 08:25:00+00:00,229.0,229.85,228.1,229.0,4534
2023-12-20 08:30:00+00:00,229.0,229.0,228.1,228.7,3637
2023-12-20 08:35:00+00:00,228.7,229.0,228.1,228.7,4093
2023-12-20 08:40:00+00:00,228.7,229.25,228.1,229.0,2764
2023-12-20 08:45:00+00:00,229.0,229.7,228.8,229.0,1737
2023-12-20 08:50:00+00:00,229.0,230.15,228.6,229.65,1557
2023-12-20 08:55:00+00:00,229.65,230.85,229.35,229.4,2200
