,open,high,low,close,volume
2023-12-18 03:45:00+00:00,169.75,170.85,167.5,170.2,19117
2023-12-18 03:50:00+00:00,170.0,170.8,169.5,170.25,13680
2023-12-18 03:55:00+00:00,170.25,170.3,169.6,170.0,2367
2023-12-18 04:00:00+00:00,170.1,170.1,168.9,169.45,5986
2023-12-18 04:05:00+00:00,169.45,169.45,168.6,168.95,2529
2023-12-18 04:10:00+00:00,168.95,169.2,168.5,169.2,1655
2023-12-18 04:15:00+00:00,169.2,169.65,168.95,169.65,2041
2023-12-18 04:20:00+00:00,169.35,169.45,168.55,168.55,5362
2023-12-18 04:25:00+00:00,168.55,168.7,167.75,167.75,2629
2023-12-18 04:30:00+00:00,167.75,168.6,167.75,168.3,3410
2023-12-18 04:35:00+00:00,168.3,168.35,167.8,168.0,3458
2023-12-18 04:40:00+00:00,168.0,168.5,167.3,168.25,3449
2023-12-18 04:45:00+00:00,168.25,168.7,168.05,168.25,1676
2023-12-18 04:50:00+00:00,168.25,170.6,168.25,170.6,10773
2023-12-18 04:55:00+00:00,170.6,170.6,169.8,170.15,4317
2023-12-18 05:00:00+00:00,170.15,170.35,169.85,170.35,1967
2023-12-18 05:05:00+00:00,170.35,170.55,170.0,170.05,5617
2023-12-18 05:10:00+00:00,170.45,170.45,170.0,170.0,780
2023-12-18 05:15:00+00:00,170.0,170.45,170.0,170.4,656
2023-12-18 05:20:00+00:00,170.4,170.4,170.0,170.0,2025
2023-12-18 05:25:00+00:00,170.0,170.0,170.0,170.0,678
2023-12-18 05:30:00+00:00,170.0,170.25,169.95,169.95,954
2023-12-18 05:35:00+00:00,170.0,170.25,169.9,169.9,264
2023-12-18 05:40:00+00:00,169.9,170.0,169.75,170.0,1515
2023-12-18 05:45:00+00:00,170.0,170.05,170.0,170.0,161
2023-12-18 05:50:00+00:00,170.0,170.05,169.55,170.0,7578
2023-12-18 05:55:00+00:00,170.0,170.0,169.7,170.0,1495
2023-12-18 06:00:00+00:00,170.1,170.1,169.8,169.8,40
2023-12-18 06:05:00+00:00,169.8,170.1,169.8,169.8,64
2023-12-18 06:10:00+00:00,169.8,170.0,169.7,170.0,622
2023-12-18 06:15:00+00:00,170.0,170.05,169.6,169.75,3777
2023-12-18 06:20:00+00:00,169.95,170.05,169.6,170.0,3510
2023-12-18 06:25:00+00:00,170.0,170.0,169.75,170.0,363
2023-12-18 06:30:00+00:00,170.0,170.1,169.75,170.05,100
2023-12-18 06:35:00+00:00,170.05,170.1,169.35,170.0,439
2023-12-18 06:40:00+00:00,170.0,170.35,169.9,170.2,2804
2023-12-18 06:45:00+00:00,170.2,170.2,169.8,169.95,536
2023-12-18 06:50:00+00:00,169.95,170.15,169.95,170.15,133
2023-12-18 06:55:00+00:00,170.15,170.15,169.8,170.0,822
2023-12-18 07:00:00+00:00,170.0,170.2,169.8,169.85,1238
2023-12-18 07:05:00+00:00,169.85,170.1,169.8,169.8,193
2023-12-18 07:10:00+00:00,169.8,170.15,169.8,170.0,614
2023-12-18 07:15:00+00:00,170.5,170.5,170.0,170.0,4240
2023-12-18 07:20:00+00:00,170.0,170.0,170.0,170.0,0
2023-12-18 07:25:00+00:00,170.0,170.4,170.0,170.35,170
2023-12-18 07:30:00+00:00,170.5,170.65,170.4,170.65,3694
2023-12-18 07:35:00+00:00,170.65,170.65,170.05,170.5,1077
2023-12-18 07:40:00+00:00,170.5,170.5,170.4,170.5,2071
2023-12-18 07:45:00+00:00,170.5,170.65,170.3,170.5,3063
2023-12-18 07:50:00+00:00,170.5,170.65,170.3,170.3,622
2023-12-18 07:55:00+00:00,170.3,170.6,170.3,170.3,546
2023-12-18 08:00:00+00:00,170.3,170.6,170.3,170.6,773
2023-12-18 08:05:00+00:00,170.6,170.65,170.3,170.5,823
2023-12-18 08:10:00+00:00,170.5,170.55,170.3,170.3,708
2023-12-18 08:15:00+00:00,170.3,170.55,170.3,170.5,681
2023-12-18 08:20:00+00:00,170.5,170.55,170.05,170.5,11943
2023-12-18 08:25:00+00:00,170.5,170.75,170.4,170.7,1451
2023-12-18 08:30:00+00:00,170.7,170.7,170.25,170.5,573
2023-12-18 08:35:00+00:00,170.5,170.5,170.3,170.5,1462
2023-12-18 08:40:00+00:00,170.5,170.6,170.25,170.3,1820
2023-12-18 08:45:00+00:00,170.55,170.7,170.25,170.5,1872
2023-12-18 08:50:00+00:00,170.5,170.7,170.25,170.5,686
2023-12-18 08:55:00+00:00,170.3,170.5,170.25,170.5,884
2023-12-18 09:00:00+00:00,170.5,170.7,170.5,170.7,613
2023-12-18 09:05:00+00:00,170.7,170.7,170.5,170.55,13573
2023-12-18 09:10:00+00:00,170.55,170.85,170.5,170.85,1703
2023-12-18 09:15:00+00:00,170.85,170.85,170.55,170.55,637
2023-12-18 09:20:00+00:00,170.55,170.55,170.5,170.5,786
2023-12-18 09:25:00+00:00,170.6,170.7,170.5,170.65,741
2023-12-18 09:30:00+00:00,170.65,170.95,170.45,170.85,7630
2023-12-18 09:35:00+00:00,170.85,170.85,170.3,170.6,3078
2023-12-18 09:40:00+00:00,170.6,170.65,170.35,170.55,3543
2023-12-18 09:45:00+00:00,170.55,170.85,170.35,170.6,6408
2023-12-18 09:50:00+00:00,170.6,170.75,170.5,170.55,4043
2023-12-18 09:55:00+00:00,169.5,170.7,168.7,170.3,15665
2023-12-19 03:45:00+00:00,172.0,172.05,169.65,169.8,10679
2023-12-19 03:50:00+00:00,169.8,170.35,169.5,170.2,12156
2023-12-19 03:55:00+00:00,169.8,169.9,169.35,169.5,6576
2023-12-19 04:00:00+00:00,169.5,169.55,169.1,169.5,1726
2023-12-19 04:05:00+00:00,168.95,169.2,168.7,168.9,6389
2023-12-19 04:10:00+00:00,168.75,168.8,167.55,167.95,8738
2023-12-19 04:15:00+00:00,167.75,168.15,167.65,168.15,2212
2023-12-19 04:20:00+00:00,167.85,168.2,167.75,168.0,3033
2023-12-19 04:25:00+00:00,168.0,168.2,168.0,168.15,1273
2023-12-19 04:30:00+00:00,168.15,168.2,167.85,167.85,2888
2023-12-19 04:35:00+00:00,167.85,167.95,167.0,167.0,4545
2023-12-19 04:40:00+00:00,167.0,167.4,166.05,167.0,17195
2023-12-19 04:45:00+00:00,166.9,166.9,164.9,166.2,33292
2023-12-19 04:50:00+00:00,166.2,166.7,165.8,165.95,5752
2023-12-19 04:55:00+00:00,165.95,166.4,165.8,165.95,2305
2023-12-19 05:00:00+00:00,165.95,166.5,165.7,166.1,2222
2023-12-19 05:05:00+00:00,166.1,166.6,166.1,166.45,1333
2023-12-19 05:10:00+00:00,166.45,166.75,166.35,166.75,858
2023-12-19 05:15:00+00:00,166.75,166.75,166.25,166.75,884
2023-12-19 05:20:00+00:00,166.5,166.75,166.5,166.75,268
2023-12-19 05:25:00+00:00,166.6,166.7,166.55,166.7,766
2023-12-19 05:30:00+00:00,166.7,166.7,166.5,166.5,570
2023-12-19 05:35:00+00:00,166.55,166.55,166.2,166.45,843
2023-12-19 05:40:00+00:00,166.45,166.45,166.2,166.2,60
2023-12-19 05:45:00+00:00,166.2,166.35,166.1,166.3,746
