,open,high,low,close,volume
2023-12-18 03:45:00+00:00,3401.0,3424.95,3400.75,3412.05,26529
2023-12-18 03:50:00+00:00,3412.45,3412.45,3384.35,3405.0,21283
2023-12-18 03:55:00+00:00,3406.0,3415.0,3404.05,3408.95,10943
2023-12-18 04:00:00+00:00,3408.95,3409.0,3400.0,3402.1,8645
2023-12-18 04:05:00+00:00,3402.0,3410.9,3402.0,3403.0,6244
2023-12-18 04:10:00+00:00,3403.0,3403.05,3397.5,3399.5,6957
2023-12-18 04:15:00+00:00,3397.55,3399.95,3386.6,3386.6,10056
2023-12-18 04:20:00+00:00,3387.15,3395.0,3386.15,3390.0,9511
2023-12-18 04:25:00+00:00,3387.0,3392.95,3380.5,3392.35,12464
2023-12-18 04:30:00+00:00,3389.4,3405.0,3389.1,3401.6,5215
2023-12-18 04:35:00+00:00,3404.1,3408.0,3400.35,3401.25,7878
2023-12-18 04:40:00+00:00,3401.5,3404.9,3398.75,3401.4,5824
2023-12-18 04:45:00+00:00,3399.05,3402.0,3396.5,3401.8,3584
2023-12-18 04:50:00+00:00,3401.8,3401.8,3395.0,3397.0,2437
2023-12-18 04:55:00+00:00,3397.0,3399.9,3393.75,3396.45,4038
2023-12-18 05:00:00+00:00,3398.0,3399.55,3393.05,3395.5,5717
2023-12-18 05:05:00+00:00,3396.0,3400.65,3395.0,3396.0,10315
2023-12-18 05:10:00+00:00,3396.0,3405.9,3396.0,3404.05,8109
2023-12-18 05:15:00+00:00,3403.1,3405.0,3400.3,3404.0,4627
2023-12-18 05:20:00+00:00,3404.0,3415.4,3402.1,3408.95,19427
2023-12-18 05:25:00+00:00,3408.95,3409.4,3402.2,3402.25,4482
2023-12-18 05:30:00+00:00,3403.25,3406.9,3400.55,3403.6,5315
2023-12-18 05:35:00+00:00,3403.6,3405.0,3400.45,3405.0,2126
2023-12-18 05:40:00+00:00,3405.0,3405.0,3401.65,3402.6,2864
2023-12-18 05:45:00+00:00,3401.5,3404.85,3400.55,3403.7,1286
2023-12-18 05:50:00+00:00,3403.7,3409.25,3402.0,3405.35,8952
2023-12-18 05:55:00+00:00,3405.35,3409.9,3405.3,3406.1,3621
2023-12-18 06:00:00+00:00,3406.1,3409.95,3406.1,3408.0,3792
2023-12-18 06:05:00+00:00,3407.8,3407.95,3401.0,3406.45,5107
2023-12-18 06:10:00+00:00,3406.45,3406.6,3404.0,3404.1,2414
2023-12-18 06:15:00+00:00,3404.1,3405.75,3402.0,3405.35,5510
2023-12-18 06:20:00+00:00,3405.35,3406.3,3402.5,3405.7,3426
2023-12-18 06:25:00+00:00,3405.7,3407.6,3401.5,3402.0,3440
2023-12-18 06:30:00+00:00,3401.0,3405.7,3400.0,3404.7,8030
2023-12-18 06:35:00+00:00,3404.7,3406.45,3404.15,3405.0,2201
2023-12-18 06:40:00+00:00,3405.0,3405.85,3401.05,3401.25,2708
2023-12-18 06:45:00+00:00,3401.25,3401.95,3400.0,3400.1,2829
2023-12-18 06:50:00+00:00,3400.85,3408.0,3400.0,3407.9,5293
2023-12-18 06:55:00+00:00,3407.9,3408.0,3405.65,3406.0,5256
2023-12-18 07:00:00+00:00,3406.0,3407.9,3406.0,3407.0,3579
2023-12-18 07:05:00+00:00,3407.0,3407.5,3406.05,3406.2,3525
2023-12-18 07:10:00+00:00,3406.2,3407.6,3405.65,3407.0,3575
2023-12-18 07:15:00+00:00,3407.0,3408.0,3406.15,3407.55,3917
2023-12-18 07:20:00+00:00,3407.55,3408.0,3406.15,3407.15,4359
2023-12-18 07:25:00+00:00,3407.15,3407.15,3399.0,3399.85,9295
2023-12-18 07:30:00+00:00,3399.85,3406.0,3393.0,3405.0,8913
2023-12-18 07:35:00+00:00,3405.0,3407.95,3403.1,3405.5,6981
2023-12-18 07:40:00+00:00,3405.5,3406.0,3405.0,3405.0,3890
2023-12-18 07:45:00+00:00,3405.0,3406.9,3404.9,3405.0,3895
2023-12-18 07:50:00+00:00,3405.0,3407.95,3405.0,3405.6,2800
2023-12-18 07:55:00+00:00,3405.6,3406.0,3404.9,3405.2,4399
2023-12-18 08:00:00+00:00,3405.2,3407.0,3405.0,3406.7,2147
2023-12-18 08:05:00+00:00,3406.7,3406.7,3402.15,3402.15,6094
2023-12-18 08:10:00+00:00,3402.15,3402.9,3398.5,3398.5,4631
2023-12-18 08:15:00+00:00,3398.45,3400.45,3397.65,3398.35,2358
2023-12-18 08:20:00+00:00,3398.35,3400.85,3396.5,3398.5,2327
2023-12-18 08:25:00+00:00,3398.5,3401.9,3398.05,3398.05,1677
2023-12-18 08:30:00+00:00,3398.05,3405.75,3398.0,3405.0,5054
2023-12-18 08:35:00+00:00,3405.0,3407.0,3404.05,3404.1,2284
2023-12-18 08:40:00+00:00,3404.1,3408.0,3404.1,3405.85,3945
2023-12-18 08:45:00+00:00,3405.85,3406.8,3405.0,3406.0,2350
2023-12-18 08:50:00+00:00,3406.0,3406.75,3402.55,3405.5,16050
2023-12-18 08:55:00+00:00,3405.5,3406.7,3403.05,3406.3,3452
2023-12-18 09:00:00+00:00,3406.3,3409.1,3403.9,3407.75,14717
2023-12-18 09:05:00+00:00,3407.75,3407.75,3404.1,3405.0,5913
2023-12-18 09:10:00+00:00,3405.0,3406.25,3402.3,3402.5,5315
2023-12-18 09:15:00+00:00,3402.5,3406.0,3401.1,3404.9,6987
2023-12-18 09:20:00+00:00,3402.65,3409.0,3402.6,3406.05,6939
2023-12-18 09:25:00+00:00,3406.95,3413.0,3406.05,3411.25,11753
2023-12-18 09:30:00+00:00,3411.25,3413.0,3411.2,3413.0,4641
2023-12-18 09:35:00+00:00,3413.0,3416.95,3411.55,3415.0,12361
2023-12-18 09:40:00+00:00,3417.0,3418.0,3412.15,3413.1,9163
2023-12-18 09:45:00+00:00,3413.1,3415.2,3410.0,3414.45,7487
2023-12-18 09:50:00+00:00,3414.6,3415.95,3412.65,3414.55,6815
2023-12-18 09:55:00+00:00,3414.55,3419.0,3412.85,3414.0,11498
2023-12-19 03:45:00+00:00,3415.0,3424.85,3409.0,3413.75,11945
2023-12-19 03:50:00+00:00,3411.35,3416.1,3405.0,3410.0,7561
2023-12-19 03:55:00+00:00,3409.0,3412.75,3402.5,3408.55,6606
2023-12-19 04:00:00+00:00,3406.6,3410.45,3404.5,3410.0,5051
2023-12-19 04:05:00+00:00,3410.0,3410.45,3402.6,3405.55,6168
2023-12-19 04:10:00+00:00,3404.1,3404.1,3395.1,3398.0,9074
2023-12-19 04:15:00+00:00,3398.0,3401.2,3392.7,3400.9,5121
