,open,high,low,close,volume
2023-12-18 06:25:00+00:00,281.45,282.05,281.45,281.45,0
2023-12-18 06:40:00+00:00,281.45,285.0,281.45,285.0,20
2023-12-18 07:10:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 07:15:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 07:20:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 07:30:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 07:40:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 07:50:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 08:10:00+00:00,282.5,282.5,282.5,282.5,16
2023-12-18 08:20:00+00:00,282.5,285.0,282.5,285.0,20
2023-12-18 08:30:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 08:35:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 09:25:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 09:30:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 09:35:00+00:00,285.0,285.0,285.0,285.0,0
2023-12-18 09:40:00+00:00,284.9,284.9,284.9,284.9,200
2023-12-18 09:45:00+00:00,284.9,289.95,284.9,289.95,20
2023-12-19 06:35:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 06:40:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 06:45:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 06:50:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 06:55:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 07:00:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 07:20:00+00:00,280.15,281.0,280.15,281.0,10
2023-12-19 07:30:00+00:00,280.15,280.15,280.15,280.15,0
2023-12-19 07:35:00+00:00,280.15,280.15,280.15,280.15,0
2023-12-19 08:05:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 08:20:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 08:30:00+00:00,280.0,280.0,280.0,280.0,0
2023-12-19 08:55:00+00:00,280.2,280.2,280.2,280.2,20
2023-12-19 09:20:00+00:00,292.95,292.95,292.95,292.95,0
2023-12-19 09:30:00+00:00,292.95,292.95,292.95,292.95,0
2023-12-19 09:40:00+00:00,292.95,292.95,292.95,292.95,0
2023-12-19 09:45:00+00:00,292.95,292.95,292.95,292.95,0
2023-12-19 09:55:00+00:00,292.95,292.95,292.95,292.95,0
2023-12-20 04:05:00+00:00,296.0,297.0,296.0,297.0,0
2023-12-20 04:10:00+00:00,297.0,297.0,297.0,297.0,35
2023-12-20 04:15:00+00:00,297.0,297.0,297.0,297.0,0
2023-12-20 04:20:00+00:00,297.0,297.0,297.0,297.0,0
2023-12-20 04:25:00+00:00,297.0,297.0,297.0,297.0,0
2023-12-20 04:30:00+00:00,297.0,297.0,297.0,297.0,0
2023-12-20 04:35:00+00:00,297.0,297.0,297.0,297.0,0
2023-12-20 05:05:00+00:00,297.0,297.0,297.0,297.0,0
2023-12-20 05:25:00+00:00,281.6,281.6,281.6,281.6,11
2023-12-20 05:30:00+00:00,281.6,281.6,281.6,281.6,0
2023-12-20 05:35:00+00:00,281.6,281.6,281.6,281.6,0
2023-12-20 05:50:00+00:00,281.6,281.6,281.6,281.6,0
2023-12-20 05:55:00+00:00,283.05,283.05,283.05,283.05,10
2023-12-20 06:00:00+00:00,283.05,283.05,283.05,283.05,0
2023-12-20 06:05:00+00:00,283.05,283.05,283.05,283.05,0
2023-12-20 06:15:00+00:00,283.05,283.05,283.05,283.05,0
2023-12-20 06:25:00+00:00,283.05,283.05,283.05,283.05,0
2023-12-20 06:30:00+00:00,283.05,283.05,283.05,283.05,0
2023-12-20 06:35:00+00:00,283.05,283.05,283.05,283.05,0
2023-12-20 06:45:00+00:00,283.05,283.05,283.05,283.05,0
2023-12-20 07:30:00+00:00,283.05,283.05,283.05,283.05,0
