,open,high,low,close,volume
2024-03-05 03:45:00+00:00,200.0,200.0,200.0,200.0,0
2024-03-05 04:10:00+00:00,225.0,225.0,225.0,225.0,145625
2024-03-05 04:15:00+00:00,225.0,225.0,225.0,225.0,0
2024-03-05 04:20:00+00:00,225.0,225.0,225.0,225.0,0
2024-03-05 04:25:00+00:00,225.0,225.0,225.0,225.0,0
2024-03-05 04:30:00+00:00,230.0,236.25,225.6,233.9,1447110
2024-03-05 04:35:00+00:00,233.85,233.95,225.0,225.15,347937
2024-03-05 04:40:00+00:00,225.1,225.5,223.0,223.0,374899
2024-03-05 04:45:00+00:00,223.0,223.5,221.0,221.5,222124
2024-03-05 04:50:00+00:00,221.05,222.0,221.0,221.6,127616
2024-03-05 04:55:00+00:00,221.6,222.0,221.05,221.5,86946
2024-03-05 05:00:00+00:00,221.5,230.0,221.5,229.9,130199
2024-03-05 05:05:00+00:00,229.0,230.0,226.0,228.0,53582
2024-03-05 05:10:00+00:00,225.1,228.0,225.0,226.0,35948
2024-03-05 05:15:00+00:00,225.1,227.0,225.1,226.9,25395
2024-03-05 05:20:00+00:00,225.8,227.0,225.0,225.0,33073
2024-03-05 05:25:00+00:00,225.85,225.85,222.0,223.0,36264
2024-03-05 05:30:00+00:00,222.25,223.0,221.5,221.65,67363
2024-03-05 05:35:00+00:00,221.65,222.0,221.2,221.5,44736
2024-03-05 05:40:00+00:00,221.5,226.05,221.5,226.05,43009
2024-03-05 05:45:00+00:00,226.0,227.5,226.0,227.0,19723
2024-03-05 05:50:00+00:00,227.0,229.0,227.0,227.0,28037
2024-03-05 05:55:00+00:00,227.0,228.0,227.0,227.15,15391
2024-03-05 06:00:00+00:00,227.15,227.7,227.0,227.35,14287
2024-03-05 06:05:00+00:00,227.35,227.9,226.45,226.45,12859
2024-03-05 06:10:00+00:00,226.45,227.0,225.0,225.05,11032
2024-03-05 06:15:00+00:00,225.0,225.1,222.0,222.05,16874
2024-03-05 06:20:00+00:00,222.05,224.95,222.05,223.0,10225
2024-03-05 06:25:00+00:00,223.0,225.0,222.7,222.7,7362
2024-03-05 06:30:00+00:00,223.0,225.0,222.15,223.0,9720
2024-03-05 06:35:00+00:00,223.0,224.0,222.2,222.85,8604
2024-03-05 06:40:00+00:00,222.5,223.0,222.0,222.0,13060
2024-03-05 06:45:00+00:00,222.1,223.0,222.0,222.0,11138
2024-03-05 06:50:00+00:00,223.0,223.0,222.0,222.0,8489
2024-03-05 06:55:00+00:00,222.1,222.95,221.55,221.75,17324
2024-03-05 07:00:00+00:00,221.75,222.0,221.5,221.5,14174
2024-03-05 07:05:00+00:00,221.5,221.95,221.2,221.25,8154
2024-03-05 07:10:00+00:00,221.25,222.0,221.2,221.8,11527
2024-03-05 07:15:00+00:00,221.8,222.0,221.2,221.35,11450
2024-03-05 07:20:00+00:00,221.5,221.95,221.1,221.1,7258
2024-03-05 07:25:00+00:00,221.1,221.5,221.05,221.35,8475
2024-03-05 07:30:00+00:00,221.2,222.5,221.1,222.2,23875
2024-03-05 07:35:00+00:00,222.15,222.9,222.1,222.4,5448
2024-03-05 07:40:00+00:00,222.4,223.0,222.0,222.0,8136
2024-03-05 07:45:00+00:00,222.0,225.0,222.0,224.8,20808
2024-03-05 07:50:00+00:00,225.0,225.0,222.0,222.1,8758
2024-03-05 07:55:00+00:00,222.1,224.0,221.55,221.55,7049
2024-03-05 08:00:00+00:00,221.55,222.0,221.5,221.6,4486
