,open,high,low,close,volume
2023-12-18 03:45:00+00:00,440.0,440.95,398.55,417.8,57542
2023-12-18 03:50:00+00:00,417.45,429.0,410.0,426.95,24214
2023-12-18 03:55:00+00:00,427.5,428.0,422.0,422.05,6824
2023-12-18 04:00:00+00:00,422.0,426.85,421.05,424.8,6751
2023-12-18 04:05:00+00:00,424.8,424.9,421.0,424.7,7226
2023-12-18 04:10:00+00:00,424.4,425.0,417.0,418.0,15432
2023-12-18 04:15:00+00:00,418.0,421.6,417.0,419.25,7093
2023-12-18 04:20:00+00:00,419.25,420.85,418.25,420.15,4179
2023-12-18 04:25:00+00:00,420.15,422.0,420.0,421.6,4486
2023-12-18 04:30:00+00:00,421.6,425.0,421.55,423.85,5042
2023-12-18 04:35:00+00:00,423.85,427.9,423.85,427.0,4497
2023-12-18 04:40:00+00:00,427.0,427.0,425.3,426.9,1906
2023-12-18 04:45:00+00:00,426.9,426.9,425.0,425.05,1442
2023-12-18 04:50:00+00:00,425.05,426.0,423.35,425.8,1601
2023-12-18 04:55:00+00:00,425.8,426.6,425.35,425.6,2921
2023-12-18 05:00:00+00:00,425.6,426.6,425.5,426.45,2317
2023-12-18 05:05:00+00:00,426.45,426.45,425.3,426.45,1331
2023-12-18 05:10:00+00:00,426.45,426.6,426.0,426.0,1662
2023-12-18 05:15:00+00:00,426.0,426.0,425.0,425.7,357
2023-12-18 05:20:00+00:00,425.7,425.95,424.05,424.05,1201
2023-12-18 05:25:00+00:00,424.05,425.8,424.0,425.4,1513
2023-12-18 05:30:00+00:00,425.4,425.4,423.8,423.8,1055
2023-12-18 05:35:00+00:00,423.8,423.95,422.0,422.0,3462
2023-12-18 05:40:00+00:00,422.0,423.0,422.0,422.5,1185
2023-12-18 05:45:00+00:00,422.0,423.95,422.0,423.95,2884
2023-12-18 05:50:00+00:00,423.1,424.7,423.1,424.1,730
2023-12-18 05:55:00+00:00,424.1,425.0,424.0,425.0,286
2023-12-18 06:00:00+00:00,425.0,425.75,424.1,424.1,599
2023-12-18 06:05:00+00:00,424.1,425.0,423.0,423.85,1297
2023-12-18 06:10:00+00:00,423.85,424.95,423.15,424.95,1244
2023-12-18 06:15:00+00:00,424.95,426.0,424.95,425.35,1573
2023-12-18 06:20:00+00:00,425.0,426.35,424.05,426.35,2461
2023-12-18 06:25:00+00:00,426.35,426.6,425.1,425.6,1460
2023-12-18 06:30:00+00:00,425.6,425.95,425.05,425.7,761
2023-12-18 06:35:00+00:00,425.7,426.0,425.05,425.6,517
2023-12-18 06:40:00+00:00,425.95,426.0,423.65,423.9,1389
2023-12-18 06:45:00+00:00,424.6,425.0,423.35,424.7,924
2023-12-18 06:50:00+00:00,424.7,425.0,424.2,424.9,1185
2023-12-18 06:55:00+00:00,424.9,424.9,423.4,423.6,1301
2023-12-18 07:00:00+00:00,423.6,424.95,423.6,424.95,706
2023-12-18 07:05:00+00:00,424.95,424.95,423.7,424.65,1094
2023-12-18 07:10:00+00:00,424.65,424.95,423.8,424.45,275
2023-12-18 07:15:00+00:00,424.45,424.95,423.75,424.85,783
2023-12-18 07:20:00+00:00,424.85,426.0,424.85,426.0,2500
2023-12-18 07:25:00+00:00,426.0,426.0,425.35,426.0,908
2023-12-18 07:30:00+00:00,426.0,426.0,425.2,426.0,433
2023-12-18 07:35:00+00:00,426.0,426.0,425.0,425.65,901
2023-12-18 07:40:00+00:00,425.65,425.95,425.0,425.0,309
2023-12-18 07:45:00+00:00,425.0,425.25,424.2,425.25,2698
2023-12-18 07:50:00+00:00,425.25,426.0,425.05,426.0,232
2023-12-18 07:55:00+00:00,426.0,426.0,425.0,425.0,123
2023-12-18 08:00:00+00:00,425.0,425.5,424.0,425.1,847
2023-12-18 08:05:00+00:00,425.45,425.5,425.1,425.45,520
2023-12-18 08:10:00+00:00,425.45,425.45,424.0,424.6,338
2023-12-18 08:15:00+00:00,424.6,424.9,424.0,424.9,407
2023-12-18 08:20:00+00:00,424.9,424.9,423.75,424.65,360
2023-12-18 08:25:00+00:00,424.65,424.95,424.15,424.9,280
2023-12-18 08:30:00+00:00,424.95,426.0,424.95,426.0,1772
2023-12-18 08:35:00+00:00,425.05,426.0,425.05,425.5,315
2023-12-18 08:40:00+00:00,425.5,426.55,425.2,426.15,1117
2023-12-18 08:45:00+00:00,426.15,426.25,424.0,424.0,1516
2023-12-18 08:50:00+00:00,424.0,425.85,424.0,425.85,2235
2023-12-18 08:55:00+00:00,425.85,426.05,425.5,425.5,511
2023-12-18 09:00:00+00:00,425.9,426.55,425.5,426.0,1363
2023-12-18 09:05:00+00:00,426.0,426.3,425.35,425.45,319
2023-12-18 09:10:00+00:00,426.0,426.0,425.05,425.35,385
2023-12-18 09:15:00+00:00,425.35,426.0,425.0,425.6,638
2023-12-18 09:20:00+00:00,425.6,425.85,424.5,425.5,4872
2023-12-18 09:25:00+00:00,425.5,425.85,424.1,425.35,914
