,open,high,low,close,volume
2023-12-18 03:45:00+00:00,125.9,126.55,124.25,125.05,219967
2023-12-18 03:50:00+00:00,125.05,126.65,125.05,126.65,175967
2023-12-18 03:55:00+00:00,126.5,127.0,126.35,126.9,104402
2023-12-18 04:00:00+00:00,126.7,126.9,126.35,126.55,107646
2023-12-18 04:05:00+00:00,126.55,127.1,126.5,126.85,58235
2023-12-18 04:10:00+00:00,126.75,126.9,126.35,126.65,50385
2023-12-18 04:15:00+00:00,126.65,126.95,126.6,126.65,35858
2023-12-18 04:20:00+00:00,126.65,126.75,126.4,126.75,58026
2023-12-18 04:25:00+00:00,126.75,127.3,126.5,127.1,79758
2023-12-18 04:30:00+00:00,127.2,128.95,127.1,127.95,430342
2023-12-18 04:35:00+00:00,127.8,128.0,127.35,127.5,83570
2023-12-18 04:40:00+00:00,127.5,127.7,127.35,127.65,61276
2023-12-18 04:45:00+00:00,127.45,127.5,127.25,127.4,46491
2023-12-18 04:50:00+00:00,127.3,127.45,127.15,127.15,22349
2023-12-18 04:55:00+00:00,127.15,127.35,127.1,127.2,21006
2023-12-18 05:00:00+00:00,127.2,127.4,127.05,127.3,19923
2023-12-18 05:05:00+00:00,127.3,127.4,127.15,127.25,14713
2023-12-18 05:10:00+00:00,127.25,127.4,127.05,127.3,13891
2023-12-18 05:15:00+00:00,127.3,127.45,127.25,127.45,13924
2023-12-18 05:20:00+00:00,127.45,127.45,127.0,127.15,11811
2023-12-18 05:25:00+00:00,127.15,127.2,127.0,127.05,13901
2023-12-18 05:30:00+00:00,127.05,127.3,127.0,127.2,21328
2023-12-18 05:35:00+00:00,127.2,127.25,127.0,127.0,35984
2023-12-18 05:40:00+00:00,127.0,127.1,127.0,127.0,4667
2023-12-18 05:45:00+00:00,127.0,127.15,127.0,127.05,6809
2023-12-18 05:50:00+00:00,127.1,127.15,127.0,127.0,62965
2023-12-18 05:55:00+00:00,127.0,127.25,127.0,127.1,56495
2023-12-18 06:00:00+00:00,127.05,127.05,126.45,126.55,43436
2023-12-18 06:05:00+00:00,126.55,126.75,126.5,126.7,7494
2023-12-18 06:10:00+00:00,126.7,126.85,126.4,126.5,106633
2023-12-18 06:15:00+00:00,126.5,126.65,126.45,126.5,99782
2023-12-18 06:20:00+00:00,126.5,126.6,126.35,126.5,115847
2023-12-18 06:25:00+00:00,126.5,126.5,125.85,125.95,213600
2023-12-18 06:30:00+00:00,125.95,126.15,125.9,125.95,105628
2023-12-18 06:35:00+00:00,125.95,126.0,125.75,125.9,53412
2023-12-18 06:40:00+00:00,125.9,126.0,125.85,125.95,29665
2023-12-18 06:45:00+00:00,125.95,126.1,125.85,126.0,64925
2023-12-18 06:50:00+00:00,126.0,126.0,125.85,126.0,16480
2023-12-18 06:55:00+00:00,126.0,126.0,125.9,125.9,8089
2023-12-18 07:00:00+00:00,125.9,126.05,125.85,126.0,32938
2023-12-18 07:05:00+00:00,125.95,126.0,125.75,126.0,183129
2023-12-18 07:10:00+00:00,126.0,126.15,125.9,126.1,97393
2023-12-18 07:15:00+00:00,126.1,126.35,126.0,126.35,11046
2023-12-18 07:20:00+00:00,126.35,126.35,125.9,126.0,34587
2023-12-18 07:25:00+00:00,126.0,126.1,125.95,126.0,6954
2023-12-18 07:30:00+00:00,126.0,126.1,125.95,126.05,3455
2023-12-18 07:35:00+00:00,126.1,126.1,125.95,126.1,31047
2023-12-18 07:40:00+00:00,126.1,126.1,126.0,126.05,5062
2023-12-18 07:45:00+00:00,126.0,126.2,126.0,126.0,19316
2023-12-18 07:50:00+00:00,126.0,126.25,125.65,125.95,560347
2023-12-18 07:55:00+00:00,125.95,126.2,125.85,126.1,41898
2023-12-18 08:00:00+00:00,126.1,126.2,126.0,126.0,3640
2023-12-18 08:05:00+00:00,126.0,126.3,126.0,126.15,2276
2023-12-18 08:10:00+00:00,126.15,126.2,126.05,126.05,5811
2023-12-18 08:15:00+00:00,126.05,126.3,126.05,126.2,10163
2023-12-18 08:20:00+00:00,126.2,126.75,126.15,126.75,43372
2023-12-18 08:25:00+00:00,126.75,127.0,126.65,126.9,31958
2023-12-18 08:30:00+00:00,126.9,127.15,126.9,127.0,29824
2023-12-18 08:35:00+00:00,127.0,127.1,127.0,127.0,21025
2023-12-18 08:40:00+00:00,127.0,127.1,127.0,127.0,11211
2023-12-18 08:45:00+00:00,127.0,127.1,127.0,127.0,9896
2023-12-18 08:50:00+00:00,127.0,127.1,126.7,127.0,48238
2023-12-18 08:55:00+00:00,127.0,127.1,127.0,127.0,18627
2023-12-18 09:00:00+00:00,127.0,127.15,127.0,127.05,27764
2023-12-18 09:05:00+00:00,127.05,127.2,126.9,127.0,29122
2023-12-18 09:10:00+00:00,126.95,127.0,126.55,126.85,68247
2023-12-18 09:15:00+00:00,126.8,126.95,126.75,126.9,28364
2023-12-18 09:20:00+00:00,126.8,126.9,126.7,126.8,28257
2023-12-18 09:25:00+00:00,126.8,126.85,126.6,126.7,29834
2023-12-18 09:30:00+00:00,126.75,126.75,126.5,126.7,64829
2023-12-18 09:35:00+00:00,126.7,126.75,126.5,126.75,57294
2023-12-18 09:40:00+00:00,126.75,126.75,126.5,126.7,53481
2023-12-18 09:45:00+00:00,126.65,126.75,126.5,126.6,70449
2023-12-18 09:50:00+00:00,126.5,126.95,126.5,126.9,78120
2023-12-18 09:55:00+00:00,126.9,126.9,126.5,126.6,120923
2023-12-19 03:45:00+00:00,128.0,128.8,127.0,127.85,263339
2023-12-19 03:50:00+00:00,127.95,128.0,127.45,127.6,108930
2023-12-19 03:55:00+00:00,127.4,127.95,127.3,127.95,44231
2023-12-19 04:00:00+00:00,127.9,128.45,127.75,128.3,110499
2023-12-19 04:05:00+00:00,128.25,128.5,127.55,128.1,143610
2023-12-19 04:10:00+00:00,128.25,128.95,128.0,128.15,167873
2023-12-19 04:15:00+00:00,128.05,128.15,127.9,128.0,69323
2023-12-19 04:20:00+00:00,128.05,128.2,127.95,128.0,98172
2023-12-19 04:25:00+00:00,128.0,128.8,127.95,128.7,214636
2023-12-19 04:30:00+00:00,128.7,129.15,128.55,128.6,200076
2023-12-19 04:35:00+00:00,128.6,128.7,127.9,127.9,180178
2023-12-19 04:40:00+00:00,127.9,128.15,127.65,127.8,79961
2023-12-19 04:45:00+00:00,127.8,127.95,127.55,127.85,99242
2023-12-19 04:50:00+00:00,127.85,127.95,127.65,127.65,29327
2023-12-19 04:55:00+00:00,127.65,127.7,127.45,127.55,29619
2023-12-19 05:00:00+00:00,127.55,127.9,127.55,127.85,24412
2023-12-19 05:05:00+00:00,127.85,128.1,127.8,128.0,30757
2023-12-19 05:10:00+00:00,128.05,128.45,127.95,128.25,97997
2023-12-19 05:15:00+00:00,128.3,128.7,128.1,128.65,62977
2023-12-19 05:20:00+00:00,128.65,128.75,128.4,128.65,67000
2023-12-19 05:25:00+00:00,128.6,129.5,128.6,129.4,329235
2023-12-19 05:30:00+00:00,129.45,130.25,129.15,130.0,526126
2023-12-19 05:35:00+00:00,129.9,129.9,129.55,129.7,97359
2023-12-19 05:40:00+00:00,129.75,130.1,129.6,129.7,128488
2023-12-19 05:45:00+00:00,129.7,130.05,129.4,129.4,156421
2023-12-19 05:50:00+00:00,129.4,130.15,129.4,130.0,118155
2023-12-19 05:55:00+00:00,129.9,132.2,129.9,131.8,1188804
2023-12-19 06:00:00+00:00,131.8,132.35,131.4,131.5,550708
2023-12-19 06:05:00+00:00,131.5,132.15,131.1,131.3,292400
2023-12-19 06:10:00+00:00,131.3,131.6,131.0,131.15,202219
2023-12-19 06:15:00+00:00,131.15,131.4,130.8,131.1,186233
2023-12-19 06:20:00+00:00,131.1,131.1,130.5,130.6,108030
2023-12-19 06:25:00+00:00,130.55,130.7,129.75,130.0,234589
2023-12-19 06:30:00+00:00,130.0,130.15,129.7,129.9,128663
2023-12-19 06:35:00+00:00,129.9,130.0,129.65,129.85,59460
2023-12-19 06:40:00+00:00,129.85,130.1,129.8,130.0,67521
2023-12-19 06:45:00+00:00,130.0,130.65,129.95,130.55,81677
2023-12-19 06:50:00+00:00,130.6,130.8,130.5,130.6,47185
2023-12-19 06:55:00+00:00,130.6,130.6,130.3,130.45,50253
2023-12-19 07:00:00+00:00,130.45,130.5,130.3,130.4,23537
2023-12-19 07:05:00+00:00,130.4,130.45,130.15,130.45,42269
2023-12-19 07:10:00+00:00,130.45,130.45,130.2,130.25,38019
2023-12-19 07:15:00+00:00,130.25,130.25,130.0,130.1,39809
2023-12-19 07:20:00+00:00,130.05,130.1,129.75,129.9,57295
2023-12-19 07:25:00+00:00,129.9,130.1,129.85,129.9,34486
2023-12-19 07:30:00+00:00,129.9,130.0,129.6,129.8,128080
2023-12-19 07:35:00+00:00,129.8,129.8,129.6,129.65,13751
2023-12-19 07:40:00+00:00,129.75,129.75,129.5,129.7,83053
2023-12-19 07:45:00+00:00,129.7,129.75,129.55,129.65,17805
2023-12-19 07:50:00+00:00,129.65,129.7,129.5,129.55,25166
2023-12-19 07:55:00+00:00,129.6,130.25,129.45,130.15,130849
2023-12-19 08:00:00+00:00,130.15,130.25,130.1,130.15,16684
2023-12-19 08:05:00+00:00,130.15,130.2,130.0,130.15,22812
2023-12-19 08:10:00+00:00,130.15,130.15,129.9,129.95,17828
2023-12-19 08:15:00+00:00,129.95,130.0,129.75,129.9,15952
2023-12-19 08:20:00+00:00,129.9,130.15,129.8,130.05,40469
2023-12-19 08:25:00+00:00,130.15,130.15,129.85,129.9,26288
2023-12-19 08:30:00+00:00,129.9,130.0,129.8,129.95,14731
2023-12-19 08:35:00+00:00,129.95,130.1,129.85,130.0,24884
2023-12-19 08:40:00+00:00,130.0,130.1,129.9,129.95,17828
2023-12-19 08:45:00+00:00,130.0,130.05,129.85,129.95,15977
2023-12-19 08:50:00+00:00,129.95,130.0,129.85,129.95,10356
2023-12-19 08:55:00+00:00,129.95,129.95,129.8,129.8,5768
2023-12-19 09:00:00+00:00,129.8,130.0,129.75,129.8,25467
