,open,high,low,close,volume
2023-12-18 03:45:00+00:00,279.85,281.75,279.85,281.75,157
2023-12-18 03:50:00+00:00,281.75,281.75,281.75,281.75,0
2023-12-18 03:55:00+00:00,281.75,281.75,281.75,281.75,0
2023-12-18 04:00:00+00:00,281.75,281.75,280.0,280.9,3435
2023-12-18 04:05:00+00:00,280.9,280.9,280.9,280.9,0
2023-12-18 04:10:00+00:00,280.9,281.0,280.0,280.25,175
2023-12-18 04:15:00+00:00,280.25,280.6,280.25,280.6,2
2023-12-18 04:20:00+00:00,280.6,280.95,280.05,280.45,93
2023-12-18 04:25:00+00:00,280.45,280.45,280.45,280.45,0
2023-12-18 04:30:00+00:00,280.45,280.45,280.45,280.45,0
2023-12-18 04:35:00+00:00,280.45,280.45,280.0,280.0,346
2023-12-18 04:40:00+00:00,280.0,280.0,280.0,280.0,450
2023-12-18 04:45:00+00:00,280.0,280.8,280.0,280.0,23
2023-12-18 04:50:00+00:00,280.0,280.8,280.0,280.15,11
2023-12-18 04:55:00+00:00,280.15,280.15,280.15,280.15,0
2023-12-18 05:00:00+00:00,280.15,280.15,280.0,280.0,300
2023-12-18 05:05:00+00:00,280.0,280.0,280.0,280.0,100
2023-12-18 05:10:00+00:00,280.0,280.95,280.0,280.95,100
2023-12-18 05:15:00+00:00,280.95,281.0,280.35,280.35,0
2023-12-18 05:20:00+00:00,280.35,280.35,280.35,280.35,0
2023-12-18 05:25:00+00:00,280.35,280.35,280.35,280.35,0
2023-12-18 05:30:00+00:00,280.35,280.35,280.35,280.35,0
2023-12-18 05:35:00+00:00,280.35,281.0,280.2,280.2,121
2023-12-18 05:40:00+00:00,280.2,280.2,280.2,280.2,0
2023-12-18 05:45:00+00:00,280.2,280.2,280.2,280.2,0
2023-12-18 05:50:00+00:00,280.2,280.25,280.2,280.25,1
2023-12-18 05:55:00+00:00,280.25,280.25,280.25,280.25,17
2023-12-18 06:00:00+00:00,280.25,280.25,280.25,280.25,25
2023-12-18 06:05:00+00:00,280.25,280.25,280.25,280.25,6
2023-12-18 06:10:00+00:00,280.25,281.0,280.25,281.0,17
2023-12-18 06:15:00+00:00,281.0,281.0,280.85,280.85,3
