,open,high,low,close,volume
2023-12-18 03:45:00+00:00,6295.0,6295.0,6101.55,6165.3,463
2023-12-18 03:50:00+00:00,6165.3,6173.95,6138.05,6166.55,139
2023-12-18 03:55:00+00:00,6166.55,6197.75,6166.55,6180.05,170
2023-12-18 04:00:00+00:00,6180.05,6188.65,6111.2,6135.1,114
2023-12-18 04:05:00+00:00,6135.1,6164.65,6072.5,6072.5,359
2023-12-18 04:10:00+00:00,6072.5,6147.0,6066.05,6130.0,319
2023-12-18 04:15:00+00:00,6130.0,6159.0,6119.8,6145.1,149
2023-12-18 04:20:00+00:00,6145.1,6147.35,6128.0,6141.25,14
2023-12-18 04:25:00+00:00,6141.25,6141.25,6105.0,6105.0,30
2023-12-18 04:30:00+00:00,6105.0,6129.1,6105.0,6128.45,3
2023-12-18 04:35:00+00:00,6124.95,6131.15,6104.25,6120.0,143
2023-12-18 04:40:00+00:00,6104.25,6104.25,6102.7,6102.7,2
2023-12-18 04:45:00+00:00,6125.45,6130.15,6117.5,6130.15,4
2023-12-18 04:50:00+00:00,6130.15,6134.05,6114.05,6114.05,124
2023-12-18 04:55:00+00:00,6114.05,6134.0,6114.05,6121.95,57
2023-12-18 05:00:00+00:00,6121.95,6134.0,6121.95,6134.0,25
2023-12-18 05:05:00+00:00,6134.0,6134.0,6116.5,6130.45,20
2023-12-18 05:10:00+00:00,6130.45,6137.5,6130.45,6137.0,69
2023-12-18 05:15:00+00:00,6137.0,6137.0,6118.85,6118.85,7
2023-12-18 05:20:00+00:00,6118.85,6126.3,6118.0,6118.0,9
2023-12-18 05:25:00+00:00,6118.0,6128.3,6118.0,6128.3,1
2023-12-18 05:30:00+00:00,6128.3,6135.45,6118.5,6118.5,67
2023-12-18 05:35:00+00:00,6118.5,6118.5,6108.1,6108.1,50
2023-12-18 05:40:00+00:00,6108.1,6120.3,6108.1,6120.3,15
2023-12-18 05:45:00+00:00,6120.3,6129.0,6120.3,6125.95,41
2023-12-18 05:50:00+00:00,6125.95,6126.05,6122.8,6126.05,12
2023-12-18 05:55:00+00:00,6126.05,6126.05,6126.05,6126.05,0
2023-12-18 06:00:00+00:00,6126.05,6126.05,6120.0,6120.0,14
2023-12-18 06:05:00+00:00,6120.0,6120.0,6048.8,6085.4,760
2023-12-18 06:10:00+00:00,6085.4,6088.85,6073.2,6088.85,19
2023-12-18 06:15:00+00:00,6088.85,6089.0,6087.0,6087.0,35
2023-12-18 06:20:00+00:00,6090.0,6090.0,6075.0,6083.95,43
2023-12-18 06:25:00+00:00,6083.95,6083.95,6069.0,6076.6,15
2023-12-18 06:30:00+00:00,6076.6,6089.75,6076.6,6089.75,2
2023-12-18 06:35:00+00:00,6089.75,6103.95,6085.0,6085.0,167
2023-12-18 06:40:00+00:00,6085.0,6100.0,6083.3,6100.0,136
2023-12-18 06:45:00+00:00,6100.0,6100.0,6088.55,6088.55,1
2023-12-18 06:50:00+00:00,6088.55,6088.55,6077.3,6082.85,28
2023-12-18 06:55:00+00:00,6082.85,6085.0,6082.2,6085.0,29
2023-12-18 07:00:00+00:00,6085.0,6085.0,6072.95,6072.95,6
2023-12-18 07:05:00+00:00,6072.95,6072.95,6072.95,6072.95,25
2023-12-18 07:10:00+00:00,6072.95,6089.95,6072.95,6073.3,26
2023-12-18 07:15:00+00:00,6073.3,6090.3,6054.1,6075.6,81
2023-12-18 07:20:00+00:00,6075.6,6080.0,6075.6,6075.6,25
2023-12-18 07:25:00+00:00,6075.6,6075.6,6066.0,6069.55,15
2023-12-18 07:30:00+00:00,6069.55,6077.7,6067.7,6075.0,16
2023-12-18 07:35:00+00:00,6075.0,6075.0,6056.2,6056.2,20
2023-12-18 07:40:00+00:00,6056.2,6071.85,6045.0,6046.0,237
2023-12-18 07:45:00+00:00,6046.0,6046.0,6036.05,6041.0,71
2023-12-18 07:50:00+00:00,6041.0,6050.05,6012.0,6012.05,158
2023-12-18 07:55:00+00:00,6016.3,6070.05,6016.3,6066.35,329
2023-12-18 08:00:00+00:00,6066.35,6076.0,6064.7,6064.7,3
2023-12-18 08:05:00+00:00,6064.7,6065.95,6064.7,6065.95,0
2023-12-18 08:10:00+00:00,6065.95,6074.7,6065.95,6074.7,10
2023-12-18 08:15:00+00:00,6074.7,6082.85,6074.7,6082.85,2
2023-12-18 08:20:00+00:00,6082.85,6082.85,6075.0,6075.0,1
2023-12-18 08:25:00+00:00,6075.0,6081.05,6075.0,6081.0,1
2023-12-18 08:30:00+00:00,6081.0,6087.5,6055.0,6087.0,189
2023-12-18 08:35:00+00:00,6087.0,6087.0,6087.0,6087.0,0
2023-12-18 08:40:00+00:00,6087.0,6087.0,6068.45,6076.9,30
2023-12-18 08:45:00+00:00,6076.9,6076.9,6076.9,6076.9,0
2023-12-18 08:50:00+00:00,6076.9,6076.9,6055.0,6059.4,36
2023-12-18 08:55:00+00:00,6059.4,6059.75,6055.0,6059.6,92
2023-12-18 09:00:00+00:00,6059.6,6069.4,6056.75,6060.05,36
2023-12-18 09:05:00+00:00,6060.05,6070.85,6060.05,6070.85,1
2023-12-18 09:10:00+00:00,6070.85,6070.85,6070.85,6070.85,0
2023-12-18 09:15:00+00:00,6070.85,6070.85,6068.2,6068.2,3
2023-12-18 09:20:00+00:00,6068.2,6068.2,6066.7,6066.7,12
2023-12-18 09:25:00+00:00,6066.7,6066.7,6066.7,6066.7,0
2023-12-18 09:30:00+00:00,6066.7,6071.1,6061.0,6069.45,54
2023-12-18 09:35:00+00:00,6069.45,6070.85,6069.45,6070.8,63
2023-12-18 09:40:00+00:00,6076.9,6076.9,6010.0,6059.7,262
2023-12-18 09:45:00+00:00,6059.9,6087.0,6035.7,6079.6,171
2023-12-18 09:50:00+00:00,6079.6,6079.6,6055.0,6078.9,21
2023-12-18 09:55:00+00:00,6078.9,6087.0,6055.6,6087.0,195
2023-12-19 03:45:00+00:00,6051.05,6115.95,6042.9,6089.4,201
2023-12-19 03:50:00+00:00,6089.4,6089.8,6060.6,6067.0,34
2023-12-19 03:55:00+00:00,6067.0,6071.35,6055.85,6055.85,8
2023-12-19 04:00:00+00:00,6055.85,6055.85,6041.2,6041.2,3
2023-12-19 04:05:00+00:00,6041.2,6056.6,6041.2,6055.0,6
2023-12-19 04:10:00+00:00,6055.0,6064.85,6015.0,6015.0,84
2023-12-19 04:15:00+00:00,6015.0,6015.0,6013.75,6014.85,6
2023-12-19 04:20:00+00:00,6014.85,6050.0,6014.85,6050.0,147
2023-12-19 04:25:00+00:00,6050.0,6054.25,6041.2,6045.0,6
2023-12-19 04:30:00+00:00,6045.0,6045.0,6039.25,6040.15,14
2023-12-19 04:35:00+00:00,6040.15,6040.15,6017.05,6019.4,29
2023-12-19 04:40:00+00:00,6019.4,6049.9,6019.4,6049.9,46
2023-12-19 04:45:00+00:00,6049.9,6049.9,6022.55,6034.9,24
2023-12-19 04:50:00+00:00,6034.9,6034.9,6025.0,6025.0,68
2023-12-19 04:55:00+00:00,6025.0,6025.0,6025.0,6025.0,0
2023-12-19 05:00:00+00:00,6025.0,6045.0,6025.0,6045.0,9
2023-12-19 05:05:00+00:00,6045.0,6054.9,6045.0,6054.85,28
2023-12-19 05:10:00+00:00,6054.85,6054.85,6047.5,6054.1,29
2023-12-19 05:15:00+00:00,6054.1,6054.9,6054.1,6054.9,5
2023-12-19 05:20:00+00:00,6054.9,6057.75,6044.55,6044.55,29
2023-12-19 05:25:00+00:00,6044.55,6047.4,6044.55,6047.4,11
2023-12-19 05:30:00+00:00,6047.4,6057.1,6047.4,6057.1,60
2023-12-19 05:35:00+00:00,6057.1,6057.1,6057.1,6057.1,0
2023-12-19 05:40:00+00:00,6057.1,6058.0,6057.1,6058.0,10
2023-12-19 05:45:00+00:00,6058.0,6064.45,6050.1,6050.1,29
2023-12-19 05:50:00+00:00,6050.1,6050.35,6050.1,6050.35,1
2023-12-19 05:55:00+00:00,6050.35,6050.35,6050.35,6050.35,0
2023-12-19 06:00:00+00:00,6050.35,6050.35,6050.35,6050.35,0
2023-12-19 06:05:00+00:00,6050.35,6050.35,6050.35,6050.35,0
2023-12-19 06:10:00+00:00,6050.35,6066.15,6050.35,6066.15,1
2023-12-19 06:15:00+00:00,6066.15,6066.15,6054.45,6054.45,1
2023-12-19 06:20:00+00:00,6054.45,6054.45,6051.3,6051.3,4
2023-12-19 06:25:00+00:00,6051.3,6051.3,6051.3,6051.3,0
2023-12-19 06:30:00+00:00,6051.3,6056.8,6051.3,6056.8,1
2023-12-19 06:35:00+00:00,6056.8,6056.8,6056.8,6056.8,0
2023-12-19 06:40:00+00:00,6056.8,6065.35,6056.8,6065.35,2
2023-12-19 06:45:00+00:00,6070.0,6070.0,6068.2,6068.2,31
2023-12-19 06:50:00+00:00,6068.2,6080.0,6068.2,6070.0,23
2023-12-19 06:55:00+00:00,6072.1,6099.35,6068.2,6099.35,57
2023-12-19 07:00:00+00:00,6099.35,6099.35,6075.0,6075.0,38
2023-12-19 07:05:00+00:00,6075.0,6075.0,6073.0,6073.0,2
2023-12-19 07:10:00+00:00,6073.0,6073.0,6060.0,6062.0,8
2023-12-19 07:15:00+00:00,6062.0,6062.0,6056.2,6056.2,11
2023-12-19 07:20:00+00:00,6056.2,6058.1,6056.2,6058.1,3
2023-12-19 07:25:00+00:00,6058.1,6066.6,6030.45,6030.45,92
2023-12-19 07:30:00+00:00,6030.45,6040.0,6030.45,6031.1,15
2023-12-19 07:35:00+00:00,6031.1,6040.0,6031.1,6040.0,64
2023-12-19 07:40:00+00:00,6040.0,6071.75,6040.0,6071.75,11
2023-12-19 07:45:00+00:00,6071.75,6076.45,6062.7,6062.7,6
2023-12-19 07:50:00+00:00,6062.7,6062.7,5979.4,6021.9,670
2023-12-19 07:55:00+00:00,6021.9,6021.9,6018.05,6018.05,7
2023-12-19 08:00:00+00:00,6020.0,6038.9,6020.0,6038.9,70
2023-12-19 08:05:00+00:00,6038.9,6038.9,6011.55,6011.55,36
2023-12-19 08:10:00+00:00,6011.55,6011.55,6011.55,6011.55,0
2023-12-19 08:15:00+00:00,6011.55,6026.05,6011.55,6026.05,7
2023-12-19 08:20:00+00:00,6026.05,6026.05,6026.05,6026.05,0
2023-12-19 08:25:00+00:00,6025.8,6025.8,6011.55,6011.55,37
2023-12-19 08:30:00+00:00,6011.55,6011.95,6000.6,6000.6,6
2023-12-19 08:35:00+00:00,6000.0,6000.0,6000.0,6000.0,4
2023-12-19 08:40:00+00:00,6002.1,6003.2,6002.1,6003.2,2
2023-12-19 08:45:00+00:00,6003.2,6003.2,5998.15,5998.15,36
2023-12-19 08:50:00+00:00,5998.15,5999.0,5998.15,5998.15,9
2023-12-19 08:55:00+00:00,5990.0,5990.0,5990.0,5990.0,19
2023-12-19 09:00:00+00:00,5990.0,5990.0,5990.0,5990.0,25
2023-12-19 09:05:00+00:00,5990.0,5990.0,5948.0,5972.75,110
2023-12-19 09:10:00+00:00,5972.75,5972.75,5955.0,5965.4,34
2023-12-19 09:15:00+00:00,5965.4,5969.9,5956.8,5969.85,19
2023-12-19 09:20:00+00:00,5969.85,5969.85,5956.85,5956.85,2
2023-12-19 09:25:00+00:00,5956.85,5957.0,5956.85,5957.0,1
2023-12-19 09:30:00+00:00,5957.0,5969.05,5957.0,5969.05,6
2023-12-19 09:35:00+00:00,5959.0,5969.1,5944.4,5944.4,50
2023-12-19 09:40:00+00:00,5944.4,5981.5,5944.4,5981.5,75
2023-12-19 09:45:00+00:00,5981.5,6019.0,5950.8,5950.8,72
2023-12-19 09:50:00+00:00,5950.8,6003.8,5950.7,6003.8,17
2023-12-19 09:55:00+00:00,6003.8,6003.8,5960.7,5960.7,154
2023-12-20 03:45:00+00:00,6097.9,6097.9,5935.25,6045.4,85
2023-12-20 03:50:00+00:00,6045.4,6045.4,6006.1,6012.85,173
2023-12-20 03:55:00+00:00,6013.1,6030.0,6013.1,6021.85,43
2023-12-20 04:00:00+00:00,6021.85,6022.5,6001.7,6006.05,21
2023-12-20 04:05:00+00:00,6006.05,6006.05,5996.6,6000.45,31
2023-12-20 04:10:00+00:00,6000.45,6004.35,5989.0,5989.45,27
2023-12-20 04:15:00+00:00,5989.45,5999.6,5984.05,5999.6,20
2023-12-20 04:20:00+00:00,5999.6,6007.45,5999.6,6007.45,5
2023-12-20 04:25:00+00:00,6007.45,6009.7,6007.1,6009.7,2
2023-12-20 04:30:00+00:00,6009.7,6009.7,5989.6,5996.55,16
2023-12-20 04:35:00+00:00,5996.55,5996.55,5996.55,5996.55,0
2023-12-20 04:40:00+00:00,5996.55,6000.0,5990.55,5990.55,2
2023-12-20 04:45:00+00:00,5990.55,5998.35,5990.0,5998.35,6
2023-12-20 04:50:00+00:00,5998.35,5998.35,5950.0,5961.05,181
2023-12-20 04:55:00+00:00,5961.05,5961.05,5961.05,5961.05,0
