,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1622.0,1629.95,1601.1,1603.7,9957
2023-12-18 03:50:00+00:00,1605.0,1618.4,1600.25,1616.5,5841
2023-12-18 03:55:00+00:00,1616.5,1616.5,1608.0,1610.8,4059
2023-12-18 04:00:00+00:00,1610.8,1612.25,1602.8,1603.95,5004
2023-12-18 04:05:00+00:00,1604.0,1604.95,1599.95,1602.7,3746
2023-12-18 04:10:00+00:00,1602.55,1603.9,1601.45,1603.75,1749
2023-12-18 04:15:00+00:00,1603.75,1607.4,1602.0,1606.05,2802
2023-12-18 04:20:00+00:00,1606.05,1606.95,1605.0,1605.95,1471
2023-12-18 04:25:00+00:00,1605.95,1606.95,1604.0,1604.25,1063
2023-12-18 04:30:00+00:00,1604.3,1608.0,1603.8,1605.7,4963
2023-12-18 04:35:00+00:00,1605.7,1607.2,1601.55,1603.95,8035
2023-12-18 04:40:00+00:00,1604.4,1604.95,1596.15,1596.65,9375
2023-12-18 04:45:00+00:00,1597.8,1600.95,1591.05,1596.65,7033
2023-12-18 04:50:00+00:00,1596.65,1596.65,1595.0,1596.1,1785
2023-12-18 04:55:00+00:00,1596.65,1597.0,1595.0,1597.0,3290
2023-12-18 05:00:00+00:00,1598.0,1598.0,1595.0,1596.25,2724
2023-12-18 05:05:00+00:00,1596.25,1596.55,1595.0,1595.9,940
2023-12-18 05:10:00+00:00,1595.9,1597.65,1595.1,1596.0,805
2023-12-18 05:15:00+00:00,1596.85,1596.85,1594.7,1595.55,1721
2023-12-18 05:20:00+00:00,1595.55,1596.6,1595.55,1596.0,342
2023-12-18 05:25:00+00:00,1596.0,1596.65,1594.4,1595.25,1585
2023-12-18 05:30:00+00:00,1595.2,1596.0,1593.0,1596.0,2296
2023-12-18 05:35:00+00:00,1596.0,1596.65,1594.6,1595.0,1455
2023-12-18 05:40:00+00:00,1595.05,1596.0,1594.5,1595.15,824
2023-12-18 05:45:00+00:00,1595.15,1596.0,1594.6,1596.0,639
2023-12-18 05:50:00+00:00,1596.0,1596.0,1594.5,1595.4,734
