,open,high,low,close,volume
2023-12-18 03:45:00+00:00,253.45,254.5,252.75,252.85,17817
2023-12-18 03:50:00+00:00,252.85,253.75,252.45,253.5,12115
2023-12-18 03:55:00+00:00,253.5,254.45,253.5,254.25,9764
2023-12-18 04:00:00+00:00,254.25,254.25,253.15,253.85,9698
2023-12-18 04:05:00+00:00,253.85,254.25,253.6,253.8,3053
2023-12-18 04:10:00+00:00,253.8,254.0,253.15,253.65,3378
2023-12-18 04:15:00+00:00,253.65,253.9,253.55,253.8,3081
2023-12-18 04:20:00+00:00,253.6,253.95,253.35,253.55,6715
2023-12-18 04:25:00+00:00,253.55,254.1,253.5,253.65,2672
2023-12-18 04:30:00+00:00,253.9,254.45,253.65,254.25,3938
2023-12-18 04:35:00+00:00,254.25,254.45,254.05,254.3,2214
2023-12-18 04:40:00+00:00,254.3,255.65,254.0,255.3,12027
2023-12-18 04:45:00+00:00,255.3,255.6,254.6,254.7,6071
2023-12-18 04:50:00+00:00,254.7,255.15,254.5,254.65,2366
2023-12-18 04:55:00+00:00,254.85,254.9,254.5,254.55,2105
2023-12-18 05:00:00+00:00,254.55,254.7,254.1,254.4,6459
2023-12-18 05:05:00+00:00,254.4,254.6,253.8,254.0,6745
2023-12-18 05:10:00+00:00,254.0,254.8,254.0,254.55,2902
2023-12-18 05:15:00+00:00,254.55,255.1,254.2,255.05,3600
2023-12-18 05:20:00+00:00,255.05,255.75,255.0,255.75,14321
2023-12-18 05:25:00+00:00,255.8,256.0,255.2,255.2,12295
2023-12-18 05:30:00+00:00,255.2,255.3,255.0,255.2,3701
2023-12-18 05:35:00+00:00,255.2,255.4,254.8,254.95,1966
2023-12-18 05:40:00+00:00,254.8,255.0,254.7,254.85,1196
2023-12-18 05:45:00+00:00,254.85,255.05,254.7,254.8,931
2023-12-18 05:50:00+00:00,254.8,254.8,254.45,254.45,2403
2023-12-18 05:55:00+00:00,254.45,254.9,254.3,254.65,2521
2023-12-18 06:00:00+00:00,254.65,255.1,254.65,254.7,3892
2023-12-18 06:05:00+00:00,254.7,255.05,254.7,254.8,778
2023-12-18 06:10:00+00:00,254.8,255.2,254.65,255.0,3788
2023-12-18 06:15:00+00:00,255.0,255.9,254.9,255.55,7304
2023-12-18 06:20:00+00:00,255.55,255.85,255.1,255.1,6055
2023-12-18 06:25:00+00:00,255.1,255.1,254.75,254.75,1290
2023-12-18 06:30:00+00:00,254.75,255.0,254.75,254.85,1623
2023-12-18 06:35:00+00:00,254.85,254.95,254.6,254.6,8670
2023-12-18 06:40:00+00:00,254.6,254.8,254.45,254.65,1417
2023-12-18 06:45:00+00:00,254.65,254.9,254.6,254.7,2935
2023-12-18 06:50:00+00:00,254.7,254.9,254.6,254.6,2116
2023-12-18 06:55:00+00:00,254.6,254.9,254.2,254.2,2029
2023-12-18 07:00:00+00:00,254.2,254.65,254.2,254.2,1479
2023-12-18 07:05:00+00:00,254.2,254.9,254.2,254.65,3257
2023-12-18 07:10:00+00:00,254.85,254.9,254.4,254.45,3034
2023-12-18 07:15:00+00:00,254.45,254.7,254.3,254.65,1755
2023-12-18 07:20:00+00:00,254.65,254.85,254.65,254.85,691
2023-12-18 07:25:00+00:00,254.65,254.9,254.5,254.65,1430
2023-12-18 07:30:00+00:00,254.65,254.9,254.45,254.45,658
2023-12-18 07:35:00+00:00,254.7,254.75,254.45,254.55,1842
2023-12-18 07:40:00+00:00,254.55,254.85,254.2,254.3,1770
2023-12-18 07:45:00+00:00,254.3,254.5,254.25,254.3,1059
2023-12-18 07:50:00+00:00,254.25,254.45,254.05,254.05,1584
2023-12-18 07:55:00+00:00,254.05,255.4,254.05,255.15,8332
2023-12-18 08:00:00+00:00,255.4,255.4,254.2,254.4,2600
2023-12-18 08:05:00+00:00,254.4,254.7,254.2,254.25,1536
2023-12-18 08:10:00+00:00,254.45,255.35,254.25,254.9,7082
2023-12-18 08:15:00+00:00,254.9,255.25,254.65,254.75,3087
2023-12-18 08:20:00+00:00,254.75,255.4,254.75,255.25,6964
2023-12-18 08:25:00+00:00,255.25,256.5,255.25,256.2,26607
2023-12-18 08:30:00+00:00,256.45,262.9,256.15,261.4,552134
2023-12-18 08:35:00+00:00,261.3,262.9,261.2,262.15,294711
2023-12-18 08:40:00+00:00,262.45,264.4,261.5,263.05,293313
2023-12-18 08:45:00+00:00,263.05,263.9,262.5,262.7,124327
2023-12-18 08:50:00+00:00,262.7,262.9,261.75,262.25,59239
2023-12-18 08:55:00+00:00,262.0,262.6,261.4,262.2,72624
2023-12-18 09:00:00+00:00,262.4,262.6,261.5,262.0,59042
2023-12-18 09:05:00+00:00,262.05,262.35,261.35,261.85,67940
2023-12-18 09:10:00+00:00,261.85,262.2,261.1,261.1,23836
2023-12-18 09:15:00+00:00,261.1,261.6,260.6,260.9,31819
2023-12-18 09:20:00+00:00,261.05,261.25,260.65,260.7,15620
2023-12-18 09:25:00+00:00,260.65,261.0,259.25,259.8,51817
2023-12-18 09:30:00+00:00,259.8,260.6,259.7,260.0,27170
2023-12-18 09:35:00+00:00,260.1,262.0,260.05,262.0,40896
2023-12-18 09:40:00+00:00,262.45,262.45,260.7,260.7,61700
2023-12-18 09:45:00+00:00,260.9,260.95,258.3,258.75,117503
2023-12-18 09:50:00+00:00,258.75,258.8,257.3,257.85,77868
2023-12-18 09:55:00+00:00,258.0,258.85,257.8,258.65,50030
2023-12-19 03:45:00+00:00,260.35,261.35,259.1,260.0,40054
2023-12-19 03:50:00+00:00,260.0,260.0,259.0,259.1,17176
2023-12-19 03:55:00+00:00,259.1,259.75,258.55,259.55,13792
2023-12-19 04:00:00+00:00,259.55,259.55,258.05,258.5,14773
2023-12-19 04:05:00+00:00,258.5,258.55,257.2,257.3,23055
2023-12-19 04:10:00+00:00,257.4,257.5,256.6,256.7,20746
2023-12-19 04:15:00+00:00,256.7,257.7,256.4,257.5,16620
2023-12-19 04:20:00+00:00,257.5,257.55,256.5,257.15,14900
2023-12-19 04:25:00+00:00,257.15,257.65,256.75,257.0,12767
2023-12-19 04:30:00+00:00,257.0,257.75,256.65,256.7,11911
2023-12-19 04:35:00+00:00,256.9,256.9,255.9,256.25,13222
2023-12-19 04:40:00+00:00,256.25,256.95,255.55,256.3,19336
2023-12-19 04:45:00+00:00,256.3,257.6,256.05,257.45,5146
2023-12-19 04:50:00+00:00,257.45,257.55,257.05,257.05,6348
2023-12-19 04:55:00+00:00,257.05,257.3,256.85,256.85,1989
2023-12-19 05:00:00+00:00,256.85,257.1,256.3,257.1,7256
2023-12-19 05:05:00+00:00,257.35,257.6,257.0,257.0,3401
2023-12-19 05:10:00+00:00,257.3,257.8,256.9,257.3,6818
2023-12-19 05:15:00+00:00,257.55,257.6,257.25,257.25,2904
2023-12-19 05:20:00+00:00,257.4,257.9,257.0,257.8,6954
2023-12-19 05:25:00+00:00,257.8,257.8,257.1,257.35,2324
2023-12-19 05:30:00+00:00,257.45,257.95,257.35,257.7,5509
2023-12-19 05:35:00+00:00,257.7,258.85,257.35,257.85,19225
2023-12-19 05:40:00+00:00,258.1,258.2,257.5,257.55,5170
2023-12-19 05:45:00+00:00,257.95,258.4,257.55,257.55,3636
2023-12-19 05:50:00+00:00,257.8,258.15,257.45,257.55,3594
2023-12-19 05:55:00+00:00,257.85,258.1,257.55,257.65,1757
2023-12-19 06:00:00+00:00,257.65,258.3,257.5,257.55,5889
2023-12-19 06:05:00+00:00,257.55,258.25,257.55,257.95,3311
2023-12-19 06:10:00+00:00,258.2,258.2,257.95,258.0,1597
2023-12-19 06:15:00+00:00,258.25,259.0,258.0,258.85,4737
2023-12-19 06:20:00+00:00,258.85,258.9,258.35,258.4,6050
2023-12-19 06:25:00+00:00,258.6,258.6,258.2,258.2,1403
2023-12-19 06:30:00+00:00,258.5,258.7,258.05,258.6,8399
2023-12-19 06:35:00+00:00,258.8,259.1,258.4,258.4,6095
2023-12-19 06:40:00+00:00,258.5,258.7,257.6,258.2,11487
2023-12-19 06:45:00+00:00,258.4,258.7,258.2,258.2,5376
2023-12-19 06:50:00+00:00,258.2,258.85,258.15,258.35,4266
2023-12-19 06:55:00+00:00,258.6,258.85,258.2,258.55,2889
2023-12-19 07:00:00+00:00,258.8,258.85,258.35,258.45,1005
2023-12-19 07:05:00+00:00,258.65,258.75,258.1,258.1,5842
2023-12-19 07:10:00+00:00,258.4,258.4,257.95,258.05,2507
2023-12-19 07:15:00+00:00,258.35,258.45,258.05,258.05,1734
2023-12-19 07:20:00+00:00,258.35,258.5,257.9,258.1,3382
2023-12-19 07:25:00+00:00,258.3,258.75,258.0,258.5,3314
2023-12-19 07:30:00+00:00,258.75,258.75,258.3,258.4,3182
2023-12-19 07:35:00+00:00,258.6,258.65,258.35,258.35,452
2023-12-19 07:40:00+00:00,258.35,258.65,258.05,258.05,1391
2023-12-19 07:45:00+00:00,258.25,258.65,258.0,258.25,7537
2023-12-19 07:50:00+00:00,258.35,258.35,257.5,257.55,5195
2023-12-19 07:55:00+00:00,257.75,258.3,257.55,258.0,1678
2023-12-19 08:00:00+00:00,258.25,258.25,257.55,257.75,972
2023-12-19 08:05:00+00:00,258.05,258.2,257.75,258.2,1860
2023-12-19 08:10:00+00:00,258.3,258.4,258.15,258.15,5818
2023-12-19 08:15:00+00:00,258.4,258.7,258.0,258.0,7029
2023-12-19 08:20:00+00:00,258.0,258.3,257.85,257.95,2503
2023-12-19 08:25:00+00:00,257.95,258.3,257.55,257.7,4242
2023-12-19 08:30:00+00:00,257.8,258.2,257.7,257.8,1312
2023-12-19 08:35:00+00:00,258.05,258.3,257.8,258.0,848
2023-12-19 08:40:00+00:00,258.05,258.05,257.6,257.7,5057
2023-12-19 08:45:00+00:00,257.85,258.05,257.7,257.8,692
2023-12-19 08:50:00+00:00,258.0,258.05,257.85,257.85,581
2023-12-19 08:55:00+00:00,257.95,258.2,257.85,257.9,1896
2023-12-19 09:00:00+00:00,257.9,258.25,257.85,257.95,2548
2023-12-19 09:05:00+00:00,257.95,258.3,257.85,258.0,1363
2023-12-19 09:10:00+00:00,258.25,258.25,257.8,257.9,3492
2023-12-19 09:15:00+00:00,257.9,258.55,257.9,258.3,14106
2023-12-19 09:20:00+00:00,258.3,258.5,257.9,257.9,13504
2023-12-19 09:25:00+00:00,257.9,258.9,257.9,258.5,13028
2023-12-19 09:30:00+00:00,258.5,258.9,258.0,258.45,8642
2023-12-19 09:35:00+00:00,258.45,258.8,258.4,258.7,4063
2023-12-19 09:40:00+00:00,258.75,258.75,258.2,258.35,10695
2023-12-19 09:45:00+00:00,258.4,258.85,258.25,258.45,19682
2023-12-19 09:50:00+00:00,258.45,258.5,258.15,258.3,12952
2023-12-19 09:55:00+00:00,258.3,258.3,257.8,257.8,17092
2023-12-20 03:45:00+00:00,259.0,260.0,257.9,259.05,37763
2023-12-20 03:50:00+00:00,259.05,259.5,258.5,258.5,11977
2023-12-20 03:55:00+00:00,258.5,259.2,258.2,258.2,19344
