,open,high,low,close,volume
2023-12-18 03:45:00+00:00,747.95,747.95,740.6,747.7,2141
2023-12-18 03:50:00+00:00,747.7,749.1,745.55,748.05,2481
2023-12-18 03:55:00+00:00,748.05,752.0,747.9,749.8,581
2023-12-18 04:00:00+00:00,749.8,754.2,748.6,749.2,2250
2023-12-18 04:05:00+00:00,749.2,752.25,749.15,750.65,3021
2023-12-18 04:10:00+00:00,750.65,751.55,749.25,750.2,316
2023-12-18 04:15:00+00:00,750.35,751.55,750.05,751.4,505
2023-12-18 04:20:00+00:00,751.4,751.4,733.95,737.45,17701
2023-12-18 04:25:00+00:00,738.0,741.8,727.6,739.5,18274
2023-12-18 04:30:00+00:00,739.5,743.05,738.65,741.05,2294
2023-12-18 04:35:00+00:00,741.05,742.7,740.0,741.75,465
2023-12-18 04:40:00+00:00,741.75,741.75,740.1,741.0,907
2023-12-18 04:45:00+00:00,741.0,741.0,739.0,739.0,774
2023-12-18 04:50:00+00:00,739.0,741.0,739.0,741.0,1270
2023-12-18 04:55:00+00:00,741.0,741.0,739.3,740.1,558
2023-12-18 05:00:00+00:00,740.1,742.4,740.05,741.25,1600
2023-12-18 05:05:00+00:00,741.25,744.2,741.25,743.25,1941
2023-12-18 05:10:00+00:00,743.25,744.4,742.4,744.4,995
2023-12-18 05:15:00+00:00,744.4,753.0,744.4,750.95,7112
2023-12-18 05:20:00+00:00,750.95,752.0,747.4,750.0,5250
2023-12-18 05:25:00+00:00,750.0,752.3,749.0,751.0,5160
2023-12-18 05:30:00+00:00,751.0,751.0,746.55,747.9,749
2023-12-18 05:35:00+00:00,747.9,751.3,746.1,750.5,4513
2023-12-18 05:40:00+00:00,750.5,751.55,748.6,749.05,2571
2023-12-18 05:45:00+00:00,749.05,749.6,747.45,748.25,124
2023-12-18 05:50:00+00:00,748.25,748.25,744.15,745.45,2006
2023-12-18 05:55:00+00:00,746.15,749.1,746.1,748.25,195
2023-12-18 06:00:00+00:00,748.25,748.45,747.25,747.25,52
2023-12-18 06:05:00+00:00,747.25,747.3,747.0,747.0,1449
2023-12-18 06:10:00+00:00,747.0,747.0,745.85,745.85,848
2023-12-18 06:15:00+00:00,745.85,746.8,741.8,742.55,6082
2023-12-18 06:20:00+00:00,741.35,743.45,740.1,740.3,2507
2023-12-18 06:25:00+00:00,740.3,743.15,740.3,742.4,237
2023-12-18 06:30:00+00:00,742.4,742.4,741.55,742.0,555
2023-12-18 06:35:00+00:00,742.0,742.65,741.95,741.95,98
2023-12-18 06:40:00+00:00,741.5,741.65,740.9,741.65,66
2023-12-18 06:45:00+00:00,741.65,741.65,741.4,741.4,6
2023-12-18 06:50:00+00:00,741.4,741.45,740.9,740.9,373
2023-12-18 06:55:00+00:00,739.0,740.35,739.0,740.35,232
2023-12-18 07:00:00+00:00,740.35,740.35,739.8,739.8,101
2023-12-18 07:05:00+00:00,739.1,739.85,739.1,739.85,2
2023-12-18 07:10:00+00:00,739.85,740.5,738.35,740.4,951
2023-12-18 07:15:00+00:00,740.4,740.7,740.4,740.7,37
2023-12-18 07:20:00+00:00,740.7,740.85,740.7,740.8,75
2023-12-18 07:25:00+00:00,740.8,755.3,740.5,753.95,9197
2023-12-18 07:30:00+00:00,752.1,753.9,750.0,750.0,3032
2023-12-18 07:35:00+00:00,750.0,754.8,750.0,754.8,3241
2023-12-18 07:40:00+00:00,754.8,754.8,752.2,752.2,495
2023-12-18 07:45:00+00:00,753.3,753.3,747.1,747.1,1631
2023-12-18 07:50:00+00:00,747.1,751.05,747.1,749.65,1129
2023-12-18 07:55:00+00:00,749.65,751.2,749.2,749.2,282
2023-12-18 08:00:00+00:00,749.2,749.5,749.2,749.5,5
2023-12-18 08:05:00+00:00,749.5,749.5,745.8,745.8,713
2023-12-18 08:10:00+00:00,745.8,746.35,744.75,745.1,102
2023-12-18 08:15:00+00:00,745.1,745.1,743.55,744.95,82
2023-12-18 08:20:00+00:00,744.95,744.95,744.6,744.65,29
2023-12-18 08:25:00+00:00,744.65,744.65,743.6,744.45,51
2023-12-18 08:30:00+00:00,744.45,744.45,743.5,743.5,130
2023-12-18 08:35:00+00:00,743.5,744.95,743.5,744.35,2465
2023-12-18 08:40:00+00:00,744.35,751.9,744.35,750.8,4167
2023-12-18 08:45:00+00:00,750.8,752.35,750.8,751.3,130
2023-12-18 08:50:00+00:00,751.3,754.0,750.65,753.15,893
2023-12-18 08:55:00+00:00,753.15,757.35,752.55,754.55,2986
2023-12-18 09:00:00+00:00,754.55,757.0,752.5,757.0,1325
2023-12-18 09:05:00+00:00,757.0,757.25,755.5,755.95,2099
2023-12-18 09:10:00+00:00,755.95,756.05,753.5,756.05,629
2023-12-18 09:15:00+00:00,756.05,757.35,754.0,755.6,1327
2023-12-18 09:20:00+00:00,755.6,756.0,755.55,756.0,230
2023-12-18 09:25:00+00:00,756.0,756.15,754.05,754.05,499
2023-12-18 09:30:00+00:00,754.05,755.25,753.0,753.85,770
2023-12-18 09:35:00+00:00,753.85,756.45,753.0,756.45,2360
2023-12-18 09:40:00+00:00,756.45,756.45,753.8,753.8,1184
2023-12-18 09:45:00+00:00,753.8,754.0,753.0,753.1,4288
2023-12-18 09:50:00+00:00,753.1,754.0,753.0,753.35,4242
2023-12-18 09:55:00+00:00,753.35,755.0,753.0,753.0,2438
2023-12-19 03:45:00+00:00,753.0,757.35,752.95,754.2,1669
2023-12-19 03:50:00+00:00,754.2,779.0,754.2,770.0,21065
2023-12-19 03:55:00+00:00,770.0,773.95,760.35,761.8,9650
2023-12-19 04:00:00+00:00,763.0,765.95,760.8,765.35,2683
2023-12-19 04:05:00+00:00,765.35,765.35,762.15,764.95,836
2023-12-19 04:10:00+00:00,764.45,766.0,763.25,763.95,2678
2023-12-19 04:15:00+00:00,763.95,765.2,760.0,760.05,2113
2023-12-19 04:20:00+00:00,760.15,761.0,758.05,758.1,1204
2023-12-19 04:25:00+00:00,758.1,759.45,758.1,759.45,204
2023-12-19 04:30:00+00:00,759.45,761.95,758.55,760.0,952
2023-12-19 04:35:00+00:00,760.0,762.05,760.0,761.05,865
2023-12-19 04:40:00+00:00,761.0,763.0,758.7,760.05,2283
2023-12-19 04:45:00+00:00,760.05,763.65,760.05,763.0,631
2023-12-19 04:50:00+00:00,763.0,763.0,761.2,763.0,1746
2023-12-19 04:55:00+00:00,763.0,763.2,760.1,760.1,936
2023-12-19 05:00:00+00:00,760.1,771.0,760.1,768.95,8921
2023-12-19 05:05:00+00:00,768.95,772.0,767.05,768.45,6052
2023-12-19 05:10:00+00:00,769.3,770.05,767.95,769.9,1256
2023-12-19 05:15:00+00:00,767.7,772.9,767.7,769.95,3939
2023-12-19 05:20:00+00:00,769.95,770.85,767.0,768.1,1248
2023-12-19 05:25:00+00:00,768.1,769.0,765.95,766.05,752
2023-12-19 05:30:00+00:00,767.0,768.05,766.35,767.15,987
2023-12-19 05:35:00+00:00,767.15,768.05,765.95,766.1,807
2023-12-19 05:40:00+00:00,766.1,767.95,766.0,767.95,71
2023-12-19 05:45:00+00:00,767.95,767.95,766.25,766.25,300
2023-12-19 05:50:00+00:00,766.25,771.0,766.25,769.25,2177
2023-12-19 05:55:00+00:00,769.25,769.5,768.1,768.35,856
2023-12-19 06:00:00+00:00,768.35,770.6,767.05,770.6,1009
2023-12-19 06:05:00+00:00,770.0,774.3,767.25,773.35,2312
2023-12-19 06:10:00+00:00,773.35,773.8,771.75,773.15,1403
2023-12-19 06:15:00+00:00,773.15,773.4,770.75,771.8,4927
2023-12-19 06:20:00+00:00,773.15,778.0,772.05,777.35,7271
2023-12-19 06:25:00+00:00,777.35,783.75,776.95,781.55,9323
2023-12-19 06:30:00+00:00,781.55,783.15,778.3,780.0,2404
2023-12-19 06:35:00+00:00,778.8,780.0,777.05,778.45,1519
2023-12-19 06:40:00+00:00,778.45,779.6,777.05,778.8,773
2023-12-19 06:45:00+00:00,778.8,780.1,776.8,778.3,2189
2023-12-19 06:50:00+00:00,778.45,784.6,778.0,783.45,4151
2023-12-19 06:55:00+00:00,783.45,783.95,781.0,781.05,1882
2023-12-19 07:00:00+00:00,781.05,782.2,778.95,780.25,1399
2023-12-19 07:05:00+00:00,780.25,788.0,780.25,787.15,9947
2023-12-19 07:10:00+00:00,787.15,788.05,784.1,786.3,6276
2023-12-19 07:15:00+00:00,786.3,792.2,784.4,791.5,11488
2023-12-19 07:20:00+00:00,792.25,814.95,790.05,811.2,20338
2023-12-19 07:25:00+00:00,809.5,811.1,799.4,803.9,13677
2023-12-19 07:30:00+00:00,803.9,803.9,795.6,799.3,5345
2023-12-19 07:35:00+00:00,799.3,800.05,792.05,795.05,7510
2023-12-19 07:40:00+00:00,793.85,798.8,793.85,796.05,2213
2023-12-19 07:45:00+00:00,796.05,799.05,794.05,798.0,5126
2023-12-19 07:50:00+00:00,798.95,803.1,798.85,798.85,8812
2023-12-19 07:55:00+00:00,798.85,802.0,798.85,802.0,4929
2023-12-19 08:00:00+00:00,802.0,804.0,800.55,801.0,6639
2023-12-19 08:05:00+00:00,801.0,802.45,801.0,801.05,411
2023-12-19 08:10:00+00:00,801.05,802.6,798.55,800.0,4283
2023-12-19 08:15:00+00:00,800.0,801.0,798.05,801.0,1908
2023-12-19 08:20:00+00:00,801.0,801.4,794.1,798.0,3361
2023-12-19 08:25:00+00:00,798.0,800.0,798.0,799.95,338
2023-12-19 08:30:00+00:00,799.95,799.95,798.0,798.0,919
2023-12-19 08:35:00+00:00,798.0,799.6,798.0,798.05,6978
2023-12-19 08:40:00+00:00,798.05,798.55,795.65,795.65,1546
2023-12-19 08:45:00+00:00,795.65,795.7,792.5,793.85,3355
2023-12-19 08:50:00+00:00,793.85,794.75,793.7,793.7,1111
2023-12-19 08:55:00+00:00,793.7,794.75,791.35,792.5,2478
2023-12-19 09:00:00+00:00,793.35,793.35,790.05,791.45,1077
2023-12-19 09:05:00+00:00,791.45,793.95,790.0,793.8,2403
2023-12-19 09:10:00+00:00,793.8,796.45,793.2,795.1,1594
2023-12-19 09:15:00+00:00,795.1,796.95,794.3,796.4,2642
2023-12-19 09:20:00+00:00,796.4,798.75,796.4,797.4,2157
2023-12-19 09:25:00+00:00,797.4,798.2,795.0,795.1,1011
2023-12-19 09:30:00+00:00,795.1,796.65,795.0,796.5,2713
2023-12-19 09:35:00+00:00,796.5,799.0,795.55,799.0,1520
2023-12-19 09:40:00+00:00,798.9,799.6,795.85,795.85,3592
2023-12-19 09:45:00+00:00,795.85,803.25,795.85,802.7,7129
2023-12-19 09:50:00+00:00,802.7,805.0,802.1,803.65,5637
2023-12-19 09:55:00+00:00,803.65,810.0,803.65,809.0,15764
2023-12-20 03:45:00+00:00,819.0,824.0,810.7,821.45,25404
2023-12-20 03:50:00+00:00,820.45,823.75,815.6,817.15,18704
2023-12-20 03:55:00+00:00,817.0,817.0,809.0,813.95,12598
2023-12-20 04:00:00+00:00,813.95,814.0,809.4,809.4,2541
2023-12-20 04:05:00+00:00,809.4,812.0,807.0,809.85,5403
2023-12-20 04:10:00+00:00,809.85,810.0,807.7,809.15,2516
2023-12-20 04:15:00+00:00,809.15,809.15,805.1,806.95,4090
2023-12-20 04:20:00+00:00,806.75,806.75,803.0,804.2,6634
2023-12-20 04:25:00+00:00,804.2,804.3,798.7,801.45,4602
2023-12-20 04:30:00+00:00,801.45,802.75,796.6,798.0,6438
2023-12-20 04:35:00+00:00,799.25,799.35,796.0,797.65,2309
2023-12-20 04:40:00+00:00,797.65,807.6,797.05,806.7,9281
2023-12-20 04:45:00+00:00,807.3,807.35,799.95,801.2,6514
2023-12-20 04:50:00+00:00,801.2,801.95,799.85,801.6,1170
2023-12-20 04:55:00+00:00,801.6,802.75,798.0,799.65,4075
2023-12-20 05:00:00+00:00,799.65,800.0,798.05,799.95,1831
2023-12-20 05:05:00+00:00,799.95,800.5,796.75,798.15,1102
2023-12-20 05:10:00+00:00,798.15,800.95,797.0,798.05,2450
2023-12-20 05:15:00+00:00,796.9,799.95,796.9,799.95,3876
2023-12-20 05:20:00+00:00,799.95,799.95,797.0,799.25,1023
2023-12-20 05:25:00+00:00,799.45,799.85,797.15,798.2,437
2023-12-20 05:30:00+00:00,798.2,799.5,797.25,797.6,641
2023-12-20 05:35:00+00:00,797.6,799.0,796.05,796.8,1647
2023-12-20 05:40:00+00:00,796.8,798.8,795.0,797.15,4789
2023-12-20 05:45:00+00:00,797.15,798.45,796.1,796.55,234
2023-12-20 05:50:00+00:00,796.55,798.2,796.55,797.6,390
2023-12-20 05:55:00+00:00,797.65,798.35,795.55,795.55,388
2023-12-20 06:00:00+00:00,795.55,796.9,795.1,796.4,657
2023-12-20 06:05:00+00:00,796.4,797.0,795.35,795.35,214
2023-12-20 06:10:00+00:00,795.35,796.4,793.0,793.9,2525
2023-12-20 06:15:00+00:00,793.9,795.8,793.9,794.0,1005
2023-12-20 06:20:00+00:00,794.45,794.8,791.95,793.15,1108
2023-12-20 06:25:00+00:00,793.15,795.45,792.15,793.0,1349
2023-12-20 06:30:00+00:00,793.0,793.35,790.3,790.8,614
2023-12-20 06:35:00+00:00,790.8,795.9,790.8,793.0,1269
