,open,high,low,close,volume
2023-12-18 03:45:00+00:00,280.1,283.2,280.0,282.2,1907
2023-12-18 03:50:00+00:00,282.2,283.75,282.05,283.75,220
2023-12-18 03:55:00+00:00,283.75,285.05,283.7,284.75,1009
2023-12-18 04:00:00+00:00,284.75,284.75,282.15,282.15,260
2023-12-18 04:05:00+00:00,282.3,283.8,282.3,283.7,387
2023-12-18 04:10:00+00:00,283.75,283.75,283.05,283.05,43
2023-12-18 04:15:00+00:00,283.05,284.2,282.95,283.25,1026
2023-12-18 04:20:00+00:00,283.25,284.0,283.25,283.3,42
2023-12-18 04:25:00+00:00,283.3,283.45,282.15,282.5,718
2023-12-18 04:30:00+00:00,282.5,284.05,282.5,284.05,855
2023-12-18 04:35:00+00:00,284.05,284.5,283.55,283.55,114
2023-12-18 04:40:00+00:00,283.55,283.6,282.65,282.8,2078
2023-12-18 04:45:00+00:00,282.8,283.45,282.8,283.45,578
2023-12-18 04:50:00+00:00,283.45,283.95,282.9,283.95,194
2023-12-18 04:55:00+00:00,283.4,283.85,283.4,283.85,37
2023-12-18 05:00:00+00:00,283.85,283.85,283.05,283.55,56
2023-12-18 05:05:00+00:00,283.55,283.95,282.8,283.15,1904
2023-12-18 05:10:00+00:00,283.15,283.15,283.15,283.15,0
2023-12-18 05:15:00+00:00,283.15,283.55,283.15,283.55,6
2023-12-18 05:20:00+00:00,283.55,283.55,283.2,283.2,29
2023-12-18 05:25:00+00:00,283.2,283.2,283.0,283.0,132
2023-12-18 05:30:00+00:00,283.0,283.4,282.5,282.7,127
2023-12-18 05:35:00+00:00,282.7,282.7,282.7,282.7,0
2023-12-18 05:40:00+00:00,282.7,283.45,282.7,283.0,642
2023-12-18 05:45:00+00:00,283.0,283.55,283.0,283.3,187
2023-12-18 05:50:00+00:00,283.3,283.45,283.3,283.35,109
2023-12-18 05:55:00+00:00,283.25,283.75,282.65,282.65,280
2023-12-18 06:00:00+00:00,282.65,282.75,282.25,282.75,199
2023-12-18 06:05:00+00:00,282.85,282.85,281.6,282.0,254
2023-12-18 06:10:00+00:00,282.0,282.0,281.95,282.0,34
2023-12-18 06:15:00+00:00,282.1,282.15,281.1,281.55,508
2023-12-18 06:20:00+00:00,281.55,281.95,281.55,281.8,245
2023-12-18 06:25:00+00:00,281.8,282.45,281.8,282.45,60
2023-12-18 06:30:00+00:00,282.45,283.0,281.9,283.0,422
2023-12-18 06:35:00+00:00,283.0,283.8,283.0,283.0,374
2023-12-18 06:40:00+00:00,283.0,283.95,283.0,283.95,10
2023-12-18 06:45:00+00:00,283.3,283.3,283.3,283.3,15
2023-12-18 06:50:00+00:00,284.0,284.35,283.9,283.9,135
2023-12-18 06:55:00+00:00,283.9,284.95,283.65,284.2,641
2023-12-18 07:00:00+00:00,285.1,287.05,285.1,286.45,2560
2023-12-18 07:05:00+00:00,286.45,290.0,286.45,288.8,4178
2023-12-18 07:10:00+00:00,288.8,288.8,287.65,287.65,34
2023-12-18 07:15:00+00:00,287.6,288.85,287.15,288.8,2044
2023-12-18 07:20:00+00:00,288.8,288.8,287.55,288.25,462
2023-12-18 07:25:00+00:00,288.25,288.25,286.6,287.4,699
2023-12-18 07:30:00+00:00,287.4,287.7,286.55,287.7,195
2023-12-18 07:35:00+00:00,287.7,287.7,287.7,287.7,0
2023-12-18 07:40:00+00:00,287.5,287.5,287.5,287.5,7
2023-12-18 07:45:00+00:00,287.5,287.5,285.55,285.55,1150
2023-12-18 07:50:00+00:00,285.55,285.55,285.55,285.55,0
2023-12-18 07:55:00+00:00,285.55,285.65,285.55,285.55,235
2023-12-18 08:00:00+00:00,285.55,286.35,285.55,286.1,316
2023-12-18 08:05:00+00:00,286.1,286.95,285.1,285.1,748
2023-12-18 08:10:00+00:00,285.55,286.05,285.55,285.6,836
2023-12-18 08:15:00+00:00,285.6,285.8,285.6,285.8,0
2023-12-18 08:20:00+00:00,285.8,286.2,284.8,285.05,542
2023-12-18 08:25:00+00:00,285.05,285.1,285.05,285.1,23
2023-12-18 08:30:00+00:00,285.1,286.2,285.1,286.2,217
2023-12-18 08:35:00+00:00,286.2,287.65,286.2,286.3,1114
2023-12-18 08:40:00+00:00,286.3,286.7,285.7,286.7,615
2023-12-18 08:45:00+00:00,286.7,286.7,286.3,286.3,8
2023-12-18 08:50:00+00:00,286.3,286.3,286.3,286.3,0
2023-12-18 08:55:00+00:00,286.3,287.0,286.3,287.0,88
2023-12-18 09:00:00+00:00,287.0,287.0,287.0,287.0,58
2023-12-18 09:05:00+00:00,287.0,287.0,285.1,285.7,1043
2023-12-18 09:10:00+00:00,285.7,285.7,285.55,285.55,108
2023-12-18 09:15:00+00:00,285.55,285.55,284.7,284.7,968
2023-12-18 09:20:00+00:00,284.7,285.0,284.7,285.0,22
2023-12-18 09:25:00+00:00,285.0,285.0,284.65,285.0,6
2023-12-18 09:30:00+00:00,284.7,286.0,284.7,286.0,900
2023-12-18 09:35:00+00:00,286.0,287.2,285.6,287.2,210
2023-12-18 09:40:00+00:00,287.2,287.75,286.0,286.0,165
2023-12-18 09:45:00+00:00,286.0,286.05,285.5,286.05,1699
2023-12-18 09:50:00+00:00,286.05,287.75,284.3,286.25,1174
2023-12-18 09:55:00+00:00,286.25,287.1,285.75,287.0,696
2023-12-19 03:45:00+00:00,286.0,287.7,285.8,286.35,825
2023-12-19 03:50:00+00:00,286.35,290.9,286.35,290.1,2149
2023-12-19 03:55:00+00:00,290.1,292.0,290.0,290.85,3409
2023-12-19 04:00:00+00:00,290.85,292.5,290.85,291.0,1969
2023-12-19 04:05:00+00:00,291.0,292.0,291.0,292.0,580
2023-12-19 04:10:00+00:00,292.0,292.0,291.0,291.0,858
2023-12-19 04:15:00+00:00,291.0,291.0,288.4,288.5,212
2023-12-19 04:20:00+00:00,288.5,290.9,288.5,289.0,843
2023-12-19 04:25:00+00:00,289.0,289.4,288.55,288.6,329
2023-12-19 04:30:00+00:00,288.6,289.1,288.6,289.1,35
2023-12-19 04:35:00+00:00,289.1,290.0,288.3,289.6,770
2023-12-19 04:40:00+00:00,289.6,290.0,288.75,289.9,260
2023-12-19 04:45:00+00:00,289.9,289.9,289.3,289.9,819
2023-12-19 04:50:00+00:00,289.9,289.9,289.6,289.6,50
2023-12-19 04:55:00+00:00,289.6,289.6,289.05,289.05,53
2023-12-19 05:00:00+00:00,289.05,290.2,289.05,289.9,21
2023-12-19 05:05:00+00:00,290.95,290.95,290.6,290.7,214
2023-12-19 05:10:00+00:00,290.7,290.7,290.7,290.7,0
2023-12-19 05:15:00+00:00,290.7,290.7,290.7,290.7,0
2023-12-19 05:20:00+00:00,290.7,290.7,290.3,290.3,139
