,open,high,low,close,volume
2023-12-18 03:45:00+00:00,908.3,912.0,908.3,909.55,1693
2023-12-18 03:50:00+00:00,909.55,911.5,909.55,910.7,213
2023-12-18 03:55:00+00:00,911.25,911.25,910.0,910.0,654
2023-12-18 04:00:00+00:00,910.0,911.15,910.0,910.0,716
2023-12-18 04:05:00+00:00,910.0,911.35,910.0,910.6,1122
2023-12-18 04:10:00+00:00,910.6,911.2,910.0,910.2,748
2023-12-18 04:15:00+00:00,910.2,910.55,909.6,909.85,553
2023-12-18 04:20:00+00:00,910.0,912.0,909.25,910.2,2632
2023-12-18 04:25:00+00:00,910.2,910.55,909.6,910.0,189
2023-12-18 04:30:00+00:00,910.05,910.9,910.0,910.0,318
2023-12-18 04:35:00+00:00,910.0,910.9,909.55,910.45,615
2023-12-18 04:40:00+00:00,910.45,911.0,909.25,910.7,1855
2023-12-18 04:45:00+00:00,910.7,910.7,909.3,910.15,508
2023-12-18 04:50:00+00:00,909.6,910.75,909.45,910.6,706
2023-12-18 04:55:00+00:00,910.6,910.7,909.6,909.9,211
2023-12-18 05:00:00+00:00,909.95,910.65,909.4,910.0,464
2023-12-18 05:05:00+00:00,910.0,910.3,909.25,909.25,1049
2023-12-18 05:10:00+00:00,909.25,909.9,909.25,909.85,605
2023-12-18 05:15:00+00:00,909.85,910.5,908.5,910.05,1472
2023-12-18 05:20:00+00:00,910.05,910.5,909.25,910.5,744
2023-12-18 05:25:00+00:00,909.7,910.35,909.05,909.55,491
2023-12-18 05:30:00+00:00,909.55,909.9,909.25,909.9,239
2023-12-18 05:35:00+00:00,909.9,910.0,909.15,909.9,621
2023-12-18 05:40:00+00:00,909.25,911.95,909.25,911.95,1468
2023-12-18 05:45:00+00:00,911.95,912.75,911.1,911.45,1153
2023-12-18 05:50:00+00:00,911.45,911.7,910.05,911.05,333
2023-12-18 05:55:00+00:00,911.05,911.1,909.6,910.2,1402
2023-12-18 06:00:00+00:00,910.35,910.45,909.55,910.4,322
2023-12-18 06:05:00+00:00,910.4,910.65,909.8,910.55,194
2023-12-18 06:10:00+00:00,910.55,910.65,910.05,910.3,869
