,open,high,low,close,volume
2023-12-18 03:45:00+00:00,818.0,821.7,814.55,814.55,164
2023-12-18 03:50:00+00:00,814.55,816.0,813.0,813.0,82
2023-12-18 03:55:00+00:00,814.7,816.3,811.0,813.6,236
2023-12-18 04:00:00+00:00,813.6,813.6,813.05,813.05,30
2023-12-18 04:05:00+00:00,813.05,816.95,813.05,813.15,73
2023-12-18 04:10:00+00:00,813.15,813.15,813.15,813.15,0
2023-12-18 04:15:00+00:00,813.15,814.55,813.15,814.55,4
2023-12-18 04:20:00+00:00,814.55,814.55,813.15,813.15,49
2023-12-18 04:25:00+00:00,813.15,815.0,813.15,814.6,81
2023-12-18 04:30:00+00:00,814.6,816.15,814.6,816.15,45
2023-12-18 04:35:00+00:00,816.15,816.15,813.0,813.0,112
2023-12-18 04:40:00+00:00,813.0,816.9,813.0,816.9,405
2023-12-18 04:45:00+00:00,816.9,816.9,815.25,815.25,68
2023-12-18 04:50:00+00:00,815.25,815.25,815.25,815.25,0
2023-12-18 04:55:00+00:00,815.25,815.25,809.95,811.45,796
2023-12-18 05:00:00+00:00,811.45,812.75,811.45,812.75,1
2023-12-18 05:05:00+00:00,812.75,813.2,811.3,811.3,49
2023-12-18 05:10:00+00:00,811.3,811.3,811.3,811.3,0
2023-12-18 05:15:00+00:00,813.15,813.9,812.5,813.9,28
2023-12-18 05:20:00+00:00,812.55,812.55,812.55,812.55,3
2023-12-18 05:25:00+00:00,812.55,812.55,812.55,812.55,0
2023-12-18 05:30:00+00:00,812.55,813.0,812.5,812.5,38
2023-12-18 05:35:00+00:00,812.5,812.5,812.5,812.5,0
2023-12-18 05:40:00+00:00,812.5,812.5,812.5,812.5,0
2023-12-18 05:45:00+00:00,812.5,813.95,811.45,811.45,194
2023-12-18 05:50:00+00:00,811.45,811.45,811.45,811.45,0
2023-12-18 05:55:00+00:00,811.45,811.45,811.45,811.45,0
2023-12-18 06:00:00+00:00,811.45,811.45,811.25,811.25,100
2023-12-18 06:05:00+00:00,811.25,813.0,811.25,811.25,67
2023-12-18 06:10:00+00:00,811.25,811.25,811.25,811.25,418
2023-12-18 06:15:00+00:00,811.25,811.25,811.25,811.25,1
2023-12-18 06:20:00+00:00,811.25,812.45,811.25,812.45,12
2023-12-18 06:25:00+00:00,812.45,812.45,811.3,811.3,1
2023-12-18 06:30:00+00:00,811.3,812.8,811.3,812.8,70
