,open,high,low,close,volume
2023-12-18 03:45:00+00:00,342.0,349.0,342.0,346.4,2042
2023-12-18 03:50:00+00:00,346.85,347.9,346.0,346.8,743
2023-12-18 03:55:00+00:00,346.8,349.05,346.8,348.1,1208
2023-12-18 04:00:00+00:00,348.1,348.85,347.0,347.0,1024
2023-12-18 04:05:00+00:00,346.0,346.0,345.05,345.8,360
2023-12-18 04:10:00+00:00,345.8,345.8,344.55,344.55,256
2023-12-18 04:15:00+00:00,344.55,347.75,344.55,347.75,1499
2023-12-18 04:20:00+00:00,347.75,347.75,344.75,345.55,392
2023-12-18 04:25:00+00:00,344.75,344.75,342.6,342.6,1690
2023-12-18 04:30:00+00:00,342.3,346.0,342.3,345.1,2085
2023-12-18 04:35:00+00:00,345.1,345.1,345.1,345.1,25
2023-12-18 04:40:00+00:00,345.1,345.75,345.1,345.3,357
2023-12-18 04:45:00+00:00,345.3,345.45,345.0,345.45,462
2023-12-18 04:50:00+00:00,345.45,345.8,345.05,345.8,159
2023-12-18 04:55:00+00:00,346.0,346.0,345.75,345.75,177
2023-12-18 05:00:00+00:00,345.75,345.75,345.2,345.2,2
2023-12-18 05:05:00+00:00,345.2,345.65,345.1,345.1,76
2023-12-18 05:10:00+00:00,345.1,347.15,345.1,347.15,2658
2023-12-18 05:15:00+00:00,347.15,347.15,346.5,346.5,935
2023-12-18 05:20:00+00:00,346.5,347.05,346.5,347.05,225
2023-12-18 05:25:00+00:00,347.05,347.05,346.3,346.3,50
2023-12-18 05:30:00+00:00,346.3,346.3,345.85,345.85,578
2023-12-18 05:35:00+00:00,346.25,346.25,345.9,346.25,28
2023-12-18 05:40:00+00:00,346.25,346.55,346.25,346.55,20
2023-12-18 05:45:00+00:00,347.05,348.0,347.05,348.0,629
2023-12-18 05:50:00+00:00,348.0,348.0,347.05,347.05,394
2023-12-18 05:55:00+00:00,347.05,347.5,347.0,347.5,41
2023-12-18 06:00:00+00:00,347.5,347.55,346.8,346.8,1080
2023-12-18 06:05:00+00:00,346.8,349.35,345.75,348.6,3849
2023-12-18 06:10:00+00:00,349.25,349.7,348.2,349.5,1689
2023-12-18 06:15:00+00:00,349.5,351.55,349.5,350.95,2985
