,open,high,low,close,volume
2024-12-09 03:45:00+00:00,500.1,500.1,500.1,500.1,0
2024-12-09 04:05:00+00:00,559.7,559.7,559.7,559.7,0
2024-12-09 04:10:00+00:00,559.7,559.7,559.7,559.7,0
2024-12-09 04:15:00+00:00,559.7,559.7,559.7,559.7,0
2024-12-09 04:20:00+00:00,559.7,559.7,559.7,559.7,0
2024-12-09 04:25:00+00:00,559.7,559.7,559.7,559.7,0
2024-12-09 04:30:00+00:00,559.7,579.0,531.75,531.75,30842
2024-12-09 04:35:00+00:00,531.75,555.0,531.75,545.0,55414
2024-12-09 04:40:00+00:00,545.0,549.9,540.0,542.0,12997
2024-12-09 04:45:00+00:00,542.0,542.0,531.75,533.0,8172
2024-12-09 04:50:00+00:00,536.9,536.9,531.75,531.75,2320
2024-12-09 04:55:00+00:00,531.75,531.75,531.75,531.75,2216
2024-12-09 05:00:00+00:00,531.75,531.75,531.75,531.75,348
2024-12-09 05:05:00+00:00,531.75,531.75,531.75,531.75,1754
2024-12-09 05:10:00+00:00,531.75,531.75,531.75,531.75,256
2024-12-09 05:15:00+00:00,531.75,531.75,531.75,531.75,207
2024-12-09 05:20:00+00:00,531.75,531.75,531.75,531.75,66
2024-12-09 05:25:00+00:00,531.75,531.75,531.75,531.75,208
2024-12-09 05:30:00+00:00,531.75,531.75,531.75,531.75,15
2024-12-09 05:35:00+00:00,531.75,531.75,531.75,531.75,203
2024-12-09 05:40:00+00:00,531.75,531.75,531.75,531.75,30
2024-12-09 05:45:00+00:00,531.75,531.75,531.75,531.75,115
2024-12-09 05:50:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 05:55:00+00:00,531.75,531.75,531.75,531.75,31
2024-12-09 06:00:00+00:00,531.75,531.75,531.75,531.75,10
2024-12-09 06:05:00+00:00,531.75,531.75,531.75,531.75,70
2024-12-09 06:10:00+00:00,531.75,531.75,531.75,531.75,40
2024-12-09 06:15:00+00:00,531.75,531.75,531.75,531.75,200
2024-12-09 06:20:00+00:00,531.75,531.75,531.75,531.75,3
2024-12-09 06:25:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 06:30:00+00:00,531.75,531.75,531.75,531.75,60
2024-12-09 06:35:00+00:00,531.75,531.75,531.75,531.75,11
2024-12-09 06:40:00+00:00,531.75,531.75,531.75,531.75,1
2024-12-09 06:45:00+00:00,531.75,531.75,531.75,531.75,18
2024-12-09 06:50:00+00:00,531.75,531.75,531.75,531.75,67
2024-12-09 06:55:00+00:00,531.75,531.75,531.75,531.75,161
2024-12-09 07:00:00+00:00,531.75,531.75,531.75,531.75,86
2024-12-09 07:05:00+00:00,531.75,531.75,531.75,531.75,10
2024-12-09 07:10:00+00:00,531.75,531.75,531.75,531.75,2
2024-12-09 07:15:00+00:00,531.75,531.75,531.75,531.75,16
2024-12-09 07:20:00+00:00,531.75,531.75,531.75,531.75,10
2024-12-09 07:25:00+00:00,531.75,531.75,531.75,531.75,11
2024-12-09 07:30:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 07:35:00+00:00,531.75,531.75,531.75,531.75,4
2024-12-09 07:40:00+00:00,531.75,531.75,531.75,531.75,466
2024-12-09 07:45:00+00:00,531.75,531.75,531.75,531.75,51
2024-12-09 07:50:00+00:00,531.75,531.75,531.75,531.75,111
2024-12-09 07:55:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 08:00:00+00:00,531.75,531.75,531.75,531.75,56
2024-12-09 08:05:00+00:00,531.75,531.75,531.75,531.75,200
2024-12-09 08:10:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 08:15:00+00:00,531.75,531.75,531.75,531.75,2
2024-12-09 08:20:00+00:00,531.75,531.75,531.75,531.75,2
2024-12-09 08:25:00+00:00,531.75,531.75,531.75,531.75,2
2024-12-09 08:30:00+00:00,531.75,531.75,531.75,531.75,6
2024-12-09 08:35:00+00:00,531.75,531.75,531.75,531.75,1
2024-12-09 08:40:00+00:00,531.75,531.75,531.75,531.75,8
2024-12-09 08:45:00+00:00,531.75,531.75,531.75,531.75,4
2024-12-09 08:50:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 08:55:00+00:00,531.75,531.75,531.75,531.75,102
2024-12-09 09:00:00+00:00,531.75,531.75,531.75,531.75,1
2024-12-09 09:05:00+00:00,531.75,531.75,531.75,531.75,50
2024-12-09 09:10:00+00:00,531.75,531.75,531.75,531.75,84
2024-12-09 09:15:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 09:20:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 09:25:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 09:30:00+00:00,531.75,531.75,531.75,531.75,100
2024-12-09 09:35:00+00:00,531.75,531.75,531.75,531.75,20
2024-12-09 09:40:00+00:00,531.75,531.75,531.75,531.75,0
2024-12-09 09:45:00+00:00,531.75,531.75,531.75,531.75,20
2024-12-09 09:50:00+00:00,531.75,531.75,531.75,531.75,1
2024-12-09 09:55:00+00:00,531.75,531.75,531.75,531.75,38
2024-12-10 03:45:00+00:00,505.2,505.2,505.2,505.2,291
2024-12-10 03:50:00+00:00,505.2,505.2,505.2,505.2,63
2024-12-10 03:55:00+00:00,505.2,505.2,505.2,505.2,17
2024-12-10 04:00:00+00:00,505.2,505.2,505.2,505.2,132
2024-12-10 04:05:00+00:00,505.2,505.2,505.2,505.2,11
2024-12-10 04:10:00+00:00,505.2,505.2,505.2,505.2,2
2024-12-10 04:15:00+00:00,505.2,505.2,505.2,505.2,6
2024-12-10 04:20:00+00:00,505.2,505.2,505.2,505.2,54
2024-12-10 04:25:00+00:00,505.2,505.2,505.2,505.2,3
2024-12-10 04:30:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 04:35:00+00:00,505.2,505.2,505.2,505.2,2
2024-12-10 04:40:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 04:45:00+00:00,505.2,505.2,505.2,505.2,3
2024-12-10 04:50:00+00:00,505.2,505.2,505.2,505.2,49
2024-12-10 04:55:00+00:00,505.2,505.2,505.2,505.2,10
2024-12-10 05:00:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 05:05:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 05:10:00+00:00,505.2,505.2,505.2,505.2,1
2024-12-10 05:15:00+00:00,505.2,505.2,505.2,505.2,2
2024-12-10 05:20:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 05:25:00+00:00,505.2,505.2,505.2,505.2,9
2024-12-10 05:30:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 05:35:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 05:40:00+00:00,505.2,505.2,505.2,505.2,4
2024-12-10 05:45:00+00:00,505.2,505.2,505.2,505.2,1
2024-12-10 05:50:00+00:00,505.2,505.2,505.2,505.2,11
2024-12-10 05:55:00+00:00,505.2,505.2,505.2,505.2,10
2024-12-10 06:00:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 06:05:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 06:10:00+00:00,505.2,505.2,505.2,505.2,2
2024-12-10 06:15:00+00:00,505.2,505.2,505.2,505.2,7
2024-12-10 06:20:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 06:25:00+00:00,505.2,505.2,505.2,505.2,30
2024-12-10 06:30:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 06:35:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 06:40:00+00:00,505.2,505.2,505.2,505.2,1
2024-12-10 06:45:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 06:50:00+00:00,505.2,505.2,505.2,505.2,1
2024-12-10 06:55:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:00:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:05:00+00:00,505.2,505.2,505.2,505.2,2
2024-12-10 07:10:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:15:00+00:00,505.2,505.2,505.2,505.2,1
2024-12-10 07:20:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:25:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:30:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:35:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:40:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:45:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:50:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 07:55:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 08:00:00+00:00,505.2,505.2,505.2,505.2,1
2024-12-10 08:05:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 08:10:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 08:15:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 08:20:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 08:25:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 08:30:00+00:00,505.2,505.2,505.2,505.2,1
2024-12-10 08:35:00+00:00,505.2,505.2,505.2,505.2,15
2024-12-10 08:50:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 08:55:00+00:00,505.2,505.2,505.2,505.2,1
2024-12-10 09:00:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 09:05:00+00:00,505.2,505.2,505.2,505.2,8
2024-12-10 09:10:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 09:15:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 09:20:00+00:00,505.2,505.2,505.2,505.2,100
2024-12-10 09:25:00+00:00,505.2,505.2,505.2,505.2,33
2024-12-10 09:30:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 09:35:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 09:40:00+00:00,505.2,505.2,505.2,505.2,10
2024-12-10 09:45:00+00:00,505.2,505.2,505.2,505.2,0
2024-12-10 09:50:00+00:00,505.2,505.2,505.2,505.2,100
2024-12-10 09:55:00+00:00,505.2,505.2,505.2,505.2,62
2024-12-11 03:45:00+00:00,483.35,526.7,483.35,521.0,30938
2024-12-11 03:50:00+00:00,521.0,530.45,518.0,520.0,56178
2024-12-11 03:55:00+00:00,521.0,527.95,520.0,526.0,6310
2024-12-11 04:00:00+00:00,526.0,527.95,523.0,525.0,5889
2024-12-11 04:05:00+00:00,525.0,530.45,525.0,530.45,7476
2024-12-11 04:10:00+00:00,530.45,530.45,527.0,530.45,14215
2024-12-11 04:15:00+00:00,530.45,530.45,530.45,530.45,3217
2024-12-11 04:20:00+00:00,530.45,530.45,530.45,530.45,211
2024-12-11 04:25:00+00:00,530.45,530.45,530.45,530.45,1663
2024-12-11 04:30:00+00:00,530.45,530.45,530.45,530.45,1765
2024-12-11 04:35:00+00:00,530.45,530.45,530.45,530.45,370
2024-12-11 04:40:00+00:00,530.45,530.45,530.45,530.45,270
2024-12-11 04:45:00+00:00,530.45,530.45,530.45,530.45,388
2024-12-11 04:50:00+00:00,530.45,530.45,530.45,530.45,263
2024-12-11 04:55:00+00:00,530.45,530.45,530.45,530.45,5871
2024-12-11 05:00:00+00:00,530.45,530.45,530.45,530.45,132
2024-12-11 05:05:00+00:00,530.45,530.45,530.45,530.45,162
2024-12-11 05:10:00+00:00,530.45,530.45,530.45,530.45,34
2024-12-11 05:15:00+00:00,530.45,530.45,530.45,530.45,4
2024-12-11 05:20:00+00:00,530.45,530.45,530.45,530.45,51
2024-12-11 05:25:00+00:00,530.45,530.45,530.45,530.45,50
2024-12-11 05:30:00+00:00,530.45,530.45,530.45,530.45,234
2024-12-11 05:35:00+00:00,530.45,530.45,530.45,530.45,3
2024-12-11 05:40:00+00:00,530.45,530.45,530.45,530.45,92
2024-12-11 05:45:00+00:00,530.45,530.45,530.45,530.45,53
2024-12-11 05:50:00+00:00,530.45,530.45,530.45,530.45,39
2024-12-11 05:55:00+00:00,530.45,530.45,530.45,530.45,81
2024-12-11 06:00:00+00:00,530.45,530.45,530.45,530.45,98
2024-12-11 06:05:00+00:00,530.45,530.45,530.45,530.45,18
2024-12-11 06:10:00+00:00,530.45,530.45,530.45,530.45,596
2024-12-11 06:15:00+00:00,530.45,530.45,530.45,530.45,139
2024-12-11 06:20:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 06:25:00+00:00,530.45,530.45,530.45,530.45,53
2024-12-11 06:30:00+00:00,530.45,530.45,530.45,530.45,100
2024-12-11 06:35:00+00:00,530.45,530.45,530.45,530.45,169
2024-12-11 06:40:00+00:00,530.45,530.45,530.45,530.45,261
2024-12-11 06:45:00+00:00,530.45,530.45,530.45,530.45,965
2024-12-11 06:50:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 06:55:00+00:00,530.45,530.45,530.45,530.45,25
2024-12-11 07:00:00+00:00,530.45,530.45,530.45,530.45,281
2024-12-11 07:05:00+00:00,530.45,530.45,530.45,530.45,14
2024-12-11 07:10:00+00:00,530.45,530.45,530.45,530.45,55
2024-12-11 07:15:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 07:20:00+00:00,530.45,530.45,530.45,530.45,1
2024-12-11 07:25:00+00:00,530.45,530.45,530.45,530.45,6
2024-12-11 07:30:00+00:00,530.45,530.45,530.45,530.45,90
2024-12-11 07:35:00+00:00,530.45,530.45,530.45,530.45,469
2024-12-11 07:40:00+00:00,530.45,530.45,530.45,530.45,70
2024-12-11 07:45:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 07:50:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 07:55:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 08:00:00+00:00,530.45,530.45,530.45,530.45,37
2024-12-11 08:05:00+00:00,530.45,530.45,530.45,530.45,85
2024-12-11 08:10:00+00:00,530.45,530.45,530.45,530.45,50
2024-12-11 08:15:00+00:00,530.45,530.45,530.45,530.45,15
2024-12-11 08:20:00+00:00,530.45,530.45,530.45,530.45,9
2024-12-11 08:25:00+00:00,530.45,530.45,530.45,530.45,72
2024-12-11 08:30:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 08:35:00+00:00,530.45,530.45,530.45,530.45,80
2024-12-11 08:40:00+00:00,530.45,530.45,530.45,530.45,14
2024-12-11 08:45:00+00:00,530.45,530.45,530.45,530.45,3
2024-12-11 08:55:00+00:00,530.45,530.45,530.45,530.45,1
2024-12-11 09:00:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 09:05:00+00:00,530.45,530.45,530.45,530.45,110
2024-12-11 09:10:00+00:00,530.45,530.45,530.45,530.45,1
2024-12-11 09:15:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 09:20:00+00:00,530.45,530.45,530.45,530.45,98
2024-12-11 09:25:00+00:00,530.45,530.45,530.45,530.45,31
2024-12-11 09:30:00+00:00,530.45,530.45,530.45,530.45,240
2024-12-11 09:35:00+00:00,530.45,530.45,530.45,530.45,1
2024-12-11 09:40:00+00:00,530.45,530.45,530.45,530.45,608
2024-12-11 09:45:00+00:00,530.45,530.45,530.45,530.45,26
2024-12-11 09:50:00+00:00,530.45,530.45,530.45,530.45,0
2024-12-11 09:55:00+00:00,530.45,530.45,530.45,530.45,12
