,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1709.0,1713.75,1686.1,1700.05,9112
2023-12-18 03:50:00+00:00,1699.95,1711.2,1697.15,1705.65,5186
2023-12-18 03:55:00+00:00,1704.0,1708.75,1701.9,1702.1,2246
2023-12-18 04:00:00+00:00,1702.45,1706.95,1690.05,1690.05,9286
2023-12-18 04:05:00+00:00,1690.1,1706.55,1690.05,1705.95,6134
2023-12-18 04:10:00+00:00,1704.9,1717.95,1704.75,1710.2,5816
2023-12-18 04:15:00+00:00,1710.35,1714.25,1708.35,1710.7,1453
2023-12-18 04:20:00+00:00,1710.65,1710.8,1706.35,1709.55,1979
2023-12-18 04:25:00+00:00,1708.9,1713.05,1706.75,1711.0,55678
2023-12-18 04:30:00+00:00,1710.65,1712.5,1706.05,1707.35,4566
2023-12-18 04:35:00+00:00,1707.4,1710.0,1705.75,1710.0,2606
2023-12-18 04:40:00+00:00,1709.95,1716.95,1709.95,1715.0,9168
2023-12-18 04:45:00+00:00,1714.85,1715.0,1708.35,1709.95,1913
2023-12-18 04:50:00+00:00,1709.95,1713.35,1709.0,1710.6,1378
2023-12-18 04:55:00+00:00,1712.05,1712.05,1709.6,1709.7,1576
2023-12-18 05:00:00+00:00,1709.7,1712.0,1708.0,1709.0,2083
2023-12-18 05:05:00+00:00,1709.55,1710.0,1707.1,1708.65,1108
2023-12-18 05:10:00+00:00,1708.2,1710.0,1708.0,1709.2,1956
2023-12-18 05:15:00+00:00,1709.2,1711.0,1708.4,1708.55,1484
2023-12-18 05:20:00+00:00,1708.55,1711.0,1708.0,1709.85,1424
2023-12-18 05:25:00+00:00,1709.8,1710.0,1707.0,1709.3,1695
2023-12-18 05:30:00+00:00,1709.15,1710.0,1708.15,1709.65,2113
2023-12-18 05:35:00+00:00,1709.5,1710.0,1707.0,1707.95,423
2023-12-18 05:40:00+00:00,1707.7,1708.9,1707.0,1708.0,42617
2023-12-18 05:45:00+00:00,1707.95,1708.0,1707.05,1708.0,847
2023-12-18 05:50:00+00:00,1707.95,1708.0,1707.05,1707.9,674
2023-12-18 05:55:00+00:00,1707.9,1708.3,1707.0,1708.0,1146
2023-12-18 06:00:00+00:00,1707.95,1708.6,1707.15,1708.0,868
2023-12-18 06:05:00+00:00,1707.95,1708.0,1707.1,1707.1,1168
2023-12-18 06:10:00+00:00,1707.05,1709.0,1707.05,1708.0,812
2023-12-18 06:15:00+00:00,1708.0,1708.0,1707.0,1707.05,1914
2023-12-18 06:20:00+00:00,1708.0,1708.25,1707.0,1707.15,855
2023-12-18 06:25:00+00:00,1707.15,1710.25,1707.15,1708.7,5185
2023-12-18 06:30:00+00:00,1708.05,1709.05,1707.1,1708.0,778
2023-12-18 06:35:00+00:00,1707.95,1709.7,1707.15,1707.6,1059
2023-12-18 06:40:00+00:00,1708.0,1709.0,1707.05,1708.2,1228
2023-12-18 06:45:00+00:00,1708.2,1709.95,1708.0,1708.85,834
2023-12-18 06:50:00+00:00,1708.8,1709.55,1708.05,1708.05,790
2023-12-18 06:55:00+00:00,1708.05,1709.65,1708.0,1708.05,984
2023-12-18 07:00:00+00:00,1708.0,1709.2,1707.4,1708.0,2678
2023-12-18 07:05:00+00:00,1708.0,1709.4,1707.65,1708.0,1971
2023-12-18 07:10:00+00:00,1708.0,1709.0,1707.8,1708.0,945
2023-12-18 07:15:00+00:00,1707.95,1709.0,1707.65,1707.95,1581
2023-12-18 07:20:00+00:00,1707.95,1708.0,1707.0,1707.0,580
2023-12-18 07:25:00+00:00,1707.0,1708.35,1707.0,1707.3,2750
2023-12-18 07:30:00+00:00,1707.85,1708.95,1707.5,1707.95,3078
2023-12-18 07:35:00+00:00,1707.95,1708.0,1705.0,1706.9,1050
2023-12-18 07:40:00+00:00,1706.9,1708.0,1706.55,1707.0,877
2023-12-18 07:45:00+00:00,1707.0,1708.0,1705.25,1708.0,2204
2023-12-18 07:50:00+00:00,1707.95,1708.0,1706.0,1707.0,1526
2023-12-18 07:55:00+00:00,1707.0,1708.0,1705.15,1705.5,1027
2023-12-18 08:00:00+00:00,1705.55,1707.95,1705.05,1705.8,8115
2023-12-18 08:05:00+00:00,1705.8,1707.9,1704.5,1705.8,52811
2023-12-18 08:10:00+00:00,1705.8,1708.0,1704.1,1708.0,1264
2023-12-18 08:15:00+00:00,1707.95,1708.95,1704.75,1707.0,2316
2023-12-18 08:20:00+00:00,1707.0,1711.0,1705.0,1708.0,7757
2023-12-18 08:25:00+00:00,1708.0,1708.0,1705.3,1706.6,808
2023-12-18 08:30:00+00:00,1706.2,1707.0,1705.15,1706.95,1225
2023-12-18 08:35:00+00:00,1706.95,1707.0,1705.1,1706.95,1158
2023-12-18 08:40:00+00:00,1706.9,1714.5,1705.7,1710.0,34255
2023-12-18 08:45:00+00:00,1710.35,1712.85,1710.0,1711.75,3502
2023-12-18 08:50:00+00:00,1710.95,1737.9,1710.95,1723.75,28322
2023-12-18 08:55:00+00:00,1724.3,1727.05,1711.1,1713.2,11541
2023-12-18 09:00:00+00:00,1712.05,1715.0,1708.5,1712.05,6686
2023-12-18 09:05:00+00:00,1712.7,1721.0,1711.0,1721.0,12465
2023-12-18 09:10:00+00:00,1721.0,1734.0,1717.4,1723.2,19089
2023-12-18 09:15:00+00:00,1723.2,1730.0,1718.1,1722.65,5925
2023-12-18 09:20:00+00:00,1722.65,1723.05,1718.0,1720.4,4746
2023-12-18 09:25:00+00:00,1720.4,1724.3,1718.2,1718.2,6125
2023-12-18 09:30:00+00:00,1718.2,1728.3,1717.05,1722.05,6545
2023-12-18 09:35:00+00:00,1722.05,1729.35,1721.15,1723.9,12266
2023-12-18 09:40:00+00:00,1723.9,1726.0,1717.45,1724.55,7711
2023-12-18 09:45:00+00:00,1723.8,1729.0,1722.3,1726.05,9517
2023-12-18 09:50:00+00:00,1726.6,1729.8,1718.15,1721.9,15312
2023-12-18 09:55:00+00:00,1723.85,1727.0,1713.0,1724.0,8878
2023-12-19 03:45:00+00:00,1727.7,1740.0,1715.0,1723.35,10990
2023-12-19 03:50:00+00:00,1723.35,1726.7,1719.2,1721.75,3447
2023-12-19 03:55:00+00:00,1720.85,1729.5,1719.95,1727.75,3455
2023-12-19 04:00:00+00:00,1727.75,1731.3,1723.2,1728.3,4180
2023-12-19 04:05:00+00:00,1727.75,1729.7,1722.0,1722.7,7646
2023-12-19 04:10:00+00:00,1722.75,1727.9,1721.35,1726.85,4044
2023-12-19 04:15:00+00:00,1725.95,1731.6,1724.0,1724.8,6334
2023-12-19 04:20:00+00:00,1724.8,1726.1,1719.25,1719.9,1887
2023-12-19 04:25:00+00:00,1720.0,1720.75,1712.7,1715.95,6515
2023-12-19 04:30:00+00:00,1717.75,1717.75,1711.25,1713.7,5278
2023-12-19 04:35:00+00:00,1713.7,1714.35,1706.75,1706.75,3166
2023-12-19 04:40:00+00:00,1706.75,1715.0,1706.3,1712.2,1959
2023-12-19 04:45:00+00:00,1711.55,1716.45,1711.4,1715.0,1170
2023-12-19 04:50:00+00:00,1715.0,1717.9,1711.0,1711.0,2433
2023-12-19 04:55:00+00:00,1712.4,1714.0,1710.2,1710.25,475
2023-12-19 05:00:00+00:00,1710.25,1712.15,1707.1,1711.0,1795
2023-12-19 05:05:00+00:00,1711.0,1713.45,1710.8,1711.0,554
2023-12-19 05:10:00+00:00,1711.0,1713.5,1709.8,1712.05,499
2023-12-19 05:15:00+00:00,1712.05,1712.05,1707.55,1707.55,796
2023-12-19 05:20:00+00:00,1707.55,1710.7,1704.0,1709.25,4612
2023-12-19 05:25:00+00:00,1708.35,1711.2,1707.85,1707.85,541
2023-12-19 05:30:00+00:00,1707.85,1708.15,1706.7,1707.1,734
2023-12-19 05:35:00+00:00,1706.85,1710.3,1706.85,1709.95,590
2023-12-19 05:40:00+00:00,1709.95,1711.2,1708.0,1710.15,899
2023-12-19 05:45:00+00:00,1710.15,1710.15,1708.0,1708.1,1602
2023-12-19 05:50:00+00:00,1708.1,1710.4,1702.0,1702.4,4915
2023-12-19 05:55:00+00:00,1702.4,1707.9,1702.4,1707.65,1183
2023-12-19 06:00:00+00:00,1707.65,1708.0,1706.05,1707.6,599
2023-12-19 06:05:00+00:00,1707.6,1708.85,1706.05,1708.0,662
2023-12-19 06:10:00+00:00,1708.0,1710.8,1707.0,1707.4,1174
2023-12-19 06:15:00+00:00,1707.4,1709.45,1706.0,1708.3,25414
2023-12-19 06:20:00+00:00,1708.3,1712.6,1708.0,1710.95,1137
2023-12-19 06:25:00+00:00,1709.7,1714.8,1709.7,1713.2,1658
2023-12-19 06:30:00+00:00,1713.0,1714.2,1708.0,1709.0,1616
2023-12-19 06:35:00+00:00,1709.0,1710.0,1705.35,1706.35,2265
2023-12-19 06:40:00+00:00,1706.35,1709.7,1706.35,1709.15,416
2023-12-19 06:45:00+00:00,1709.15,1710.0,1707.55,1709.0,100
2023-12-19 06:50:00+00:00,1708.15,1710.0,1706.55,1707.15,348
2023-12-19 06:55:00+00:00,1707.05,1709.4,1707.05,1708.6,370
2023-12-19 07:00:00+00:00,1708.6,1708.95,1707.7,1708.2,252
2023-12-19 07:05:00+00:00,1708.2,1708.9,1707.0,1708.0,306
2023-12-19 07:10:00+00:00,1708.0,1709.4,1707.05,1709.05,792
2023-12-19 07:15:00+00:00,1709.05,1711.15,1708.55,1709.3,330
2023-12-19 07:20:00+00:00,1709.3,1710.2,1707.25,1708.65,527
2023-12-19 07:25:00+00:00,1708.65,1711.0,1707.25,1709.45,243
2023-12-19 07:30:00+00:00,1709.45,1710.05,1707.3,1707.3,152
2023-12-19 07:35:00+00:00,1707.0,1707.45,1702.3,1702.3,1990
