,open,high,low,close,volume
2023-12-18 03:45:00+00:00,533.05,548.0,533.05,546.0,22138
2023-12-18 03:50:00+00:00,545.25,556.3,543.65,553.3,39924
2023-12-18 03:55:00+00:00,553.8,559.7,551.2,555.9,32085
2023-12-18 04:00:00+00:00,556.75,556.75,550.35,555.55,16475
2023-12-18 04:05:00+00:00,555.55,561.85,554.1,557.0,20935
2023-12-18 04:10:00+00:00,557.85,559.15,554.25,555.2,7649
2023-12-18 04:15:00+00:00,555.2,556.7,552.1,556.55,4933
2023-12-18 04:20:00+00:00,556.35,563.0,555.5,562.95,21050
2023-12-18 04:25:00+00:00,563.35,569.15,561.1,568.9,36675
2023-12-18 04:30:00+00:00,568.9,572.6,566.2,569.95,25764
2023-12-18 04:35:00+00:00,569.25,572.4,568.15,571.4,29375
2023-12-18 04:40:00+00:00,572.6,580.0,568.65,579.25,64790
2023-12-18 04:45:00+00:00,579.5,583.0,574.0,576.3,54986
2023-12-18 04:50:00+00:00,576.3,578.15,571.3,575.0,27277
2023-12-18 04:55:00+00:00,574.05,579.95,574.0,578.85,25354
2023-12-18 05:00:00+00:00,578.85,594.0,578.7,589.1,86448
2023-12-18 05:05:00+00:00,589.1,592.0,585.5,591.3,29714
2023-12-18 05:10:00+00:00,592.0,592.0,588.0,589.85,18029
2023-12-18 05:15:00+00:00,589.85,592.3,587.4,591.8,25124
2023-12-18 05:20:00+00:00,591.8,595.0,591.5,592.9,43725
2023-12-18 05:25:00+00:00,592.9,595.7,592.2,593.15,24183
2023-12-18 05:30:00+00:00,593.15,593.45,588.7,589.8,23212
2023-12-18 05:35:00+00:00,589.1,592.8,589.05,589.4,13769
2023-12-18 05:40:00+00:00,589.3,591.1,586.95,590.3,14216
2023-12-18 05:45:00+00:00,590.3,590.3,585.0,585.0,36092
2023-12-18 05:50:00+00:00,584.95,586.0,583.25,583.35,13943
2023-12-18 05:55:00+00:00,584.0,588.9,583.35,587.5,8941
2023-12-18 06:00:00+00:00,587.5,588.05,585.1,586.95,4983
2023-12-18 06:05:00+00:00,586.95,590.0,586.1,589.3,10542
2023-12-18 06:10:00+00:00,589.9,592.0,588.35,590.6,12076
