,open,high,low,close,volume
2023-12-18 03:45:00+00:00,225.0,227.5,225.0,227.2,2130
2023-12-18 03:50:00+00:00,227.2,227.2,226.5,226.5,164
2023-12-18 03:55:00+00:00,226.5,228.45,226.5,227.75,3405
2023-12-18 04:00:00+00:00,227.75,228.45,227.0,228.45,1385
2023-12-18 04:05:00+00:00,228.35,229.55,228.15,228.75,2634
2023-12-18 04:10:00+00:00,228.75,228.75,227.65,227.85,236
2023-12-18 04:15:00+00:00,227.85,228.3,227.8,227.8,43
2023-12-18 04:20:00+00:00,228.0,228.0,226.35,226.35,394
2023-12-18 04:25:00+00:00,226.35,226.8,226.35,226.7,253
2023-12-18 04:30:00+00:00,226.7,226.85,226.7,226.85,100
2023-12-18 04:35:00+00:00,226.85,229.0,226.85,228.7,3391
2023-12-18 04:40:00+00:00,228.65,228.7,227.8,227.8,357
2023-12-18 04:45:00+00:00,227.7,227.85,226.6,227.4,744
2023-12-18 04:50:00+00:00,227.6,227.7,226.85,227.65,89
2023-12-18 04:55:00+00:00,227.65,227.75,227.35,227.75,63
2023-12-18 05:00:00+00:00,227.75,227.75,227.35,227.75,150
2023-12-18 05:05:00+00:00,227.75,227.75,227.75,227.75,206
2023-12-18 05:10:00+00:00,227.75,228.0,227.75,228.0,318
2023-12-18 05:15:00+00:00,228.0,228.25,228.0,228.25,112
2023-12-18 05:20:00+00:00,228.25,229.0,225.55,227.15,2733
2023-12-18 05:25:00+00:00,227.15,228.45,227.0,227.25,1215
2023-12-18 05:30:00+00:00,227.25,227.8,227.25,227.7,29
2023-12-18 05:35:00+00:00,227.7,227.7,227.0,227.0,117
2023-12-18 05:40:00+00:00,227.0,227.65,227.0,227.65,10
2023-12-18 05:45:00+00:00,227.65,227.7,227.15,227.7,54
2023-12-18 05:50:00+00:00,227.7,228.0,227.7,227.75,243
2023-12-18 05:55:00+00:00,227.75,227.75,227.75,227.75,0
2023-12-18 06:00:00+00:00,227.7,227.7,227.7,227.7,14
2023-12-18 06:05:00+00:00,227.7,227.7,227.7,227.7,0
