,open,high,low,close,volume
2023-12-18 03:45:00+00:00,391.65,392.0,378.65,391.35,42474
2023-12-18 03:50:00+00:00,391.35,400.15,389.55,400.0,55422
2023-12-18 03:55:00+00:00,400.15,401.5,391.85,392.9,40554
2023-12-18 04:00:00+00:00,392.35,398.35,391.75,397.8,12930
2023-12-18 04:05:00+00:00,398.35,399.85,395.35,396.05,15666
2023-12-18 04:10:00+00:00,396.0,396.65,394.15,395.0,10062
2023-12-18 04:15:00+00:00,395.05,395.2,393.0,395.0,13188
2023-12-18 04:20:00+00:00,393.8,394.65,391.3,391.3,15240
2023-12-18 04:25:00+00:00,391.3,392.25,389.85,389.9,14550
2023-12-18 04:30:00+00:00,389.9,392.4,388.6,390.0,8004
2023-12-18 04:35:00+00:00,391.5,391.5,385.0,385.8,18888
2023-12-18 04:40:00+00:00,385.8,390.0,383.35,385.75,18708
2023-12-18 04:45:00+00:00,385.75,388.15,385.65,387.05,6288
2023-12-18 04:50:00+00:00,387.05,389.15,385.85,388.7,4428
2023-12-18 04:55:00+00:00,389.15,389.7,387.65,389.0,3192
2023-12-18 05:00:00+00:00,389.0,392.5,389.0,392.45,6612
2023-12-18 05:05:00+00:00,392.45,392.45,390.0,391.6,1788
2023-12-18 05:10:00+00:00,391.65,395.3,391.65,395.3,14298
2023-12-18 05:15:00+00:00,395.3,395.3,394.3,395.15,7704
2023-12-18 05:20:00+00:00,395.15,395.85,394.35,395.0,10104
2023-12-18 05:25:00+00:00,395.0,395.1,392.1,394.2,25206
2023-12-18 05:30:00+00:00,394.2,395.25,394.15,394.75,3528
2023-12-18 05:35:00+00:00,394.75,395.15,394.15,394.4,3120
2023-12-18 05:40:00+00:00,394.4,395.0,394.15,394.35,1080
2023-12-18 05:45:00+00:00,394.35,395.8,394.15,395.75,2808
2023-12-18 05:50:00+00:00,395.75,395.75,394.4,395.0,1836
2023-12-18 05:55:00+00:00,395.6,395.75,395.0,395.5,1416
2023-12-18 06:00:00+00:00,395.35,396.4,395.15,395.85,3882
2023-12-18 06:05:00+00:00,395.85,397.6,395.85,397.35,14520
2023-12-18 06:10:00+00:00,397.35,400.85,397.35,400.0,35574
2023-12-18 06:15:00+00:00,400.0,400.75,400.0,400.75,13494
2023-12-18 06:20:00+00:00,400.8,400.85,400.0,400.65,8544
2023-12-18 06:25:00+00:00,400.65,401.85,400.1,401.25,21480
2023-12-18 06:30:00+00:00,400.4,402.35,400.4,401.65,5688
2023-12-18 06:35:00+00:00,401.65,402.0,399.75,400.05,16092
2023-12-18 06:40:00+00:00,400.05,400.45,396.8,397.5,3798
2023-12-18 06:45:00+00:00,397.5,399.0,397.0,397.5,7728
2023-12-18 06:50:00+00:00,397.5,397.5,391.35,395.4,21564
2023-12-18 06:55:00+00:00,394.8,395.5,390.0,393.1,22050
2023-12-18 07:00:00+00:00,393.1,393.7,389.25,392.55,4488
2023-12-18 07:05:00+00:00,392.55,393.65,391.3,391.65,1554
2023-12-18 07:10:00+00:00,391.65,406.65,390.25,403.9,253836
2023-12-18 07:15:00+00:00,404.15,419.5,402.95,419.0,420648
2023-12-18 07:20:00+00:00,419.0,421.65,412.85,418.7,324402
2023-12-18 07:25:00+00:00,419.15,424.15,416.65,424.15,292362
2023-12-18 07:30:00+00:00,424.15,424.15,424.15,424.15,29700
2023-12-18 07:35:00+00:00,424.15,424.15,424.15,424.15,5946
2023-12-18 07:40:00+00:00,424.15,424.15,424.15,424.15,1602
2023-12-18 07:45:00+00:00,424.15,424.15,424.15,424.15,2646
2023-12-18 07:50:00+00:00,424.15,424.15,424.15,424.15,576
2023-12-18 07:55:00+00:00,424.15,424.15,424.15,424.15,8850
2023-12-18 08:00:00+00:00,424.15,424.15,424.15,424.15,282
2023-12-18 08:05:00+00:00,424.15,424.15,424.15,424.15,804
2023-12-18 08:10:00+00:00,424.15,424.15,424.15,424.15,1656
2023-12-18 08:15:00+00:00,424.15,424.15,424.15,424.15,498
2023-12-18 08:20:00+00:00,424.15,424.15,424.15,424.15,120
2023-12-18 08:25:00+00:00,424.15,424.15,424.15,424.15,6078
2023-12-18 08:30:00+00:00,424.15,424.15,424.15,424.15,2946
