,open,high,low,close,volume
2023-12-18 03:45:00+00:00,646.65,647.7,642.4,643.65,786826
2023-12-18 03:50:00+00:00,643.6,648.8,643.05,648.0,572365
2023-12-18 03:55:00+00:00,647.85,651.0,646.3,651.0,524898
2023-12-18 04:00:00+00:00,650.85,650.95,646.4,646.4,616609
2023-12-18 04:05:00+00:00,646.6,649.05,646.45,647.65,216970
2023-12-18 04:10:00+00:00,647.65,651.4,647.45,650.8,390259
2023-12-18 04:15:00+00:00,650.85,651.1,648.1,648.75,294061
2023-12-18 04:20:00+00:00,648.65,648.9,647.35,647.9,167493
2023-12-18 04:25:00+00:00,648.0,648.8,647.0,648.5,219652
2023-12-18 04:30:00+00:00,648.2,649.35,648.0,648.95,129460
2023-12-18 04:35:00+00:00,648.95,648.95,647.5,647.7,116570
2023-12-18 04:40:00+00:00,647.7,648.55,647.5,648.4,79304
2023-12-18 04:45:00+00:00,648.4,648.8,648.0,648.25,116804
2023-12-18 04:50:00+00:00,648.25,652.8,648.1,652.7,660563
2023-12-18 04:55:00+00:00,652.8,655.0,652.6,654.5,975794
2023-12-18 05:00:00+00:00,654.6,655.65,653.0,655.15,571225
2023-12-18 05:05:00+00:00,655.05,655.3,650.8,651.4,609699
2023-12-18 05:10:00+00:00,651.35,652.65,651.0,652.6,268295
2023-12-18 05:15:00+00:00,652.55,652.85,652.0,652.4,171689
2023-12-18 05:20:00+00:00,652.4,653.65,652.4,653.5,189863
2023-12-18 05:25:00+00:00,653.4,653.9,653.0,653.2,174582
2023-12-18 05:30:00+00:00,653.2,653.4,652.15,652.85,113023
2023-12-18 05:35:00+00:00,652.7,653.2,651.75,651.75,155881
2023-12-18 05:40:00+00:00,651.75,652.35,651.7,651.95,96318
2023-12-18 05:45:00+00:00,651.95,652.4,651.75,651.85,148151
2023-12-18 05:50:00+00:00,651.95,652.15,651.25,651.8,95426
2023-12-18 05:55:00+00:00,651.8,654.0,651.8,654.0,165075
2023-12-18 06:00:00+00:00,654.0,654.0,652.7,653.15,89775
2023-12-18 06:05:00+00:00,653.05,653.35,652.6,652.65,78726
2023-12-18 06:10:00+00:00,652.65,652.9,652.05,652.65,85177
2023-12-18 06:15:00+00:00,652.5,652.9,652.15,652.35,60070
2023-12-18 06:20:00+00:00,652.25,653.0,652.25,652.4,82829
2023-12-18 06:25:00+00:00,652.4,652.45,650.85,650.95,156660
2023-12-18 06:30:00+00:00,650.95,651.45,650.8,651.1,111295
2023-12-18 06:35:00+00:00,651.25,651.75,651.0,651.0,114720
2023-12-18 06:40:00+00:00,651.05,651.3,650.45,651.15,100441
2023-12-18 06:45:00+00:00,651.05,651.75,651.05,651.2,64912
2023-12-18 06:50:00+00:00,651.2,651.45,650.7,651.15,127217
2023-12-18 06:55:00+00:00,651.0,651.25,649.3,649.55,175600
2023-12-18 07:00:00+00:00,649.55,650.25,649.0,649.4,192558
2023-12-18 07:05:00+00:00,649.4,650.4,649.4,650.0,112696
2023-12-18 07:10:00+00:00,650.2,650.85,649.95,650.05,114254
2023-12-18 07:15:00+00:00,650.1,650.5,649.8,650.1,51210
2023-12-18 07:20:00+00:00,650.1,650.3,649.2,650.0,95398
2023-12-18 07:25:00+00:00,650.0,650.4,649.7,650.0,65099
2023-12-18 07:30:00+00:00,650.0,650.0,648.3,648.5,131129
2023-12-18 07:35:00+00:00,648.6,648.9,647.0,647.65,329808
2023-12-18 07:40:00+00:00,647.8,648.2,647.05,647.4,144362
2023-12-18 07:45:00+00:00,647.45,649.05,647.3,648.65,110826
2023-12-18 07:50:00+00:00,648.7,649.4,648.65,648.9,78971
2023-12-18 07:55:00+00:00,649.0,650.85,648.8,650.65,183342
2023-12-18 08:00:00+00:00,650.55,650.65,649.25,649.5,114710
2023-12-18 08:05:00+00:00,649.5,649.65,648.85,649.35,67017
2023-12-18 08:10:00+00:00,649.45,649.8,648.95,649.35,108389
2023-12-18 08:15:00+00:00,649.35,649.65,649.0,649.5,65837
2023-12-18 08:20:00+00:00,649.5,649.8,649.15,649.55,52259
2023-12-18 08:25:00+00:00,649.3,649.95,649.3,649.7,41844
2023-12-18 08:30:00+00:00,649.7,651.0,649.5,650.4,153732
2023-12-18 08:35:00+00:00,650.45,650.7,649.6,650.05,157737
2023-12-18 08:40:00+00:00,650.2,652.1,650.0,651.4,545352
2023-12-18 08:45:00+00:00,651.6,651.7,650.8,651.0,278709
2023-12-18 08:50:00+00:00,651.05,651.4,650.4,651.2,84065
2023-12-18 08:55:00+00:00,651.2,651.75,650.85,651.55,98471
2023-12-18 09:00:00+00:00,651.55,651.8,650.7,651.45,135803
2023-12-18 09:05:00+00:00,651.7,651.75,650.7,650.7,124552
2023-12-18 09:10:00+00:00,650.5,650.65,648.8,649.0,186755
2023-12-18 09:15:00+00:00,649.0,649.85,648.6,649.6,183594
2023-12-18 09:20:00+00:00,649.6,649.8,648.7,649.0,146049
2023-12-18 09:25:00+00:00,649.15,649.4,648.7,649.2,120215
2023-12-18 09:30:00+00:00,649.05,649.5,648.25,648.95,239273
2023-12-18 09:35:00+00:00,648.9,649.8,648.75,649.05,219073
2023-12-18 09:40:00+00:00,649.25,649.65,649.0,649.45,190720
2023-12-18 09:45:00+00:00,649.5,649.5,648.05,648.65,459174
2023-12-18 09:50:00+00:00,648.55,648.6,647.55,647.7,369773
2023-12-18 09:55:00+00:00,647.55,648.15,647.0,647.6,360322
2023-12-19 03:45:00+00:00,648.5,651.2,646.95,651.15,573822
2023-12-19 03:50:00+00:00,651.6,652.4,649.5,649.65,365794
2023-12-19 03:55:00+00:00,649.8,649.95,647.5,647.9,285004
2023-12-19 04:00:00+00:00,647.7,648.4,647.3,647.75,162984
2023-12-19 04:05:00+00:00,647.75,647.8,644.1,644.65,522794
2023-12-19 04:10:00+00:00,644.55,645.8,642.4,643.05,313372
2023-12-19 04:15:00+00:00,643.05,646.0,643.0,645.3,251597
2023-12-19 04:20:00+00:00,645.3,645.8,644.25,644.25,208013
2023-12-19 04:25:00+00:00,644.5,645.4,643.8,645.05,118827
2023-12-19 04:30:00+00:00,645.05,645.2,640.6,640.95,427122
