,open,high,low,close,volume
2023-12-18 03:45:00+00:00,335.65,337.35,331.2,331.2,3199
2023-12-18 03:50:00+00:00,331.75,335.8,331.05,332.75,1275
2023-12-18 03:55:00+00:00,331.3,334.05,331.3,334.05,301
2023-12-18 04:00:00+00:00,334.05,335.25,331.75,333.7,493
2023-12-18 04:05:00+00:00,331.75,331.75,330.8,331.45,333
2023-12-18 04:10:00+00:00,331.45,331.75,329.85,330.75,479
2023-12-18 04:15:00+00:00,330.75,331.75,330.0,331.25,633
2023-12-18 04:20:00+00:00,331.25,331.25,327.2,328.65,1142
2023-12-18 04:25:00+00:00,328.65,328.65,327.05,328.4,233
2023-12-18 04:30:00+00:00,328.4,328.85,328.35,328.85,377
2023-12-18 04:35:00+00:00,328.85,328.85,327.1,327.85,262
2023-12-18 04:40:00+00:00,327.85,328.85,327.85,328.35,1638
2023-12-18 04:45:00+00:00,328.35,328.35,323.5,327.15,1063
2023-12-18 04:50:00+00:00,327.15,327.15,327.15,327.15,0
2023-12-18 04:55:00+00:00,327.15,327.15,324.1,324.9,761
2023-12-18 05:00:00+00:00,324.9,325.45,323.8,323.8,420
2023-12-18 05:05:00+00:00,323.8,323.95,323.8,323.95,69
2023-12-18 05:10:00+00:00,323.95,323.95,320.05,321.15,2666
2023-12-18 05:15:00+00:00,321.15,321.5,320.85,321.5,140
2023-12-18 05:20:00+00:00,321.5,321.5,320.05,321.2,344
2023-12-18 05:25:00+00:00,321.2,321.25,321.05,321.05,425
2023-12-18 05:30:00+00:00,320.95,320.95,319.1,320.5,262
2023-12-18 05:35:00+00:00,320.05,320.05,313.75,313.75,4470
2023-12-18 05:40:00+00:00,313.75,317.25,313.75,316.15,749
2023-12-18 05:45:00+00:00,316.1,318.4,315.65,318.4,6750
2023-12-18 05:50:00+00:00,318.4,320.3,318.35,320.3,83
2023-12-18 05:55:00+00:00,320.3,320.3,319.1,320.0,1697
2023-12-18 06:00:00+00:00,320.25,320.25,320.25,320.25,11
2023-12-18 06:05:00+00:00,320.25,320.5,320.2,320.2,184
2023-12-18 06:10:00+00:00,320.2,320.2,319.6,319.6,82
2023-12-18 06:15:00+00:00,319.6,320.2,319.6,320.2,31
2023-12-18 06:20:00+00:00,320.2,320.2,320.05,320.05,393
2023-12-18 06:25:00+00:00,320.05,320.05,319.75,319.75,514
2023-12-18 06:30:00+00:00,319.75,319.75,318.0,318.5,1912
2023-12-18 06:35:00+00:00,318.5,319.3,318.5,319.25,125
2023-12-18 06:40:00+00:00,319.25,319.25,319.15,319.15,102
2023-12-18 06:45:00+00:00,319.15,319.15,319.1,319.1,61
2023-12-18 06:50:00+00:00,319.1,319.1,307.9,310.3,8573
2023-12-18 06:55:00+00:00,310.3,315.1,310.3,315.1,1703
2023-12-18 07:00:00+00:00,315.1,316.6,315.1,316.15,733
2023-12-18 07:05:00+00:00,316.3,316.35,315.35,316.1,91
2023-12-18 07:10:00+00:00,316.1,316.95,315.4,316.95,526
2023-12-18 07:15:00+00:00,316.95,316.95,316.3,316.3,215
2023-12-18 07:20:00+00:00,316.3,316.6,316.0,316.5,622
2023-12-18 07:25:00+00:00,316.5,316.5,315.35,315.35,103
2023-12-18 07:30:00+00:00,315.35,316.95,315.35,316.95,221
2023-12-18 07:35:00+00:00,315.35,315.35,315.1,315.1,302
2023-12-18 07:40:00+00:00,315.1,316.1,315.1,316.1,185
2023-12-18 07:45:00+00:00,316.1,316.9,316.1,316.9,123
2023-12-18 07:50:00+00:00,316.9,317.2,316.35,317.0,425
2023-12-18 07:55:00+00:00,317.0,317.5,316.45,316.45,106
2023-12-18 08:00:00+00:00,316.45,317.6,316.45,317.6,32
2023-12-18 08:05:00+00:00,319.05,319.6,319.05,319.5,1161
2023-12-18 08:10:00+00:00,319.35,319.35,318.05,319.05,14
2023-12-18 08:15:00+00:00,319.05,319.05,317.65,318.2,1577
2023-12-18 08:20:00+00:00,318.2,318.2,318.2,318.2,0
2023-12-18 08:25:00+00:00,318.2,318.2,318.2,318.2,112
2023-12-18 08:30:00+00:00,318.2,318.45,317.8,317.8,108
2023-12-18 08:35:00+00:00,317.8,317.85,317.8,317.85,0
2023-12-18 08:40:00+00:00,317.85,319.15,317.8,318.9,484
2023-12-18 08:45:00+00:00,318.9,320.65,318.9,320.65,1145
2023-12-18 08:50:00+00:00,320.65,320.85,320.65,320.85,109
2023-12-18 08:55:00+00:00,320.85,320.85,320.2,320.2,11
2023-12-18 09:00:00+00:00,320.2,320.85,320.05,320.05,37
2023-12-18 09:05:00+00:00,320.05,320.05,320.05,320.05,0
2023-12-18 09:10:00+00:00,320.05,320.05,320.05,320.05,0
2023-12-18 09:15:00+00:00,320.05,320.55,320.05,320.05,83
2023-12-18 09:20:00+00:00,320.5,320.55,320.05,320.55,30
2023-12-18 09:25:00+00:00,320.55,321.7,320.55,321.7,494
2023-12-18 09:30:00+00:00,321.7,321.7,320.55,321.55,1216
2023-12-18 09:35:00+00:00,321.55,321.55,320.55,320.55,9
2023-12-18 09:40:00+00:00,320.55,320.65,320.55,320.65,621
2023-12-18 09:45:00+00:00,320.65,322.0,320.65,321.5,595
2023-12-18 09:50:00+00:00,321.5,322.0,321.15,322.0,1892
2023-12-18 09:55:00+00:00,322.0,322.0,320.05,321.8,1349
2023-12-19 03:45:00+00:00,321.15,321.15,313.2,320.7,310
2023-12-19 03:50:00+00:00,320.7,321.15,319.65,319.65,17
2023-12-19 03:55:00+00:00,319.65,319.65,317.75,319.05,169
2023-12-19 04:00:00+00:00,318.9,319.5,316.65,318.25,1212
2023-12-19 04:05:00+00:00,318.25,319.1,315.7,316.2,772
2023-12-19 04:10:00+00:00,316.2,317.55,316.2,317.35,310
2023-12-19 04:15:00+00:00,317.35,317.35,316.1,316.1,4
2023-12-19 04:20:00+00:00,316.1,317.15,316.1,317.15,8
2023-12-19 04:25:00+00:00,317.15,317.15,317.15,317.15,0
2023-12-19 04:30:00+00:00,317.15,317.15,315.25,315.25,516
2023-12-19 04:35:00+00:00,315.25,316.35,315.25,315.35,188
2023-12-19 04:40:00+00:00,315.35,315.35,315.35,315.35,0
2023-12-19 04:45:00+00:00,315.35,316.2,315.35,316.2,1
2023-12-19 04:50:00+00:00,316.2,316.95,315.85,316.75,138
2023-12-19 04:55:00+00:00,316.75,316.75,315.15,315.15,892
2023-12-19 05:00:00+00:00,315.15,318.05,315.15,318.05,569
2023-12-19 05:05:00+00:00,314.85,315.45,314.85,315.45,2
2023-12-19 05:10:00+00:00,314.6,315.65,311.7,311.7,950
2023-12-19 05:15:00+00:00,311.7,314.2,311.7,314.2,505
2023-12-19 05:20:00+00:00,314.2,314.2,311.85,311.85,667
2023-12-19 05:25:00+00:00,311.85,314.4,311.85,314.15,248
2023-12-19 05:30:00+00:00,313.85,314.0,313.85,314.0,7
2023-12-19 05:35:00+00:00,314.0,314.2,313.55,313.55,255
2023-12-19 05:40:00+00:00,313.55,313.55,312.2,312.2,822
2023-12-19 05:45:00+00:00,312.2,312.2,308.3,310.3,1224
2023-12-19 05:50:00+00:00,310.3,311.25,309.0,310.3,1575
2023-12-19 05:55:00+00:00,310.3,312.2,309.3,312.2,2359
2023-12-19 06:00:00+00:00,312.2,313.2,311.6,313.2,1140
2023-12-19 06:05:00+00:00,313.2,314.6,312.25,313.85,3603
2023-12-19 06:10:00+00:00,313.85,313.85,312.85,313.45,52
