,open,high,low,close,volume
2023-12-18 03:45:00+00:00,166.3,167.15,165.5,166.6,15312
2023-12-18 03:50:00+00:00,166.6,166.8,165.9,166.65,10650
2023-12-18 03:55:00+00:00,166.65,166.75,166.2,166.5,6714
2023-12-18 04:00:00+00:00,166.2,167.5,166.2,167.2,9102
2023-12-18 04:05:00+00:00,167.35,167.45,167.0,167.05,4446
2023-12-18 04:10:00+00:00,167.05,167.4,167.05,167.35,2814
2023-12-18 04:15:00+00:00,167.35,167.4,167.05,167.05,3096
2023-12-18 04:20:00+00:00,167.25,167.3,167.15,167.15,1020
2023-12-18 04:25:00+00:00,167.15,167.3,166.2,166.85,8622
2023-12-18 04:30:00+00:00,167.0,167.3,167.0,167.15,2118
2023-12-18 04:35:00+00:00,167.15,167.3,167.15,167.3,204
2023-12-18 04:40:00+00:00,167.3,167.3,167.0,167.0,1794
2023-12-18 04:45:00+00:00,167.0,167.1,166.5,166.5,720
2023-12-18 04:50:00+00:00,166.5,166.5,166.3,166.45,1158
2023-12-18 04:55:00+00:00,166.45,166.65,166.2,166.2,744
2023-12-18 05:00:00+00:00,166.2,167.15,166.2,167.1,11574
2023-12-18 05:05:00+00:00,167.1,167.1,166.8,167.0,2886
2023-12-18 05:10:00+00:00,166.85,167.0,166.8,166.8,1188
2023-12-18 05:15:00+00:00,166.8,166.95,166.7,166.75,882
2023-12-18 05:20:00+00:00,166.75,166.85,166.6,166.8,1152
2023-12-18 05:25:00+00:00,166.8,166.8,166.2,166.45,1878
2023-12-18 05:30:00+00:00,166.45,166.65,166.45,166.6,798
2023-12-18 05:35:00+00:00,166.4,166.6,166.4,166.6,390
2023-12-18 05:40:00+00:00,166.6,166.65,166.6,166.65,1944
2023-12-18 05:45:00+00:00,166.65,166.8,166.55,166.65,1644
2023-12-18 05:50:00+00:00,166.65,166.95,166.65,166.85,402
2023-12-18 05:55:00+00:00,166.85,166.95,166.65,166.75,4962
2023-12-18 06:00:00+00:00,166.95,167.15,166.95,167.15,10320
2023-12-18 06:05:00+00:00,167.15,167.35,167.15,167.35,11844
2023-12-18 06:10:00+00:00,167.35,167.4,167.1,167.2,1260
2023-12-18 06:15:00+00:00,167.2,167.35,167.1,167.25,2184
2023-12-18 06:20:00+00:00,167.25,167.25,167.1,167.25,600
2023-12-18 06:25:00+00:00,167.25,167.25,166.9,166.9,4386
2023-12-18 06:30:00+00:00,166.95,167.15,166.95,167.15,2394
2023-12-18 06:35:00+00:00,167.15,167.15,167.0,167.0,78
2023-12-18 06:40:00+00:00,167.0,167.15,167.0,167.0,1710
2023-12-18 06:45:00+00:00,167.0,167.15,167.0,167.15,1284
2023-12-18 06:50:00+00:00,167.15,167.15,167.0,167.05,882
2023-12-18 06:55:00+00:00,167.0,167.05,166.75,166.75,4776
2023-12-18 07:00:00+00:00,166.75,167.0,166.0,166.1,5658
2023-12-18 07:05:00+00:00,165.9,166.1,165.85,165.85,2424
2023-12-18 07:10:00+00:00,165.75,165.8,165.5,165.65,5952
2023-12-18 07:15:00+00:00,165.65,165.8,165.6,165.8,2220
2023-12-18 07:20:00+00:00,165.8,165.85,165.75,165.85,234
2023-12-18 07:25:00+00:00,165.85,165.85,165.8,165.85,2580
2023-12-18 07:30:00+00:00,165.85,166.05,165.85,165.85,1182
2023-12-18 07:35:00+00:00,165.85,165.85,165.6,165.8,6636
2023-12-18 07:40:00+00:00,165.8,165.9,165.75,165.75,180
2023-12-18 07:45:00+00:00,165.75,166.15,165.75,166.15,2112
2023-12-18 07:50:00+00:00,166.15,166.15,165.75,165.75,210
2023-12-18 07:55:00+00:00,165.75,166.0,165.5,165.7,1662
2023-12-18 08:00:00+00:00,165.7,166.1,165.7,166.1,492
2023-12-18 08:05:00+00:00,166.1,166.3,166.1,166.15,600
2023-12-18 08:10:00+00:00,166.15,166.3,166.1,166.3,1632
2023-12-18 08:15:00+00:00,166.3,166.3,165.85,166.05,4626
2023-12-18 08:20:00+00:00,166.05,166.05,165.85,165.85,438
