,open,high,low,close,volume
2023-12-18 03:45:00+00:00,623.6,628.4,623.6,626.9,330
2023-12-18 03:50:00+00:00,626.9,629.75,625.85,628.45,224
2023-12-18 03:55:00+00:00,628.6,628.9,627.85,628.9,61
2023-12-18 04:00:00+00:00,628.9,628.9,626.55,627.3,24
2023-12-18 04:05:00+00:00,627.3,627.3,627.3,627.3,0
2023-12-18 04:10:00+00:00,627.3,628.1,627.3,628.1,9
2023-12-18 04:15:00+00:00,627.5,628.95,627.2,628.55,29
2023-12-18 04:20:00+00:00,628.55,629.75,627.45,629.75,47
2023-12-18 04:25:00+00:00,629.75,629.75,629.6,629.6,0
2023-12-18 04:30:00+00:00,629.6,629.6,629.6,629.6,4
2023-12-18 04:35:00+00:00,629.6,629.6,629.45,629.45,1
2023-12-18 04:40:00+00:00,629.45,629.45,627.3,628.45,118
2023-12-18 04:45:00+00:00,628.45,629.5,628.45,629.0,57
2023-12-18 04:50:00+00:00,629.0,629.0,629.0,629.0,0
2023-12-18 04:55:00+00:00,629.0,633.45,629.0,632.3,878
2023-12-18 05:00:00+00:00,632.3,632.3,632.3,632.3,0
2023-12-18 05:05:00+00:00,632.9,633.15,630.95,630.95,57
2023-12-18 05:10:00+00:00,630.95,632.3,630.95,632.3,17
2023-12-18 05:15:00+00:00,632.3,632.3,631.9,631.9,1
2023-12-18 05:20:00+00:00,631.9,631.9,630.4,631.0,4
2023-12-18 05:25:00+00:00,631.0,632.45,631.0,632.45,88
2023-12-18 05:30:00+00:00,632.45,633.65,632.45,633.65,187
2023-12-18 05:35:00+00:00,633.65,633.65,631.1,631.65,60
2023-12-18 05:40:00+00:00,631.05,631.05,631.05,631.05,8
2023-12-18 05:45:00+00:00,631.05,634.95,631.05,634.95,426
2023-12-18 05:50:00+00:00,634.95,634.95,633.0,633.0,185
2023-12-18 05:55:00+00:00,631.65,631.65,631.1,631.1,96
2023-12-18 06:00:00+00:00,631.1,631.1,631.1,631.1,0
2023-12-18 06:05:00+00:00,631.1,633.0,631.1,633.0,16
2023-12-18 06:10:00+00:00,633.0,633.0,633.0,633.0,0
2023-12-18 06:15:00+00:00,633.0,633.0,629.0,631.65,601
2023-12-18 06:20:00+00:00,631.65,631.65,631.25,631.4,7
2023-12-18 06:25:00+00:00,631.4,632.0,631.4,632.0,15
2023-12-18 06:30:00+00:00,632.0,632.0,630.1,630.1,5
2023-12-18 06:35:00+00:00,630.2,630.2,630.2,630.2,0
2023-12-18 06:40:00+00:00,631.9,631.9,631.9,631.9,7
2023-12-18 06:45:00+00:00,631.9,631.9,631.9,631.9,0
2023-12-18 06:50:00+00:00,631.9,631.9,629.55,629.55,74
2023-12-18 06:55:00+00:00,630.0,630.0,630.0,630.0,144
2023-12-18 07:00:00+00:00,630.0,630.0,630.0,630.0,1
2023-12-18 07:05:00+00:00,630.0,630.0,630.0,630.0,0
2023-12-18 07:10:00+00:00,630.0,630.0,629.0,630.0,155
2023-12-18 07:15:00+00:00,630.0,630.8,629.0,630.8,1011
2023-12-18 07:20:00+00:00,630.8,630.8,630.8,630.8,0
2023-12-18 07:25:00+00:00,629.5,630.6,629.5,630.6,70
2023-12-18 07:30:00+00:00,630.35,630.35,630.35,630.35,1
2023-12-18 07:35:00+00:00,630.35,632.75,630.35,632.1,314
2023-12-18 07:40:00+00:00,634.6,634.8,633.35,634.25,56
2023-12-18 07:45:00+00:00,634.25,634.25,634.25,634.25,2
2023-12-18 07:50:00+00:00,634.85,634.95,634.85,634.95,34
2023-12-18 07:55:00+00:00,634.95,634.95,634.2,634.2,2
2023-12-18 08:00:00+00:00,634.2,634.2,632.05,632.05,92
2023-12-18 08:05:00+00:00,632.05,632.05,632.05,632.05,0
2023-12-18 08:10:00+00:00,632.05,632.05,632.05,632.05,0
2023-12-18 08:15:00+00:00,633.95,633.95,631.6,632.2,1055
2023-12-18 08:20:00+00:00,632.2,633.1,623.0,629.6,1086
2023-12-18 08:25:00+00:00,629.6,630.0,629.6,629.6,37
2023-12-18 08:30:00+00:00,629.6,630.0,628.5,630.0,257
2023-12-18 08:35:00+00:00,630.0,631.45,630.0,631.45,19
2023-12-18 08:40:00+00:00,631.45,631.45,631.45,631.45,0
2023-12-18 08:45:00+00:00,631.45,631.45,630.05,630.9,58
2023-12-18 08:50:00+00:00,630.9,634.35,629.75,633.05,1160
2023-12-18 08:55:00+00:00,633.05,634.9,631.0,631.0,157
2023-12-18 09:00:00+00:00,631.0,631.0,629.15,629.15,20
2023-12-18 09:05:00+00:00,629.15,629.9,629.15,629.9,2
2023-12-18 09:10:00+00:00,629.9,630.85,625.3,626.4,619
2023-12-18 09:15:00+00:00,626.4,626.4,625.85,625.85,8
2023-12-18 09:20:00+00:00,625.85,627.35,625.85,627.35,9
2023-12-18 09:25:00+00:00,627.35,627.35,625.85,627.0,354
2023-12-18 09:30:00+00:00,627.0,627.0,624.0,625.0,223
2023-12-18 09:35:00+00:00,625.0,625.0,624.0,624.0,347
2023-12-18 09:40:00+00:00,624.0,625.0,623.0,624.0,1358
2023-12-18 09:45:00+00:00,630.0,630.0,622.0,624.1,1008
2023-12-18 09:50:00+00:00,624.1,625.45,621.2,624.3,886
2023-12-18 09:55:00+00:00,624.3,630.05,624.3,628.95,320
2023-12-19 03:45:00+00:00,627.5,627.75,625.95,627.75,31
2023-12-19 03:50:00+00:00,627.75,627.9,626.2,627.9,45
2023-12-19 03:55:00+00:00,627.9,627.9,626.75,627.45,106
2023-12-19 04:00:00+00:00,627.45,627.5,625.0,625.0,146
2023-12-19 04:05:00+00:00,624.8,624.8,622.05,623.75,503
2023-12-19 04:10:00+00:00,623.75,623.75,622.1,622.15,15
2023-12-19 04:15:00+00:00,622.15,624.05,620.6,624.05,354
2023-12-19 04:20:00+00:00,624.05,624.05,622.5,622.5,20
2023-12-19 04:25:00+00:00,622.5,622.5,621.4,621.7,135
2023-12-19 04:30:00+00:00,621.7,622.3,621.6,622.25,49
2023-12-19 04:35:00+00:00,622.25,622.3,621.15,622.1,53
2023-12-19 04:40:00+00:00,622.1,622.1,621.75,621.75,27
2023-12-19 04:45:00+00:00,621.75,622.0,617.55,618.95,1159
2023-12-19 04:50:00+00:00,621.7,621.7,617.25,618.95,200
2023-12-19 04:55:00+00:00,618.95,619.0,618.95,619.0,33
2023-12-19 05:00:00+00:00,619.0,620.3,618.5,619.95,121
2023-12-19 05:05:00+00:00,619.95,620.0,617.3,619.15,135
2023-12-19 05:10:00+00:00,619.15,620.95,619.0,620.95,922
2023-12-19 05:15:00+00:00,620.95,622.2,620.95,622.2,2
2023-12-19 05:20:00+00:00,622.2,622.2,622.1,622.1,3
2023-12-19 05:25:00+00:00,622.1,626.45,622.1,626.45,327
2023-12-19 05:30:00+00:00,626.65,626.65,625.8,626.2,3
2023-12-19 05:35:00+00:00,626.2,626.2,625.25,625.25,10
2023-12-19 05:40:00+00:00,625.25,626.3,625.25,626.3,4
2023-12-19 05:45:00+00:00,626.3,627.0,626.3,626.7,211
2023-12-19 05:50:00+00:00,626.7,627.0,626.55,626.55,17
2023-12-19 05:55:00+00:00,626.55,627.0,626.0,626.0,346
2023-12-19 06:00:00+00:00,626.0,627.0,626.0,627.0,113
2023-12-19 06:05:00+00:00,627.0,627.0,626.0,626.0,30
2023-12-19 06:10:00+00:00,626.0,626.0,626.0,626.0,0
2023-12-19 06:15:00+00:00,626.0,627.85,626.0,627.85,659
2023-12-19 06:20:00+00:00,627.85,628.05,627.85,628.0,27
2023-12-19 06:25:00+00:00,628.0,628.4,628.0,628.0,57
2023-12-19 06:30:00+00:00,628.0,631.0,628.0,629.0,1134
2023-12-19 06:35:00+00:00,629.0,629.0,629.0,629.0,0
2023-12-19 06:40:00+00:00,629.0,629.0,625.6,625.6,94
2023-12-19 06:45:00+00:00,625.6,625.6,625.6,625.6,6
2023-12-19 06:50:00+00:00,625.6,625.6,625.15,625.15,0
2023-12-19 06:55:00+00:00,625.15,625.15,625.15,625.15,0
2023-12-19 07:00:00+00:00,625.15,626.7,625.15,626.7,5
2023-12-19 07:05:00+00:00,626.7,626.7,626.7,626.7,0
2023-12-19 07:10:00+00:00,626.7,626.7,626.2,626.2,15
2023-12-19 07:15:00+00:00,626.2,626.2,626.2,626.2,0
2023-12-19 07:20:00+00:00,626.2,626.2,625.3,625.3,89
2023-12-19 07:25:00+00:00,625.3,625.3,625.3,625.3,0
2023-12-19 07:30:00+00:00,625.3,625.3,625.3,625.3,0
2023-12-19 07:35:00+00:00,625.3,627.45,625.3,627.45,47
2023-12-19 07:40:00+00:00,627.45,627.45,624.8,627.45,651
2023-12-19 07:45:00+00:00,627.45,629.65,627.45,629.65,257
2023-12-19 07:50:00+00:00,629.65,631.0,629.1,631.0,203
2023-12-19 07:55:00+00:00,631.0,631.0,630.0,630.0,328
2023-12-19 08:00:00+00:00,630.0,631.0,630.0,631.0,721
2023-12-19 08:05:00+00:00,631.0,631.0,630.0,630.0,290
2023-12-19 08:10:00+00:00,630.0,631.0,630.0,631.0,50
2023-12-19 08:15:00+00:00,631.0,631.0,630.0,630.0,5
2023-12-19 08:20:00+00:00,630.0,630.0,630.0,630.0,61
2023-12-19 08:25:00+00:00,630.0,630.1,630.0,630.1,103
2023-12-19 08:30:00+00:00,630.1,631.0,630.1,631.0,100
2023-12-19 08:35:00+00:00,631.0,631.0,630.0,630.0,48
2023-12-19 08:40:00+00:00,630.0,631.0,630.0,630.0,62
2023-12-19 08:45:00+00:00,630.0,631.0,630.0,631.0,110
2023-12-19 08:50:00+00:00,631.0,631.0,630.0,630.6,330
2023-12-19 08:55:00+00:00,630.6,630.6,630.6,630.6,0
2023-12-19 09:00:00+00:00,630.6,630.6,630.6,630.6,0
2023-12-19 09:05:00+00:00,630.6,630.6,630.6,630.6,0
2023-12-19 09:10:00+00:00,630.0,630.95,630.0,630.95,418
2023-12-19 09:15:00+00:00,630.95,630.95,630.55,630.55,3
2023-12-19 09:20:00+00:00,630.55,631.0,630.25,630.25,10
2023-12-19 09:25:00+00:00,630.25,630.95,630.1,630.95,67
2023-12-19 09:30:00+00:00,630.95,630.95,630.95,630.95,0
2023-12-19 09:35:00+00:00,630.95,630.95,630.0,630.0,100
2023-12-19 09:40:00+00:00,630.0,631.0,630.0,631.0,125
2023-12-19 09:45:00+00:00,631.0,631.0,631.0,631.0,80
2023-12-19 09:50:00+00:00,631.0,631.0,630.0,630.55,99
2023-12-19 09:55:00+00:00,630.55,635.0,630.5,635.0,1623
2023-12-20 03:45:00+00:00,632.6,640.0,632.6,637.0,386
2023-12-20 03:50:00+00:00,637.0,637.0,631.95,634.7,234
2023-12-20 03:55:00+00:00,634.7,634.85,631.15,631.15,200
2023-12-20 04:00:00+00:00,631.15,633.25,631.15,632.4,107
2023-12-20 04:05:00+00:00,632.4,633.3,632.4,632.65,240
2023-12-20 04:10:00+00:00,632.65,632.65,632.4,632.65,1
2023-12-20 04:15:00+00:00,632.65,632.95,632.65,632.95,0
2023-12-20 04:20:00+00:00,632.95,634.85,632.95,634.85,3
2023-12-20 04:25:00+00:00,634.85,634.85,630.95,631.0,223
2023-12-20 04:30:00+00:00,631.0,633.45,631.0,633.45,202
2023-12-20 04:35:00+00:00,633.45,633.45,631.0,632.5,163
2023-12-20 04:40:00+00:00,632.5,635.0,631.95,633.8,329
2023-12-20 04:45:00+00:00,633.8,633.8,633.6,633.6,26
2023-12-20 04:50:00+00:00,633.6,633.6,633.6,633.6,0
2023-12-20 04:55:00+00:00,633.6,633.6,633.5,633.5,2
2023-12-20 05:00:00+00:00,633.5,633.7,633.5,633.7,1
2023-12-20 05:05:00+00:00,633.7,633.7,633.7,633.7,0
2023-12-20 05:10:00+00:00,633.8,633.8,633.8,633.8,40
2023-12-20 05:15:00+00:00,633.8,633.8,633.8,633.8,0
2023-12-20 05:20:00+00:00,635.0,635.0,635.0,635.0,0
2023-12-20 05:25:00+00:00,635.0,635.0,635.0,635.0,0
2023-12-20 05:30:00+00:00,635.0,635.0,630.85,630.85,140
2023-12-20 05:35:00+00:00,630.1,630.1,629.8,629.8,1509
2023-12-20 05:40:00+00:00,629.8,630.0,629.8,630.0,19
2023-12-20 05:45:00+00:00,630.0,630.0,629.1,629.1,15
2023-12-20 05:50:00+00:00,629.1,629.1,629.1,629.1,0
2023-12-20 05:55:00+00:00,629.1,632.75,629.1,632.75,1479
2023-12-20 06:00:00+00:00,633.8,633.8,632.0,633.7,49
2023-12-20 06:05:00+00:00,633.7,633.7,632.05,632.05,29
2023-12-20 06:10:00+00:00,632.05,634.0,632.05,634.0,502
2023-12-20 06:15:00+00:00,634.0,634.0,632.0,632.0,100
2023-12-20 06:20:00+00:00,632.0,632.0,631.6,631.6,68
2023-12-20 06:25:00+00:00,631.6,631.9,631.6,631.9,101
2023-12-20 06:30:00+00:00,631.9,631.9,631.8,631.8,26
2023-12-20 06:35:00+00:00,631.8,631.8,630.1,630.1,90
2023-12-20 06:40:00+00:00,630.1,631.85,630.1,630.1,207
2023-12-20 06:45:00+00:00,630.1,631.8,630.1,631.8,55
2023-12-20 06:50:00+00:00,631.85,631.85,631.85,631.85,0
2023-12-20 06:55:00+00:00,632.0,632.0,632.0,632.0,20
2023-12-20 07:00:00+00:00,632.0,632.0,632.0,632.0,100
2023-12-20 07:05:00+00:00,632.0,632.0,632.0,632.0,98
2023-12-20 07:10:00+00:00,632.0,632.0,632.0,632.0,50
2023-12-20 07:15:00+00:00,632.0,632.0,630.1,630.1,38
2023-12-20 07:20:00+00:00,630.1,630.1,628.0,628.55,673
2023-12-20 07:25:00+00:00,628.6,628.6,626.0,626.0,544
2023-12-20 07:30:00+00:00,626.0,626.0,625.4,625.4,3
2023-12-20 07:35:00+00:00,625.4,625.6,625.0,625.0,99
2023-12-20 07:40:00+00:00,625.0,625.5,625.0,625.5,12
2023-12-20 07:45:00+00:00,625.5,625.5,624.35,624.35,173
2023-12-20 07:50:00+00:00,624.35,625.45,622.95,623.55,129
2023-12-20 07:55:00+00:00,623.55,623.55,618.65,618.95,132
2023-12-20 08:00:00+00:00,618.95,624.45,618.0,621.45,289
2023-12-20 08:05:00+00:00,621.45,621.45,607.45,612.55,1151
2023-12-20 08:10:00+00:00,612.55,618.5,612.55,618.5,442
2023-12-20 08:15:00+00:00,618.5,619.0,612.65,616.5,267
2023-12-20 08:20:00+00:00,616.5,616.5,614.0,614.0,249
2023-12-20 08:25:00+00:00,614.0,616.45,614.0,616.45,32
2023-12-20 08:30:00+00:00,614.5,616.5,610.0,610.0,692
2023-12-20 08:35:00+00:00,610.3,611.0,610.0,610.65,181
2023-12-20 08:40:00+00:00,610.65,611.6,610.0,611.5,489
2023-12-20 08:45:00+00:00,611.5,611.5,610.75,610.75,1
2023-12-20 08:50:00+00:00,610.75,611.95,609.5,611.6,1373
2023-12-20 08:55:00+00:00,611.6,615.15,611.6,615.15,75
2023-12-20 09:00:00+00:00,615.15,615.15,611.35,613.25,254
2023-12-20 09:05:00+00:00,613.25,613.25,606.0,607.7,1248
2023-12-20 09:10:00+00:00,607.7,608.9,605.6,606.45,376
2023-12-20 09:15:00+00:00,606.45,606.9,604.0,606.9,268
2023-12-20 09:20:00+00:00,606.9,606.95,606.85,606.95,409
2023-12-20 09:25:00+00:00,605.9,608.45,605.4,606.1,358
2023-12-20 09:30:00+00:00,606.1,610.0,606.1,609.95,139
2023-12-20 09:35:00+00:00,609.95,609.95,607.4,608.5,502
2023-12-20 09:40:00+00:00,608.5,611.95,608.5,610.25,453
2023-12-20 09:45:00+00:00,610.25,612.0,610.0,611.0,569
2023-12-20 09:50:00+00:00,611.0,611.0,610.0,610.0,550
2023-12-20 09:55:00+00:00,610.05,611.0,609.0,609.0,452
2023-12-21 03:45:00+00:00,613.1,613.1,607.5,610.0,55
2023-12-21 03:50:00+00:00,610.0,615.05,610.0,613.55,160
2023-12-21 03:55:00+00:00,613.55,613.55,611.05,612.1,68
2023-12-21 04:00:00+00:00,612.1,612.1,609.65,609.65,261
2023-12-21 04:05:00+00:00,609.65,609.65,606.6,607.8,167
2023-12-21 04:10:00+00:00,607.5,610.0,606.9,609.55,137
2023-12-21 04:15:00+00:00,609.55,610.0,605.05,607.95,557
2023-12-21 04:20:00+00:00,607.95,608.0,606.8,608.0,21
2023-12-21 04:25:00+00:00,608.0,609.35,608.0,608.05,101
2023-12-21 04:30:00+00:00,608.05,609.95,608.05,609.95,97
2023-12-21 04:35:00+00:00,609.95,611.7,609.9,610.95,1007
2023-12-21 04:40:00+00:00,610.95,614.6,610.95,613.6,36
2023-12-21 04:45:00+00:00,613.6,613.6,613.1,613.1,3
2023-12-21 04:50:00+00:00,613.1,613.1,613.1,613.1,10
2023-12-21 04:55:00+00:00,613.1,613.25,613.1,613.2,2
2023-12-21 05:00:00+00:00,613.2,613.2,610.0,610.0,298
2023-12-21 05:05:00+00:00,610.0,612.1,610.0,610.05,16
2023-12-21 05:10:00+00:00,610.05,610.05,604.6,606.7,1058
2023-12-21 05:15:00+00:00,606.7,609.95,606.7,609.95,108
2023-12-21 05:20:00+00:00,609.95,610.55,608.55,608.55,84
2023-12-21 05:25:00+00:00,608.55,608.55,608.55,608.55,0
2023-12-21 05:30:00+00:00,608.55,610.0,608.55,609.95,61
2023-12-21 05:35:00+00:00,609.95,610.0,609.95,610.0,34
2023-12-21 05:40:00+00:00,610.0,611.6,610.0,611.55,177
2023-12-21 05:45:00+00:00,611.6,611.85,611.45,611.45,53
2023-12-21 05:50:00+00:00,611.45,611.45,611.45,611.45,1
2023-12-21 05:55:00+00:00,611.45,612.15,611.05,612.15,14
2023-12-21 06:00:00+00:00,610.95,612.95,610.95,612.95,52
2023-12-21 06:05:00+00:00,612.95,612.95,611.65,612.9,33
2023-12-21 06:10:00+00:00,612.9,612.9,612.9,612.9,0
2023-12-21 06:15:00+00:00,612.9,612.9,612.9,612.9,0
2023-12-21 06:20:00+00:00,612.9,612.9,611.05,612.05,57
2023-12-21 06:25:00+00:00,610.8,610.8,610.8,610.8,2
2023-12-21 06:30:00+00:00,610.8,610.8,610.8,610.8,0
2023-12-21 06:35:00+00:00,610.8,611.4,610.8,611.4,5
2023-12-21 06:40:00+00:00,611.4,611.5,611.4,611.5,1
2023-12-21 06:45:00+00:00,611.5,611.5,611.5,611.5,0
2023-12-21 06:50:00+00:00,611.5,612.9,611.5,612.0,90
2023-12-21 06:55:00+00:00,611.8,611.8,611.8,611.8,10
2023-12-21 07:00:00+00:00,611.8,617.0,611.8,617.0,3010
2023-12-21 07:05:00+00:00,617.0,620.0,616.05,620.0,283
2023-12-21 07:10:00+00:00,619.0,620.75,619.0,620.6,446
2023-12-21 07:15:00+00:00,620.6,622.5,620.6,622.5,224
2023-12-21 07:20:00+00:00,622.85,623.0,622.05,622.95,15
2023-12-21 07:25:00+00:00,622.95,622.95,619.15,619.15,60
2023-12-21 07:30:00+00:00,619.15,619.15,617.0,617.0,142
2023-12-21 07:35:00+00:00,617.0,618.8,617.0,618.8,4
2023-12-21 07:40:00+00:00,618.8,618.8,613.05,614.4,320
2023-12-21 07:45:00+00:00,614.4,614.95,612.75,614.95,43
2023-12-21 07:50:00+00:00,614.95,614.95,614.45,614.45,9
2023-12-21 07:55:00+00:00,614.45,614.45,614.45,614.45,0
2023-12-21 08:00:00+00:00,614.45,614.45,614.45,614.45,0
2023-12-21 08:05:00+00:00,614.45,614.45,611.15,611.15,36
2023-12-21 08:10:00+00:00,611.15,612.8,611.05,611.05,22
2023-12-21 08:15:00+00:00,611.05,613.05,609.0,609.5,384
