,open,high,low,close,volume
2023-12-18 03:45:00+00:00,150.95,152.3,150.0,150.45,22155
2023-12-18 03:50:00+00:00,150.45,150.65,149.5,150.0,14985
2023-12-18 03:55:00+00:00,150.0,150.45,149.85,150.45,4424
2023-12-18 04:00:00+00:00,150.45,150.45,149.7,149.7,3700
2023-12-18 04:05:00+00:00,149.7,150.5,149.15,149.4,18260
2023-12-18 04:10:00+00:00,149.4,149.65,149.15,149.5,4604
2023-12-18 04:15:00+00:00,149.5,150.45,149.45,150.45,8931
2023-12-18 04:20:00+00:00,150.45,150.45,150.0,150.05,1257
2023-12-18 04:25:00+00:00,150.05,150.25,149.7,149.8,6182
2023-12-18 04:30:00+00:00,149.8,150.05,149.8,150.05,2013
2023-12-18 04:35:00+00:00,150.05,150.2,149.8,150.0,936
2023-12-18 04:40:00+00:00,150.0,150.0,149.8,150.0,809
2023-12-18 04:45:00+00:00,150.0,150.05,149.75,150.0,1624
2023-12-18 04:50:00+00:00,150.0,150.25,149.7,149.7,4636
2023-12-18 04:55:00+00:00,149.7,150.3,149.7,150.15,911
2023-12-18 05:00:00+00:00,150.15,150.35,150.15,150.15,649
2023-12-18 05:05:00+00:00,150.15,150.35,149.9,149.9,3131
2023-12-18 05:10:00+00:00,149.9,150.05,149.9,150.0,567
2023-12-18 05:15:00+00:00,150.0,150.0,149.9,149.9,86
2023-12-18 05:20:00+00:00,149.9,149.95,149.9,149.9,1923
2023-12-18 05:25:00+00:00,149.9,149.9,149.8,149.8,633
2023-12-18 05:30:00+00:00,149.8,149.9,149.8,149.8,813
2023-12-18 05:35:00+00:00,149.8,149.9,149.65,149.7,5359
2023-12-18 05:40:00+00:00,149.7,149.7,149.5,149.5,1035
2023-12-18 05:45:00+00:00,149.35,149.7,149.35,149.7,1376
2023-12-18 05:50:00+00:00,149.7,152.05,149.7,152.0,52193
2023-12-18 05:55:00+00:00,152.0,153.9,152.0,153.0,58829
2023-12-18 06:00:00+00:00,153.0,153.3,152.6,152.75,12283
2023-12-18 06:05:00+00:00,152.7,152.75,152.15,152.4,4091
2023-12-18 06:10:00+00:00,152.4,152.4,152.05,152.2,4348
2023-12-18 06:15:00+00:00,152.2,152.2,151.7,151.7,1945
2023-12-18 06:20:00+00:00,151.7,151.85,151.7,151.85,331
2023-12-18 06:25:00+00:00,151.85,151.9,151.7,151.85,225
2023-12-18 06:30:00+00:00,151.85,151.85,151.25,151.25,2411
2023-12-18 06:35:00+00:00,151.25,151.35,151.25,151.3,150
2023-12-18 06:40:00+00:00,151.3,151.5,151.3,151.5,54
2023-12-18 06:45:00+00:00,151.5,151.6,151.5,151.5,308
2023-12-18 06:50:00+00:00,151.5,151.65,151.5,151.65,1
2023-12-18 06:55:00+00:00,151.65,151.65,151.5,151.5,586
2023-12-18 07:00:00+00:00,151.5,151.5,151.35,151.35,2014
2023-12-18 07:05:00+00:00,151.35,151.4,151.35,151.4,251
2023-12-18 07:10:00+00:00,151.6,151.65,151.4,151.4,316
2023-12-18 07:15:00+00:00,151.65,151.65,151.4,151.6,518
2023-12-18 07:20:00+00:00,151.6,151.7,151.1,151.25,5071
2023-12-18 07:25:00+00:00,151.25,151.35,151.2,151.25,3768
2023-12-18 07:30:00+00:00,151.25,151.25,150.85,151.15,4566
2023-12-18 07:35:00+00:00,151.15,151.15,151.15,151.15,0
2023-12-18 07:40:00+00:00,151.15,151.15,150.85,150.85,522
2023-12-18 07:45:00+00:00,150.85,150.9,150.85,150.9,600
