,open,high,low,close,volume
2023-12-18 03:45:00+00:00,212.5,214.15,212.5,213.9,1784
2023-12-18 03:50:00+00:00,213.9,214.9,213.2,214.9,1744
2023-12-18 03:55:00+00:00,214.9,216.5,214.6,214.6,3398
2023-12-18 04:00:00+00:00,214.6,216.2,214.6,216.2,1820
2023-12-18 04:05:00+00:00,216.1,218.0,215.85,217.1,4493
2023-12-18 04:10:00+00:00,217.1,217.35,216.45,216.45,1289
2023-12-18 04:15:00+00:00,216.45,216.45,215.95,216.0,648
2023-12-18 04:20:00+00:00,216.0,216.45,215.65,215.75,870
2023-12-18 04:25:00+00:00,215.75,216.05,215.7,215.7,77
2023-12-18 04:30:00+00:00,215.4,215.4,214.0,214.0,3094
2023-12-18 04:35:00+00:00,214.0,214.45,213.95,214.45,1041
2023-12-18 04:40:00+00:00,214.45,214.45,214.0,214.35,21
2023-12-18 04:45:00+00:00,214.35,214.35,213.5,213.5,375
2023-12-18 04:50:00+00:00,213.5,213.85,213.0,213.0,1035
2023-12-18 04:55:00+00:00,213.0,213.7,213.0,213.7,182
2023-12-18 05:00:00+00:00,213.7,213.7,213.15,213.15,79
2023-12-18 05:05:00+00:00,213.35,213.65,213.35,213.35,126
2023-12-18 05:10:00+00:00,213.35,213.65,213.35,213.65,9
2023-12-18 05:15:00+00:00,213.65,213.65,213.65,213.65,60
2023-12-18 05:20:00+00:00,213.65,213.65,213.35,213.35,1698
2023-12-18 05:25:00+00:00,213.35,213.9,213.35,213.9,345
2023-12-18 05:30:00+00:00,213.9,213.9,213.5,213.5,72
2023-12-18 05:35:00+00:00,213.5,214.0,213.5,214.0,391
2023-12-18 05:40:00+00:00,214.0,214.25,214.0,214.25,2662
2023-12-18 05:45:00+00:00,214.95,214.95,214.5,214.8,1078
2023-12-18 05:50:00+00:00,215.1,216.0,215.1,215.3,1711
2023-12-18 05:55:00+00:00,215.3,215.3,215.0,215.0,329
2023-12-18 06:00:00+00:00,215.0,215.45,215.0,215.35,219
2023-12-18 06:05:00+00:00,215.7,216.0,215.5,215.5,1162
2023-12-18 06:10:00+00:00,215.5,215.85,215.5,215.85,126
2023-12-18 06:15:00+00:00,215.85,215.85,215.3,215.3,257
2023-12-18 06:20:00+00:00,215.45,215.7,215.3,215.7,2745
2023-12-18 06:25:00+00:00,215.7,215.7,215.5,215.5,50
2023-12-18 06:30:00+00:00,215.5,215.55,215.2,215.2,3301
2023-12-18 06:35:00+00:00,215.2,215.45,215.2,215.45,348
2023-12-18 06:40:00+00:00,215.45,215.45,215.45,215.45,0
2023-12-18 06:45:00+00:00,215.45,215.95,215.45,215.95,250
2023-12-18 06:50:00+00:00,215.95,215.95,215.3,215.55,149
2023-12-18 06:55:00+00:00,215.55,215.55,215.0,215.0,433
2023-12-18 07:00:00+00:00,215.0,215.35,215.0,215.35,49
