,open,high,low,close,volume
2023-12-18 03:45:00+00:00,516.0,518.5,512.5,517.4,22548
2023-12-18 03:50:00+00:00,517.95,519.9,515.35,518.1,9488
2023-12-18 03:55:00+00:00,518.1,518.8,516.65,517.95,15341
2023-12-18 04:00:00+00:00,518.0,524.45,516.5,521.75,56183
2023-12-18 04:05:00+00:00,521.45,523.7,519.55,521.25,50493
2023-12-18 04:10:00+00:00,521.4,523.0,520.75,521.1,8128
2023-12-18 04:15:00+00:00,521.4,523.0,521.25,521.25,19977
2023-12-18 04:20:00+00:00,521.25,522.15,520.2,520.5,9541
2023-12-18 04:25:00+00:00,520.5,521.35,519.1,519.9,6448
2023-12-18 04:30:00+00:00,519.9,522.35,519.6,521.45,13192
2023-12-18 04:35:00+00:00,522.25,522.8,521.6,521.6,6719
2023-12-18 04:40:00+00:00,521.6,522.0,521.1,521.85,4560
2023-12-18 04:45:00+00:00,521.55,522.0,521.05,521.8,3599
2023-12-18 04:50:00+00:00,521.8,522.3,521.15,522.3,13828
2023-12-18 04:55:00+00:00,522.35,526.95,521.65,525.05,50569
2023-12-18 05:00:00+00:00,525.4,525.4,523.25,524.2,8371
2023-12-18 05:05:00+00:00,524.45,524.5,521.5,522.0,3955
2023-12-18 05:10:00+00:00,522.45,523.4,522.15,523.0,2521
2023-12-18 05:15:00+00:00,523.0,532.0,522.45,531.0,79628
2023-12-18 05:20:00+00:00,531.0,535.5,531.0,531.55,93659
2023-12-18 05:25:00+00:00,531.95,539.0,530.8,537.0,139223
2023-12-18 05:30:00+00:00,537.0,540.0,535.3,536.55,169763
2023-12-18 05:35:00+00:00,537.0,537.9,535.7,536.35,26099
2023-12-18 05:40:00+00:00,536.2,537.0,534.5,534.95,35340
2023-12-18 05:45:00+00:00,534.95,536.95,534.25,536.0,22193
2023-12-18 05:50:00+00:00,536.0,536.1,535.0,535.0,9526
2023-12-18 05:55:00+00:00,535.0,536.35,534.0,535.85,12794
2023-12-18 06:00:00+00:00,535.95,538.35,534.65,537.5,42438
2023-12-18 06:05:00+00:00,537.5,538.5,536.15,537.55,17279
2023-12-18 06:10:00+00:00,537.55,538.8,535.25,535.95,27727
2023-12-18 06:15:00+00:00,535.95,536.4,534.8,534.8,9821
2023-12-18 06:20:00+00:00,534.8,536.0,534.8,535.0,7823
2023-12-18 06:25:00+00:00,535.0,536.0,534.05,535.15,9073
2023-12-18 06:30:00+00:00,535.05,535.75,534.1,535.5,13017
2023-12-18 06:35:00+00:00,535.5,536.8,535.2,536.6,14336
2023-12-18 06:40:00+00:00,536.6,536.95,536.0,536.95,5212
2023-12-18 06:45:00+00:00,537.0,537.45,536.05,537.2,13475
2023-12-18 06:50:00+00:00,537.15,537.75,536.45,536.65,12253
2023-12-18 06:55:00+00:00,536.65,538.65,536.0,537.5,11473
2023-12-18 07:00:00+00:00,537.5,538.35,536.0,536.5,17316
2023-12-18 07:05:00+00:00,536.5,537.5,536.25,537.5,4927
2023-12-18 07:10:00+00:00,537.5,538.9,537.1,537.65,7063
2023-12-18 07:15:00+00:00,537.2,537.9,535.65,535.7,13370
2023-12-18 07:20:00+00:00,535.7,536.6,535.05,535.85,5568
2023-12-18 07:25:00+00:00,535.9,536.3,535.1,535.7,5266
2023-12-18 07:30:00+00:00,535.7,535.7,534.0,535.1,18121
2023-12-18 07:35:00+00:00,535.1,535.65,534.7,535.5,6896
2023-12-18 07:40:00+00:00,535.5,537.0,535.25,536.2,7789
2023-12-18 07:45:00+00:00,536.2,536.25,535.0,535.0,6665
2023-12-18 07:50:00+00:00,535.0,535.4,534.0,534.55,4349
2023-12-18 07:55:00+00:00,534.55,535.15,534.0,535.15,6273
2023-12-18 08:00:00+00:00,535.15,535.7,534.3,534.8,6383
2023-12-18 08:05:00+00:00,534.85,535.15,532.8,532.85,9233
2023-12-18 08:10:00+00:00,533.0,534.95,532.0,533.8,10947
2023-12-18 08:15:00+00:00,533.8,534.75,533.75,534.3,9887
2023-12-18 08:20:00+00:00,534.3,535.95,533.0,535.0,6879
2023-12-18 08:25:00+00:00,535.0,535.7,534.0,535.65,5255
2023-12-18 08:30:00+00:00,535.65,536.5,535.05,536.3,9787
2023-12-18 08:35:00+00:00,536.3,538.8,536.0,538.7,25697
2023-12-18 08:40:00+00:00,538.7,540.8,538.1,539.9,64447
2023-12-18 08:45:00+00:00,539.75,542.0,539.3,541.75,47697
2023-12-18 08:50:00+00:00,541.5,542.0,539.75,540.75,27962
2023-12-18 08:55:00+00:00,540.75,542.0,539.9,541.0,21327
2023-12-18 09:00:00+00:00,541.55,542.0,540.55,541.5,16715
2023-12-18 09:05:00+00:00,541.5,541.5,539.55,540.1,24683
2023-12-18 09:10:00+00:00,539.6,540.5,538.8,539.8,18710
2023-12-18 09:15:00+00:00,539.8,540.8,538.15,539.95,26731
2023-12-18 09:20:00+00:00,540.0,540.4,538.3,540.0,14764
2023-12-18 09:25:00+00:00,539.55,540.0,538.45,538.9,6361
2023-12-18 09:30:00+00:00,538.95,539.8,537.4,539.75,18477
2023-12-18 09:35:00+00:00,539.75,539.8,538.0,538.75,13718
2023-12-18 09:40:00+00:00,539.55,539.55,536.0,537.0,40296
2023-12-18 09:45:00+00:00,537.0,537.4,535.0,536.0,25247
2023-12-18 09:50:00+00:00,536.0,537.4,535.3,535.5,18781
2023-12-18 09:55:00+00:00,535.75,537.9,535.05,536.9,51962
2023-12-19 03:45:00+00:00,541.95,542.0,536.0,538.25,67649
2023-12-19 03:50:00+00:00,539.0,544.85,536.95,541.6,82800
2023-12-19 03:55:00+00:00,541.6,542.95,540.0,540.75,26859
2023-12-19 04:00:00+00:00,541.15,541.15,537.0,537.0,21872
2023-12-19 04:05:00+00:00,537.0,538.15,535.9,536.6,21200
2023-12-19 04:10:00+00:00,536.6,536.6,534.0,534.9,25863
2023-12-19 04:15:00+00:00,535.3,538.95,534.1,538.0,24483
2023-12-19 04:20:00+00:00,538.0,539.0,535.45,536.15,18705
2023-12-19 04:25:00+00:00,536.15,538.2,535.0,537.45,11973
2023-12-19 04:30:00+00:00,537.45,538.2,535.0,535.8,12063
2023-12-19 04:35:00+00:00,535.8,539.45,534.0,536.0,42685
2023-12-19 04:40:00+00:00,536.0,537.5,536.0,536.85,6747
2023-12-19 04:45:00+00:00,536.75,538.95,536.0,538.95,16341
2023-12-19 04:50:00+00:00,538.6,538.95,537.0,537.7,2972
2023-12-19 04:55:00+00:00,537.8,537.9,536.35,536.4,3598
2023-12-19 05:00:00+00:00,537.0,537.2,536.4,537.05,1727
2023-12-19 05:05:00+00:00,537.05,538.0,536.65,537.2,5568
2023-12-19 05:10:00+00:00,537.0,537.8,536.7,536.95,7052
2023-12-19 05:15:00+00:00,536.95,537.35,536.3,536.6,916
2023-12-19 05:20:00+00:00,536.6,537.0,535.1,535.1,19703
2023-12-19 05:25:00+00:00,535.1,536.0,535.1,536.0,3869
