,open,high,low,close,volume
2024-02-14 03:45:00+00:00,280.0,280.0,280.0,280.0,0
2024-02-14 04:10:00+00:00,311.0,311.0,311.0,311.0,0
2024-02-14 04:15:00+00:00,311.0,311.0,311.0,311.0,0
2024-02-14 04:20:00+00:00,311.0,311.0,311.0,311.0,0
2024-02-14 04:25:00+00:00,311.0,311.0,311.0,311.0,0
2024-02-14 04:30:00+00:00,325.0,326.55,310.0,326.5,175036
2024-02-14 04:35:00+00:00,326.5,326.55,320.5,326.0,17940
2024-02-14 04:40:00+00:00,326.0,326.55,326.0,326.55,12343
2024-02-14 04:45:00+00:00,326.55,326.55,326.55,326.55,12525
2024-02-14 04:50:00+00:00,326.55,326.55,326.55,326.55,401
2024-02-14 04:55:00+00:00,326.55,326.55,326.55,326.55,471
2024-02-14 05:00:00+00:00,326.55,326.55,326.55,326.55,85
2024-02-14 05:05:00+00:00,326.55,326.55,326.55,326.55,738
2024-02-14 05:10:00+00:00,326.55,326.55,326.55,326.55,5759
2024-02-14 05:15:00+00:00,326.55,326.55,326.55,326.55,432
2024-02-14 05:20:00+00:00,326.55,326.55,326.55,326.55,550
2024-02-14 05:25:00+00:00,326.55,326.55,326.55,326.55,551
2024-02-14 05:30:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 05:35:00+00:00,326.55,326.55,326.55,326.55,150
2024-02-14 05:40:00+00:00,326.55,326.55,326.55,326.55,40
2024-02-14 05:45:00+00:00,326.55,326.55,326.55,326.55,42
2024-02-14 05:50:00+00:00,326.55,326.55,326.55,326.55,1375
2024-02-14 05:55:00+00:00,326.55,326.55,326.55,326.55,300
2024-02-14 06:00:00+00:00,326.55,326.55,326.55,326.55,4300
2024-02-14 06:05:00+00:00,326.55,326.55,326.55,326.55,2005
2024-02-14 06:10:00+00:00,326.55,326.55,326.55,326.55,111
2024-02-14 06:15:00+00:00,326.55,326.55,326.55,326.55,76
2024-02-14 06:20:00+00:00,326.55,326.55,326.55,326.55,58
2024-02-14 06:25:00+00:00,326.55,326.55,326.55,326.55,1
2024-02-14 06:30:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 06:35:00+00:00,326.55,326.55,326.55,326.55,3100
2024-02-14 06:40:00+00:00,326.55,326.55,326.55,326.55,78
2024-02-14 06:45:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 06:50:00+00:00,326.55,326.55,326.55,326.55,10
2024-02-14 06:55:00+00:00,326.55,326.55,326.55,326.55,10
2024-02-14 07:00:00+00:00,326.55,326.55,326.55,326.55,4
2024-02-14 07:05:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 07:10:00+00:00,326.55,326.55,326.55,326.55,23
2024-02-14 07:15:00+00:00,326.55,326.55,326.55,326.55,60
2024-02-14 07:20:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 07:25:00+00:00,326.55,326.55,326.55,326.55,151
2024-02-14 07:30:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 07:35:00+00:00,326.55,326.55,326.55,326.55,100
2024-02-14 07:40:00+00:00,326.55,326.55,326.55,326.55,277
2024-02-14 07:45:00+00:00,326.55,326.55,326.55,326.55,11
2024-02-14 07:50:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 07:55:00+00:00,326.55,326.55,326.55,326.55,10
2024-02-14 08:00:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 08:05:00+00:00,326.55,326.55,326.55,326.55,50
2024-02-14 08:10:00+00:00,326.55,326.55,326.55,326.55,80
2024-02-14 08:15:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 08:20:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 08:25:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 08:30:00+00:00,326.55,326.55,326.55,326.55,1
2024-02-14 08:35:00+00:00,326.55,326.55,326.55,326.55,310
2024-02-14 08:40:00+00:00,326.55,326.55,326.55,326.55,55
2024-02-14 08:45:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 08:50:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 08:55:00+00:00,326.55,326.55,326.55,326.55,385
2024-02-14 09:00:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 09:05:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 09:10:00+00:00,326.55,326.55,326.55,326.55,1
2024-02-14 09:15:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 09:20:00+00:00,326.55,326.55,326.55,326.55,5
2024-02-14 09:25:00+00:00,326.55,326.55,326.55,326.55,31
2024-02-14 09:30:00+00:00,326.55,326.55,326.55,326.55,6554
2024-02-14 09:35:00+00:00,326.55,326.55,326.55,326.55,2
2024-02-14 09:40:00+00:00,326.55,326.55,326.55,326.55,70
2024-02-14 09:45:00+00:00,326.55,326.55,326.55,326.55,0
2024-02-14 09:50:00+00:00,326.55,326.55,326.55,326.55,2
2024-02-14 09:55:00+00:00,326.55,326.55,326.55,326.55,20
2024-02-15 03:45:00+00:00,342.85,342.85,342.85,342.85,782
2024-02-15 03:50:00+00:00,342.85,342.85,342.85,342.85,1358
2024-02-15 03:55:00+00:00,342.85,342.85,342.85,342.85,41
2024-02-15 04:00:00+00:00,342.85,342.85,342.85,342.85,500
2024-02-15 04:05:00+00:00,342.85,342.85,342.85,342.85,9
2024-02-15 04:10:00+00:00,342.85,342.85,342.85,342.85,120
2024-02-15 04:15:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 04:20:00+00:00,342.85,342.85,342.85,342.85,1
2024-02-15 04:25:00+00:00,342.85,342.85,342.85,342.85,13
2024-02-15 04:30:00+00:00,342.85,342.85,342.85,342.85,1
2024-02-15 04:35:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 04:40:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 04:45:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 04:50:00+00:00,342.85,342.85,342.85,342.85,150
2024-02-15 04:55:00+00:00,342.85,342.85,342.85,342.85,2
2024-02-15 05:00:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 05:05:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 05:10:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 05:15:00+00:00,342.85,342.85,342.85,342.85,1
2024-02-15 05:20:00+00:00,342.85,342.85,342.85,342.85,2900
2024-02-15 05:25:00+00:00,342.85,342.85,342.85,342.85,20
2024-02-15 05:30:00+00:00,342.85,342.85,342.85,342.85,5
2024-02-15 05:35:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 05:40:00+00:00,342.85,342.85,342.85,342.85,8003
2024-02-15 05:45:00+00:00,342.85,342.85,342.85,342.85,1502
2024-02-15 05:50:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 05:55:00+00:00,342.85,342.85,342.85,342.85,27
2024-02-15 06:00:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 06:05:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 06:10:00+00:00,342.85,342.85,342.85,342.85,0
2024-02-15 06:15:00+00:00,342.85,342.85,342.85,342.85,0
