,open,high,low,close,volume
2023-12-18 03:45:00+00:00,700.0,708.25,700.0,700.1,167
2023-12-18 03:50:00+00:00,700.1,707.25,700.1,706.75,54
2023-12-18 03:55:00+00:00,706.75,717.45,706.75,717.45,366
2023-12-18 04:00:00+00:00,717.45,717.45,710.55,711.75,57
2023-12-18 04:05:00+00:00,711.75,713.0,707.3,707.3,141
2023-12-18 04:10:00+00:00,707.3,708.4,707.3,708.4,1
2023-12-18 04:15:00+00:00,708.4,709.35,706.45,706.45,48
2023-12-18 04:20:00+00:00,706.45,706.45,703.85,705.0,227
2023-12-18 04:25:00+00:00,705.0,705.0,705.0,705.0,0
2023-12-18 04:30:00+00:00,705.0,705.0,705.0,705.0,0
2023-12-18 04:35:00+00:00,705.0,705.0,705.0,705.0,0
2023-12-18 04:40:00+00:00,705.0,708.35,705.0,708.35,26
2023-12-18 04:45:00+00:00,708.35,708.35,708.35,708.35,0
2023-12-18 04:50:00+00:00,708.35,708.35,708.35,708.35,9
2023-12-18 04:55:00+00:00,708.35,708.35,708.35,708.35,0
2023-12-18 05:00:00+00:00,708.35,710.0,708.35,710.0,43
2023-12-18 05:05:00+00:00,710.0,711.5,709.2,709.2,376
2023-12-18 05:10:00+00:00,709.2,709.95,709.15,709.35,23
2023-12-18 05:15:00+00:00,709.35,710.0,709.1,709.1,12
2023-12-18 05:20:00+00:00,709.1,709.1,709.1,709.1,0
2023-12-18 05:25:00+00:00,709.1,709.1,704.65,704.65,71
2023-12-18 05:30:00+00:00,705.4,705.95,705.0,705.0,475
2023-12-18 05:35:00+00:00,705.0,710.4,705.0,707.8,38
2023-12-18 05:40:00+00:00,707.8,707.8,707.8,707.8,0
2023-12-18 05:50:00+00:00,707.8,707.8,703.85,704.85,476
2023-12-18 05:55:00+00:00,704.85,709.55,704.85,709.55,11
2023-12-18 06:00:00+00:00,709.55,709.55,709.55,709.55,0
2023-12-18 06:05:00+00:00,709.55,709.55,709.55,709.55,0
2023-12-18 06:10:00+00:00,711.0,711.0,711.0,711.0,53
2023-12-18 06:15:00+00:00,711.0,711.0,711.0,711.0,0
2023-12-18 06:25:00+00:00,709.45,710.75,709.35,710.75,4
2023-12-18 06:30:00+00:00,710.2,710.2,709.45,709.45,8
2023-12-18 06:35:00+00:00,709.45,709.45,709.45,709.45,0
2023-12-18 06:40:00+00:00,708.2,708.2,708.2,708.2,1
2023-12-18 06:45:00+00:00,708.05,708.05,705.8,705.8,12
2023-12-18 06:50:00+00:00,705.8,707.4,703.65,706.8,46
2023-12-18 06:55:00+00:00,706.8,711.1,706.8,709.9,4
2023-12-18 07:00:00+00:00,709.9,712.85,709.9,710.1,342
2023-12-18 07:05:00+00:00,710.1,710.1,706.65,706.7,2
