,open,high,low,close,volume
2023-12-18 03:45:00+00:00,4637.9,4648.95,4613.25,4613.25,588
2023-12-18 03:50:00+00:00,4613.25,4620.0,4605.65,4620.0,179
2023-12-18 03:55:00+00:00,4624.5,4632.05,4614.05,4614.05,482
2023-12-18 04:00:00+00:00,4614.05,4614.05,4602.0,4602.0,205
2023-12-18 04:05:00+00:00,4602.0,4617.1,4602.0,4612.1,168
2023-12-18 04:10:00+00:00,4612.1,4612.1,4602.65,4602.65,546
2023-12-18 04:15:00+00:00,4602.65,4618.85,4602.65,4615.7,73
2023-12-18 04:20:00+00:00,4615.7,4624.4,4607.95,4610.8,483
2023-12-18 04:25:00+00:00,4610.8,4615.0,4604.0,4611.0,139
2023-12-18 04:30:00+00:00,4611.0,4617.7,4605.0,4617.7,90
2023-12-18 04:35:00+00:00,4617.7,4631.45,4617.7,4627.1,178
2023-12-18 04:40:00+00:00,4627.1,4640.0,4627.1,4639.8,181
2023-12-18 04:45:00+00:00,4639.8,4639.8,4629.2,4629.4,245
2023-12-18 04:50:00+00:00,4629.4,4633.0,4622.4,4628.25,199
2023-12-18 04:55:00+00:00,4628.25,4640.0,4624.6,4636.95,175
2023-12-18 05:00:00+00:00,4637.0,4644.15,4635.3,4637.85,488
2023-12-18 05:05:00+00:00,4637.85,4637.85,4632.65,4636.15,225
2023-12-18 05:10:00+00:00,4636.15,4641.65,4630.0,4634.5,136
2023-12-18 05:15:00+00:00,4634.5,4639.8,4631.6,4639.6,29
2023-12-18 05:20:00+00:00,4639.6,4645.0,4635.05,4644.85,297
2023-12-18 05:25:00+00:00,4645.0,4645.0,4639.65,4642.35,155
2023-12-18 05:30:00+00:00,4642.35,4645.0,4636.9,4644.1,236
2023-12-18 05:35:00+00:00,4644.1,4646.95,4642.6,4643.0,208
2023-12-18 05:40:00+00:00,4645.55,4646.1,4628.65,4628.65,415
2023-12-18 05:45:00+00:00,4632.25,4633.7,4620.0,4620.0,119
2023-12-18 05:50:00+00:00,4620.0,4620.0,4612.55,4615.0,69
2023-12-18 05:55:00+00:00,4615.0,4624.05,4614.25,4624.05,51
2023-12-18 06:00:00+00:00,4624.05,4624.05,4616.35,4619.05,55
2023-12-18 06:05:00+00:00,4619.05,4619.85,4615.35,4619.35,18
2023-12-18 06:10:00+00:00,4619.35,4620.0,4615.0,4620.0,84
2023-12-18 06:15:00+00:00,4620.0,4620.0,4615.35,4619.85,83
2023-12-18 06:20:00+00:00,4619.85,4620.0,4616.2,4616.2,167
2023-12-18 06:25:00+00:00,4616.2,4616.2,4580.15,4606.6,2024
2023-12-18 06:30:00+00:00,4607.8,4618.0,4607.8,4618.0,87
2023-12-18 06:35:00+00:00,4616.5,4619.4,4614.7,4614.7,89
2023-12-18 06:40:00+00:00,4614.7,4620.0,4614.7,4619.75,134
2023-12-18 06:45:00+00:00,4619.75,4620.0,4615.05,4615.95,68
2023-12-18 06:50:00+00:00,4615.95,4618.9,4613.85,4616.0,54
