,open,high,low,close,volume
2023-12-18 03:45:00+00:00,770.0,773.0,751.75,760.1,55258
2023-12-18 03:50:00+00:00,760.6,766.9,755.1,765.85,26658
2023-12-18 03:55:00+00:00,765.85,775.8,764.65,771.35,46534
2023-12-18 04:00:00+00:00,770.0,771.05,766.0,767.95,18642
2023-12-18 04:05:00+00:00,767.95,771.0,767.0,769.05,11174
2023-12-18 04:10:00+00:00,769.05,771.8,767.0,767.5,9794
2023-12-18 04:15:00+00:00,768.35,768.35,765.2,766.05,5946
2023-12-18 04:20:00+00:00,766.05,768.85,765.05,767.25,9084
2023-12-18 04:25:00+00:00,767.25,767.8,763.5,766.35,10769
2023-12-18 04:30:00+00:00,766.75,769.6,766.2,769.3,3825
2023-12-18 04:35:00+00:00,769.3,769.95,767.05,768.45,5536
2023-12-18 04:40:00+00:00,768.45,769.05,766.45,766.45,29111
2023-12-18 04:45:00+00:00,766.45,766.85,763.25,763.85,5929
2023-12-18 04:50:00+00:00,763.25,764.45,761.5,762.0,7860
2023-12-18 04:55:00+00:00,762.45,764.6,761.0,763.75,7212
2023-12-18 05:00:00+00:00,763.75,765.0,763.2,765.0,1348
2023-12-18 05:05:00+00:00,764.95,764.95,762.5,763.7,3135
2023-12-18 05:10:00+00:00,763.7,766.85,763.1,766.5,4868
2023-12-18 05:15:00+00:00,766.5,768.0,765.35,767.75,4953
2023-12-18 05:20:00+00:00,767.75,769.1,766.85,768.1,3161
2023-12-18 05:25:00+00:00,768.1,769.2,768.0,768.7,2510
2023-12-18 05:30:00+00:00,769.2,769.95,766.55,767.95,2948
2023-12-18 05:35:00+00:00,768.0,769.0,767.1,767.8,2366
2023-12-18 05:40:00+00:00,767.85,769.0,767.0,768.7,2640
2023-12-18 05:45:00+00:00,768.7,769.0,767.0,768.2,1867
2023-12-18 05:50:00+00:00,768.2,769.0,766.5,767.0,2239
2023-12-18 05:55:00+00:00,767.0,768.0,766.4,767.5,1633
2023-12-18 06:00:00+00:00,767.9,768.65,767.05,768.65,1544
2023-12-18 06:05:00+00:00,768.65,768.9,767.25,768.25,2395
2023-12-18 06:10:00+00:00,768.25,769.45,767.5,769.15,1294
2023-12-18 06:15:00+00:00,769.15,769.95,768.5,769.05,2359
2023-12-18 06:20:00+00:00,769.05,769.7,767.6,769.4,2542
2023-12-18 06:25:00+00:00,769.3,769.5,768.0,768.6,2083
2023-12-18 06:30:00+00:00,768.1,769.45,768.0,768.0,3048
2023-12-18 06:35:00+00:00,768.0,769.3,768.0,769.0,2546
2023-12-18 06:40:00+00:00,769.0,770.0,768.0,769.9,2331
2023-12-18 06:45:00+00:00,769.9,770.0,768.0,768.05,12036
2023-12-18 06:50:00+00:00,768.0,769.0,768.0,768.8,2575
2023-12-18 06:55:00+00:00,768.9,769.65,768.05,768.55,2482
2023-12-18 07:00:00+00:00,768.55,769.05,768.0,769.0,553
2023-12-18 07:05:00+00:00,769.0,769.35,768.1,768.35,1639
2023-12-18 07:10:00+00:00,768.1,769.5,768.1,769.5,1061
2023-12-18 07:15:00+00:00,769.5,769.5,768.85,769.0,1192
2023-12-18 07:20:00+00:00,769.0,770.0,768.1,769.95,12999
2023-12-18 07:25:00+00:00,769.55,770.0,768.25,768.55,1548
2023-12-18 07:30:00+00:00,768.55,769.85,768.45,769.45,385
2023-12-18 07:35:00+00:00,769.45,769.45,766.4,767.0,6173
2023-12-18 07:40:00+00:00,767.0,768.45,766.55,767.4,1138
2023-12-18 07:45:00+00:00,767.4,770.0,767.25,769.65,29861
2023-12-18 07:50:00+00:00,769.65,770.0,769.0,769.6,2307
2023-12-18 07:55:00+00:00,769.6,769.95,768.65,769.75,11334
2023-12-18 08:00:00+00:00,769.75,770.0,768.45,768.8,5916
2023-12-18 08:05:00+00:00,769.75,770.0,768.8,770.0,6334
2023-12-18 08:10:00+00:00,770.0,770.0,768.9,770.0,3313
2023-12-18 08:15:00+00:00,770.0,771.0,769.15,769.7,6329
2023-12-18 08:20:00+00:00,769.7,770.8,769.5,769.5,14264
2023-12-18 08:25:00+00:00,769.75,770.0,769.3,769.9,3913
2023-12-18 08:30:00+00:00,770.0,770.8,769.05,769.35,5169
2023-12-18 08:35:00+00:00,769.35,770.0,768.45,770.0,3592
2023-12-18 08:40:00+00:00,770.0,770.0,768.85,769.0,2640
2023-12-18 08:45:00+00:00,769.4,769.95,768.4,768.65,3866
2023-12-18 08:50:00+00:00,768.4,768.7,766.65,768.45,5208
2023-12-18 08:55:00+00:00,768.2,768.8,766.25,767.2,4492
2023-12-18 09:00:00+00:00,767.5,767.65,765.75,766.0,3106
2023-12-18 09:05:00+00:00,766.0,767.1,763.5,763.5,6389
2023-12-18 09:10:00+00:00,763.55,765.0,763.25,763.95,6691
2023-12-18 09:15:00+00:00,763.95,764.25,761.5,762.05,13151
2023-12-18 09:20:00+00:00,762.95,769.95,762.5,768.5,15854
2023-12-18 09:25:00+00:00,768.5,768.5,764.2,764.75,9652
2023-12-18 09:30:00+00:00,764.75,765.25,762.65,763.85,14497
2023-12-18 09:35:00+00:00,763.85,764.3,760.6,762.65,17697
2023-12-18 09:40:00+00:00,762.4,763.6,760.6,761.0,16997
2023-12-18 09:45:00+00:00,760.55,761.0,755.55,758.65,43465
2023-12-18 09:50:00+00:00,758.65,758.65,755.85,756.5,26355
2023-12-18 09:55:00+00:00,756.5,759.35,755.1,758.0,40375
2023-12-19 03:45:00+00:00,766.4,769.85,759.1,763.0,34412
2023-12-19 03:50:00+00:00,763.0,763.4,758.55,759.4,16424
2023-12-19 03:55:00+00:00,759.4,759.75,755.4,757.65,15707
2023-12-19 04:00:00+00:00,758.1,759.1,756.4,758.1,13391
2023-12-19 04:05:00+00:00,758.1,760.0,756.05,756.8,33708
2023-12-19 04:10:00+00:00,756.8,758.75,756.0,757.7,19429
2023-12-19 04:15:00+00:00,758.0,758.0,755.0,757.7,14230
