,open,high,low,close,volume
2023-12-18 03:45:00+00:00,624.2,624.2,612.0,617.0,682
2023-12-18 03:50:00+00:00,617.0,617.5,612.05,617.45,589
2023-12-18 03:55:00+00:00,617.45,618.25,612.5,618.25,679
2023-12-18 04:00:00+00:00,618.25,619.45,615.05,617.95,169
2023-12-18 04:05:00+00:00,615.55,617.95,614.55,617.35,208
2023-12-18 04:10:00+00:00,616.05,617.6,615.95,617.15,69
2023-12-18 04:15:00+00:00,615.9,626.95,615.9,620.95,990
2023-12-18 04:20:00+00:00,619.1,619.2,615.2,618.65,1013
2023-12-18 04:25:00+00:00,618.65,618.65,614.5,614.5,165
2023-12-18 04:30:00+00:00,614.5,619.35,614.5,617.5,263
2023-12-18 04:35:00+00:00,617.5,618.7,617.5,618.25,11
2023-12-18 04:40:00+00:00,619.0,619.6,617.75,618.85,56
2023-12-18 04:45:00+00:00,618.85,618.85,617.3,618.05,48
2023-12-18 04:50:00+00:00,618.05,618.9,617.65,617.65,54
2023-12-18 04:55:00+00:00,617.65,618.85,617.65,618.55,19
2023-12-18 05:00:00+00:00,618.55,618.55,616.85,618.55,50
2023-12-18 05:05:00+00:00,618.55,618.55,617.5,618.2,35
2023-12-18 05:10:00+00:00,619.0,619.0,618.25,618.25,57
2023-12-18 05:15:00+00:00,618.25,621.1,618.15,618.5,201
2023-12-18 05:20:00+00:00,618.5,619.4,616.85,619.25,130
2023-12-18 05:25:00+00:00,619.25,619.25,616.1,617.65,111
2023-12-18 05:30:00+00:00,617.65,618.75,617.65,618.6,35
2023-12-18 05:35:00+00:00,618.6,618.6,617.6,617.6,33
2023-12-18 05:40:00+00:00,617.6,617.6,617.6,617.6,0
2023-12-18 05:45:00+00:00,617.6,617.6,617.0,617.15,8
2023-12-18 05:50:00+00:00,617.15,617.6,617.15,617.6,1
2023-12-18 05:55:00+00:00,617.6,617.6,616.8,616.8,15
2023-12-18 06:00:00+00:00,616.8,616.8,616.8,616.8,0
2023-12-18 06:05:00+00:00,616.8,617.5,616.65,617.2,111
2023-12-18 06:10:00+00:00,617.2,617.2,616.1,616.1,2
2023-12-18 06:15:00+00:00,616.1,617.55,616.1,617.55,5
2023-12-18 06:20:00+00:00,617.55,617.95,617.45,617.85,27
2023-12-18 06:25:00+00:00,617.85,617.9,617.85,617.85,5
2023-12-18 06:30:00+00:00,617.85,617.85,615.05,616.95,117
2023-12-18 06:35:00+00:00,616.95,617.05,616.95,617.05,14
2023-12-18 06:40:00+00:00,617.05,617.05,612.3,616.2,240
2023-12-18 06:45:00+00:00,616.2,616.45,612.3,616.1,127
2023-12-18 06:50:00+00:00,616.1,616.4,612.65,616.2,187
2023-12-18 06:55:00+00:00,616.2,616.75,615.6,616.65,37
2023-12-18 07:00:00+00:00,616.65,616.95,614.85,616.25,63
2023-12-18 07:05:00+00:00,616.25,616.25,616.15,616.15,6
2023-12-18 07:10:00+00:00,616.15,616.15,616.15,616.15,0
2023-12-18 07:15:00+00:00,616.15,616.15,616.15,616.15,0
2023-12-18 07:20:00+00:00,614.65,615.9,614.65,615.85,67
2023-12-18 07:25:00+00:00,615.85,615.85,614.65,615.7,130
2023-12-18 07:30:00+00:00,615.7,615.7,614.35,614.35,11
2023-12-18 07:35:00+00:00,614.35,615.4,612.9,615.4,73
2023-12-18 07:40:00+00:00,615.4,615.5,614.75,614.75,57
2023-12-18 07:45:00+00:00,614.75,615.45,614.75,614.75,33
2023-12-18 07:50:00+00:00,614.75,614.75,614.75,614.75,17
2023-12-18 07:55:00+00:00,614.75,615.4,614.75,615.4,14
2023-12-18 08:00:00+00:00,615.4,615.4,614.8,614.8,6
2023-12-18 08:05:00+00:00,614.8,615.5,614.2,614.7,104
2023-12-18 08:10:00+00:00,614.95,614.95,614.55,614.55,8
2023-12-18 08:15:00+00:00,614.55,614.65,614.0,614.15,175
2023-12-18 08:20:00+00:00,614.15,614.15,614.15,614.15,0
2023-12-18 08:25:00+00:00,614.15,614.85,612.85,614.85,122
2023-12-18 08:30:00+00:00,614.85,614.85,613.4,614.5,8
2023-12-18 08:35:00+00:00,614.5,614.5,614.5,614.5,0
2023-12-18 08:40:00+00:00,614.5,614.9,612.1,612.45,733
2023-12-18 08:45:00+00:00,612.45,612.45,611.3,611.35,1053
2023-12-18 08:50:00+00:00,611.35,611.35,608.05,608.05,1526
2023-12-18 08:55:00+00:00,608.05,611.55,608.05,610.45,468
2023-12-18 09:00:00+00:00,610.45,610.5,608.6,610.0,104
2023-12-18 09:05:00+00:00,610.0,610.0,609.8,609.9,55
2023-12-18 09:10:00+00:00,609.9,609.9,608.85,609.4,234
2023-12-18 09:15:00+00:00,609.4,609.4,608.95,609.4,316
2023-12-18 09:20:00+00:00,609.4,609.65,609.4,609.4,32
2023-12-18 09:25:00+00:00,609.4,609.4,609.3,609.3,128
2023-12-18 09:30:00+00:00,609.3,609.45,609.0,609.35,59
2023-12-18 09:35:00+00:00,609.35,611.0,609.0,610.65,220
2023-12-18 09:40:00+00:00,609.15,609.5,608.5,608.5,1034
2023-12-18 09:45:00+00:00,608.5,609.15,608.0,608.0,766
2023-12-18 09:50:00+00:00,608.15,608.2,606.0,608.05,1209
2023-12-18 09:55:00+00:00,609.0,611.95,609.0,611.7,688
2023-12-19 03:45:00+00:00,615.05,615.05,613.0,614.55,368
2023-12-19 03:50:00+00:00,614.55,617.95,614.55,616.0,325
2023-12-19 03:55:00+00:00,616.0,616.3,614.55,615.85,82
2023-12-19 04:00:00+00:00,615.85,616.05,615.85,616.05,9
2023-12-19 04:05:00+00:00,616.05,616.05,613.4,613.4,568
2023-12-19 04:10:00+00:00,613.4,615.45,609.9,613.55,811
2023-12-19 04:15:00+00:00,612.7,614.45,611.05,614.25,137
2023-12-19 04:20:00+00:00,614.25,615.95,613.5,613.5,241
2023-12-19 04:25:00+00:00,613.5,615.85,613.5,615.85,48
2023-12-19 04:30:00+00:00,615.85,615.85,614.05,615.35,253
2023-12-19 04:35:00+00:00,615.35,615.35,612.3,612.3,20
2023-12-19 04:40:00+00:00,613.35,613.9,611.55,612.95,41
2023-12-19 04:45:00+00:00,612.95,615.0,610.0,614.85,501
2023-12-19 04:50:00+00:00,614.85,614.85,611.75,614.75,155
2023-12-19 04:55:00+00:00,614.75,614.75,614.75,614.75,0
2023-12-19 05:00:00+00:00,614.75,614.75,611.1,612.35,127
2023-12-19 05:05:00+00:00,612.35,612.35,611.15,611.35,54
2023-12-19 05:10:00+00:00,611.35,611.35,608.1,610.0,465
2023-12-19 05:15:00+00:00,610.2,610.2,606.95,608.0,353
2023-12-19 05:20:00+00:00,608.0,608.15,607.55,608.0,485
2023-12-19 05:25:00+00:00,608.0,608.0,606.9,607.0,252
2023-12-19 05:30:00+00:00,607.0,607.0,605.9,606.0,1084
2023-12-19 05:35:00+00:00,606.0,606.0,601.1,604.85,1458
2023-12-19 05:40:00+00:00,604.75,605.45,604.4,605.4,162
2023-12-19 05:45:00+00:00,605.4,605.8,604.75,604.75,89
2023-12-19 05:50:00+00:00,604.75,604.8,604.7,604.75,107
2023-12-19 05:55:00+00:00,604.75,604.75,604.6,604.7,267
2023-12-19 06:00:00+00:00,604.7,604.7,603.9,604.05,155
2023-12-19 06:05:00+00:00,604.05,604.05,602.05,602.05,256
2023-12-19 06:10:00+00:00,602.0,604.45,601.05,603.8,556
2023-12-19 06:15:00+00:00,604.1,608.45,604.1,606.3,365
2023-12-19 06:20:00+00:00,606.3,607.35,605.65,606.4,148
2023-12-19 06:25:00+00:00,606.4,606.4,605.35,606.35,6
2023-12-19 06:30:00+00:00,605.45,605.45,604.4,605.0,102
2023-12-19 06:35:00+00:00,605.0,605.6,605.0,605.0,265
2023-12-19 06:40:00+00:00,605.0,605.0,604.4,605.0,123
2023-12-19 06:45:00+00:00,605.0,605.0,603.85,605.0,156
2023-12-19 06:50:00+00:00,605.0,605.0,604.05,604.05,2
2023-12-19 06:55:00+00:00,604.05,605.0,604.05,605.0,101
2023-12-19 07:00:00+00:00,605.0,605.0,604.3,604.3,18
2023-12-19 07:05:00+00:00,604.3,604.3,603.95,604.3,215
