,open,high,low,close,volume
2023-12-18 03:45:00+00:00,248.25,248.25,245.05,248.25,2
2023-12-18 03:50:00+00:00,248.25,256.5,248.25,256.1,105
2023-12-18 03:55:00+00:00,256.1,258.05,256.1,256.75,170
2023-12-18 04:00:00+00:00,256.75,258.0,256.75,257.5,291
2023-12-18 04:05:00+00:00,257.5,257.5,257.5,257.5,0
2023-12-18 04:10:00+00:00,257.5,257.5,256.6,256.6,114
2023-12-18 04:15:00+00:00,256.6,256.6,256.6,256.6,10
2023-12-18 04:20:00+00:00,256.9,257.3,256.6,257.3,2017
2023-12-18 04:25:00+00:00,257.3,257.3,256.6,256.6,3001
2023-12-18 04:30:00+00:00,256.6,256.7,256.1,256.7,103
2023-12-18 04:35:00+00:00,256.7,256.85,256.25,256.85,83
2023-12-18 04:40:00+00:00,256.85,256.9,256.85,256.9,20
2023-12-18 04:45:00+00:00,256.9,256.9,256.1,256.1,15
2023-12-18 04:50:00+00:00,256.85,256.95,256.85,256.95,93
2023-12-18 04:55:00+00:00,256.95,256.95,256.4,256.4,16
2023-12-18 05:00:00+00:00,256.4,256.4,256.4,256.4,0
2023-12-18 05:05:00+00:00,256.4,257.0,256.4,256.95,49
2023-12-18 05:10:00+00:00,256.95,256.95,256.95,256.95,0
2023-12-18 05:15:00+00:00,256.95,256.95,256.95,256.95,0
2023-12-18 05:25:00+00:00,256.95,256.95,256.9,256.9,6
2023-12-18 05:30:00+00:00,256.9,257.0,256.9,257.0,30
2023-12-18 05:35:00+00:00,257.0,257.0,257.0,257.0,0
2023-12-18 05:40:00+00:00,256.95,256.95,256.95,256.95,5
2023-12-18 05:45:00+00:00,257.0,257.0,256.4,256.4,36
2023-12-18 05:50:00+00:00,254.25,254.25,254.25,254.25,250
2023-12-18 05:55:00+00:00,256.85,256.85,255.75,255.75,3
2023-12-18 06:00:00+00:00,255.1,255.1,255.1,255.1,40
2023-12-18 06:05:00+00:00,255.1,255.1,255.1,255.1,0
2023-12-18 06:10:00+00:00,255.1,255.1,255.1,255.1,0
2023-12-18 06:15:00+00:00,256.3,256.3,256.3,256.3,15
2023-12-18 06:20:00+00:00,254.2,254.25,254.2,254.25,20
2023-12-18 06:25:00+00:00,254.25,254.25,254.2,254.2,100
2023-12-18 06:30:00+00:00,254.2,254.2,254.2,254.2,0
2023-12-18 06:35:00+00:00,254.2,254.25,254.2,254.2,38
2023-12-18 06:40:00+00:00,254.2,256.2,254.2,256.2,5
2023-12-18 06:55:00+00:00,256.2,256.2,252.2,254.35,1465
2023-12-18 07:00:00+00:00,254.35,254.35,254.35,254.35,0
2023-12-18 07:10:00+00:00,254.35,254.35,254.35,254.35,0
2023-12-18 07:20:00+00:00,254.2,254.4,254.2,254.4,298
2023-12-18 07:25:00+00:00,254.4,254.95,251.7,251.7,479
2023-12-18 07:30:00+00:00,251.7,252.3,250.5,250.65,4806
2023-12-18 07:35:00+00:00,250.65,250.7,250.65,250.7,0
2023-12-18 07:40:00+00:00,250.7,250.7,250.7,250.7,0
2023-12-18 07:45:00+00:00,250.7,250.95,250.5,250.55,5329
2023-12-18 07:50:00+00:00,250.65,250.65,250.5,250.5,1166
2023-12-18 07:55:00+00:00,250.5,251.0,250.5,251.0,3665
2023-12-18 08:00:00+00:00,250.85,250.85,250.85,250.85,4
2023-12-18 08:10:00+00:00,251.0,251.2,251.0,251.2,203
2023-12-18 08:15:00+00:00,251.2,251.2,251.2,251.2,100
2023-12-18 08:20:00+00:00,251.2,251.2,251.2,251.2,0
2023-12-18 08:25:00+00:00,251.2,251.2,251.2,251.2,153
2023-12-18 08:30:00+00:00,251.2,251.2,250.5,250.55,2739
2023-12-18 08:35:00+00:00,250.5,250.5,250.5,250.5,217
2023-12-18 08:40:00+00:00,250.5,250.5,250.5,250.5,71
2023-12-18 08:50:00+00:00,250.5,250.5,250.5,250.5,0
2023-12-18 08:55:00+00:00,250.5,250.85,250.5,250.85,100
2023-12-18 09:00:00+00:00,250.85,250.85,250.85,250.85,0
2023-12-18 09:05:00+00:00,250.5,250.5,250.5,250.5,0
2023-12-18 09:10:00+00:00,250.5,250.5,250.5,250.5,0
2023-12-18 09:15:00+00:00,250.5,250.5,250.5,250.5,0
2023-12-18 09:20:00+00:00,251.15,251.15,251.15,251.15,0
2023-12-18 09:25:00+00:00,251.15,251.15,250.55,250.55,21
2023-12-18 09:30:00+00:00,251.15,251.15,251.15,251.15,19
2023-12-18 09:35:00+00:00,251.15,251.15,251.15,251.15,0
2023-12-18 09:40:00+00:00,251.15,251.15,250.5,250.5,189
2023-12-18 09:45:00+00:00,250.5,251.0,250.5,251.0,0
2023-12-18 09:50:00+00:00,250.5,250.9,250.5,250.5,593
2023-12-18 09:55:00+00:00,250.5,251.15,250.5,251.15,27
2023-12-19 03:50:00+00:00,254.55,254.55,253.4,254.0,14
2023-12-19 03:55:00+00:00,254.0,254.0,254.0,254.0,0
2023-12-19 04:00:00+00:00,253.0,253.0,250.9,250.9,131
2023-12-19 04:05:00+00:00,250.9,253.4,250.9,253.4,110
2023-12-19 04:10:00+00:00,253.4,254.4,251.8,251.8,41
2023-12-19 04:15:00+00:00,251.8,251.8,251.8,251.8,0
2023-12-19 04:20:00+00:00,251.8,254.85,250.2,250.65,304
2023-12-19 04:25:00+00:00,250.65,253.95,250.65,251.1,92
2023-12-19 04:30:00+00:00,251.1,251.1,251.1,251.1,0
2023-12-19 04:35:00+00:00,251.1,251.1,251.1,251.1,0
2023-12-19 04:40:00+00:00,254.2,255.0,252.65,252.65,5178
2023-12-19 04:45:00+00:00,252.65,252.65,252.25,252.45,36
2023-12-19 04:50:00+00:00,252.45,252.9,252.45,252.9,28
2023-12-19 04:55:00+00:00,252.9,252.9,252.9,252.9,0
2023-12-19 05:00:00+00:00,252.9,252.9,252.9,252.9,0
2023-12-19 05:05:00+00:00,252.9,252.9,252.9,252.9,0
2023-12-19 05:10:00+00:00,252.9,252.9,251.1,251.1,3090
2023-12-19 05:15:00+00:00,251.1,251.1,251.1,251.1,2011
2023-12-19 05:20:00+00:00,251.1,251.1,251.1,251.1,0
2023-12-19 05:25:00+00:00,251.1,251.1,251.1,251.1,14
2023-12-19 05:30:00+00:00,251.1,251.3,251.1,251.3,1
2023-12-19 05:35:00+00:00,253.4,253.4,253.1,253.1,112
2023-12-19 05:40:00+00:00,253.1,253.1,253.1,253.1,0
2023-12-19 05:45:00+00:00,253.1,253.1,253.1,253.1,31
2023-12-19 05:50:00+00:00,253.1,253.1,253.1,253.1,0
2023-12-19 05:55:00+00:00,253.1,254.15,253.1,254.15,5
2023-12-19 06:00:00+00:00,254.15,254.25,254.1,254.1,10
2023-12-19 06:05:00+00:00,254.1,254.1,254.1,254.1,0
2023-12-19 06:10:00+00:00,254.1,254.1,253.15,253.15,35
2023-12-19 06:15:00+00:00,253.15,253.15,253.15,253.15,0
2023-12-19 06:20:00+00:00,253.15,255.0,253.15,253.95,115
2023-12-19 06:25:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 06:30:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 06:35:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 06:40:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 06:45:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 06:50:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 06:55:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 07:00:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 07:05:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 07:10:00+00:00,253.95,253.95,253.95,253.95,0
2023-12-19 07:15:00+00:00,253.95,253.95,253.2,253.35,5
2023-12-19 07:20:00+00:00,253.35,253.35,253.2,253.2,0
2023-12-19 07:25:00+00:00,253.2,253.2,253.2,253.2,0
2023-12-19 07:30:00+00:00,253.2,253.2,253.2,253.2,0
2023-12-19 07:35:00+00:00,253.2,253.2,253.2,253.2,0
2023-12-19 07:40:00+00:00,253.2,253.2,253.1,253.1,100
2023-12-19 07:50:00+00:00,253.1,253.1,253.1,253.1,0
2023-12-19 07:55:00+00:00,253.1,253.1,253.1,253.1,0
2023-12-19 08:00:00+00:00,253.1,253.1,253.1,253.1,0
