,open,high,low,close,volume
2023-12-18 03:45:00+00:00,341.0,345.7,341.0,343.65,365
2023-12-18 03:50:00+00:00,343.65,344.3,343.65,344.25,421
2023-12-18 03:55:00+00:00,344.25,345.0,344.25,345.0,35
2023-12-18 04:00:00+00:00,345.0,345.6,344.0,344.5,993
2023-12-18 04:05:00+00:00,344.5,344.8,343.5,343.5,1383
2023-12-18 04:10:00+00:00,342.3,344.2,342.3,344.2,581
2023-12-18 04:15:00+00:00,344.2,345.0,344.1,345.0,139
2023-12-18 04:20:00+00:00,345.0,345.0,344.5,344.8,79
2023-12-18 04:25:00+00:00,344.45,345.0,344.0,344.95,716
2023-12-18 04:30:00+00:00,344.95,345.15,344.5,345.1,468
2023-12-18 04:35:00+00:00,345.1,345.15,344.05,344.95,237
2023-12-18 04:40:00+00:00,344.95,344.95,344.05,344.95,36
2023-12-18 04:45:00+00:00,344.95,345.2,344.15,344.15,398
2023-12-18 04:50:00+00:00,344.15,344.15,344.0,344.0,651
2023-12-18 04:55:00+00:00,344.0,344.7,343.55,344.7,401
2023-12-18 05:00:00+00:00,344.6,344.6,343.8,344.1,48
2023-12-18 05:05:00+00:00,344.1,344.15,342.6,343.25,826
2023-12-18 05:10:00+00:00,343.25,343.6,343.2,343.25,58
2023-12-18 05:15:00+00:00,343.25,343.25,343.15,343.15,52
2023-12-18 05:20:00+00:00,343.15,343.15,342.0,342.05,494
2023-12-18 05:25:00+00:00,342.05,342.6,342.05,342.6,95
2023-12-18 05:30:00+00:00,342.6,342.95,342.45,342.95,389
2023-12-18 05:35:00+00:00,342.95,342.95,342.5,342.5,12
2023-12-18 05:40:00+00:00,342.5,343.15,342.5,342.9,183
2023-12-18 05:45:00+00:00,342.9,343.15,342.9,343.0,176
2023-12-18 05:50:00+00:00,343.0,343.0,342.45,342.8,683
2023-12-18 05:55:00+00:00,342.8,342.8,342.8,342.8,58
2023-12-18 06:00:00+00:00,342.8,342.9,342.4,342.4,1512
2023-12-18 06:05:00+00:00,342.65,342.95,341.95,341.95,893
2023-12-18 06:10:00+00:00,341.95,342.2,341.95,342.15,526
2023-12-18 06:15:00+00:00,342.15,342.15,342.1,342.1,576
2023-12-18 06:20:00+00:00,342.1,342.65,342.05,342.65,53
2023-12-18 06:25:00+00:00,342.65,342.95,342.65,342.9,228
2023-12-18 06:30:00+00:00,342.9,342.9,342.3,342.7,142
2023-12-18 06:35:00+00:00,342.7,342.8,342.7,342.8,102
2023-12-18 06:40:00+00:00,342.8,342.8,342.3,342.3,25
2023-12-18 06:45:00+00:00,342.3,342.7,342.05,342.05,31
2023-12-18 06:50:00+00:00,342.05,350.0,342.05,347.0,10267
2023-12-18 06:55:00+00:00,347.0,347.05,346.3,346.45,217
2023-12-18 07:00:00+00:00,346.45,346.75,346.05,346.5,158
2023-12-18 07:05:00+00:00,346.5,347.25,346.1,347.25,759
2023-12-18 07:10:00+00:00,347.25,347.25,346.55,347.2,159
2023-12-18 07:15:00+00:00,347.2,347.2,346.5,347.2,302
2023-12-18 07:20:00+00:00,347.2,347.35,347.2,347.35,499
2023-12-18 07:25:00+00:00,347.35,348.0,347.35,348.0,170
2023-12-18 07:30:00+00:00,348.0,348.0,346.85,347.9,20
2023-12-18 07:35:00+00:00,347.9,348.1,347.5,348.0,661
2023-12-18 07:40:00+00:00,348.0,348.05,347.05,347.1,341
2023-12-18 07:45:00+00:00,347.1,347.1,345.0,345.0,1366
2023-12-18 07:50:00+00:00,345.0,346.3,345.0,346.1,83
2023-12-18 07:55:00+00:00,346.1,347.3,346.1,347.3,1271
2023-12-18 08:00:00+00:00,347.3,347.3,346.75,347.0,115
2023-12-18 08:05:00+00:00,347.0,347.0,347.0,347.0,0
2023-12-18 08:10:00+00:00,347.0,347.35,346.85,346.85,15
2023-12-18 08:15:00+00:00,346.85,347.35,346.8,346.8,43
2023-12-18 08:20:00+00:00,346.7,346.95,346.7,346.95,31
2023-12-18 08:25:00+00:00,346.95,347.0,346.45,346.45,83
2023-12-18 08:30:00+00:00,346.45,346.9,346.45,346.8,11
2023-12-18 08:35:00+00:00,346.8,346.8,345.55,345.55,762
