,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1759.0,1759.0,1741.3,1746.7,293
2023-12-18 03:50:00+00:00,1746.15,1748.7,1737.7,1746.15,1301
2023-12-18 03:55:00+00:00,1746.15,1751.2,1746.15,1747.25,241
2023-12-18 04:00:00+00:00,1747.25,1748.75,1745.0,1745.45,95
2023-12-18 04:05:00+00:00,1745.45,1745.6,1731.05,1744.0,1246
2023-12-18 04:10:00+00:00,1744.0,1745.95,1740.75,1745.95,147
2023-12-18 04:15:00+00:00,1745.95,1745.95,1741.5,1743.7,160
2023-12-18 04:20:00+00:00,1743.7,1748.7,1736.4,1748.7,1089
2023-12-18 04:25:00+00:00,1748.7,1749.6,1748.7,1749.6,4
2023-12-18 04:30:00+00:00,1749.75,1749.75,1743.75,1747.4,70
2023-12-18 04:35:00+00:00,1747.4,1747.4,1736.3,1738.5,652
2023-12-18 04:40:00+00:00,1738.5,1740.05,1735.45,1739.4,638
2023-12-18 04:45:00+00:00,1739.4,1740.4,1735.7,1740.4,55
2023-12-18 04:50:00+00:00,1740.4,1743.0,1740.3,1742.45,33
2023-12-18 04:55:00+00:00,1742.45,1742.8,1740.45,1740.5,16
2023-12-18 05:00:00+00:00,1742.85,1742.85,1740.0,1740.0,76
2023-12-18 05:05:00+00:00,1740.0,1742.35,1737.4,1737.4,377
2023-12-18 05:10:00+00:00,1737.4,1739.75,1737.4,1739.75,14
2023-12-18 05:15:00+00:00,1739.75,1739.75,1735.0,1735.0,284
2023-12-18 05:20:00+00:00,1735.0,1739.25,1735.0,1737.85,23
2023-12-18 05:25:00+00:00,1737.85,1741.1,1737.85,1740.95,210
2023-12-18 05:30:00+00:00,1740.95,1741.8,1737.0,1737.0,37
2023-12-18 05:35:00+00:00,1737.0,1739.2,1737.0,1739.2,63
2023-12-18 05:40:00+00:00,1739.2,1739.75,1737.05,1739.6,53
2023-12-18 05:45:00+00:00,1739.6,1739.6,1737.0,1737.0,95
2023-12-18 05:50:00+00:00,1737.0,1739.65,1737.0,1739.6,13
2023-12-18 05:55:00+00:00,1739.6,1739.6,1739.6,1739.6,0
2023-12-18 06:00:00+00:00,1739.6,1739.8,1738.0,1739.8,30
2023-12-18 06:05:00+00:00,1739.8,1739.85,1739.8,1739.85,15
2023-12-18 06:10:00+00:00,1739.85,1739.85,1739.85,1739.85,0
2023-12-18 06:15:00+00:00,1739.85,1739.85,1735.3,1737.35,325
2023-12-18 06:20:00+00:00,1737.35,1737.35,1737.35,1737.35,0
2023-12-18 06:25:00+00:00,1737.35,1739.0,1736.0,1736.0,65
2023-12-18 06:30:00+00:00,1736.0,1736.85,1732.35,1736.55,61
2023-12-18 06:35:00+00:00,1736.55,1736.55,1736.55,1736.55,0
2023-12-18 06:40:00+00:00,1736.55,1736.55,1733.0,1733.0,15
2023-12-18 06:45:00+00:00,1733.0,1735.1,1733.0,1734.05,46
2023-12-18 06:50:00+00:00,1734.05,1735.95,1734.0,1735.95,28
2023-12-18 06:55:00+00:00,1735.95,1735.95,1731.0,1732.0,265
2023-12-18 07:00:00+00:00,1732.0,1732.0,1724.75,1727.05,321
2023-12-18 07:05:00+00:00,1727.05,1728.55,1725.05,1726.25,218
2023-12-18 07:10:00+00:00,1726.25,1729.95,1726.25,1729.95,100
2023-12-18 07:15:00+00:00,1729.95,1735.85,1726.2,1733.35,361
2023-12-18 07:20:00+00:00,1733.35,1733.35,1733.35,1733.35,0
2023-12-18 07:25:00+00:00,1733.35,1735.95,1732.05,1732.05,56
2023-12-18 07:30:00+00:00,1732.05,1732.7,1729.85,1732.7,402
2023-12-18 07:35:00+00:00,1732.9,1732.9,1730.2,1732.8,24
2023-12-18 07:40:00+00:00,1732.8,1732.8,1730.4,1730.4,3
2023-12-18 07:45:00+00:00,1730.4,1730.95,1730.4,1730.9,20
2023-12-18 07:50:00+00:00,1730.9,1731.95,1730.0,1730.0,31
2023-12-18 07:55:00+00:00,1730.0,1732.55,1730.0,1730.0,12
2023-12-18 08:00:00+00:00,1730.0,1731.95,1730.0,1731.95,124
2023-12-18 08:05:00+00:00,1732.8,1732.8,1731.05,1731.05,6
2023-12-18 08:10:00+00:00,1731.05,1732.9,1730.35,1731.05,33
2023-12-18 08:15:00+00:00,1731.05,1733.3,1728.0,1728.0,134
2023-12-18 08:20:00+00:00,1728.0,1728.0,1727.1,1727.85,268
2023-12-18 08:25:00+00:00,1727.85,1728.95,1725.0,1728.95,141
2023-12-18 08:30:00+00:00,1728.95,1728.95,1712.1,1717.4,1266
2023-12-18 08:35:00+00:00,1717.4,1720.9,1705.05,1705.05,1892
2023-12-18 08:40:00+00:00,1705.05,1714.35,1705.05,1714.35,793
2023-12-18 08:45:00+00:00,1714.35,1714.35,1707.2,1711.95,368
2023-12-18 08:50:00+00:00,1711.95,1714.75,1711.95,1714.05,88
2023-12-18 08:55:00+00:00,1714.1,1714.1,1707.4,1709.1,522
2023-12-18 09:00:00+00:00,1709.1,1713.95,1707.6,1713.95,359
2023-12-18 09:05:00+00:00,1713.95,1716.0,1710.0,1710.05,131
2023-12-18 09:10:00+00:00,1710.05,1711.85,1707.0,1707.0,375
2023-12-18 09:15:00+00:00,1707.0,1712.05,1707.0,1712.05,465
2023-12-18 09:20:00+00:00,1712.35,1715.35,1712.05,1714.35,228
2023-12-18 09:25:00+00:00,1714.35,1716.05,1713.65,1715.45,180
2023-12-18 09:30:00+00:00,1715.45,1725.75,1712.3,1722.35,806
2023-12-18 09:35:00+00:00,1722.35,1722.35,1719.05,1719.05,428
2023-12-18 09:40:00+00:00,1717.45,1717.45,1710.0,1710.2,834
2023-12-18 09:45:00+00:00,1710.2,1718.05,1710.2,1715.3,935
2023-12-18 09:50:00+00:00,1715.3,1729.9,1715.3,1727.95,1492
2023-12-18 09:55:00+00:00,1727.95,1729.4,1715.0,1715.0,645
2023-12-19 03:45:00+00:00,1721.0,1739.0,1721.0,1728.45,185
2023-12-19 03:50:00+00:00,1728.45,1728.45,1724.1,1726.25,237
2023-12-19 03:55:00+00:00,1726.25,1729.95,1726.25,1729.95,95
2023-12-19 04:00:00+00:00,1729.95,1734.15,1728.8,1728.8,1193
2023-12-19 04:05:00+00:00,1728.8,1728.8,1724.8,1728.1,286
2023-12-19 04:10:00+00:00,1728.1,1738.7,1726.6,1738.7,665
2023-12-19 04:15:00+00:00,1738.7,1740.6,1736.5,1736.5,1193
2023-12-19 04:20:00+00:00,1736.5,1743.25,1736.5,1740.1,180
2023-12-19 04:25:00+00:00,1740.1,1740.1,1738.5,1740.0,66
2023-12-19 04:30:00+00:00,1740.0,1740.0,1736.5,1737.3,60
2023-12-19 04:35:00+00:00,1737.3,1739.9,1736.05,1737.45,408
2023-12-19 04:40:00+00:00,1737.45,1744.0,1735.35,1744.0,583
2023-12-19 04:45:00+00:00,1744.0,1764.85,1744.0,1761.3,602
2023-12-19 04:50:00+00:00,1761.65,1764.3,1753.05,1759.15,537
2023-12-19 04:55:00+00:00,1759.15,1760.2,1749.35,1749.85,335
2023-12-19 05:00:00+00:00,1749.85,1754.7,1748.35,1754.7,68
2023-12-19 05:05:00+00:00,1754.7,1755.0,1752.05,1754.4,31
2023-12-19 05:10:00+00:00,1754.4,1757.0,1754.4,1754.65,99
2023-12-19 05:15:00+00:00,1754.65,1756.0,1753.85,1755.95,22
2023-12-19 05:20:00+00:00,1755.95,1758.15,1755.7,1756.9,272
2023-12-19 05:25:00+00:00,1756.9,1757.95,1755.3,1755.3,30
2023-12-19 05:30:00+00:00,1755.3,1758.0,1755.25,1755.25,35
2023-12-19 05:35:00+00:00,1755.25,1755.25,1755.25,1755.25,0
2023-12-19 05:40:00+00:00,1755.25,1755.25,1750.85,1750.85,40
2023-12-19 05:45:00+00:00,1750.85,1753.0,1749.55,1749.55,60
2023-12-19 05:50:00+00:00,1749.55,1755.9,1749.55,1753.3,180
2023-12-19 05:55:00+00:00,1753.3,1758.0,1753.3,1758.0,22
2023-12-19 06:00:00+00:00,1758.0,1758.0,1754.05,1754.1,260
2023-12-19 06:05:00+00:00,1754.1,1754.1,1746.6,1752.05,235
2023-12-19 06:10:00+00:00,1752.05,1758.75,1751.75,1758.75,88
2023-12-19 06:15:00+00:00,1756.7,1767.7,1756.7,1767.7,830
2023-12-19 06:20:00+00:00,1767.7,1769.3,1761.3,1765.4,684
2023-12-19 06:25:00+00:00,1765.4,1765.8,1757.25,1759.05,307
2023-12-19 06:30:00+00:00,1759.05,1759.05,1750.65,1751.55,335
2023-12-19 06:35:00+00:00,1751.55,1753.4,1751.25,1751.25,34
2023-12-19 06:40:00+00:00,1751.25,1751.25,1748.0,1748.0,40
2023-12-19 06:45:00+00:00,1748.0,1748.0,1735.35,1737.05,731
2023-12-19 06:50:00+00:00,1737.05,1740.0,1737.05,1739.5,137
2023-12-19 06:55:00+00:00,1739.5,1741.85,1737.55,1737.55,204
2023-12-19 07:00:00+00:00,1737.55,1737.75,1734.25,1735.65,958
2023-12-19 07:05:00+00:00,1735.65,1753.05,1735.65,1753.05,711
2023-12-19 07:10:00+00:00,1753.05,1753.05,1751.25,1751.8,63
2023-12-19 07:15:00+00:00,1751.8,1751.8,1748.05,1751.0,52
2023-12-19 07:20:00+00:00,1751.0,1751.0,1745.1,1745.95,190
2023-12-19 07:25:00+00:00,1745.95,1751.0,1745.95,1746.5,144
2023-12-19 07:30:00+00:00,1746.5,1749.15,1745.05,1746.65,57
2023-12-19 07:35:00+00:00,1746.65,1746.65,1739.05,1741.45,599
2023-12-19 07:40:00+00:00,1741.45,1741.45,1740.7,1741.0,121
2023-12-19 07:45:00+00:00,1741.0,1741.0,1738.4,1738.4,13
2023-12-19 07:50:00+00:00,1738.4,1741.2,1738.4,1741.2,5
2023-12-19 07:55:00+00:00,1741.2,1741.7,1741.2,1741.7,20
2023-12-19 08:00:00+00:00,1741.7,1741.95,1739.05,1739.05,42
2023-12-19 08:05:00+00:00,1739.2,1739.2,1739.2,1739.2,0
2023-12-19 08:10:00+00:00,1739.2,1743.45,1739.2,1743.45,18
2023-12-19 08:15:00+00:00,1743.45,1743.45,1743.4,1743.4,24
2023-12-19 08:20:00+00:00,1743.4,1743.4,1742.1,1742.2,21
2023-12-19 08:25:00+00:00,1742.2,1743.4,1739.2,1741.4,149
2023-12-19 08:30:00+00:00,1741.4,1745.25,1741.4,1745.25,49
2023-12-19 08:35:00+00:00,1745.25,1747.85,1745.25,1746.3,58
2023-12-19 08:40:00+00:00,1746.3,1746.3,1736.0,1736.0,729
2023-12-19 08:45:00+00:00,1736.0,1738.0,1736.0,1738.0,195
2023-12-19 08:50:00+00:00,1738.0,1738.0,1735.2,1735.2,0
2023-12-19 08:55:00+00:00,1735.2,1735.25,1731.7,1733.95,48
2023-12-19 09:00:00+00:00,1733.95,1734.75,1730.0,1730.0,168
2023-12-19 09:05:00+00:00,1730.0,1733.25,1729.9,1733.25,28
2023-12-19 09:10:00+00:00,1733.25,1733.85,1731.5,1733.8,23
2023-12-19 09:15:00+00:00,1733.8,1734.1,1729.8,1731.5,10
2023-12-19 09:20:00+00:00,1729.8,1731.5,1727.5,1728.0,17
2023-12-19 09:25:00+00:00,1728.0,1735.0,1724.65,1724.65,720
2023-12-19 09:30:00+00:00,1725.0,1734.75,1722.05,1724.0,485
2023-12-19 09:35:00+00:00,1724.0,1735.6,1722.6,1734.9,418
2023-12-19 09:40:00+00:00,1734.9,1741.15,1733.5,1740.4,821
2023-12-19 09:45:00+00:00,1740.45,1751.0,1738.65,1751.0,575
2023-12-19 09:50:00+00:00,1748.2,1748.2,1734.3,1736.6,696
2023-12-19 09:55:00+00:00,1736.6,1740.0,1736.0,1740.0,159
2023-12-20 03:45:00+00:00,1741.55,1742.25,1733.8,1738.45,646
2023-12-20 03:50:00+00:00,1738.45,1757.7,1736.5,1757.7,883
2023-12-20 03:55:00+00:00,1757.7,1766.5,1755.0,1766.5,753
2023-12-20 04:00:00+00:00,1766.5,1772.75,1760.85,1762.55,1477
2023-12-20 04:05:00+00:00,1762.55,1765.0,1756.4,1765.0,535
2023-12-20 04:10:00+00:00,1765.0,1768.15,1761.8,1761.8,246
2023-12-20 04:15:00+00:00,1761.8,1761.8,1756.3,1757.85,129
2023-12-20 04:20:00+00:00,1757.85,1760.95,1757.85,1757.9,110
2023-12-20 04:25:00+00:00,1757.9,1760.0,1755.0,1760.0,129
2023-12-20 04:30:00+00:00,1760.0,1760.0,1755.0,1755.0,26
2023-12-20 04:35:00+00:00,1755.0,1758.95,1755.0,1757.7,198
2023-12-20 04:40:00+00:00,1757.7,1759.1,1755.75,1759.1,21
2023-12-20 04:45:00+00:00,1759.1,1759.9,1755.0,1755.6,202
2023-12-20 04:50:00+00:00,1755.6,1755.6,1755.6,1755.6,0
2023-12-20 04:55:00+00:00,1755.6,1757.3,1753.5,1757.3,8
2023-12-20 05:00:00+00:00,1753.5,1756.5,1753.5,1753.95,119
2023-12-20 05:05:00+00:00,1753.95,1756.95,1753.95,1755.65,83
2023-12-20 05:10:00+00:00,1755.65,1759.95,1755.65,1759.95,82
2023-12-20 05:15:00+00:00,1760.0,1760.0,1756.85,1759.95,53
2023-12-20 05:20:00+00:00,1759.95,1759.95,1759.95,1759.95,0
2023-12-20 05:25:00+00:00,1759.95,1759.95,1759.95,1759.95,0
2023-12-20 05:30:00+00:00,1759.95,1759.95,1759.4,1759.4,1
2023-12-20 05:35:00+00:00,1759.4,1759.85,1756.75,1759.85,40
2023-12-20 05:40:00+00:00,1759.85,1760.0,1758.05,1758.05,268
2023-12-20 05:45:00+00:00,1758.05,1759.2,1757.0,1758.85,61
2023-12-20 05:50:00+00:00,1758.85,1758.85,1753.05,1757.6,352
2023-12-20 05:55:00+00:00,1757.6,1757.6,1754.15,1754.15,85
2023-12-20 06:00:00+00:00,1754.15,1757.15,1754.15,1757.15,5
2023-12-20 06:05:00+00:00,1757.15,1769.9,1754.05,1769.8,1540
2023-12-20 06:10:00+00:00,1769.8,1769.8,1766.15,1766.15,14
2023-12-20 06:15:00+00:00,1766.15,1766.15,1763.6,1763.6,58
2023-12-20 06:20:00+00:00,1763.6,1765.8,1763.6,1763.8,25
2023-12-20 06:25:00+00:00,1763.8,1768.45,1762.2,1768.45,140
2023-12-20 06:30:00+00:00,1768.45,1768.45,1763.2,1763.2,35
2023-12-20 06:35:00+00:00,1763.2,1764.55,1763.2,1764.55,6
2023-12-20 06:40:00+00:00,1764.55,1764.9,1764.55,1764.9,20
2023-12-20 06:45:00+00:00,1764.9,1764.9,1762.7,1762.7,30
2023-12-20 06:50:00+00:00,1762.7,1766.05,1762.7,1765.0,157
2023-12-20 06:55:00+00:00,1765.0,1766.6,1764.05,1764.05,186
2023-12-20 07:00:00+00:00,1764.05,1764.05,1761.0,1761.0,91
2023-12-20 07:05:00+00:00,1761.0,1764.0,1760.0,1763.15,172
2023-12-20 07:10:00+00:00,1763.15,1764.05,1763.15,1764.05,0
2023-12-20 07:15:00+00:00,1764.05,1764.05,1760.95,1760.95,10
2023-12-20 07:20:00+00:00,1760.95,1760.95,1760.95,1760.95,0
2023-12-20 07:25:00+00:00,1760.95,1764.15,1760.95,1763.05,29
2023-12-20 07:30:00+00:00,1763.05,1763.2,1763.05,1763.2,3
2023-12-20 07:35:00+00:00,1763.2,1764.55,1762.0,1762.0,58
2023-12-20 07:40:00+00:00,1762.0,1763.35,1760.0,1760.0,70
2023-12-20 07:45:00+00:00,1760.0,1761.45,1759.7,1759.7,472
2023-12-20 07:50:00+00:00,1759.7,1759.7,1751.05,1751.05,179
2023-12-20 07:55:00+00:00,1751.05,1751.05,1738.85,1741.35,619
2023-12-20 08:00:00+00:00,1741.35,1741.5,1732.0,1732.0,268
2023-12-20 08:05:00+00:00,1732.0,1735.65,1725.85,1735.65,268
2023-12-20 08:10:00+00:00,1735.65,1737.4,1730.15,1735.2,105
2023-12-20 08:15:00+00:00,1735.2,1735.6,1722.5,1723.3,282
2023-12-20 08:20:00+00:00,1723.3,1723.95,1720.45,1723.0,157
2023-12-20 08:25:00+00:00,1723.0,1725.35,1705.8,1715.6,1186
2023-12-20 08:30:00+00:00,1715.6,1715.85,1702.7,1704.95,309
2023-12-20 08:35:00+00:00,1702.7,1710.95,1702.2,1710.95,163
2023-12-20 08:40:00+00:00,1712.7,1718.1,1711.25,1712.9,197
2023-12-20 08:45:00+00:00,1712.9,1713.25,1703.15,1705.85,452
2023-12-20 08:50:00+00:00,1703.35,1709.75,1703.0,1708.75,340
2023-12-20 08:55:00+00:00,1709.25,1720.3,1708.45,1720.3,618
2023-12-20 09:00:00+00:00,1720.3,1731.75,1720.3,1727.0,242
