,open,high,low,close,volume
2023-12-18 03:45:00+00:00,521.4,529.95,517.0,528.0,44562
2023-12-18 03:50:00+00:00,526.85,527.75,525.35,527.0,16131
2023-12-18 03:55:00+00:00,526.15,528.95,525.1,528.2,14344
2023-12-18 04:00:00+00:00,528.2,528.2,525.65,526.3,6938
2023-12-18 04:05:00+00:00,526.0,530.95,525.8,530.55,18774
2023-12-18 04:10:00+00:00,530.55,531.0,528.55,529.0,11903
2023-12-18 04:15:00+00:00,529.0,529.85,527.7,528.7,5539
2023-12-18 04:20:00+00:00,528.7,528.85,526.4,527.1,5119
2023-12-18 04:25:00+00:00,527.3,529.2,527.25,528.75,6548
2023-12-18 04:30:00+00:00,528.75,529.5,528.5,529.0,2963
2023-12-18 04:35:00+00:00,529.0,529.25,528.05,528.85,4345
2023-12-18 04:40:00+00:00,528.8,529.0,527.9,528.7,2544
2023-12-18 04:45:00+00:00,528.7,529.2,528.0,528.85,3912
2023-12-18 04:50:00+00:00,528.45,529.3,528.4,529.25,7166
2023-12-18 04:55:00+00:00,529.25,529.45,528.0,528.0,2433
2023-12-18 05:00:00+00:00,528.0,528.0,525.0,526.05,8429
2023-12-18 05:05:00+00:00,526.5,527.7,526.05,526.95,2945
2023-12-18 05:10:00+00:00,527.05,527.45,526.05,526.45,2576
2023-12-18 05:15:00+00:00,526.45,527.25,526.3,526.55,2156
2023-12-18 05:20:00+00:00,526.55,527.4,526.55,527.0,87
2023-12-18 05:25:00+00:00,527.0,527.05,526.15,526.15,1818
2023-12-18 05:30:00+00:00,526.25,526.7,525.05,525.6,5079
2023-12-18 05:35:00+00:00,525.6,525.7,525.05,525.4,793
2023-12-18 05:40:00+00:00,525.4,525.75,523.6,524.05,4218
2023-12-18 05:45:00+00:00,523.6,524.35,523.05,523.15,2161
2023-12-18 05:50:00+00:00,523.15,523.95,523.1,523.9,1650
2023-12-18 05:55:00+00:00,523.9,525.0,523.85,525.0,3875
2023-12-18 06:00:00+00:00,525.0,525.8,523.7,524.25,4382
2023-12-18 06:05:00+00:00,523.65,524.55,523.55,524.35,2008
2023-12-18 06:10:00+00:00,524.35,524.4,523.65,523.65,465
