,open,high,low,close,volume
2024-08-20 03:45:00+00:00,1547.9,1547.9,1505.0,1505.0,2521
2024-08-20 03:50:00+00:00,1515.75,1524.0,1505.0,1507.6,286
2024-08-20 03:55:00+00:00,1507.6,1508.95,1500.8,1502.1,149
2024-08-20 04:00:00+00:00,1502.1,1524.0,1499.95,1505.1,581
2024-08-20 04:05:00+00:00,1505.1,1510.0,1502.65,1503.6,197
2024-08-20 04:10:00+00:00,1503.6,1518.0,1500.0,1500.1,188
2024-08-20 04:15:00+00:00,1500.1,1509.9,1500.05,1506.0,83
2024-08-20 04:20:00+00:00,1506.0,1508.4,1499.4,1499.55,164
2024-08-20 04:25:00+00:00,1499.55,1510.0,1499.35,1499.35,158
2024-08-20 04:30:00+00:00,1499.35,1507.5,1494.35,1495.1,147
2024-08-20 04:35:00+00:00,1495.1,1509.95,1494.0,1505.45,81
2024-08-20 04:40:00+00:00,1505.45,1505.45,1490.1,1499.35,361
2024-08-20 04:45:00+00:00,1499.35,1500.0,1489.95,1500.0,137
2024-08-20 04:50:00+00:00,1500.0,1509.1,1500.0,1500.55,81
2024-08-20 04:55:00+00:00,1500.55,1515.0,1500.55,1507.8,2290
2024-08-20 05:00:00+00:00,1507.8,1512.55,1506.3,1506.5,216
2024-08-20 05:05:00+00:00,1506.5,1513.0,1506.35,1509.3,339
2024-08-20 05:10:00+00:00,1509.3,1509.95,1506.35,1506.35,93
2024-08-20 05:15:00+00:00,1506.35,1525.0,1506.35,1506.35,319
2024-08-20 05:20:00+00:00,1506.35,1512.0,1506.35,1511.95,157
2024-08-20 05:25:00+00:00,1511.95,1519.8,1506.35,1506.45,124
2024-08-20 05:30:00+00:00,1506.45,1506.5,1506.35,1506.45,65
2024-08-20 05:35:00+00:00,1506.45,1507.1,1506.35,1506.4,65
2024-08-20 05:40:00+00:00,1506.4,1510.9,1506.4,1506.6,87
2024-08-20 05:45:00+00:00,1506.6,1507.0,1506.55,1506.65,189
2024-08-20 05:50:00+00:00,1506.65,1515.9,1490.0,1502.0,340
