,open,high,low,close,volume
2023-12-18 03:45:00+00:00,878.05,878.05,872.5,874.85,954
2023-12-18 03:50:00+00:00,874.85,876.45,873.0,876.45,1402
2023-12-18 03:55:00+00:00,876.45,876.45,873.0,874.9,755
2023-12-18 04:00:00+00:00,874.95,875.65,873.1,874.8,857
2023-12-18 04:05:00+00:00,875.25,875.55,874.25,874.9,474
2023-12-18 04:10:00+00:00,874.9,875.0,873.25,874.25,1168
2023-12-18 04:15:00+00:00,874.25,874.9,873.25,873.6,654
2023-12-18 04:20:00+00:00,873.6,874.95,873.35,873.5,311
2023-12-18 04:25:00+00:00,873.5,874.55,873.0,873.55,122
2023-12-18 04:30:00+00:00,873.55,875.0,873.55,874.4,315
2023-12-18 04:35:00+00:00,874.4,875.0,874.0,875.0,744
2023-12-18 04:40:00+00:00,875.0,875.0,873.7,874.3,612
2023-12-18 04:45:00+00:00,873.7,874.8,873.7,873.9,124
2023-12-18 04:50:00+00:00,873.9,874.9,873.9,874.05,312
2023-12-18 04:55:00+00:00,874.05,875.0,873.0,874.0,4403
2023-12-18 05:00:00+00:00,874.0,874.75,873.0,873.0,736
2023-12-18 05:05:00+00:00,873.0,875.0,873.0,873.45,423
2023-12-18 05:10:00+00:00,873.45,875.0,873.45,874.35,247
2023-12-18 05:15:00+00:00,874.35,875.0,873.7,874.6,312
2023-12-18 05:20:00+00:00,874.6,875.0,873.0,874.3,1746
2023-12-18 05:25:00+00:00,874.3,874.3,873.0,873.0,775
2023-12-18 05:30:00+00:00,873.2,874.0,873.0,874.0,266
2023-12-18 05:35:00+00:00,874.0,874.4,873.05,873.1,1758
2023-12-18 05:40:00+00:00,874.15,874.35,873.5,873.65,127
2023-12-18 05:45:00+00:00,873.65,874.25,873.55,874.0,136
2023-12-18 05:50:00+00:00,873.5,874.3,873.5,874.3,23
2023-12-18 05:55:00+00:00,874.3,874.35,873.5,874.05,74
2023-12-18 06:00:00+00:00,873.9,890.6,869.5,871.05,27691
2023-12-18 06:05:00+00:00,872.05,881.35,871.0,872.75,20675
2023-12-18 06:10:00+00:00,872.75,873.0,871.8,872.65,56
2023-12-18 06:15:00+00:00,872.65,873.9,871.0,873.9,753
2023-12-18 06:20:00+00:00,872.9,873.95,871.5,873.95,437
2023-12-18 06:25:00+00:00,873.95,874.0,873.35,873.35,214
2023-12-18 06:30:00+00:00,873.35,874.0,872.15,872.3,294
2023-12-18 06:35:00+00:00,872.3,873.65,872.3,873.0,179
2023-12-18 06:40:00+00:00,873.0,874.0,873.0,873.2,264
2023-12-18 06:45:00+00:00,873.2,874.95,873.2,874.95,376
2023-12-18 06:50:00+00:00,874.95,875.0,874.35,874.35,181
2023-12-18 06:55:00+00:00,874.35,874.85,874.3,874.85,88
2023-12-18 07:00:00+00:00,874.85,874.85,873.6,874.1,73
2023-12-18 07:05:00+00:00,874.1,875.0,874.1,875.0,1467
2023-12-18 07:10:00+00:00,875.0,875.0,873.75,874.45,339
2023-12-18 07:15:00+00:00,874.45,874.7,874.0,874.7,270
2023-12-18 07:20:00+00:00,874.7,874.7,873.75,873.75,27
2023-12-18 07:25:00+00:00,873.75,874.4,873.05,874.4,227
2023-12-18 07:30:00+00:00,874.4,875.0,873.95,874.0,249
2023-12-18 07:35:00+00:00,874.0,875.0,874.0,875.0,123
2023-12-18 07:40:00+00:00,875.0,875.0,874.4,875.0,136
2023-12-18 07:45:00+00:00,875.0,875.0,874.45,874.45,19
2023-12-18 07:50:00+00:00,874.45,874.95,874.4,874.95,19
2023-12-18 07:55:00+00:00,875.0,875.0,873.4,874.75,435
2023-12-18 08:00:00+00:00,874.75,875.0,874.35,874.8,119
2023-12-18 08:05:00+00:00,874.8,875.0,873.95,874.95,287
2023-12-18 08:10:00+00:00,874.95,874.95,873.65,873.7,33
2023-12-18 08:15:00+00:00,874.3,874.3,872.35,873.35,599
2023-12-18 08:20:00+00:00,873.35,873.7,872.75,872.75,199
2023-12-18 08:25:00+00:00,872.75,872.8,872.35,872.75,67
2023-12-18 08:30:00+00:00,872.75,873.35,872.35,873.35,337
2023-12-18 08:35:00+00:00,873.1,873.1,866.1,871.25,5309
2023-12-18 08:40:00+00:00,871.25,871.45,870.0,870.2,343
2023-12-18 08:45:00+00:00,870.2,871.55,870.2,871.0,37
2023-12-18 08:50:00+00:00,871.0,871.7,871.0,871.15,127
2023-12-18 08:55:00+00:00,871.25,872.45,871.1,872.0,361
2023-12-18 09:00:00+00:00,872.0,873.15,872.0,872.1,460
2023-12-18 09:05:00+00:00,872.1,873.1,872.1,873.05,177
2023-12-18 09:10:00+00:00,872.1,873.05,872.1,872.5,68
2023-12-18 09:15:00+00:00,872.5,873.25,872.1,872.1,90
2023-12-18 09:20:00+00:00,872.1,873.95,872.1,872.2,175
2023-12-18 09:25:00+00:00,872.2,873.9,872.2,873.9,291
2023-12-18 09:30:00+00:00,873.9,874.2,872.1,872.15,822
2023-12-18 09:35:00+00:00,872.15,873.4,872.1,872.1,203
2023-12-18 09:40:00+00:00,872.1,873.3,872.1,873.1,274
2023-12-18 09:45:00+00:00,873.1,873.85,872.25,873.85,1103
2023-12-18 09:50:00+00:00,873.85,874.75,873.1,874.35,635
2023-12-18 09:55:00+00:00,874.1,874.8,872.3,874.0,1710
2023-12-19 03:45:00+00:00,874.0,877.5,872.55,874.05,1072
2023-12-19 03:50:00+00:00,874.0,875.1,871.55,874.95,1017
2023-12-19 03:55:00+00:00,874.95,875.9,874.0,874.45,375
2023-12-19 04:00:00+00:00,874.45,878.95,874.45,877.85,1079
2023-12-19 04:05:00+00:00,877.0,878.95,876.0,876.75,464
2023-12-19 04:10:00+00:00,876.75,877.4,875.0,876.8,811
2023-12-19 04:15:00+00:00,876.65,876.8,874.7,874.75,1021
2023-12-19 04:20:00+00:00,874.75,875.9,874.75,875.9,56
2023-12-19 04:25:00+00:00,875.9,876.7,875.75,876.7,224
2023-12-19 04:30:00+00:00,876.7,876.7,876.0,876.0,67
