,open,high,low,close,volume
2023-12-18 03:45:00+00:00,667.85,675.45,664.55,675.45,23018
2023-12-18 03:50:00+00:00,675.75,676.4,673.0,673.0,15799
2023-12-18 03:55:00+00:00,674.25,678.25,673.6,677.05,20606
2023-12-18 04:00:00+00:00,677.05,678.5,670.25,671.95,16537
2023-12-18 04:05:00+00:00,671.35,671.5,665.1,665.1,17152
2023-12-18 04:10:00+00:00,665.1,666.85,661.5,662.35,21458
2023-12-18 04:15:00+00:00,663.25,663.25,660.6,661.9,21372
2023-12-18 04:20:00+00:00,662.55,662.8,657.6,658.55,27820
2023-12-18 04:25:00+00:00,658.55,664.0,658.25,660.0,20345
2023-12-18 04:30:00+00:00,660.1,661.5,658.35,660.2,17331
2023-12-18 04:35:00+00:00,660.85,666.0,660.65,665.45,11546
2023-12-18 04:40:00+00:00,665.45,668.0,664.85,667.8,4734
2023-12-18 04:45:00+00:00,667.8,668.55,666.15,667.1,5570
2023-12-18 04:50:00+00:00,667.1,668.8,665.1,667.95,6642
2023-12-18 04:55:00+00:00,668.6,668.8,667.15,667.4,3463
2023-12-18 05:00:00+00:00,667.4,669.25,667.35,667.55,1549
2023-12-18 05:05:00+00:00,667.55,668.85,667.05,668.15,1738
2023-12-18 05:10:00+00:00,668.85,668.95,667.7,668.25,1868
2023-12-18 05:15:00+00:00,668.25,668.8,667.6,668.0,2664
2023-12-18 05:20:00+00:00,668.0,668.75,668.0,668.5,1747
2023-12-18 05:25:00+00:00,668.5,668.75,667.05,668.25,2719
2023-12-18 05:30:00+00:00,668.75,670.5,668.0,669.95,11696
2023-12-18 05:35:00+00:00,670.0,670.0,668.8,669.5,5168
2023-12-18 05:40:00+00:00,669.5,669.85,668.55,669.8,6942
2023-12-18 05:45:00+00:00,669.5,670.15,669.05,670.0,6202
2023-12-18 05:50:00+00:00,670.0,670.45,669.5,669.55,2417
2023-12-18 05:55:00+00:00,669.55,670.0,669.5,670.0,2001
2023-12-18 06:00:00+00:00,669.95,670.3,669.0,669.4,24004
2023-12-18 06:05:00+00:00,669.4,670.9,668.65,670.9,127540
2023-12-18 06:10:00+00:00,670.9,671.55,670.2,670.2,17430
2023-12-18 06:15:00+00:00,670.25,670.95,670.0,670.0,20670
