,open,high,low,close,volume
2023-12-18 03:45:00+00:00,149.95,149.95,146.0,148.1,2839
2023-12-18 03:50:00+00:00,148.0,149.05,147.95,148.8,1354
2023-12-18 03:55:00+00:00,148.8,149.0,147.6,148.7,2406
2023-12-18 04:00:00+00:00,148.7,149.4,148.65,148.85,1160
2023-12-18 04:05:00+00:00,148.85,148.9,148.15,148.25,135
2023-12-18 04:10:00+00:00,148.25,148.95,148.25,148.95,1
2023-12-18 04:15:00+00:00,148.95,148.95,147.5,148.2,846
2023-12-18 04:20:00+00:00,148.2,148.45,147.5,147.5,80
2023-12-18 04:25:00+00:00,147.5,148.85,147.5,147.8,282
2023-12-18 04:30:00+00:00,148.25,148.95,147.7,148.9,1489
2023-12-18 04:35:00+00:00,148.5,149.7,148.0,148.0,1979
2023-12-18 04:40:00+00:00,148.0,149.4,147.35,149.35,1946
2023-12-18 04:45:00+00:00,149.35,149.65,149.25,149.25,1342
2023-12-18 04:50:00+00:00,149.25,149.25,147.5,147.95,764
2023-12-18 04:55:00+00:00,147.95,149.75,147.75,149.35,1068
2023-12-18 05:00:00+00:00,149.35,149.85,148.65,148.65,1786
2023-12-18 05:05:00+00:00,149.2,149.2,147.3,147.45,1398
2023-12-18 05:10:00+00:00,147.45,148.5,147.45,147.8,721
2023-12-18 05:15:00+00:00,147.8,149.55,147.7,149.5,1019
2023-12-18 05:20:00+00:00,149.5,149.6,149.05,149.05,862
2023-12-18 05:25:00+00:00,148.8,148.8,147.45,147.95,1777
2023-12-18 05:30:00+00:00,147.95,149.7,147.7,149.7,776
2023-12-18 05:35:00+00:00,149.7,149.7,149.3,149.35,894
2023-12-18 05:40:00+00:00,149.55,149.55,147.65,147.8,1890
2023-12-18 05:45:00+00:00,148.2,148.45,147.65,148.25,677
2023-12-18 05:50:00+00:00,148.25,148.25,147.7,147.7,5
2023-12-18 05:55:00+00:00,148.2,149.5,148.2,149.45,1917
2023-12-18 06:00:00+00:00,149.45,149.5,149.4,149.5,132
2023-12-18 06:05:00+00:00,149.5,149.5,149.1,149.3,703
2023-12-18 06:10:00+00:00,149.3,149.3,148.05,148.2,1191
2023-12-18 06:15:00+00:00,148.2,148.75,148.1,148.15,768
2023-12-18 06:20:00+00:00,148.15,148.3,148.1,148.3,7
2023-12-18 06:25:00+00:00,148.3,149.85,148.1,148.1,517
2023-12-18 06:30:00+00:00,148.1,149.6,148.1,148.4,19
2023-12-18 06:35:00+00:00,148.4,148.4,148.4,148.4,0
2023-12-18 06:40:00+00:00,148.4,148.4,148.4,148.4,0
2023-12-18 06:45:00+00:00,148.4,148.8,148.35,148.6,24
2023-12-18 06:50:00+00:00,148.35,148.4,148.35,148.4,51
2023-12-18 06:55:00+00:00,148.4,148.4,148.4,148.4,177
2023-12-18 07:00:00+00:00,148.4,149.15,148.4,148.95,1569
2023-12-18 07:05:00+00:00,148.95,148.95,148.95,148.95,0
2023-12-18 07:10:00+00:00,148.95,149.85,148.95,149.85,140
2023-12-18 07:15:00+00:00,149.05,149.05,149.05,149.05,105
2023-12-18 07:20:00+00:00,149.05,149.05,149.05,149.05,1
2023-12-18 07:25:00+00:00,149.05,149.05,149.0,149.0,10
2023-12-18 07:30:00+00:00,149.0,149.0,149.0,149.0,0
2023-12-18 07:35:00+00:00,149.0,149.0,149.0,149.0,1
2023-12-18 07:40:00+00:00,149.0,149.0,149.0,149.0,0
2023-12-18 07:45:00+00:00,149.0,149.0,147.9,148.45,408
2023-12-18 07:55:00+00:00,148.45,148.45,148.45,148.45,0
2023-12-18 08:00:00+00:00,148.45,148.45,148.45,148.45,0
2023-12-18 08:05:00+00:00,148.95,148.95,148.95,148.95,6
2023-12-18 08:10:00+00:00,148.95,148.95,147.65,147.7,246
2023-12-18 08:15:00+00:00,147.7,148.5,147.5,148.5,204
2023-12-18 08:20:00+00:00,148.4,148.75,148.0,148.0,105
2023-12-18 08:25:00+00:00,148.0,148.0,148.0,148.0,0
2023-12-18 08:30:00+00:00,148.75,148.75,146.95,147.0,900
2023-12-18 08:35:00+00:00,147.0,147.6,147.0,147.6,9
2023-12-18 08:40:00+00:00,147.6,147.6,147.6,147.6,0
2023-12-18 08:45:00+00:00,147.6,147.6,147.6,147.6,0
2023-12-18 08:50:00+00:00,147.6,147.6,147.6,147.6,0
2023-12-18 08:55:00+00:00,147.6,147.6,146.0,146.1,2059
2023-12-18 09:00:00+00:00,146.0,146.0,146.0,146.0,1
2023-12-18 09:05:00+00:00,145.9,146.95,144.45,145.85,2109
2023-12-18 09:10:00+00:00,145.85,145.85,145.85,145.85,176
2023-12-18 09:15:00+00:00,145.85,145.85,145.85,145.85,25
2023-12-18 09:20:00+00:00,145.85,146.0,145.6,146.0,161
2023-12-18 09:25:00+00:00,146.0,146.55,145.85,146.25,370
2023-12-18 09:30:00+00:00,146.25,146.35,145.85,145.85,41
2023-12-18 09:35:00+00:00,145.85,146.7,145.6,145.8,461
