,open,high,low,close,volume
2023-12-18 03:45:00+00:00,230.75,231.95,230.3,231.05,1599
2023-12-18 03:50:00+00:00,231.05,231.05,230.05,230.65,2187
2023-12-18 03:55:00+00:00,230.65,231.85,230.65,231.3,782
2023-12-18 04:00:00+00:00,231.3,231.6,231.15,231.15,322
2023-12-18 04:05:00+00:00,231.15,231.6,230.75,231.25,1582
2023-12-18 04:10:00+00:00,231.25,231.3,230.3,230.7,2091
2023-12-18 04:15:00+00:00,230.7,231.45,230.55,230.6,970
2023-12-18 04:20:00+00:00,231.1,231.1,230.55,230.6,689
2023-12-18 04:25:00+00:00,230.6,230.95,230.55,230.9,440
2023-12-18 04:30:00+00:00,230.9,231.5,230.9,231.5,32
2023-12-18 04:35:00+00:00,231.5,231.65,231.25,231.35,707
2023-12-18 04:40:00+00:00,231.35,231.65,231.05,231.65,387
2023-12-18 04:45:00+00:00,231.65,232.45,231.25,232.15,3309
2023-12-18 04:50:00+00:00,232.15,232.9,232.15,232.6,1585
2023-12-18 04:55:00+00:00,232.6,233.2,232.6,233.2,438
2023-12-18 05:00:00+00:00,233.2,233.2,232.55,232.9,643
2023-12-18 05:05:00+00:00,232.9,233.1,232.6,232.7,811
2023-12-18 05:10:00+00:00,232.7,232.7,232.25,232.5,954
2023-12-18 05:15:00+00:00,232.2,232.55,232.15,232.55,133
2023-12-18 05:20:00+00:00,232.15,232.7,231.8,232.7,1138
2023-12-18 05:25:00+00:00,232.7,232.7,231.65,232.1,1399
2023-12-18 05:30:00+00:00,232.1,232.55,231.7,232.55,2188
2023-12-18 05:35:00+00:00,232.55,232.55,231.45,231.5,2884
2023-12-18 05:40:00+00:00,231.5,232.05,231.5,232.05,183
2023-12-18 05:45:00+00:00,232.05,232.35,231.5,232.35,1106
2023-12-18 05:50:00+00:00,232.15,232.35,232.0,232.0,940
2023-12-18 05:55:00+00:00,232.0,232.25,231.65,232.25,911
2023-12-18 06:00:00+00:00,232.25,232.65,232.0,232.65,450
2023-12-18 06:05:00+00:00,232.65,233.85,232.65,233.2,2311
2023-12-18 06:10:00+00:00,233.2,233.65,232.65,232.95,673
2023-12-18 06:15:00+00:00,233.1,233.5,233.0,233.5,2149
2023-12-18 06:20:00+00:00,233.5,233.8,233.3,233.8,3258
2023-12-18 06:25:00+00:00,233.8,233.8,233.3,233.6,294
2023-12-18 06:30:00+00:00,233.6,233.75,233.4,233.75,632
2023-12-18 06:35:00+00:00,233.75,233.75,233.3,233.3,710
2023-12-18 06:40:00+00:00,233.3,237.0,233.3,235.25,12691
2023-12-18 06:45:00+00:00,235.25,235.8,234.9,235.75,3888
2023-12-18 06:50:00+00:00,235.75,236.25,235.25,236.0,3906
2023-12-18 06:55:00+00:00,236.0,236.0,234.75,234.75,824
2023-12-18 07:00:00+00:00,234.75,235.0,234.45,234.65,1568
2023-12-18 07:05:00+00:00,234.65,234.65,234.0,234.1,483
2023-12-18 07:10:00+00:00,234.55,234.95,234.0,234.3,1715
2023-12-18 07:15:00+00:00,234.3,234.55,234.0,234.05,218
2023-12-18 07:20:00+00:00,234.35,234.35,234.0,234.35,238
2023-12-18 07:25:00+00:00,234.35,234.95,233.85,234.05,880
2023-12-18 07:30:00+00:00,234.4,234.95,234.05,234.15,787
2023-12-18 07:35:00+00:00,234.15,234.55,234.0,234.0,544
2023-12-18 07:40:00+00:00,233.85,234.0,233.15,233.6,619
2023-12-18 07:45:00+00:00,233.15,233.65,233.15,233.3,809
2023-12-18 07:50:00+00:00,233.3,233.7,233.3,233.35,67
2023-12-18 07:55:00+00:00,233.35,233.7,233.35,233.7,2
2023-12-18 08:00:00+00:00,233.7,233.7,233.4,233.4,54
2023-12-18 08:05:00+00:00,233.6,233.7,233.4,233.7,1234
2023-12-18 08:10:00+00:00,233.7,233.7,233.35,233.35,333
2023-12-18 08:15:00+00:00,233.35,233.75,233.35,233.6,167
2023-12-18 08:20:00+00:00,234.6,234.95,234.05,234.6,2350
2023-12-18 08:25:00+00:00,234.9,234.9,234.5,234.5,1609
2023-12-18 08:30:00+00:00,234.5,234.85,234.5,234.6,3060
2023-12-18 08:35:00+00:00,234.6,235.05,234.5,235.05,3752
2023-12-18 08:40:00+00:00,235.05,235.05,234.15,234.3,5170
2023-12-18 08:45:00+00:00,234.3,234.3,234.15,234.15,407
2023-12-18 08:50:00+00:00,234.15,234.45,234.05,234.45,21
2023-12-18 08:55:00+00:00,234.45,234.45,234.0,234.0,69
2023-12-18 09:00:00+00:00,234.0,234.5,234.0,234.5,100
2023-12-18 09:05:00+00:00,234.5,234.5,234.15,234.15,316
2023-12-18 09:10:00+00:00,234.15,234.45,234.15,234.45,17
2023-12-18 09:15:00+00:00,234.45,234.5,234.1,234.15,3629
2023-12-18 09:20:00+00:00,234.15,234.5,234.1,234.5,1240
2023-12-18 09:25:00+00:00,234.5,234.5,234.1,234.1,1214
2023-12-18 09:30:00+00:00,234.1,234.4,234.1,234.15,932
2023-12-18 09:35:00+00:00,234.15,234.55,234.15,234.3,672
2023-12-18 09:40:00+00:00,234.3,235.05,234.0,234.7,3545
2023-12-18 09:45:00+00:00,234.15,234.5,233.5,234.5,2502
2023-12-18 09:50:00+00:00,234.15,234.45,233.0,234.4,4393
2023-12-18 09:55:00+00:00,234.4,235.0,233.25,233.35,2341
2023-12-19 03:45:00+00:00,234.05,235.3,234.05,235.15,3150
2023-12-19 03:50:00+00:00,235.15,235.5,234.3,234.65,2558
2023-12-19 03:55:00+00:00,234.65,235.05,234.6,234.7,399
2023-12-19 04:00:00+00:00,234.7,234.95,234.6,234.6,443
2023-12-19 04:05:00+00:00,234.6,234.9,234.15,234.15,920
2023-12-19 04:10:00+00:00,234.15,234.2,233.3,233.3,1167
2023-12-19 04:15:00+00:00,233.3,234.8,232.8,232.9,2758
2023-12-19 04:20:00+00:00,232.9,233.55,232.9,233.35,361
2023-12-19 04:25:00+00:00,233.5,233.5,232.6,233.0,634
2023-12-19 04:30:00+00:00,232.7,233.5,232.5,233.0,924
2023-12-19 04:35:00+00:00,233.0,233.0,232.2,232.2,680
2023-12-19 04:40:00+00:00,232.2,232.5,232.2,232.5,208
2023-12-19 04:45:00+00:00,232.5,232.5,232.1,232.45,287
2023-12-19 04:50:00+00:00,232.6,232.7,232.25,232.6,281
2023-12-19 04:55:00+00:00,232.65,232.75,232.25,232.75,105
2023-12-19 05:00:00+00:00,232.75,232.75,232.15,232.2,649
2023-12-19 05:05:00+00:00,232.2,232.45,232.15,232.45,678
2023-12-19 05:10:00+00:00,232.45,233.5,232.45,233.05,1412
2023-12-19 05:15:00+00:00,233.5,233.8,233.5,233.8,75
2023-12-19 05:20:00+00:00,233.8,233.9,233.6,233.75,98
2023-12-19 05:25:00+00:00,233.75,233.8,233.55,233.8,87
2023-12-19 05:30:00+00:00,233.8,234.1,233.1,234.0,2002
2023-12-19 05:35:00+00:00,234.0,234.0,233.4,233.95,2684
2023-12-19 05:40:00+00:00,233.5,233.95,233.5,233.6,62
2023-12-19 05:45:00+00:00,233.2,233.2,232.5,232.55,1319
2023-12-19 05:50:00+00:00,232.55,233.9,232.55,232.75,1520
2023-12-19 05:55:00+00:00,232.75,233.1,232.45,232.7,422
2023-12-19 06:00:00+00:00,232.7,233.25,232.7,233.25,224
2023-12-19 06:05:00+00:00,233.25,233.35,232.85,233.35,135
2023-12-19 06:10:00+00:00,233.55,233.8,233.3,233.3,195
2023-12-19 06:15:00+00:00,233.3,233.75,233.1,233.1,1500
2023-12-19 06:20:00+00:00,233.1,233.55,233.1,233.55,115
2023-12-19 06:25:00+00:00,233.8,233.8,233.1,233.1,2971
2023-12-19 06:30:00+00:00,233.1,233.5,233.1,233.5,1176
2023-12-19 06:35:00+00:00,233.5,233.6,233.15,233.15,128
2023-12-19 06:40:00+00:00,233.15,233.6,233.15,233.6,4
2023-12-19 06:45:00+00:00,233.6,233.6,233.15,233.5,160
2023-12-19 06:50:00+00:00,233.5,233.5,233.15,233.15,27
2023-12-19 06:55:00+00:00,233.15,233.5,233.15,233.5,12
2023-12-19 07:00:00+00:00,233.5,233.6,233.3,233.6,747
2023-12-19 07:05:00+00:00,233.6,233.6,233.3,233.6,196
