,open,high,low,close,volume
2023-12-18 03:45:00+00:00,503.4,514.85,500.05,510.5,13980
2023-12-18 03:50:00+00:00,510.5,513.4,509.1,512.45,7823
2023-12-18 03:55:00+00:00,512.2,513.1,510.85,512.95,2633
2023-12-18 04:00:00+00:00,512.95,513.0,509.85,510.05,3766
2023-12-18 04:05:00+00:00,510.05,510.75,509.55,510.75,878
2023-12-18 04:10:00+00:00,510.0,510.4,509.45,510.4,2070
2023-12-18 04:15:00+00:00,510.4,510.4,509.15,509.25,574
2023-12-18 04:20:00+00:00,509.25,509.85,508.4,509.3,1757
2023-12-18 04:25:00+00:00,509.3,509.3,508.25,508.4,408
2023-12-18 04:30:00+00:00,508.45,511.5,508.45,511.45,1480
2023-12-18 04:35:00+00:00,511.45,511.45,510.0,510.8,880
2023-12-18 04:40:00+00:00,510.15,511.3,510.0,510.65,1297
2023-12-18 04:45:00+00:00,510.65,511.3,509.3,510.25,1652
2023-12-18 04:50:00+00:00,510.25,510.25,508.55,508.7,993
2023-12-18 04:55:00+00:00,508.7,509.4,508.0,508.0,1772
2023-12-18 05:00:00+00:00,508.0,508.9,507.0,507.4,1220
2023-12-18 05:05:00+00:00,507.4,507.8,506.0,506.9,1142
2023-12-18 05:10:00+00:00,506.9,507.65,506.0,507.55,781
2023-12-18 05:15:00+00:00,507.55,507.65,506.5,507.6,1090
2023-12-18 05:20:00+00:00,507.6,513.15,507.0,511.95,13055
2023-12-18 05:25:00+00:00,511.95,513.8,511.9,513.0,4650
2023-12-18 05:30:00+00:00,513.0,513.0,510.95,512.3,1445
2023-12-18 05:35:00+00:00,512.3,512.3,511.1,511.2,285
2023-12-18 05:40:00+00:00,511.2,513.15,511.1,513.15,1409
2023-12-18 05:45:00+00:00,513.15,516.5,512.2,515.25,10675
2023-12-18 05:50:00+00:00,515.25,515.9,515.0,515.9,1539
2023-12-18 05:55:00+00:00,515.8,516.45,515.35,515.7,1205
2023-12-18 06:00:00+00:00,515.55,516.05,515.0,516.05,1244
2023-12-18 06:05:00+00:00,516.05,516.7,515.25,515.75,903
2023-12-18 06:10:00+00:00,515.75,516.1,515.0,515.8,2108
2023-12-18 06:15:00+00:00,515.8,516.5,515.5,516.4,918
2023-12-18 06:20:00+00:00,516.4,516.4,515.0,515.75,1462
2023-12-18 06:25:00+00:00,515.75,516.0,515.15,515.15,328
2023-12-18 06:30:00+00:00,515.15,516.8,515.0,515.7,1850
2023-12-18 06:35:00+00:00,515.7,516.05,515.45,515.7,244
2023-12-18 06:40:00+00:00,515.7,516.0,515.55,515.55,652
2023-12-18 06:45:00+00:00,515.55,515.95,515.05,515.7,537
2023-12-18 06:50:00+00:00,515.7,516.4,515.4,515.95,1307
2023-12-18 06:55:00+00:00,515.55,516.3,515.0,515.2,999
2023-12-18 07:00:00+00:00,515.2,515.4,515.0,515.05,1510
2023-12-18 07:05:00+00:00,515.05,516.2,515.0,515.1,648
2023-12-18 07:10:00+00:00,515.1,515.9,515.0,515.05,354
2023-12-18 07:15:00+00:00,515.05,517.6,515.0,516.1,8560
2023-12-18 07:20:00+00:00,516.95,517.3,515.85,516.1,439
2023-12-18 07:25:00+00:00,516.1,516.9,516.05,516.1,614
2023-12-18 07:30:00+00:00,516.1,516.1,515.15,515.5,401
2023-12-18 07:35:00+00:00,516.0,516.0,515.15,515.2,1217
2023-12-18 07:40:00+00:00,515.4,515.8,515.0,515.0,1621
2023-12-18 07:45:00+00:00,515.0,515.8,515.0,515.0,1301
2023-12-18 07:50:00+00:00,515.2,515.75,515.0,515.0,870
2023-12-18 07:55:00+00:00,515.05,515.45,515.05,515.05,481
