,open,high,low,close,volume
2023-12-18 03:45:00+00:00,14204.5,14337.75,14204.5,14274.1,28
2023-12-18 03:50:00+00:00,14299.0,14333.75,14299.0,14316.75,12
2023-12-18 03:55:00+00:00,14316.75,14327.45,14300.75,14315.0,12
2023-12-18 04:00:00+00:00,14315.0,14329.8,14315.0,14328.0,6
2023-12-18 04:05:00+00:00,14328.0,14366.0,14322.6,14356.85,37
2023-12-18 04:10:00+00:00,14356.85,14494.95,14356.85,14419.65,88
2023-12-18 04:15:00+00:00,14419.65,14450.8,14419.65,14421.9,23
2023-12-18 04:20:00+00:00,14421.9,14480.0,14409.25,14409.25,60
2023-12-18 04:25:00+00:00,14409.25,14410.1,14407.75,14410.05,3
2023-12-18 04:30:00+00:00,14410.05,14441.85,14410.05,14441.85,6
2023-12-18 04:35:00+00:00,14441.85,14497.9,14425.0,14456.3,61
2023-12-18 04:40:00+00:00,14468.9,14468.9,14366.9,14385.9,39
2023-12-18 04:45:00+00:00,14385.9,14413.8,14385.9,14395.05,44
2023-12-18 04:50:00+00:00,14368.3,14394.6,14368.3,14394.6,1
2023-12-18 04:55:00+00:00,14394.6,14394.6,14365.15,14365.15,3
2023-12-18 05:00:00+00:00,14365.15,14371.05,14365.15,14371.05,4
2023-12-18 05:05:00+00:00,14371.05,14399.95,14371.05,14381.05,9
2023-12-18 05:10:00+00:00,14381.05,14401.65,14381.05,14401.65,5
2023-12-18 05:15:00+00:00,14401.65,14410.0,14401.65,14410.0,75
2023-12-18 05:20:00+00:00,14410.0,14410.0,14409.9,14409.9,5
2023-12-18 05:25:00+00:00,14409.9,14410.0,14409.85,14410.0,49
2023-12-18 05:30:00+00:00,14410.0,14410.0,14409.95,14410.0,24
2023-12-18 05:35:00+00:00,14410.0,14410.0,14369.0,14392.85,33
2023-12-18 05:40:00+00:00,14392.85,14410.0,14392.85,14410.0,10
2023-12-18 05:45:00+00:00,14410.0,14410.0,14410.0,14410.0,0
2023-12-18 05:50:00+00:00,14410.0,14455.95,14410.0,14430.9,58
2023-12-18 05:55:00+00:00,14430.9,14460.0,14404.15,14404.15,121
2023-12-18 06:00:00+00:00,14404.15,14416.25,14404.15,14416.25,1
2023-12-18 06:05:00+00:00,14416.25,14416.25,14416.25,14416.25,0
2023-12-18 06:10:00+00:00,14422.0,14422.0,14417.05,14417.05,10
2023-12-18 06:15:00+00:00,14417.05,14448.35,14417.05,14448.35,6
2023-12-18 06:20:00+00:00,14448.35,14448.35,14404.05,14444.0,8
2023-12-18 06:25:00+00:00,14444.0,14455.95,14400.0,14417.05,127
2023-12-18 06:30:00+00:00,14400.0,14400.0,14400.0,14400.0,490
2023-12-18 06:35:00+00:00,14400.0,14400.0,14385.65,14385.65,3
2023-12-18 06:40:00+00:00,14406.15,14406.15,14406.15,14406.15,1
2023-12-18 06:45:00+00:00,14406.15,14406.15,14400.0,14400.0,9
2023-12-18 06:50:00+00:00,14400.0,14400.0,14400.0,14400.0,0
2023-12-18 06:55:00+00:00,14440.0,14450.0,14440.0,14450.0,8
2023-12-18 07:00:00+00:00,14450.0,14450.0,14439.4,14439.4,1
2023-12-18 07:05:00+00:00,14439.4,14439.4,14439.4,14439.4,0
2023-12-18 07:10:00+00:00,14439.4,14439.4,14439.4,14439.4,0
2023-12-18 07:15:00+00:00,14439.4,14439.4,14378.1,14378.1,16
2023-12-18 07:20:00+00:00,14378.1,14407.05,14378.1,14407.05,1
2023-12-18 07:25:00+00:00,14407.05,14407.05,14376.8,14376.8,1
2023-12-18 07:30:00+00:00,14376.8,14376.85,14376.8,14376.85,1
2023-12-18 07:35:00+00:00,14376.85,14378.05,14376.85,14378.05,5
2023-12-18 07:40:00+00:00,14378.05,14378.65,14378.05,14378.65,1
2023-12-18 07:45:00+00:00,14378.65,14400.0,14378.65,14400.0,4
