,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1040.5,1052.05,1026.6,1031.0,3985
2023-12-18 03:50:00+00:00,1031.0,1039.45,1028.05,1038.7,1131
2023-12-18 03:55:00+00:00,1038.7,1038.7,1027.2,1029.35,1649
2023-12-18 04:00:00+00:00,1029.35,1029.35,1020.4,1021.75,1900
2023-12-18 04:05:00+00:00,1021.75,1024.65,1021.75,1024.65,923
2023-12-18 04:10:00+00:00,1024.65,1027.8,1024.65,1026.75,510
2023-12-18 04:15:00+00:00,1027.8,1030.45,1022.4,1022.4,1008
2023-12-18 04:20:00+00:00,1022.4,1022.45,1017.95,1021.85,1232
2023-12-18 04:25:00+00:00,1021.85,1024.45,1019.05,1019.3,1142
2023-12-18 04:30:00+00:00,1018.55,1022.35,1018.55,1022.0,277
2023-12-18 04:35:00+00:00,1022.0,1022.35,1020.0,1020.45,332
2023-12-18 04:40:00+00:00,1022.45,1022.45,1017.5,1018.0,996
2023-12-18 04:45:00+00:00,1018.0,1018.35,1008.1,1010.6,2382
2023-12-18 04:50:00+00:00,1010.6,1011.95,1008.15,1010.9,1770
2023-12-18 04:55:00+00:00,1011.2,1012.1,1009.0,1010.1,1037
2023-12-18 05:00:00+00:00,1010.1,1013.95,1007.4,1011.9,19481
2023-12-18 05:05:00+00:00,1011.9,1016.1,1011.2,1012.45,811
2023-12-18 05:10:00+00:00,1012.45,1014.2,1011.1,1012.55,319
2023-12-18 05:15:00+00:00,1012.55,1015.0,1012.5,1012.85,1435
2023-12-18 05:20:00+00:00,1012.85,1018.0,1012.0,1017.5,1499
2023-12-18 05:25:00+00:00,1019.0,1019.85,1017.0,1017.0,806
2023-12-18 05:30:00+00:00,1017.0,1019.75,1017.0,1018.95,453
2023-12-18 05:35:00+00:00,1018.95,1019.25,1017.75,1018.35,227
2023-12-18 05:40:00+00:00,1018.35,1020.0,1017.55,1019.0,165
2023-12-18 05:45:00+00:00,1019.0,1021.05,1014.7,1016.2,1791
2023-12-18 05:50:00+00:00,1016.2,1016.2,1012.8,1013.05,2357
2023-12-18 05:55:00+00:00,1013.05,1014.25,1012.75,1013.9,188
2023-12-18 06:00:00+00:00,1013.9,1014.05,1013.0,1013.0,180
2023-12-18 06:05:00+00:00,1013.0,1013.05,1011.25,1013.05,326
2023-12-18 06:10:00+00:00,1013.05,1013.9,1012.1,1012.8,143
2023-12-18 06:15:00+00:00,1012.8,1012.8,1010.0,1010.75,1986
2023-12-18 06:20:00+00:00,1010.75,1012.3,1010.75,1012.25,45
2023-12-18 06:25:00+00:00,1012.25,1012.3,1011.15,1011.45,184
2023-12-18 06:30:00+00:00,1011.45,1012.75,1011.0,1012.75,76
2023-12-18 06:35:00+00:00,1012.75,1013.3,1010.8,1011.0,164
2023-12-18 06:40:00+00:00,1011.0,1011.1,1010.0,1010.0,1347
2023-12-18 06:45:00+00:00,1010.0,1010.5,1010.0,1010.0,319
2023-12-18 06:50:00+00:00,1010.0,1011.35,1010.0,1010.0,2258
2023-12-18 06:55:00+00:00,1010.0,1012.65,1010.0,1011.2,726
2023-12-18 07:00:00+00:00,1011.2,1011.65,1011.0,1011.0,363
2023-12-18 07:05:00+00:00,1011.0,1012.45,1011.0,1011.45,116
2023-12-18 07:10:00+00:00,1011.45,1011.45,1011.0,1011.0,175
2023-12-18 07:15:00+00:00,1011.0,1012.05,1011.0,1011.0,139
2023-12-18 07:20:00+00:00,1011.0,1012.8,1011.0,1011.65,21
2023-12-18 07:25:00+00:00,1011.65,1013.35,1011.55,1013.35,17
2023-12-18 07:30:00+00:00,1013.35,1013.85,1012.0,1012.9,470
2023-12-18 07:35:00+00:00,1012.9,1013.4,1010.0,1010.7,2453
2023-12-18 07:40:00+00:00,1010.7,1010.7,1010.0,1010.0,3
2023-12-18 07:45:00+00:00,1010.5,1011.8,1010.05,1010.2,214
