,open,high,low,close,volume
2023-12-18 03:45:00+00:00,628.95,628.95,623.05,623.85,982
2023-12-18 03:50:00+00:00,623.9,625.25,621.6,623.6,4297
2023-12-18 03:55:00+00:00,623.6,624.5,621.3,621.3,712
2023-12-18 04:00:00+00:00,621.3,623.0,621.3,621.75,1573
2023-12-18 04:05:00+00:00,621.75,622.75,621.75,622.45,105
2023-12-18 04:10:00+00:00,622.7,622.75,621.15,621.15,244
2023-12-18 04:15:00+00:00,621.15,621.15,620.0,620.0,1522
2023-12-18 04:20:00+00:00,620.0,620.85,616.5,617.3,1396
2023-12-18 04:25:00+00:00,617.3,617.3,614.95,615.95,1207
2023-12-18 04:30:00+00:00,615.95,616.2,615.0,616.05,579
2023-12-18 04:35:00+00:00,616.05,616.2,615.15,615.9,716
2023-12-18 04:40:00+00:00,615.9,616.35,615.15,615.9,1270
2023-12-18 04:45:00+00:00,615.9,618.95,613.2,613.8,4681
2023-12-18 04:50:00+00:00,613.8,615.2,613.8,615.2,487
2023-12-18 04:55:00+00:00,615.2,617.9,615.2,617.15,428
2023-12-18 05:00:00+00:00,617.15,617.65,615.55,617.0,1258
2023-12-18 05:05:00+00:00,617.0,617.45,616.25,616.25,257
2023-12-18 05:10:00+00:00,616.25,618.0,616.25,617.5,405
2023-12-18 05:15:00+00:00,617.5,617.5,617.0,617.0,212
2023-12-18 05:20:00+00:00,617.0,618.0,617.0,617.0,294
2023-12-18 05:25:00+00:00,617.0,617.65,617.0,617.0,53
2023-12-18 05:30:00+00:00,617.0,617.95,617.0,617.5,335
2023-12-18 05:35:00+00:00,617.5,618.85,617.0,618.85,739
2023-12-18 05:40:00+00:00,618.85,618.85,618.0,618.65,169
2023-12-18 05:45:00+00:00,618.65,619.2,618.3,618.4,185
2023-12-18 05:50:00+00:00,618.4,620.8,618.4,620.15,1381
2023-12-18 05:55:00+00:00,620.15,621.45,620.0,620.3,198
2023-12-18 06:00:00+00:00,620.3,621.5,620.15,620.65,300
2023-12-18 06:05:00+00:00,620.65,620.9,619.85,620.9,288
2023-12-18 06:10:00+00:00,620.9,620.9,620.0,620.05,903
2023-12-18 06:15:00+00:00,620.05,620.4,620.05,620.4,300
2023-12-18 06:20:00+00:00,620.4,621.05,620.3,620.9,205
2023-12-18 06:25:00+00:00,620.9,620.9,619.65,620.05,246
2023-12-18 06:30:00+00:00,620.05,620.85,620.0,620.1,225
2023-12-18 06:35:00+00:00,620.1,620.9,620.1,620.9,32
2023-12-18 06:40:00+00:00,620.9,622.2,620.75,620.85,849
2023-12-18 06:45:00+00:00,620.85,620.85,620.05,620.05,111
2023-12-18 06:50:00+00:00,620.05,621.75,620.05,621.05,80
2023-12-18 06:55:00+00:00,621.05,621.9,620.15,620.15,61
2023-12-18 07:00:00+00:00,620.6,620.6,620.0,620.0,25
2023-12-18 07:05:00+00:00,620.0,621.45,620.0,620.65,166
2023-12-18 07:10:00+00:00,620.65,620.65,620.1,620.1,30
2023-12-18 07:15:00+00:00,620.1,621.65,620.0,621.65,85
2023-12-18 07:20:00+00:00,621.65,621.9,620.8,620.8,198
