,open,high,low,close,volume
2023-12-18 03:45:00+00:00,759.9,759.9,759.9,759.9,0
2023-12-18 03:50:00+00:00,759.9,759.9,743.3,743.3,421
2023-12-18 03:55:00+00:00,743.3,757.95,723.0,757.95,140
2023-12-18 04:00:00+00:00,757.95,757.95,757.95,757.95,0
2023-12-18 04:05:00+00:00,757.95,757.95,757.95,757.95,0
2023-12-18 04:10:00+00:00,726.5,726.5,726.5,726.5,9
2023-12-18 04:15:00+00:00,726.5,755.95,726.5,755.95,85
2023-12-18 04:20:00+00:00,755.95,755.95,755.95,755.95,0
2023-12-18 04:25:00+00:00,755.95,755.95,755.95,755.95,0
2023-12-18 04:30:00+00:00,755.95,755.95,755.95,755.95,0
2023-12-18 04:35:00+00:00,755.95,755.95,755.95,755.95,0
2023-12-18 04:40:00+00:00,749.95,750.0,749.95,750.0,8
2023-12-18 04:45:00+00:00,750.0,750.0,742.0,742.0,300
2023-12-18 04:50:00+00:00,742.25,742.25,742.25,742.25,40
2023-12-18 04:55:00+00:00,755.75,755.75,755.75,755.75,0
2023-12-18 05:00:00+00:00,755.75,755.75,755.75,755.75,0
2023-12-18 05:05:00+00:00,755.75,755.75,750.0,750.0,75
2023-12-18 05:15:00+00:00,750.0,750.0,750.0,750.0,0
2023-12-18 05:20:00+00:00,750.0,750.0,750.0,750.0,0
2023-12-18 05:30:00+00:00,750.0,750.0,750.0,750.0,0
2023-12-18 05:35:00+00:00,754.95,754.95,754.95,754.95,5
2023-12-18 05:40:00+00:00,754.85,754.85,754.85,754.85,2
2023-12-18 05:45:00+00:00,754.85,754.85,754.85,754.85,0
2023-12-18 05:50:00+00:00,750.0,750.0,750.0,750.0,117
2023-12-18 05:55:00+00:00,750.0,750.0,743.0,743.0,3
2023-12-18 06:00:00+00:00,743.0,750.0,743.0,750.0,4
2023-12-18 06:10:00+00:00,750.0,750.0,742.0,742.0,19
2023-12-18 06:15:00+00:00,742.0,742.0,742.0,742.0,0
2023-12-18 06:25:00+00:00,742.05,742.05,742.05,742.05,1
2023-12-18 06:30:00+00:00,742.05,742.05,742.05,742.05,0
2023-12-18 06:35:00+00:00,750.0,750.0,750.0,750.0,25
2023-12-18 06:40:00+00:00,750.0,750.0,750.0,750.0,0
2023-12-18 06:45:00+00:00,742.0,742.0,742.0,742.0,77
2023-12-18 06:50:00+00:00,742.0,742.0,742.0,742.0,0
2023-12-18 06:55:00+00:00,742.0,742.0,742.0,742.0,0
2023-12-18 07:00:00+00:00,742.0,742.0,742.0,742.0,0
2023-12-18 07:05:00+00:00,750.0,750.0,750.0,750.0,4
2023-12-18 07:10:00+00:00,750.0,750.0,750.0,750.0,0
2023-12-18 07:20:00+00:00,750.0,750.0,750.0,750.0,0
2023-12-18 07:25:00+00:00,750.0,750.0,740.0,740.0,49
2023-12-18 07:30:00+00:00,740.0,740.0,740.0,740.0,50
2023-12-18 07:50:00+00:00,740.0,740.0,740.0,740.0,0
2023-12-18 08:00:00+00:00,740.0,740.0,740.0,740.0,10
2023-12-18 08:05:00+00:00,740.0,740.0,740.0,740.0,20
2023-12-18 08:10:00+00:00,740.0,740.0,740.0,740.0,0
2023-12-18 08:15:00+00:00,740.0,740.0,740.0,740.0,38
2023-12-18 08:20:00+00:00,740.0,740.0,740.0,740.0,0
2023-12-18 08:30:00+00:00,740.0,740.0,740.0,740.0,1
2023-12-18 08:35:00+00:00,740.0,740.0,740.0,740.0,0
2023-12-18 08:40:00+00:00,740.0,740.0,740.0,740.0,0
2023-12-18 08:45:00+00:00,740.0,740.0,740.0,740.0,0
2023-12-18 08:50:00+00:00,740.0,740.0,740.0,740.0,0
2023-12-18 09:00:00+00:00,741.0,748.75,741.0,748.75,29
2023-12-18 09:05:00+00:00,748.75,748.75,748.75,748.75,0
2023-12-18 09:10:00+00:00,748.75,748.75,748.75,748.75,0
2023-12-18 09:20:00+00:00,748.75,748.75,741.0,741.0,12
2023-12-18 09:25:00+00:00,741.0,741.0,741.0,741.0,0
2023-12-18 09:30:00+00:00,741.0,741.0,741.0,741.0,1
2023-12-18 09:45:00+00:00,741.0,749.95,740.0,740.0,202
2023-12-18 09:50:00+00:00,740.0,740.0,740.0,740.0,8
2023-12-18 09:55:00+00:00,740.0,744.9,740.0,744.9,20
2023-12-19 03:50:00+00:00,728.0,759.8,728.0,759.8,49
2023-12-19 03:55:00+00:00,759.5,759.5,759.5,759.5,5
2023-12-19 04:00:00+00:00,759.5,759.5,754.95,754.95,2
2023-12-19 04:05:00+00:00,754.0,754.0,730.0,730.0,27
2023-12-19 04:10:00+00:00,730.0,751.45,717.0,751.45,111
2023-12-19 04:15:00+00:00,751.45,751.45,751.45,751.45,0
