,open,high,low,close,volume
2023-12-18 03:45:00+00:00,900.65,912.45,894.05,903.1,36465
2023-12-18 03:50:00+00:00,902.7,911.0,901.5,909.35,19685
2023-12-18 03:55:00+00:00,908.9,909.35,902.0,906.4,10721
2023-12-18 04:00:00+00:00,906.4,908.9,902.6,902.95,6540
2023-12-18 04:05:00+00:00,902.95,909.3,902.0,909.3,7656
2023-12-18 04:10:00+00:00,909.35,909.9,906.0,909.35,5444
2023-12-18 04:15:00+00:00,909.45,914.95,909.1,912.75,17750
2023-12-18 04:20:00+00:00,912.75,915.95,910.65,915.2,12399
2023-12-18 04:25:00+00:00,915.2,916.15,911.95,914.9,10067
2023-12-18 04:30:00+00:00,914.5,918.0,914.3,916.2,15972
2023-12-18 04:35:00+00:00,916.2,917.0,915.5,916.35,3411
2023-12-18 04:40:00+00:00,916.4,917.95,913.35,915.5,13286
2023-12-18 04:45:00+00:00,915.5,915.7,913.55,913.95,4948
2023-12-18 04:50:00+00:00,913.95,915.4,913.15,914.15,3094
2023-12-18 04:55:00+00:00,914.9,916.0,913.9,914.2,2104
2023-12-18 05:00:00+00:00,914.6,914.6,910.8,914.5,6827
2023-12-18 05:05:00+00:00,914.5,914.6,913.15,913.15,1414
2023-12-18 05:10:00+00:00,913.1,914.6,913.1,914.6,1746
2023-12-18 05:15:00+00:00,914.2,915.8,913.35,913.35,3477
2023-12-18 05:20:00+00:00,913.35,913.7,912.0,912.4,2319
2023-12-18 05:25:00+00:00,912.4,913.95,911.45,912.8,1209
2023-12-18 05:30:00+00:00,913.25,913.75,912.2,913.2,1721
2023-12-18 05:35:00+00:00,913.2,913.4,912.25,912.7,911
2023-12-18 05:40:00+00:00,912.7,913.35,912.2,912.95,1950
2023-12-18 05:45:00+00:00,912.95,913.3,912.6,913.25,1160
2023-12-18 05:50:00+00:00,913.25,914.15,911.5,914.1,1992
2023-12-18 05:55:00+00:00,914.1,914.85,914.05,914.7,1612
2023-12-18 06:00:00+00:00,914.7,914.85,913.6,914.0,1777
2023-12-18 06:05:00+00:00,914.0,914.5,912.15,912.75,1583
2023-12-18 06:10:00+00:00,912.1,914.15,912.1,914.15,695
2023-12-18 06:15:00+00:00,914.15,915.7,914.0,915.65,6476
2023-12-18 06:20:00+00:00,915.65,921.0,915.65,917.9,36761
2023-12-18 06:25:00+00:00,917.9,918.7,916.5,918.0,6408
2023-12-18 06:30:00+00:00,918.0,921.75,917.75,920.8,7196
2023-12-18 06:35:00+00:00,920.8,921.25,917.3,918.0,6248
2023-12-18 06:40:00+00:00,918.0,919.45,916.9,917.75,3247
2023-12-18 06:45:00+00:00,917.75,919.25,916.5,919.2,3818
2023-12-18 06:50:00+00:00,919.2,923.9,919.0,923.9,11962
2023-12-18 06:55:00+00:00,923.7,924.85,921.8,924.1,9752
2023-12-18 07:00:00+00:00,924.1,924.1,920.55,921.7,5299
2023-12-18 07:05:00+00:00,921.7,925.0,921.7,922.0,6148
2023-12-18 07:10:00+00:00,922.25,929.9,921.85,925.15,43502
2023-12-18 07:15:00+00:00,925.75,926.6,924.0,925.45,8428
2023-12-18 07:20:00+00:00,925.45,925.8,920.3,920.65,9476
2023-12-18 07:25:00+00:00,920.7,924.65,920.1,923.8,6593
2023-12-18 07:30:00+00:00,923.8,924.6,921.05,922.0,2524
2023-12-18 07:35:00+00:00,922.0,922.0,920.3,920.9,1226
2023-12-18 07:40:00+00:00,920.9,921.0,919.15,920.2,1728
2023-12-18 07:45:00+00:00,920.15,924.15,919.6,923.6,2975
2023-12-18 07:50:00+00:00,923.6,923.6,922.0,922.7,681
2023-12-18 07:55:00+00:00,922.7,923.45,922.0,923.45,972
2023-12-18 08:00:00+00:00,923.45,923.6,922.0,922.95,2205
2023-12-18 08:05:00+00:00,922.95,923.95,922.1,923.9,2293
2023-12-18 08:10:00+00:00,923.9,924.25,919.25,919.55,4546
2023-12-18 08:15:00+00:00,919.55,920.55,919.3,920.55,1594
2023-12-18 08:20:00+00:00,920.55,920.95,919.4,920.0,1177
2023-12-18 08:25:00+00:00,920.0,920.4,919.0,919.35,2746
2023-12-18 08:30:00+00:00,919.35,919.7,919.3,919.7,1137
2023-12-18 08:35:00+00:00,919.7,921.0,918.75,919.25,3416
2023-12-18 08:40:00+00:00,919.25,919.25,918.6,919.0,1337
2023-12-18 08:45:00+00:00,918.65,919.0,917.85,918.6,4426
2023-12-18 08:50:00+00:00,918.6,919.0,917.75,918.2,3086
2023-12-18 08:55:00+00:00,918.0,918.95,918.0,918.4,1157
2023-12-18 09:00:00+00:00,918.4,918.45,916.0,917.5,5850
2023-12-18 09:05:00+00:00,917.5,917.5,915.25,915.3,4967
2023-12-18 09:10:00+00:00,915.3,920.0,914.25,919.2,9323
2023-12-18 09:15:00+00:00,919.25,927.0,919.05,927.0,14991
2023-12-18 09:20:00+00:00,926.2,928.0,925.0,925.95,9106
2023-12-18 09:25:00+00:00,925.95,931.0,925.85,929.0,23278
2023-12-18 09:30:00+00:00,929.0,930.95,927.1,930.0,20537
2023-12-18 09:35:00+00:00,930.45,931.0,927.5,929.4,20848
2023-12-18 09:40:00+00:00,929.65,929.65,926.15,927.5,16239
2023-12-18 09:45:00+00:00,927.5,929.85,923.0,929.0,28978
2023-12-18 09:50:00+00:00,929.0,936.4,928.9,935.0,46720
2023-12-18 09:55:00+00:00,935.0,939.0,932.6,937.95,27599
2023-12-19 03:45:00+00:00,936.0,951.0,935.0,939.0,41309
2023-12-19 03:50:00+00:00,939.95,941.0,935.05,935.95,11952
2023-12-19 03:55:00+00:00,935.95,935.95,932.75,933.6,8244
2023-12-19 04:00:00+00:00,933.6,934.95,930.45,933.95,9080
2023-12-19 04:05:00+00:00,933.95,933.95,930.1,930.45,6570
2023-12-19 04:10:00+00:00,930.95,933.7,930.45,931.0,3768
2023-12-19 04:15:00+00:00,931.0,931.0,925.95,928.4,9376
2023-12-19 04:20:00+00:00,928.4,929.05,926.0,926.5,3059
2023-12-19 04:25:00+00:00,926.55,927.65,926.2,926.3,2384
2023-12-19 04:30:00+00:00,926.3,926.3,924.9,925.1,2508
2023-12-19 04:35:00+00:00,925.1,925.1,922.0,923.95,5562
2023-12-19 04:40:00+00:00,923.95,925.55,922.5,923.75,2566
2023-12-19 04:45:00+00:00,923.8,924.5,922.55,924.45,2425
2023-12-19 04:50:00+00:00,924.45,925.7,923.1,923.1,4505
2023-12-19 04:55:00+00:00,923.0,924.3,922.0,922.9,2925
2023-12-19 05:00:00+00:00,922.95,923.55,921.0,923.2,3591
2023-12-19 05:05:00+00:00,923.2,923.35,921.7,923.05,2199
2023-12-19 05:10:00+00:00,923.05,924.6,922.95,924.5,847
2023-12-19 05:15:00+00:00,924.5,925.3,924.0,924.2,1128
2023-12-19 05:20:00+00:00,924.2,924.8,924.0,924.4,909
2023-12-19 05:25:00+00:00,923.65,924.4,923.1,923.8,3050
2023-12-19 05:30:00+00:00,924.3,924.4,923.8,924.4,824
2023-12-19 05:35:00+00:00,924.4,924.4,921.5,921.5,2454
2023-12-19 05:40:00+00:00,921.5,921.8,920.3,921.5,3124
2023-12-19 05:45:00+00:00,921.5,923.05,921.05,922.0,1423
2023-12-19 05:50:00+00:00,922.0,922.35,921.95,922.0,923
2023-12-19 05:55:00+00:00,922.0,922.15,921.95,922.05,476
2023-12-19 06:00:00+00:00,922.05,922.15,921.4,921.4,2323
2023-12-19 06:05:00+00:00,921.4,921.45,921.0,921.2,621
2023-12-19 06:10:00+00:00,921.45,921.85,921.1,921.85,1206
2023-12-19 06:15:00+00:00,921.85,922.0,921.25,921.25,683
2023-12-19 06:20:00+00:00,921.25,921.7,921.25,921.35,315
2023-12-19 06:25:00+00:00,921.35,921.65,921.25,921.25,1218
2023-12-19 06:30:00+00:00,921.25,921.65,921.25,921.65,117
2023-12-19 06:35:00+00:00,921.65,921.75,921.2,921.5,940
2023-12-19 06:40:00+00:00,921.2,921.65,921.2,921.65,281
2023-12-19 06:45:00+00:00,921.65,921.65,921.6,921.65,552
2023-12-19 06:50:00+00:00,921.65,921.8,921.65,921.8,1262
2023-12-19 06:55:00+00:00,921.75,922.55,921.75,922.15,1515
2023-12-19 07:00:00+00:00,922.15,925.1,922.0,922.65,8210
2023-12-19 07:05:00+00:00,922.05,922.8,922.05,922.15,1046
2023-12-19 07:10:00+00:00,922.15,923.65,922.15,922.7,1758
2023-12-19 07:15:00+00:00,922.7,923.25,922.0,922.0,4068
2023-12-19 07:20:00+00:00,922.0,922.6,921.85,922.0,833
2023-12-19 07:25:00+00:00,922.0,922.6,921.85,922.5,433
2023-12-19 07:30:00+00:00,922.5,922.55,921.75,922.0,1614
2023-12-19 07:35:00+00:00,922.0,922.6,922.0,922.1,1478
2023-12-19 07:40:00+00:00,922.15,922.8,922.0,922.15,343
2023-12-19 07:45:00+00:00,922.15,922.15,922.0,922.05,295
2023-12-19 07:50:00+00:00,922.05,922.15,922.0,922.0,765
2023-12-19 07:55:00+00:00,922.0,922.4,922.0,922.3,426
2023-12-19 08:00:00+00:00,922.3,922.95,922.1,922.55,513
2023-12-19 08:05:00+00:00,922.35,924.25,922.2,923.5,2331
2023-12-19 08:10:00+00:00,923.5,923.5,922.1,922.55,6863
2023-12-19 08:15:00+00:00,922.55,922.7,922.0,922.0,896
2023-12-19 08:20:00+00:00,922.0,922.6,921.7,922.0,2604
2023-12-19 08:25:00+00:00,922.0,922.35,922.0,922.35,441
2023-12-19 08:30:00+00:00,922.35,922.75,921.9,922.1,1217
2023-12-19 08:35:00+00:00,922.1,922.1,921.95,922.1,218
2023-12-19 08:40:00+00:00,922.1,922.1,921.9,921.95,1149
2023-12-19 08:45:00+00:00,921.95,922.1,921.9,921.95,2294
2023-12-19 08:50:00+00:00,921.95,922.8,921.9,921.9,1597
2023-12-19 08:55:00+00:00,921.9,922.3,921.65,922.05,237
2023-12-19 09:00:00+00:00,922.0,923.2,921.65,922.1,3171
2023-12-19 09:05:00+00:00,922.55,924.25,922.15,922.95,3318
2023-12-19 09:10:00+00:00,922.95,923.5,922.85,922.95,1378
2023-12-19 09:15:00+00:00,922.95,923.55,922.05,922.65,3018
2023-12-19 09:20:00+00:00,921.8,922.65,921.8,922.65,1213
2023-12-19 09:25:00+00:00,922.6,923.45,921.7,922.0,2433
2023-12-19 09:30:00+00:00,921.7,923.3,921.45,923.0,6748
2023-12-19 09:35:00+00:00,922.6,925.0,921.6,925.0,12010
2023-12-19 09:40:00+00:00,924.6,926.2,922.45,924.5,14327
2023-12-19 09:45:00+00:00,924.55,925.0,922.0,923.0,8613
2023-12-19 09:50:00+00:00,922.9,925.0,922.1,923.9,7900
2023-12-19 09:55:00+00:00,924.75,924.75,922.0,923.0,11030
2023-12-20 03:45:00+00:00,926.0,929.15,915.5,915.9,20943
2023-12-20 03:50:00+00:00,915.1,919.45,913.85,918.7,8305
2023-12-20 03:55:00+00:00,918.75,919.0,916.85,918.85,2847
2023-12-20 04:00:00+00:00,919.0,919.35,917.2,918.15,3003
2023-12-20 04:05:00+00:00,917.65,919.55,917.25,919.0,6634
2023-12-20 04:10:00+00:00,919.55,919.9,918.95,919.9,1559
2023-12-20 04:15:00+00:00,919.45,919.9,919.0,919.75,1006
2023-12-20 04:20:00+00:00,919.75,921.45,919.3,921.45,3595
2023-12-20 04:25:00+00:00,921.45,922.45,920.9,921.85,1945
2023-12-20 04:30:00+00:00,921.85,922.45,920.0,920.8,1753
2023-12-20 04:35:00+00:00,920.05,920.75,915.75,917.4,3996
2023-12-20 04:40:00+00:00,917.4,923.45,916.75,919.55,6334
2023-12-20 04:45:00+00:00,920.8,920.8,918.6,919.65,1321
2023-12-20 04:50:00+00:00,919.65,919.65,918.25,918.25,1589
2023-12-20 04:55:00+00:00,919.0,919.05,918.0,918.0,1398
2023-12-20 05:00:00+00:00,918.8,918.9,917.4,918.9,1109
2023-12-20 05:05:00+00:00,918.9,918.9,916.4,917.45,2664
2023-12-20 05:10:00+00:00,917.45,918.95,915.95,918.75,1476
2023-12-20 05:15:00+00:00,918.7,919.6,917.15,918.35,938
2023-12-20 05:20:00+00:00,918.35,919.45,917.8,917.85,985
2023-12-20 05:25:00+00:00,917.85,918.85,916.5,916.5,1380
2023-12-20 05:30:00+00:00,916.5,918.05,916.5,917.5,2453
2023-12-20 05:35:00+00:00,917.5,918.0,917.35,917.9,284
2023-12-20 05:40:00+00:00,917.9,918.05,917.4,918.05,403
2023-12-20 05:45:00+00:00,918.05,918.05,916.4,917.3,2921
2023-12-20 05:50:00+00:00,917.3,918.0,916.45,916.9,787
2023-12-20 05:55:00+00:00,916.9,917.0,916.45,916.95,637
2023-12-20 06:00:00+00:00,916.95,916.95,914.3,914.5,5396
2023-12-20 06:05:00+00:00,914.5,915.95,914.05,914.55,781
2023-12-20 06:10:00+00:00,914.55,915.0,913.05,913.05,1946
2023-12-20 06:15:00+00:00,913.05,913.2,911.3,912.65,2431
2023-12-20 06:20:00+00:00,912.65,913.2,910.0,910.25,3840
2023-12-20 06:25:00+00:00,910.25,911.45,910.0,911.45,852
2023-12-20 06:30:00+00:00,911.45,912.55,911.3,912.5,770
2023-12-20 06:35:00+00:00,912.5,913.2,911.4,912.65,1622
2023-12-20 06:40:00+00:00,912.65,912.65,911.4,911.8,593
2023-12-20 06:45:00+00:00,911.8,912.65,911.45,912.5,399
2023-12-20 06:50:00+00:00,912.75,913.65,912.2,912.2,982
2023-12-20 06:55:00+00:00,912.2,912.5,910.7,910.7,2087
2023-12-20 07:00:00+00:00,910.5,910.75,908.0,909.3,1155
2023-12-20 07:05:00+00:00,909.3,910.95,909.3,910.95,605
2023-12-20 07:10:00+00:00,910.95,911.65,910.45,910.6,503
2023-12-20 07:15:00+00:00,910.6,911.1,910.05,910.7,545
2023-12-20 07:20:00+00:00,910.6,912.0,910.6,911.0,875
2023-12-20 07:25:00+00:00,911.0,913.4,911.0,912.85,778
2023-12-20 07:30:00+00:00,912.85,912.85,911.9,912.55,417
2023-12-20 07:35:00+00:00,912.55,912.85,909.5,910.15,937
2023-12-20 07:40:00+00:00,909.5,910.25,908.0,908.05,1055
2023-12-20 07:45:00+00:00,908.0,909.15,906.0,906.55,2565
2023-12-20 07:50:00+00:00,906.55,908.8,905.85,905.85,2968
2023-12-20 07:55:00+00:00,905.85,906.85,895.25,896.15,15429
2023-12-20 08:00:00+00:00,897.0,898.65,892.05,892.05,8446
2023-12-20 08:05:00+00:00,892.6,904.15,885.0,898.9,20056
2023-12-20 08:10:00+00:00,896.1,904.35,894.0,899.0,26357
2023-12-20 08:15:00+00:00,900.0,900.0,892.05,896.15,8374
2023-12-20 08:20:00+00:00,896.15,896.75,887.1,894.9,5629
2023-12-20 08:25:00+00:00,894.9,896.8,889.05,892.75,6330
2023-12-20 08:30:00+00:00,892.15,892.5,885.45,886.75,6160
2023-12-20 08:35:00+00:00,885.5,890.55,883.6,890.55,9045
2023-12-20 08:40:00+00:00,891.15,897.7,887.75,893.0,7066
2023-12-20 08:45:00+00:00,893.0,895.0,890.25,890.25,9937
2023-12-20 08:50:00+00:00,890.25,893.6,890.25,892.0,2888
2023-12-20 08:55:00+00:00,891.35,892.9,888.8,889.95,3258
2023-12-20 09:00:00+00:00,889.25,890.4,882.0,882.0,7223
2023-12-20 09:05:00+00:00,882.0,887.05,882.0,885.35,6377
2023-12-20 09:10:00+00:00,885.0,886.2,883.5,885.9,4082
2023-12-20 09:15:00+00:00,885.9,890.35,885.0,889.6,5374
2023-12-20 09:20:00+00:00,889.6,893.75,888.55,893.4,3118
2023-12-20 09:25:00+00:00,893.4,894.0,886.95,886.95,2246
2023-12-20 09:30:00+00:00,886.95,888.0,884.95,887.9,3017
2023-12-20 09:35:00+00:00,886.8,889.65,885.0,885.95,3986
2023-12-20 09:40:00+00:00,889.0,889.0,887.1,887.45,3040
2023-12-20 09:45:00+00:00,887.5,888.0,883.05,883.3,6551
2023-12-20 09:50:00+00:00,884.0,885.0,883.0,884.35,5681
2023-12-20 09:55:00+00:00,884.35,886.45,882.05,882.55,5577
2023-12-21 03:45:00+00:00,880.0,882.65,869.05,879.0,16964
2023-12-21 03:50:00+00:00,879.0,882.35,873.4,875.15,7333
2023-12-21 03:55:00+00:00,874.0,875.65,869.0,874.85,10246
2023-12-21 04:00:00+00:00,875.1,877.7,872.7,876.15,7584
2023-12-21 04:05:00+00:00,876.15,890.65,875.35,885.2,6673
2023-12-21 04:10:00+00:00,884.35,885.35,882.35,883.3,2372
2023-12-21 04:15:00+00:00,883.3,887.9,881.4,881.75,6020
2023-12-21 04:20:00+00:00,881.1,886.75,880.0,886.2,3779
2023-12-21 04:25:00+00:00,886.7,888.0,885.45,887.7,3557
2023-12-21 04:30:00+00:00,888.45,889.35,886.5,887.5,4323
2023-12-21 04:35:00+00:00,887.5,891.65,886.6,891.55,2926
2023-12-21 04:40:00+00:00,891.55,892.8,889.15,889.75,3160
2023-12-21 04:45:00+00:00,889.75,895.45,886.3,895.0,7306
2023-12-21 04:50:00+00:00,895.0,895.0,889.65,890.55,3448
2023-12-21 04:55:00+00:00,890.55,892.0,884.2,885.0,3018
2023-12-21 05:00:00+00:00,885.0,885.2,878.15,882.9,3551
2023-12-21 05:05:00+00:00,882.9,884.2,880.25,884.2,4375
2023-12-21 05:10:00+00:00,883.55,884.75,882.6,884.75,2200
2023-12-21 05:15:00+00:00,884.75,889.05,884.25,886.6,2154
2023-12-21 05:20:00+00:00,886.6,886.6,881.25,885.45,5501
2023-12-21 05:25:00+00:00,885.45,886.8,884.05,886.5,1008
2023-12-21 05:30:00+00:00,886.5,886.8,885.0,886.25,890
2023-12-21 05:35:00+00:00,886.7,886.75,883.0,883.1,1651
2023-12-21 05:40:00+00:00,883.1,884.25,882.0,883.8,2007
2023-12-21 05:45:00+00:00,883.8,885.65,879.05,883.4,2203
2023-12-21 05:50:00+00:00,882.7,883.65,880.0,880.55,1503
2023-12-21 05:55:00+00:00,880.55,881.35,877.4,881.15,3267
2023-12-21 06:00:00+00:00,881.15,887.3,880.0,884.6,8755
2023-12-21 06:05:00+00:00,884.25,885.35,882.85,884.0,881
2023-12-21 06:10:00+00:00,884.0,884.0,881.8,882.25,291
2023-12-21 06:15:00+00:00,882.25,884.05,881.15,882.4,968
2023-12-21 06:20:00+00:00,882.4,882.4,881.25,882.15,791
2023-12-21 06:25:00+00:00,882.15,884.05,882.05,883.7,876
2023-12-21 06:30:00+00:00,884.45,884.45,882.5,882.6,713
2023-12-21 06:35:00+00:00,883.0,883.45,881.3,881.65,1327
2023-12-21 06:40:00+00:00,881.65,881.65,879.0,879.45,750
2023-12-21 06:45:00+00:00,879.45,883.95,879.0,883.3,928
2023-12-21 06:50:00+00:00,883.3,883.85,881.35,882.25,798
2023-12-21 06:55:00+00:00,881.7,883.0,881.15,882.4,685
2023-12-21 07:00:00+00:00,882.4,882.55,881.6,882.5,1838
2023-12-21 07:05:00+00:00,882.5,882.55,881.9,882.55,271
2023-12-21 07:10:00+00:00,882.55,883.05,882.35,882.95,371
2023-12-21 07:15:00+00:00,882.95,890.0,882.8,890.0,8167
2023-12-21 07:20:00+00:00,890.0,892.8,888.95,891.9,6866
2023-12-21 07:25:00+00:00,891.1,895.5,891.1,895.45,7788
2023-12-21 07:30:00+00:00,895.45,898.8,892.0,896.3,8026
2023-12-21 07:35:00+00:00,896.3,896.3,890.05,890.75,4495
2023-12-21 07:40:00+00:00,890.75,895.55,889.55,894.2,5816
2023-12-21 07:45:00+00:00,894.2,895.95,890.0,890.75,2943
2023-12-21 07:50:00+00:00,890.75,895.1,890.05,894.15,3055
2023-12-21 07:55:00+00:00,894.15,898.0,893.55,895.55,2953
2023-12-21 08:00:00+00:00,895.0,897.85,895.0,897.3,1810
2023-12-21 08:05:00+00:00,897.3,897.75,892.4,892.8,2554
2023-12-21 08:10:00+00:00,892.8,897.75,890.7,895.25,3709
2023-12-21 08:15:00+00:00,895.25,895.5,892.65,894.8,1962
2023-12-21 08:20:00+00:00,894.8,897.5,893.5,895.8,3812
2023-12-21 08:25:00+00:00,895.8,896.9,895.55,896.3,851
2023-12-21 08:30:00+00:00,896.3,897.8,892.5,893.25,1120
2023-12-21 08:35:00+00:00,893.25,896.3,893.25,893.65,1445
2023-12-21 08:40:00+00:00,893.8,897.0,893.1,896.3,2776
2023-12-21 08:45:00+00:00,896.3,902.65,896.3,897.1,7473
2023-12-21 08:50:00+00:00,897.1,904.0,897.1,903.05,3728
2023-12-21 08:55:00+00:00,903.05,905.05,901.05,904.25,7522
2023-12-21 09:00:00+00:00,904.25,907.8,903.6,904.25,3744
2023-12-21 09:05:00+00:00,903.7,904.25,899.2,902.45,3211
2023-12-21 09:10:00+00:00,902.45,902.55,900.6,901.9,2086
2023-12-21 09:15:00+00:00,901.9,901.95,899.65,901.6,2387
2023-12-21 09:20:00+00:00,900.7,902.65,900.05,901.1,3037
2023-12-21 09:25:00+00:00,901.1,904.8,901.1,903.4,3979
2023-12-21 09:30:00+00:00,903.4,908.35,903.4,904.05,6620
