,open,high,low,close,volume
2023-12-18 03:45:00+00:00,359.3,362.5,355.0,355.4,485620
2023-12-18 03:50:00+00:00,355.9,357.3,355.1,355.55,147074
2023-12-18 03:55:00+00:00,355.55,355.55,354.05,354.5,88484
2023-12-18 04:00:00+00:00,354.35,354.95,352.55,354.0,121069
2023-12-18 04:05:00+00:00,354.0,354.65,353.05,353.5,33918
2023-12-18 04:10:00+00:00,353.7,353.75,352.05,353.05,45035
2023-12-18 04:15:00+00:00,352.9,353.35,351.55,352.35,77301
2023-12-18 04:20:00+00:00,352.05,352.9,351.15,351.95,59924
2023-12-18 04:25:00+00:00,351.95,352.9,351.75,352.6,17012
2023-12-18 04:30:00+00:00,352.6,353.95,352.55,353.75,36172
2023-12-18 04:35:00+00:00,353.35,353.6,352.7,353.45,10872
2023-12-18 04:40:00+00:00,353.5,353.5,352.55,352.8,8071
2023-12-18 04:45:00+00:00,352.8,352.8,351.85,352.35,13095
2023-12-18 04:50:00+00:00,352.35,352.65,352.3,352.3,5498
2023-12-18 04:55:00+00:00,352.55,352.8,352.0,352.2,21803
2023-12-18 05:00:00+00:00,352.2,352.55,349.75,350.55,80385
2023-12-18 05:05:00+00:00,350.55,351.9,350.45,350.85,27195
2023-12-18 05:10:00+00:00,350.8,351.5,350.75,351.0,24987
2023-12-18 05:15:00+00:00,350.85,351.15,350.6,350.9,21177
2023-12-18 05:20:00+00:00,350.9,350.9,349.35,349.35,27839
2023-12-18 05:25:00+00:00,349.7,349.9,348.05,348.45,44127
2023-12-18 05:30:00+00:00,348.45,349.25,348.45,348.95,16310
2023-12-18 05:35:00+00:00,349.0,349.25,348.95,349.1,13864
2023-12-18 05:40:00+00:00,349.25,349.75,349.0,349.65,15561
2023-12-18 05:45:00+00:00,349.65,349.65,348.7,349.25,12220
2023-12-18 05:50:00+00:00,349.25,349.45,349.05,349.45,9454
2023-12-18 05:55:00+00:00,349.45,349.75,349.05,349.75,15019
2023-12-18 06:00:00+00:00,349.75,349.85,349.65,349.85,5361
2023-12-18 06:05:00+00:00,349.85,350.1,349.7,350.05,21780
2023-12-18 06:10:00+00:00,350.05,350.05,349.7,350.05,5911
2023-12-18 06:15:00+00:00,350.05,350.05,349.55,349.8,2834
2023-12-18 06:20:00+00:00,349.6,349.8,349.3,349.6,3858
2023-12-18 06:25:00+00:00,349.75,349.85,349.45,349.5,3299
2023-12-18 06:30:00+00:00,349.5,349.55,349.2,349.2,1665
2023-12-18 06:35:00+00:00,349.2,349.8,349.1,349.7,7355
2023-12-18 06:40:00+00:00,349.7,350.0,349.7,349.95,11418
2023-12-18 06:45:00+00:00,349.95,349.95,349.5,349.5,10078
2023-12-18 06:50:00+00:00,349.5,349.75,349.0,349.6,11945
2023-12-18 06:55:00+00:00,349.6,349.6,349.15,349.25,3988
2023-12-18 07:00:00+00:00,349.3,349.3,348.8,348.8,13970
2023-12-18 07:05:00+00:00,348.8,349.1,348.7,349.1,2894
2023-12-18 07:10:00+00:00,349.1,349.15,348.8,349.0,1444
2023-12-18 07:15:00+00:00,349.0,349.0,348.5,348.75,7057
2023-12-18 07:20:00+00:00,348.75,349.0,348.5,349.0,3964
