,open,high,low,close,volume
2023-12-18 03:45:00+00:00,431.25,431.25,409.55,414.1,9612
2023-12-18 03:50:00+00:00,414.1,414.1,405.0,409.55,6153
2023-12-18 03:55:00+00:00,409.95,417.0,408.3,417.0,1854
2023-12-18 04:00:00+00:00,417.0,417.9,415.05,417.35,2165
2023-12-18 04:05:00+00:00,416.45,417.8,415.0,415.0,1292
2023-12-18 04:10:00+00:00,416.35,417.0,415.0,416.9,967
2023-12-18 04:15:00+00:00,416.9,417.0,415.0,416.9,994
2023-12-18 04:20:00+00:00,416.95,424.0,416.95,422.95,3274
2023-12-18 04:25:00+00:00,422.95,425.0,419.15,423.95,1549
2023-12-18 04:30:00+00:00,423.95,424.75,421.5,422.1,42
2023-12-18 04:35:00+00:00,422.1,423.0,420.25,422.1,734
2023-12-18 04:40:00+00:00,420.5,422.85,418.8,422.4,1066
2023-12-18 04:45:00+00:00,422.4,422.4,420.35,421.05,370
2023-12-18 04:50:00+00:00,420.45,422.2,416.2,421.05,1728
2023-12-18 04:55:00+00:00,421.05,421.5,421.05,421.5,2
2023-12-18 05:00:00+00:00,421.5,421.5,419.3,419.4,208
2023-12-18 05:05:00+00:00,419.4,420.45,419.4,420.35,146
2023-12-18 05:10:00+00:00,419.2,420.7,419.2,420.7,173
2023-12-18 05:15:00+00:00,420.0,421.95,420.0,421.5,230
2023-12-18 05:20:00+00:00,421.5,422.0,421.5,422.0,382
2023-12-18 05:25:00+00:00,421.55,422.8,419.05,422.8,1838
2023-12-18 05:30:00+00:00,422.6,422.7,419.15,422.1,191
2023-12-18 05:35:00+00:00,422.0,422.1,420.65,421.75,280
2023-12-18 05:40:00+00:00,421.75,421.8,420.0,421.7,266
2023-12-18 05:45:00+00:00,421.7,422.15,419.05,421.85,704
2023-12-18 05:50:00+00:00,420.6,423.9,420.3,422.45,1432
2023-12-18 05:55:00+00:00,422.45,422.9,420.55,422.65,455
2023-12-18 06:00:00+00:00,422.65,422.65,420.55,422.5,76
2023-12-18 06:05:00+00:00,422.5,422.7,415.55,422.1,3234
2023-12-18 06:10:00+00:00,422.7,422.7,421.2,422.25,631
2023-12-18 06:15:00+00:00,422.25,423.15,420.3,422.7,749
2023-12-18 06:20:00+00:00,422.7,422.75,420.9,422.35,295
2023-12-18 06:25:00+00:00,422.35,422.35,420.2,422.35,336
