,open,high,low,close,volume
2023-12-18 03:45:00+00:00,292.4,292.9,291.4,292.7,9390
2023-12-18 03:50:00+00:00,292.9,293.15,292.15,292.65,8359
2023-12-18 03:55:00+00:00,292.65,292.65,291.7,292.1,5620
2023-12-18 04:00:00+00:00,292.1,292.1,290.5,291.15,8301
2023-12-18 04:05:00+00:00,291.15,291.35,291.1,291.3,1227
2023-12-18 04:10:00+00:00,291.3,291.45,290.5,291.45,9138
2023-12-18 04:15:00+00:00,291.25,291.55,291.0,291.35,1262
2023-12-18 04:20:00+00:00,291.6,291.85,291.05,291.15,2540
2023-12-18 04:25:00+00:00,291.4,291.5,291.0,291.1,1457
2023-12-18 04:30:00+00:00,291.1,291.7,291.05,291.15,1566
2023-12-18 04:35:00+00:00,291.15,291.4,291.0,291.0,802
2023-12-18 04:40:00+00:00,291.0,291.35,291.0,291.05,852
2023-12-18 04:45:00+00:00,291.05,291.45,291.0,291.05,1395
2023-12-18 04:50:00+00:00,291.05,291.4,291.0,291.0,804
2023-12-18 04:55:00+00:00,291.0,291.45,291.0,291.15,1602
2023-12-18 05:00:00+00:00,291.15,291.85,291.15,291.8,437
2023-12-18 05:05:00+00:00,291.8,292.0,291.1,291.15,1802
2023-12-18 05:10:00+00:00,291.15,291.95,291.15,291.5,242
2023-12-18 05:15:00+00:00,291.5,292.85,291.45,291.8,8304
2023-12-18 05:20:00+00:00,291.5,291.8,291.4,291.4,726
2023-12-18 05:25:00+00:00,291.4,291.8,291.4,291.45,727
2023-12-18 05:30:00+00:00,291.45,291.8,291.45,291.8,496
2023-12-18 05:35:00+00:00,291.8,292.5,291.8,292.0,1232
2023-12-18 05:40:00+00:00,291.95,292.15,291.95,291.95,2465
2023-12-18 05:45:00+00:00,291.95,291.95,291.55,291.55,1588
2023-12-18 05:50:00+00:00,291.55,291.85,291.5,291.55,457
2023-12-18 05:55:00+00:00,291.55,291.85,291.3,291.6,9199
2023-12-18 06:00:00+00:00,291.6,291.6,291.1,291.15,1102
2023-12-18 06:05:00+00:00,291.15,291.45,291.1,291.1,1439
2023-12-18 06:10:00+00:00,291.1,291.5,291.1,291.2,650
2023-12-18 06:15:00+00:00,291.4,291.5,291.1,291.1,1314
2023-12-18 06:20:00+00:00,291.1,291.35,291.05,291.1,500
2023-12-18 06:25:00+00:00,291.1,291.3,291.05,291.05,308
2023-12-18 06:30:00+00:00,291.05,291.35,291.05,291.05,152
2023-12-18 06:35:00+00:00,291.3,291.45,291.0,291.2,1740
2023-12-18 06:40:00+00:00,291.2,291.5,291.2,291.2,605
2023-12-18 06:45:00+00:00,291.2,291.45,291.0,291.1,1818
2023-12-18 06:50:00+00:00,291.1,291.25,291.0,291.0,736
2023-12-18 06:55:00+00:00,291.25,291.25,291.0,291.1,631
2023-12-18 07:00:00+00:00,291.1,291.2,291.0,291.05,2700
2023-12-18 07:05:00+00:00,291.05,291.35,291.0,291.05,3224
2023-12-18 07:10:00+00:00,291.05,291.35,291.05,291.05,679
2023-12-18 07:15:00+00:00,291.05,291.35,291.05,291.1,418
2023-12-18 07:20:00+00:00,291.1,291.35,291.1,291.1,336
2023-12-18 07:25:00+00:00,291.1,291.35,291.1,291.35,199
2023-12-18 07:30:00+00:00,291.35,291.35,291.1,291.15,118
2023-12-18 07:35:00+00:00,291.15,291.25,291.1,291.1,5141
2023-12-18 07:40:00+00:00,291.1,291.2,291.05,291.05,2395
2023-12-18 07:45:00+00:00,291.05,291.2,291.05,291.05,690
2023-12-18 07:50:00+00:00,291.05,291.2,291.05,291.05,303
2023-12-18 07:55:00+00:00,291.05,291.2,291.05,291.05,197
2023-12-18 08:00:00+00:00,291.05,291.2,291.05,291.2,1235
2023-12-18 08:05:00+00:00,291.05,291.2,291.05,291.05,469
2023-12-18 08:10:00+00:00,291.05,291.2,291.0,291.0,1068
2023-12-18 08:15:00+00:00,291.0,291.2,291.0,291.0,849
2023-12-18 08:20:00+00:00,291.0,291.2,291.0,291.05,227
2023-12-18 08:25:00+00:00,291.05,291.2,291.05,291.15,116
2023-12-18 08:30:00+00:00,291.15,291.25,291.0,291.0,5639
2023-12-18 08:35:00+00:00,291.0,291.3,291.0,291.0,161
2023-12-18 08:40:00+00:00,291.0,291.3,291.0,291.1,886
2023-12-18 08:45:00+00:00,291.1,291.25,291.1,291.25,145
2023-12-18 08:50:00+00:00,291.25,291.25,291.1,291.25,623
2023-12-18 08:55:00+00:00,291.25,291.25,291.1,291.2,468
2023-12-18 09:00:00+00:00,291.2,291.25,291.15,291.15,364
2023-12-18 09:05:00+00:00,291.15,291.25,291.15,291.25,502
2023-12-18 09:10:00+00:00,291.25,291.25,291.1,291.15,1126
2023-12-18 09:15:00+00:00,291.15,291.2,291.1,291.1,1182
2023-12-18 09:20:00+00:00,291.15,291.2,291.1,291.2,1096
2023-12-18 09:25:00+00:00,291.2,291.25,291.1,291.1,3918
2023-12-18 09:30:00+00:00,291.1,291.15,291.1,291.1,2092
2023-12-18 09:35:00+00:00,291.15,291.5,291.05,291.5,1817
2023-12-18 09:40:00+00:00,291.3,291.5,291.0,291.2,9045
2023-12-18 09:45:00+00:00,291.2,291.3,291.0,291.0,3739
2023-12-18 09:50:00+00:00,291.2,291.2,290.5,290.65,12518
2023-12-18 09:55:00+00:00,290.9,291.5,290.55,290.75,7063
2023-12-19 03:45:00+00:00,289.3,291.85,289.3,291.0,13028
2023-12-19 03:50:00+00:00,291.3,292.45,291.0,292.3,4284
2023-12-19 03:55:00+00:00,292.15,292.15,291.5,291.7,3828
2023-12-19 04:00:00+00:00,291.7,291.95,291.3,291.6,716
2023-12-19 04:05:00+00:00,291.6,292.0,291.0,291.6,2741
2023-12-19 04:10:00+00:00,291.6,291.85,291.25,291.4,497
2023-12-19 04:15:00+00:00,291.4,292.0,291.4,292.0,1094
2023-12-19 04:20:00+00:00,292.0,292.0,291.55,291.85,348
2023-12-19 04:25:00+00:00,291.85,291.9,291.5,291.9,664
2023-12-19 04:30:00+00:00,291.9,292.0,291.6,291.9,838
2023-12-19 04:35:00+00:00,292.1,292.1,291.2,291.45,2662
2023-12-19 04:40:00+00:00,291.45,291.45,290.8,290.8,733
2023-12-19 04:45:00+00:00,290.8,291.2,290.8,290.95,108
2023-12-19 04:50:00+00:00,290.95,291.25,290.95,291.25,438
2023-12-19 04:55:00+00:00,291.25,291.25,290.85,291.2,779
2023-12-19 05:00:00+00:00,291.2,291.2,290.8,291.1,365
2023-12-19 05:05:00+00:00,291.1,291.2,290.05,290.9,2541
2023-12-19 05:10:00+00:00,290.9,291.25,290.15,290.6,4261
