,open,high,low,close,volume
2023-12-18 03:45:00+00:00,3045.5,3045.5,3045.0,3045.0,0
2023-12-18 03:50:00+00:00,3045.0,3045.0,3020.0,3020.0,50
2023-12-18 03:55:00+00:00,3020.0,3021.45,3020.0,3021.45,3
2023-12-18 04:00:00+00:00,3041.95,3043.0,3041.95,3043.0,20
2023-12-18 04:05:00+00:00,3043.0,3043.0,3024.0,3024.0,5
2023-12-18 04:10:00+00:00,3024.0,3040.0,3024.0,3024.0,12
2023-12-18 04:15:00+00:00,3024.0,3024.0,3024.0,3024.0,0
2023-12-18 04:20:00+00:00,3024.0,3043.0,3024.0,3043.0,17
2023-12-18 04:25:00+00:00,3043.0,3043.0,3043.0,3043.0,0
2023-12-18 04:30:00+00:00,3043.0,3045.15,3024.0,3024.0,23
2023-12-18 04:35:00+00:00,3024.0,3024.0,3024.0,3024.0,0
2023-12-18 04:40:00+00:00,3024.0,3024.0,3024.0,3024.0,0
2023-12-18 04:45:00+00:00,3024.0,3041.6,3024.0,3041.6,1
2023-12-18 04:50:00+00:00,3041.6,3043.6,3041.6,3043.6,15
2023-12-18 04:55:00+00:00,3043.6,3050.0,3026.2,3026.2,25
2023-12-18 05:00:00+00:00,3026.2,3059.95,3026.2,3059.95,28
2023-12-18 05:05:00+00:00,3059.95,3060.0,3051.45,3051.45,28
2023-12-18 05:10:00+00:00,3051.45,3058.0,3036.05,3042.95,28
2023-12-18 05:15:00+00:00,3042.95,3042.95,3042.95,3042.95,0
2023-12-18 05:20:00+00:00,3042.95,3042.95,3037.9,3037.9,2
2023-12-18 05:25:00+00:00,3037.9,3037.9,3037.9,3037.9,0
2023-12-18 05:30:00+00:00,3037.9,3042.95,3037.9,3042.95,5
2023-12-18 05:35:00+00:00,3042.95,3042.95,3042.95,3042.95,0
2023-12-18 05:40:00+00:00,3042.95,3058.75,3040.0,3058.75,13
2023-12-18 05:45:00+00:00,3058.75,3058.75,3036.15,3036.15,5
2023-12-18 05:50:00+00:00,3036.15,3036.15,3036.15,3036.15,0
2023-12-18 05:55:00+00:00,3036.15,3036.15,3036.15,3036.15,0
2023-12-18 06:00:00+00:00,3036.15,3036.15,3036.15,3036.15,0
2023-12-18 06:05:00+00:00,3036.15,3036.15,3036.15,3036.15,0
2023-12-18 06:10:00+00:00,3036.15,3036.15,3036.15,3036.15,0
2023-12-18 06:15:00+00:00,3036.15,3038.2,3036.15,3038.2,3
2023-12-18 06:20:00+00:00,3038.2,3040.0,3038.2,3040.0,16
2023-12-18 06:25:00+00:00,3040.0,3043.6,3040.0,3043.6,1
2023-12-18 06:30:00+00:00,3043.6,3043.6,3043.6,3043.6,0
2023-12-18 06:35:00+00:00,3043.6,3043.6,3032.75,3043.6,9
2023-12-18 06:40:00+00:00,3043.6,3043.6,3043.6,3043.6,0
2023-12-18 06:45:00+00:00,3043.6,3043.6,3032.7,3032.7,13
2023-12-18 06:55:00+00:00,3032.7,3045.75,3032.7,3045.75,16
2023-12-18 07:00:00+00:00,3045.75,3045.75,3045.75,3045.75,0
2023-12-18 07:15:00+00:00,3045.75,3045.75,3030.1,3030.1,2
2023-12-18 07:20:00+00:00,3030.1,3030.1,3030.1,3030.1,0
2023-12-18 07:25:00+00:00,3030.1,3030.1,3030.1,3030.1,0
2023-12-18 07:30:00+00:00,3030.1,3030.1,3030.1,3030.1,0
2023-12-18 07:35:00+00:00,3030.1,3030.1,3030.1,3030.1,0
2023-12-18 07:40:00+00:00,3030.1,3030.1,3030.1,3030.1,0
2023-12-18 07:45:00+00:00,3030.1,3030.1,3030.1,3030.1,0
2023-12-18 07:50:00+00:00,3030.1,3030.1,3030.1,3030.1,0
2023-12-18 07:55:00+00:00,3030.1,3030.1,3030.1,3030.1,0
2023-12-18 08:00:00+00:00,3030.1,3031.55,3030.1,3031.55,2
2023-12-18 08:05:00+00:00,3031.55,3031.55,3031.55,3031.55,0
2023-12-18 08:10:00+00:00,3031.55,3031.55,3031.55,3031.55,0
2023-12-18 08:15:00+00:00,3031.55,3031.55,3031.55,3031.55,0
2023-12-18 08:20:00+00:00,3031.55,3031.55,3031.55,3031.55,0
2023-12-18 08:25:00+00:00,3031.55,3031.55,3031.55,3031.55,19
2023-12-18 08:30:00+00:00,3031.55,3045.85,3030.95,3045.85,49
2023-12-18 08:35:00+00:00,3045.85,3045.85,3045.85,3045.85,0
2023-12-18 08:40:00+00:00,3045.85,3045.85,3045.85,3045.85,0
2023-12-18 08:45:00+00:00,3045.85,3050.05,3045.85,3050.05,1
2023-12-18 08:50:00+00:00,3050.0,3050.0,3045.0,3045.0,50
2023-12-18 08:55:00+00:00,3045.0,3045.0,3036.0,3036.0,10
2023-12-18 09:00:00+00:00,3044.4,3044.4,3043.85,3043.85,2
2023-12-18 09:05:00+00:00,3043.85,3044.75,3043.85,3044.75,1
2023-12-18 09:10:00+00:00,3044.75,3044.75,3044.75,3044.75,0
2023-12-18 09:15:00+00:00,3044.75,3044.75,3044.75,3044.75,0
2023-12-18 09:20:00+00:00,3044.75,3044.75,3044.75,3044.75,0
2023-12-18 09:25:00+00:00,3044.75,3044.75,3033.4,3033.4,3
2023-12-18 09:30:00+00:00,3033.4,3050.1,3033.4,3033.6,2
2023-12-18 09:35:00+00:00,3033.6,3034.85,3033.6,3034.85,1
2023-12-18 09:40:00+00:00,3034.85,3039.25,3034.85,3039.25,5
2023-12-18 09:45:00+00:00,3039.25,3039.25,3039.25,3039.25,0
2023-12-18 09:50:00+00:00,3050.0,3050.1,3050.0,3050.1,21
2023-12-18 09:55:00+00:00,3050.1,3060.0,3040.0,3040.0,21
2023-12-19 03:45:00+00:00,3002.0,3077.95,3002.0,3077.95,40
2023-12-19 03:50:00+00:00,3077.95,3077.95,3034.0,3034.0,66
2023-12-19 03:55:00+00:00,3034.0,3059.95,3030.0,3050.1,162
2023-12-19 04:00:00+00:00,3050.1,3050.1,3050.1,3050.1,0
2023-12-19 04:05:00+00:00,3050.1,3050.1,3050.1,3050.1,0
2023-12-19 04:10:00+00:00,3050.1,3050.1,3050.1,3050.1,0
2023-12-19 04:15:00+00:00,3050.1,3050.1,3050.1,3050.1,0
2023-12-19 04:20:00+00:00,3050.1,3050.1,3030.0,3047.95,25
2023-12-19 04:25:00+00:00,3047.95,3047.95,3047.95,3047.95,0
2023-12-19 04:30:00+00:00,3047.95,3047.95,3047.95,3047.95,0
2023-12-19 04:35:00+00:00,3047.95,3047.95,3047.95,3047.95,0
2023-12-19 04:40:00+00:00,3047.95,3047.95,3047.95,3047.95,0
2023-12-19 04:45:00+00:00,3029.0,3044.8,3029.0,3044.8,30
2023-12-19 04:50:00+00:00,3030.0,3030.0,3030.0,3030.0,11
2023-12-19 04:55:00+00:00,3030.0,3031.0,3030.0,3030.0,3
2023-12-19 05:00:00+00:00,3030.0,3035.95,3030.0,3035.95,28
2023-12-19 05:05:00+00:00,3035.95,3035.95,3035.95,3035.95,0
2023-12-19 05:10:00+00:00,3035.95,3035.95,3035.95,3035.95,0
2023-12-19 05:15:00+00:00,3035.95,3035.95,3035.95,3035.95,0
2023-12-19 05:20:00+00:00,3035.95,3035.95,3035.95,3035.95,0
2023-12-19 05:25:00+00:00,3035.95,3035.95,3035.95,3035.95,0
2023-12-19 05:30:00+00:00,3035.95,3035.95,3035.95,3035.95,2
2023-12-19 05:35:00+00:00,3035.95,3047.95,3035.95,3047.95,15
2023-12-19 05:40:00+00:00,3047.95,3047.95,3047.95,3047.95,0
2023-12-19 05:45:00+00:00,3047.95,3047.95,3047.95,3047.95,0
2023-12-19 05:50:00+00:00,3047.95,3047.95,3047.95,3047.95,0
2023-12-19 05:55:00+00:00,3046.7,3046.7,3046.7,3046.7,1
2023-12-19 06:00:00+00:00,3046.7,3046.7,3046.7,3046.7,0
2023-12-19 06:10:00+00:00,3046.7,3046.7,3046.7,3046.7,0
2023-12-19 06:15:00+00:00,3042.3,3042.3,3025.95,3025.95,36
2023-12-19 06:20:00+00:00,3025.9,3027.0,3025.9,3027.0,138
2023-12-19 06:25:00+00:00,3027.0,3027.0,3027.0,3027.0,0
2023-12-19 06:30:00+00:00,3027.0,3027.0,3027.0,3027.0,0
2023-12-19 06:35:00+00:00,3027.0,3027.0,3027.0,3027.0,0
2023-12-19 06:40:00+00:00,3027.0,3027.0,3027.0,3027.0,0
2023-12-19 06:45:00+00:00,3027.0,3040.95,3027.0,3040.95,0
2023-12-19 06:50:00+00:00,3040.95,3040.95,3040.95,3040.95,0
2023-12-19 06:55:00+00:00,3040.95,3040.95,3040.95,3040.95,0
2023-12-19 07:00:00+00:00,3040.95,3040.95,3027.9,3027.9,10
2023-12-19 07:05:00+00:00,3027.9,3027.9,3027.0,3027.0,10
2023-12-19 07:10:00+00:00,3027.0,3027.0,3027.0,3027.0,0
2023-12-19 07:15:00+00:00,3027.0,3040.9,3027.0,3040.9,1
2023-12-19 07:20:00+00:00,3040.9,3040.9,3040.9,3040.9,0
2023-12-19 07:25:00+00:00,3040.9,3040.9,3040.9,3040.9,0
2023-12-19 07:30:00+00:00,3040.9,3040.9,3040.9,3040.9,0
2023-12-19 07:35:00+00:00,3040.9,3040.9,3040.2,3040.2,1
2023-12-19 07:40:00+00:00,3040.2,3040.2,3040.2,3040.2,0
2023-12-19 07:45:00+00:00,3040.2,3040.2,3031.1,3031.1,1
2023-12-19 07:50:00+00:00,3031.1,3031.1,3031.1,3031.1,0
2023-12-19 07:55:00+00:00,3031.1,3031.1,3031.1,3031.1,0
2023-12-19 08:00:00+00:00,3031.1,3031.1,3031.1,3031.1,0
2023-12-19 08:05:00+00:00,3031.1,3031.1,3031.1,3031.1,0
2023-12-19 08:10:00+00:00,3031.1,3038.5,3031.1,3038.5,1
2023-12-19 08:15:00+00:00,3038.5,3038.5,3025.85,3025.85,39
2023-12-19 08:20:00+00:00,3025.85,3025.85,3020.0,3025.0,73
2023-12-19 08:25:00+00:00,3025.0,3028.0,3025.0,3028.0,30
2023-12-19 08:30:00+00:00,3028.0,3028.0,3028.0,3028.0,0
2023-12-19 08:35:00+00:00,3028.0,3028.0,3028.0,3028.0,0
